itm_horse_meat|馬肉
itm_dol_very_heavy_mail|多爾安姆羅斯超重型鎖子甲
itm_dol_greaves|多爾安姆羅斯脛甲
itm_dol_shoes|多爾安姆羅斯輕型靴
itm_lamedon_clansman|拉密頓氏族鎧甲
itm_lamedon_footman|拉密頓步兵鎧甲
itm_lamedon_knight|拉密頓騎士鎧甲
itm_lamedon_leader_surcoat_cloak|拉密頓領隊鎧甲
itm_lamedon_warrior|拉密頓戰士鎧甲
itm_lamedon_veteran|拉密頓老兵鎧甲
itm_lamedon_vet_warrior|拉密頓資深戰士鎧甲
itm_lamedon_hood|兜帽
itm_pinnath_archer|皮那斯傑林弓兵鎧甲
itm_pinnath_footman|皮那斯傑林步兵鎧甲
itm_pinnath_leader|皮那斯傑林騎士盔甲
itm_pinnath_vet_footman|皮那斯傑林資深步兵鎧甲
itm_pinnath_warrior|皮那斯傑林戰士鎧甲
itm_pel_footman|佩拉吉爾步兵鎧甲
itm_pel_jerkin|佩拉吉爾短上衣
itm_pel_leader|佩拉吉爾領隊鎧甲
itm_pel_marine|佩拉吉爾海軍陸戰隊
itm_pelargir_marine_leader|佩拉吉爾海軍陸戰領隊
itm_pelargir_regular|佩拉吉爾正規軍
itm_pelargir_hood|白色兜帽
itm_pelargir_helmet_light|佩拉吉爾盔
itm_pelargir_helmet_heavy|佩拉吉爾重型盔
itm_pelargir_greaves|佩拉吉爾脛甲
itm_lossarnach_shirt|羅薩納奇上衣
itm_lossarnach_axeman|羅薩納奇斧兵鎧甲
itm_lossarnach_leader|羅薩納奇領隊鎧甲
itm_lossarnach_vet_axeman|羅薩納奇資深斧兵鎧甲
itm_lossarnach_vet_warrior|羅薩納奇資深戰士鎧甲
itm_lossarnach_warrior|羅薩納奇戰士鎧甲
itm_lossarnach_cloth_cap|羅薩納奇布帽
itm_lossarnach_leather_cap|羅薩納奇皮帽
itm_lossarnach_scale_cap|羅薩納奇鱗帽
itm_lossarnach_greaves|羅薩納奇脛甲
itm_gondor_shield_a|剛鐸方盾
itm_gondor_shield_b|剛鐸箏盾
itm_gondor_shield_c|剛鐸塔盾
itm_gondor_shield_d|剛鐸箏盾
itm_gondor_shield_e|剛鐸堡壘盾
itm_gon_tab_shield_a|剛鐸紋章圓盾
itm_gon_tab_shield_b|剛鐸紋章方盾
itm_gon_tab_shield_c|剛鐸紋章箏盾
itm_gon_tab_shield_d|剛鐸紋章塔盾
itm_amroth_sword_a|多爾安姆羅斯劍
itm_amroth_sword_b|多爾安姆羅斯騎士劍
itm_gondor_sword|剛鐸步兵劍
itm_amroth_bastard|多爾安姆羅斯天鵝刃
itm_gondor_short_sword|林何短劍
itm_pelargir_eket|佩拉吉爾短劍
itm_pelargir_sword|佩拉吉爾劍
itm_gondor_ranger_sword|剛鐸遊俠劍
itm_gondor_2h_sword|剛鐸戰劍
itm_gondor_citadel_sword|剛鐸堡壘劍
itm_gondor_cav_sword|剛鐸騎兵劍
itm_gondor_spear|剛鐸長槍
itm_gondor_tower_spear|剛鐸塔長槍
itm_gondor_lance|剛鐸騎槍
itm_loss_axe|剛鐸戰鬥斧
itm_loss_war_axe|剛鐸戰斧
itm_lorien_sword_a|羅瑞安長劍
itm_lorien_sword_b|羅瑞安短劍
itm_lorien_sword_c|羅瑞安戰劍
itm_lorien_archer|羅瑞安弓兵鎧甲
itm_lorien_armor_a|羅瑞安縫飾鎧甲
itm_lorien_armor_b|羅瑞安鎖子甲
itm_lorien_armor_c|羅瑞安鱗甲
itm_lorien_boots|羅瑞安靴
itm_lorien_shield_b|羅瑞安塔盾
itm_lorien_shield_c|羅瑞安箏盾
itm_lorien_round_shield|羅瑞安圓盾
itm_lorien_helm_a|羅瑞安弓兵盔
itm_lorien_helm_b|羅瑞安弓兵盔
itm_lorien_helm_c|羅瑞安步兵盔
itm_orc_coif|半獸人頭盔
itm_orc_greaves|半獸人鏈靴
itm_orc_ragwrap|半獸人裹腳布
itm_orc_furboots|半獸人毛靴
itm_orc_tribal_a|未處理的皮膚
itm_orc_tribal_b|未處理的皮膚
itm_orc_tribal_c|未處理的皮膚
itm_evil_gauntlets_a|黑色手套
itm_evil_gauntlets_b|黑色手甲
itm_isen_orc_light_a|艾辛格半獸人輕型輓具
itm_isen_orc_light_b|艾辛格半獸人輕型輓具
itm_isen_orc_pad_a|艾辛格半獸人輕型分段甲
itm_isen_orc_pad_b|艾辛格半獸人中型分段甲
itm_isen_orc_mail_a|艾辛格半獸人鎖子甲
itm_isen_orc_mail_b|艾辛格半獸人重型分段甲
itm_isen_uruk_light_a|強獸人輕型輓具
itm_isen_uruk_light_b|強獸人戰鬥輓具
itm_isen_uruk_light_c|強獸人狂戰士輓具
itm_isen_uruk_med_a|強獸人輕型分段甲
itm_isen_uruk_med_b|強獸人鎖子甲
itm_isen_uruk_heavy_a|強獸人中型分段甲
itm_isen_uruk_heavy_b|強獸人重型鎖子甲
itm_isen_uruk_heavy_c|強獸人全套分段甲
itm_isen_uruk_heavy_d|強獸人追蹤者皮甲
itm_isen_uruk_heavy_e|強獸人追蹤者皮甲
itm_uruk_tracker_boots|半獸人追蹤者靴
itm_uruk_greaves|強獸人脛甲
itm_uruk_chain_greaves|強獸人鏈子脛甲
itm_uruk_ragwrap|強獸人裹腳布
itm_isen_orc_helm_a|艾辛格半獸人盔
itm_isen_uruk_helm_a|強獸人盔
itm_isen_uruk_helm_d|強獸人隊長盔
itm_isen_uruk_helm_e|強獸人追蹤者盔
itm_uruk_pike_b|魔多長矛
itm_uruk_falchion_a|強獸人彎刀
itm_uruk_falchion_b|半獸人月牙大彎刀
itm_isengard_sword|艾辛格劍
itm_isengard_axe|艾辛格斧
itm_isengard_hammer|艾辛格錘
itm_isengard_halberd|艾辛格戟
itm_isengard_mallet|艾辛格槌
itm_isengard_heavy_axe|艾辛格重斧
itm_isengard_heavy_sword|艾辛格重劍
itm_isengard_spear|艾辛格長槍
itm_isengard_pike|艾辛格長矛
itm_isen_orc_shield_a|艾辛格半獸人盾
itm_isen_orc_shield_b|艾辛格半獸人盾
itm_isen_uruk_shield_b|艾辛格強獸人盾
itm_wood_club|木棍
itm_twohand_wood_club|大木棍
itm_bone_cudgel| 骨棒
itm_orc_pick|半獸人鎬
itm_orc_hammer|邪惡錘
itm_orc_club_b|座狼騎手棍
itm_orc_club_c|半獸人帶刺棍
itm_orc_club_d|邪惡戰錘
itm_orc_sledgehammer|半獸人大槌
itm_orc_simple_spear|半獸人長槍
itm_orc_skull_spear|半獸人頭骨長槍
itm_orc_bill|半獸人長柄武器
itm_orc_slasher|半獸人短劍
itm_orc_falchion|半獸人彎刀
itm_orc_scimitar|半獸人月牙彎刀
itm_orc_sabre|半獸人軍刀
itm_orc_battle_axe|半獸人戰斧
itm_orc_axe|半獸人斧
itm_orc_two_handed_axe|半獸人大斧
itm_orc_throwing_axes|半獸人擲斧
itm_orc_bow|半獸人弓
; itm_orc_shield_a|Simple Shield
; itm_orc_shield_b|Fur Shield
; itm_orc_shield_c|Fur Tower Shield
itm_mordor_orc_shield_a|魔多半獸人盾
itm_mordor_orc_shield_b|魔多半獸人盾
itm_mordor_orc_shield_c|魔多半獸人盾
itm_mordor_orc_shield_d|魔多半獸人盾
itm_mordor_orc_shield_e|魔多半獸人盾
itm_mordor_uruk_shield_a|魔多強獸人盾
itm_mordor_uruk_shield_b|魔多強獸人盾
itm_mordor_uruk_shield_c|魔多強獸人盾
itm_mordor_man_shield_a|魔多人盾
itm_mordor_man_shield_b|魔多人盾
itm_angmar_shield|安格馬盾
itm_orc_nosehelm|半獸人覆鼻盔
itm_orc_kettlehelm|半獸人壺盔
itm_orc_buckethelm|半獸人圓盔
itm_orc_morion|半獸人船狀盔
itm_orc_beakhelm|半獸人鳥嘴盔
itm_orc_bughelm|半獸人蟲盔
itm_orc_visorhelm|半獸人覆面盔
itm_m_orc_light_a|魔多半獸人輕型鎧甲
itm_m_orc_light_b|魔多半獸人輕型鎧甲
itm_m_orc_light_c|魔多半獸人輕型鎧甲
itm_m_orc_light_d|魔多半獸人輕型鎧甲
itm_m_orc_light_e|魔多半獸人輕型鎧甲
itm_m_orc_heavy_a|魔多半獸人重型鎧甲
itm_m_orc_heavy_b|魔多半獸人重型鎧甲
itm_m_orc_heavy_c|魔多半獸人重型鎧甲
itm_m_orc_heavy_d|魔多半獸人重型鎧甲
itm_m_orc_heavy_e|魔多半獸人重型鎧甲
itm_m_uruk_light_a|強獸人輓具
itm_m_uruk_light_b|強獸人皮甲
itm_m_uruk_light_c|強獸人輕型鎖子甲
itm_m_uruk_med_a|強獸人重型皮甲
itm_m_uruk_med_b|強獸人重型鎖子甲
itm_m_uruk_med_c|強獸人輕型鱗甲
itm_m_uruk_heavy_a|強獸人重型鱗甲
itm_m_uruk_heavy_b|強獸人鎖子裝甲
itm_m_uruk_heavy_c|路格柏茲鎖子裝甲
itm_m_cap_armor|魔多隊長鎧甲
itm_black_num_armor|黑努曼諾爾鎧甲
itm_m_armor_a|魔多鎧甲
itm_m_armor_b|魔多鎧甲
itm_evil_light_armor|邪惡外罩
itm_uruk_helm_a|強獸人盔
itm_uruk_helm_b|強獸人盔
itm_uruk_helm_c|強獸人尖嘴盔
itm_uruk_helm_d|強獸人網盔
itm_uruk_helm_e|強獸人面具盔
itm_uruk_helm_f|強獸人盔
itm_mordor_cap_helm|魔多隊長盔
itm_mordor_helm|魔多盔
itm_black_num_helm|黑努曼諾爾盔
itm_mordor_sword|魔多變種劍
itm_mordor_longsword|魔多劍
itm_moria_armor_a|摩瑞亞胸輓具
itm_moria_armor_b|摩瑞亞胸和肩甲
itm_moria_armor_c|摩瑞亞半獸人鎖子甲
itm_moria_armor_d|摩瑞亞鉚釘皮甲
itm_moria_armor_e|摩瑞亞半獸人重型鎖子甲
itm_moria_orc_shield_a|摩瑞亞大盾
itm_moria_orc_shield_b|摩瑞亞半獸人盾
itm_moria_orc_shield_c|摩瑞亞半獸人盾
itm_gundabad_armor_a|剛達巴半獸人破布
itm_gundabad_armor_b|剛達巴半獸人毛皮
itm_gundabad_armor_c|剛達巴半獸人鎧甲
itm_gundabad_armor_d|剛達巴半獸人鎧甲
itm_gundabad_armor_e|剛達巴半獸人重型鎧甲
itm_gundabad_helm_a|皮帽
itm_gundabad_helm_b|皮盔
itm_gundabad_helm_c|剛達巴半獸人盔
itm_gundabad_helm_d|剛達巴半獸人盔
itm_gundabad_helm_e|座狼騎手盔
itm_dunland_wolfboots|登蘭德狼靴
itm_dunland_tunic_1|登蘭德皮革外衣
itm_dunland_tunic_2|登蘭德皮革外衣
itm_dunland_fur_1|登蘭德毛皮大衣
itm_dunland_fur_2|登蘭德毛皮大衣
itm_dunland_mail_1|登蘭德胸甲
itm_dunland_mail_2|登蘭德胸甲
itm_dunland_chieftain|登蘭德酋長鎧甲
itm_dun_helm_a|登蘭德狼帽
itm_dun_helm_b|登蘭德皮帽
itm_dun_helm_c|登蘭德高盔
itm_dun_helm_d|登蘭德高盔
itm_dun_helm_e|登蘭德鹿角盔
; itm_dun_shield_a|Dunnish Roundshield
; itm_dun_shield_b|Dunnish Oval Shield
itm_dun_berserker|登蘭德酋長劍
itm_dunnish_antler_axe|登蘭德鹿角斧
itm_dunnish_war_axe|登蘭德戰斧
itm_dunnish_axe|登蘭德斧
itm_dunland_spear|登蘭德長槍
itm_dunnish_pike|登蘭德長矛
itm_rohan_cav_sword|洛汗騎乘劍
itm_rohan_inf_sword|洛汗劍
itm_rohan_spear|洛汗長槍
itm_rohan_lance|洛汗騎槍
itm_rohan_sword_c|洛汗劍
itm_rohirrim_short_axe|洛汗短斧
itm_rohirrim_long_hafted_axe|洛汗長半斧
itm_rohan_2h_sword|洛汗戰劍
itm_rohan_recruit|洛汗加厚短上衣
itm_rohan_leather|洛汗皮革背心
itm_rohan_mail|洛汗胸甲
itm_rohan_rider|洛汗騎手盔甲
itm_rohan_scale|洛汗鱗甲
itm_rohan_surcoat|洛汗罩衫
itm_rohan_guard|洛汗衛隊鎧甲
itm_rohan_light_helmet_a|洛汗輕型盔
itm_rohan_light_helmet_b|洛汗輕型盔
itm_rohan_inf_helmet_a|洛汗護眼盔
itm_rohan_inf_helmet_b|洛汗護眼盔
itm_rohan_archer_helmet_a|洛汗覆鼻盔
itm_rohan_archer_helmet_b|洛汗覆鼻盔
itm_rohan_archer_helmet_c|洛汗衛兵盔
itm_rohan_shield_a|洛汗盾
itm_rohan_shield_b|洛汗盾
itm_rohan_shield_c|洛汗盾
itm_rohan_shield_d|洛汗盾
itm_rohan_shield_e|洛汗盾
itm_rohan_shield_f|洛汗盾
itm_rohan_shield_g|洛汗王家盾
itm_rohan_light_greaves|洛汗輕型脛甲
itm_rohirrim_war_greaves|洛汗戰脛甲
itm_mirkwood_leather|木精靈皮甲
itm_mirkwood_pad|綠森縫飾外套
itm_mirkwood_mail|綠森鎖子甲
itm_mirkwood_scale|綠森輕型鱗甲
itm_mirkwood_heavy_scale|綠森葉鱗甲
itm_mirkwood_sword|木精靈劍
itm_mirkwood_great_spear|綠森巨槍
itm_mirkwood_war_spear|綠森戰槍
itm_mirkwood_short_spear|木精靈長槍
itm_mirkwood_knife|木精靈刃
itm_mirkwood_axe|木精靈斧
itm_mirkwood_spear_shield_a|木精靈盾
itm_mirkwood_spear_shield_b|綠森戰盾
itm_mirkwood_spear_shield_c|木精靈圓盾
itm_mirkwood_helm_a|木精靈弓兵盔
itm_mirkwood_helm_b|綠森盔
itm_mirkwood_helm_c|綠森重型盔
itm_mirkwood_helm_d|綠森王家盔
itm_woodelf_leather_boots|木精靈皮靴
itm_mirkwood_boots|綠林靴
itm_harad_tunic|哈拉德束腰外衣
itm_harad_padded|哈拉德加厚短上衣
itm_harad_lamellar|哈拉德鱗甲
itm_harad_heavy_lamellar|哈拉德重裝鱗甲
itm_harad_heavy|哈拉斯加拉鎧甲
itm_harad_pectoral|哈拉德胸甲
itm_black_snake_armor|馬拉卡鎧甲
itm_harad_champion|遠哈拉德外罩
itm_harad_scale|哈拉德鱗甲
itm_harad_lion_scale|獅衛隊鎧甲
itm_harad_dragon_helm|奇洛卡盔
itm_harad_cav_helm_a|哈隆鐸輕型盔
itm_harad_cav_helm_b|哈隆鐸輕型盔
itm_black_snake_helm|馬拉卡盔
itm_harad_finhelm|哈拉德重型步兵盔
itm_harad_heavy_inf_helm|哈拉德步兵盔
itm_harad_wavy_helm|哈拉德錐形盔
itm_harad_eaglehelm|鷹衛隊盔
itm_lion_helm|獅衛隊盔
itm_harad_pantherhelm|豹衛隊帽
itm_harad_khopesh|哈拉德鐮狀劍
itm_black_snake_sword|哈拉德眼鏡蛇刃
itm_harad_heavy_sword|哈拉德龍刃
itm_horandor_a|哈拉德月牙彎刀
itm_skirmisher_sword|哈拉德散兵劍
itm_harad_sabre|哈拉德火蜥刀
itm_harad_mace|遠哈拉德戰錘
itm_far_harad_2h_mace|遠哈拉德雙手戰錘
itm_harad_dagger|哈拉德刃
itm_harad_short_spear|哈拉德短槍
itm_harad_long_spear|哈拉德長槍
itm_eagle_guard_spear|哈拉斯加拉長柄武器
itm_harad_long_shield_a|哈拉德豹盾
itm_harad_long_shield_b|哈拉德銅盾
itm_harad_long_shield_c|哈拉德太陽盾
itm_harad_long_shield_d|哈拉德蛇盾
itm_harad_long_shield_e|哈拉德蛇盾
itm_harad_shield_a|哈隆鐸盾
itm_harad_shield_b|哈隆鐸小圓盾
itm_harad_shield_c|哈隆鐸小圓盾
itm_harad_yellow_shield|哈拉德盾
itm_desert_boots|沙漠靴
itm_harad_leather_greaves|哈拉德皮脛甲
itm_harad_scale_greaves|哈拉德脛甲
itm_harad_lamellar_greaves|哈拉德夾板脛甲
itm_khand_inf_helm_a|侃德盔
itm_khand_inf_helm_b|侃德盔
itm_khand_inf_helm_c1|侃德碗盔
itm_khand_inf_helm_c2|侃德碗盔
itm_khand_inf_helm_d|侃德錐盔
itm_khand_cav_helm_a|侃德騎手盔
itm_khand_cav_helm_b|侃德騎手盔
itm_khand_cav_helm_c|侃德飾紋盔
itm_khand_helm_mask|侃德面具
itm_khand_light|侃德呢短裙
itm_khand_light_lam|侃德輕型步兵甲
itm_khand_foot_lam|侃德重裝步兵甲
itm_khand_med_lam|侃德中型片甲
itm_khand_heavy_lam|侃德重型片甲
itm_khand_mail|侃德鐵甲
itm_khand_noble_lam|侃 德 貴  族 鎧 甲
itm_khand_axe_great|侃德大斧
itm_khand_axe_winged|侃德翼斧
itm_khand_halberd|侃德戟
itm_khand_trident|侃德三叉戟
itm_khand_voulge|侃德鉤鐮槍
itm_khand_mace1|侃德戰錘
itm_khand_mace2|侃德戰錘
itm_khand_throwing_axe|侃德擲斧
itm_khand_rammace|侃德羊角戰錘
itm_khand_pitsword|鬥士劍
itm_khand_tulwar|侃德彎刃
itm_khand_2h_tulwar|侃德大彎刃
itm_khand_lance|侃德騎槍
itm_easterling_round_horseman|東方圓盾
itm_variag_gladiator_shield|東方鬥士盾
itm_easterling_hawk_shield|東方鷹盾
itm_rhun_bull1_shield|盧恩盾
itm_rhun_bull2_shield|盧恩盾
itm_rhun_bull3_shield|盧恩盾
itm_rhun_shield|盧恩箏盾
itm_rhun_armor_a|盧恩輕型戰裝
itm_rhun_armor_b|盧恩輕型戰裝
itm_rhun_armor_d|盧恩輕型戰裝
itm_rhun_armor_g|盧恩重型戰裝
itm_rhun_armor_h|盧恩重型戰裝
itm_rhun_armor_j|盧恩中型戰裝
itm_rhun_armor_m|盧恩中型戰裝
itm_rhun_armor_n|盧恩中型戰裝
itm_rhun_armor_o|盧恩中型戰裝
itm_rhun_armor_p|盧恩貴族鎧甲
itm_rhun_armor_k|盧恩貴族鎧甲
itm_rhun_helm_chieftain|盧恩酋長盔
itm_rhun_helm_pot|盧恩鍋盔
itm_rhun_helm_barbed|盧恩帶刺盔
itm_rhun_helm_round|盧恩圓盔
itm_rhun_helm_leather|盧恩皮盔
itm_rhun_warpick|盧恩戰鎬
itm_rhun_greataxe|盧恩大斧
itm_rhun_battleaxe|盧恩戰斧
itm_rhun_falchion|野蠻彎刀
itm_rhun_glaive|盧恩長柄刀
itm_rhun_greatfalchion|野蠻大彎刀
itm_rhun_greatsword|野蠻大劍
itm_rhun_shortsword|野蠻短劍
itm_rhun_sword|野蠻劍
itm_rhun_mangler|盧恩狼牙棒
itm_dale_light_a|河谷鎮民兵夾克
itm_dale_light_b|北方輕型片甲
itm_dale_med_a|北方重型片甲
itm_dale_med_b|河谷鎮皮甲
itm_dale_med_c|河谷鎮皮覆鎖子甲
itm_dale_med_d|河谷鎮片甲
itm_dale_heavy_a|河谷鎮片覆鎖子甲
itm_dale_heavy_b|河谷鎮裝甲外套
itm_dale_heavy_c|羅馬尼安鎖子甲
itm_north_leather|北方皮背心
itm_dale_helmet_a|河谷鎮輕型步兵盔
itm_dale_helmet_b|河谷鎮輕型弓兵盔
itm_dale_helmet_c|河谷鎮步兵盔
itm_dale_helmet_d|河谷鎮弓兵盔
itm_dale_helmet_e|巴丁盔
itm_dale_helmet_f|巴丁盔
itm_dale_sword|河谷鎮短劍
itm_dale_sword_long|河谷鎮長劍
itm_dale_sword_broad|河谷鎮步兵盔
itm_dale_pike|河谷鎮長槍
itm_dale_billhook|河谷鎮鍥刀
itm_dale_shield_a|河谷鎮塔盾
itm_dale_shield_b|河谷鎮塔盾
itm_dale_shield_c|河谷鎮圓盾
itm_umb_armor_a|海盜皮革背心
itm_umb_armor_b|海盜皮甲
itm_umb_armor_c|海盜輕型鱗甲
