menu_start_game_1|Για τι πολεμάς;
mno_resume_travelling|Συνέχισε το ταξίδι.
mno_custom_battle_go|Ξεκίνα
mno_leave_custom_battle_2|Ακύρωση
menu_custom_battle_end|Η μάχη έχει τελειώσει. {s1} Η μεριά σου σκότωσε {reg5} εχθρούς και έχασε {reg6} στρατιώτες στη μάχη. Εσύ σκότωσες {reg7} εχθρούς ενώ πολεμούσες.
mno_replay|Ξαναπαίξτε αυτή τη μάχη
mno_continue_dot|Συνέχεια 
menu_custom_battle_durin_end|Ήταν αξιοθαύμαστη η τελική μάχη, αλλά στο τέλος καταδικασμένη. Εσύ και οι σύντροφοι σου σκοτώσατε {reg5} εχθρούς. Εσύ σκότωσες {reg7} εχθρούς ενώ πολεμούσες.
mno_replay_cbd|Ξαναπαίξτε αυτή τη μάχη
mno_continue_dot_cbd|Συνέχεια 
mno_dot_go_back|Πίσω
menu_start_good|Επέλεξε το είδος σου:
mno_start_ma|ΑΝΘΡΩΠΟΣ
mno_start_el|ΞΩΤΙΚΟ
mno_start_dw|ΝΑΝΟΣ
menu_start_evil|Ποιόν υπηρετείς;
mno_start_eye|Ο Σάουρον της Μόρντορ, ο Άρχοντας των Δαχτυλιδιών
mno_start_hand|Ο Σάρουμαν του Άιζενγκαρντ, το Λευκό Χέρι
menu_start_eye|Ο Αφέντης σου είναι το Άγρυπνο Μάτι Επέλεξε το είδος σου
mno_start_or|ένα ΟΡΚ, που υπηρετεί το Άγρυπνο Μάτι
mno_start_ur|ένα ΟΥΡΟΥΚ, η νέα ράτσα των Ορκ
mno_start_em|ένας ΑΝΘΡΩΠΟΣ, υποδουλωμένος από τον Σάουρον
menu_start_hand|Ο Αφέντης σου είναι το Άσπρο Χέρι Επέλεξε το είδος σου
mno_start_whor|ένα ΟΡΚ, που υπηρετεί το Άσπρο Χέρι
mno_start_isur|ένα από τα ΟΥΡΟΥΚ-ΧΑΪ, γεννημένο στο Άισενγκαρντ
mno_start_duma|ένας ΑΝΘΡΩΠΟΣ της Ντούνλαντ
menu_start_good_man|Επέλεξε τους ανθρώπους σου:
mno_start_go|Γκόντορ, το βασίλειο του Άσπρου Πύργου
mno_start_ro|Ρόχαν, η φυλή του Αλόγου
mno_start_du|ΝΤΟΥΝΕΝΤΑΪΝ, η αρχαία δυναστεία των Ανθρώπων
mno_start_be|ΒΕΟΡΝΙΝΓΚ, η φυλή της Αρκούδας
mno_start_wo|ΓΟΥΝΤΜΕΝ, από το Μίρκγουντ
mno_start_da|το βόριο Βασίλειο του Ντέιλ
menu_start_good_elf|σε ποιο Δάσος ζεις, Γέροντα;
mno_start_ri|Ρίβεντέιλ, του Λόρδου Έλροντ
mno_start_lo|Λοθλόριεν, της Λαίδης Γκαλάντριελ
mno_start_mi|Μίρκγουντ, γη των Σιλβάν Ξωτικών
menu_start_good_dwarf|Επέλεξε την Καταγωγή σου:
mno_start_er|ένας κάτοικος του Έρεμπορ
mno_start_ih|ένας μεταλλωρύχος στους Μεταλλικούς Λόφους
menu_start_gondor|Από πού, στο Γκόντορ, προέχεσε;
mno_start_mt|ΜΙΝΑΣ ΤΙΡΙΘ, η Πρωτεύουσα
mno_start_ls|Λοσσαρνάκ, το Φέουδο των Άξμεν
mno_start_la|Λάμεδον, το Φέουδο της Φυλής του Βουνού
mno_start_pg|Πίνναθ Γκελίν, το Φέουδο των Πράσινων Λόφων
mno_start_do|Ντολ Αμρόθ, το Φέουδο των Ιπποτών του Κύκνου
mno_start_pe|Πέλαργκιρ, το Παραλιακό Φέουδο
mno_start_bl|ΜΠΛΑΚΡΟΥΤ ΒΕΪΛ, το Φέουδο των τοξοτών
menu_start_eye_man|Επέλεξε τους ανθρώπους σου:
mno_start_hr|ΧΑΡΑΝΤΡΙΜ, η έρημος των ανθρώπων από τον Νότο
mno_start_bn|Μαύροι ΝΟΥΜΕΝΟΡΙΑΝΟΙ, οι επιδρομείς από την Δύση
mno_start_um|ΟΥΜΠΑΡ, οι πειρατές από τις Βόρειες Θάλασσες
mno_start_rh|ΡΟΥΝ, οι βάρβαροι από την Ανατολή
mno_start_kh|ΚΑΝΤ, τα αγρίμια από τα Βορειοανατολικά
menu_start_eye_uruk|Πού παραμονεύεις;
mno_start_arm_uruk|στις στρατιές που μαζεύτηκαν στο ΜΟΡΝΤΟΡ
mno_start_cav_uruk|στις σπηλιές του ΝΤΟΛ ΓΚΟΥΛΝΤΟΥΡ
menu_start_eye_orc|Πού παραμονεύεις;
mno_start_arm|στις στρατιές που μαζεύτηκαν στο ΜΟΡΝΤΟΡ
mno_start_cav|στις σπηλιές του ΝΤΟΛ ΓΚΟΥΛΝΤΟΥΡ
menu_start_hand_orc|Πού παραμονεύεις;
mno_start_armis|στις στρατιές που μαζεύτηκαν στο ΆΙΣΕΝΓΚΑΡΝΤ
mno_start_minmo|στα Ορυχεία της ΜΟΡΙΑ
mno_start_cliff|στους γκρεμούς του Βουνού ΓΚΟΥΝΤΑΜΠΑΜΠ
menu_start_gondor_mt|Επέλεξε την Καταγωγή σου
mno_start_1_com|Κοινός Πολίτης
mno_start_2_hib|Αριστοκράτης
menu_start_haradrim|Είσαι ένας από τους Χάραντριμ, ένας Άνθρωπος της Ερήμου. Διάλεξε το σόι σου
mno_start_1_des|Άνθρωπος Ερήμου
mno_start_2_far|Ιθαγενής του Φαρ Χαράντ
menu_start_numenorean|Είσαι Μαύρος Νουμενοριανός, πιστός στο Σκότος και στον Μόργκοθ. Επέλεξε που υπηρετείς το Μάτι
mno_start_1_bn|Επόμενος στο Στόμα του Σάουρον, στην ΜΟΡΑΝΝΟΝ
mno_start_2_bn|Στο Φρούριο του Νεκρομάντη, ΝΤΟΛ ΓΚΟΥΛΝΤΟΥΡ
menu_choose_gender|Το φύλο σου;
mno_start_male|Άνδρας
mno_start_female|Γυναίκα
mno_proc|Συνέχισε κανονικά
menu_start_as_one|Τι είδος στρατιώτης είσαι;
mno_start_default|Γίνε {s23} (Κανονικό)
mno_start_up1|Γίνε {s21} (Εύκολο)
mno_start_up2|Γίνε {s22} (Εύκολο)
mno_continue|Συνέχισε...
menu_character_report|Ηθικό Ομάδας: {reg8} Όριο Μεγέθους Ομάδας: {reg7}^{s5}
menu_camp|Είσαι μέσα στο {s1}.{s2} Τι θέλεις να κάνεις;
mno_camp_scene|Μία βόλτα.
mno_camp_troop|Επιθεώρηση{reg10? troops:}{reg12? and:}{reg11? prisoners:}.
mno_camp_action|Χρησιμοποίησε ένα αντικείμενο.
mno_camp_wait_here|Κατασκήνωσε εδώ για λίγο.
mno_camp_options|Άλλαξε ρυθμίσεις TLD.
mno_Dev_Menu|Μενού Προγραμματιστή
menu_dev_menu|Αυτές είναι οι Ρυθμίσεις Προγραμματιστή, σου δίνουν να παίξεις με πολλά cheats/εργαλεία. Έχει όμως σαν συνέπεια μερικά WIP συμβάν, triggers, και αλλαγές στην καμπάνια που μπορεί να χαλάσουν το παιχνίδι. Χρησιμοποίησε τις προσεκτικά! Επίσης, όταν αναφέρεις bugs, πες μας πότε χρησιμοποιείς το Μενού Προγραμματιστή.
mno_Cheat_enable|Χρησιμοποίησε ρυθμίσεις cheat/modding.
menu_game_options|Επέλεξε μία ρύθμιση για να την αλλάξεις:
mno_game_options_war_level_start|Ο Πόλεμος Αρχίζει στο Επίπεδο: {s1}
mno_game_options_restrict_items|Περιορισμένος εξοπλισμός παίκτη: {s7}
mno_game_options_formations|Σχηματισμός μάχης και AI: {s7}
mno_game_options_siege_ai|Προχωρημένο ΑΙ Πολιορκίας: {s7}
mno_game_options_town_menu|NPCs πόλης πάντα προσβάσιμα από τα Μενού: {s7}
mno_game_options_cutscenes|Ταινίες: {s7}
mno_game_options_injuries|Τραυματισμοί για συντρόφους: {s7}.
mno_game_options_death|Μόνιμοι θάνατοι για τους λόρδους και τους συντρόφους: {s7}.
mno_game_options_death2|Μόνιμος θάνατος για τον παίκτη (ΕΣΥ είσαι αυτός!): {s7}.
mno_game_options_morale|Σύστημα ηθικού μάχης: {s7}
mno_game_options_animal_ambushes|Ενέδρες ζώων: {s7}
mno_game_options_horse_ko|Μηνύματα ζημιάς ιππέων που έπεσαν: {s7}
mno_game_options_bright_nights|Φωτεινές Νύχτες: {s7}.
mno_game_options_camera_pref|Προτιμώμενη Κάμερα: {s7}.
mno_game_options_tweaks|Αλλαγές στον τρόπο παιχνιδιού...
mno_game_options_back|Πίσω στο μενού κατασκήνωσης.
mno_game_options_start_back|Πίσω.
menu_camp_tweaks|Διάλεξε μία ρύθμιση που θέλεις να αλλάξεις.
mno_tweak_options_compat|Αλλαγές συμβατότητας...
mno_tweak_options_strat|Αλλαγές στρατηγικής...
mno_tweak_options_battlefield_ai|Αλλαγές στο AI του πεδίου μάχης...
mno_tweak_options_back|Πίσω στο μενού ρυθμίσεων.
menu_camp_compat_tweaks|Κάνε κλικ σε μία ρύθμιση για να την αλλάξεις (κράτα το shift για να την χαμηλώσεις): (αυτές είναι για συμβατότητα και δεν είναι για cheats)
mno_game_options_compat_party|Μέγιστος αριθμός ομάδων: {s1}
mno_game_options_compat_back|Πίσω στο μενού αλλαγών.
menu_camp_strat_tweaks|Κάνε κλικ σε μία ρύθμιση για να την αλλάξεις: (προσοχή: αυτές είναι cheats!)
mno_strat_tweaks_siege_reqs|Απαιτήσεις δύναμης για πολιορκία: {s7}
mno_strat_tweaks_siege_relax_rate|Χαλάρωση βαθμού απαίτησης δύναμης για πολιορκία: {reg1}
mno_strat_tweaks_regen_rate|Βαθμός επαναφόρτισης δύναμης: {s7}
mno_strat_tweaks_siege_regen_limit|Η δύναμη της φατρίας επαναφορτίζει πιο αργά σε βαθμό: {reg1}
mno_strat_tweaks_influence_gain_rate|Βαθμός απόκτησης επιρροής: {s7}
mno_strat_tweaks_rank_gain_rate|Βαθμός απόκτησης κατάταξης: {s7}
mno_strat_tweaks_back|Πίσω στο μενού αλλαγών.
menu_camp_action|Ποιο αντικείμενο;
mno_camp_drink_water|Πιες το Νερό των Εντς!
mno_camp_drink_orc_brew|Πάσαρε την Μπύρα των Ορκ!
mno_camp_drink_miruvor|Πάσαρε το Μίροβορ!
mno_camp_use_athelas|Χρησιμοποίησε το Αθέλας για να θεραπεύσεις την πληγή.
mno_camp_use_drums|Χτύπα τα Τύμπανα του Βάθους,
mno_camp_action_4|Πίσω.
menu_assasins_attack_player_won|Κατάφερες επιτυχώς να νικήσεις τους δολοφόνους από το {s2}, που στάλθηκαν από τον/την {s3}.
menu_assasins_attack_player_retreat|Δραπέτευσες ζωντανός!
menu_fangorn_danger|Περίεργοι, απολιτικοί ήχοι υπάρχουν τριγύρω σου. Ίσως μιλάνε τα δέντρα; Αισθάνεσαι μίσος και πόνο από τον αέρα. Οι εντολές σου;
mno_be_quiet_elf|Σεβάσου το μίσος των δέντρων. Φύγε ήσυχα.
mno_be_quiet|Κατεβάστε τα όπλα σας και μείνετε ήσυχοι! Τώρα φύγετε από εδώ!
mno_be_bold|Συνεχίστε! Δεν φοβάμαι ούτε φυτά, ούτε παλιούς μύθους!
mno_fight_back|Ας μάθουμε! Ψάξτε την περιοχή! Κάψτε και κάνα δέντρο!
menu_fangorn_search_fails|Ψάχνεις στο σκοτεινό, πυκνό δάσος αλλά δεν βρίσκεις τίποτα. Νιώθεις ότι κάποιος σε κοιτάει και σε απειλεί, όλο και περισσότερο.
menu_fangorn_killed_player_only|Περπατάς στο πυκνό και σκοτεινό δάσος. Ξαφνικά κάτι σε χτύπησε! Ίσως κάνα βαρύ κλαδί έπεσε στο κεφάλι σου. Μένεις αναίσθητος μόνο για λίγα λεπτά. Είσαι βαριά πληγωμένος αλλά μπορείς να συνεχίσεις.
mno_ow_get_out|Άουτς! Ας φύγουμε από αυτό το καταραμένο μέρος!
menu_fangorn_killed_troop_and_player|Περπατάς στο πυκνό και σκοτεινό δάσος. Ξαφνικά κάτι σε χτύπησε! Ίσως κάνα βαρύ κλαδί έπεσε στο κεφάλι σου. Όταν σου έρχονται οι αισθήσεις σου πίσω, ανακαλύπτεις ότι όχι όλοι οι στρατιώτες σου ήταν τόσο τυχεροί.
menu_fangorn_killed_troop_only|Περπατάς στο πυκνό και σκοτεινό δάσος. Οι στρατιώτες σου φοβούνται. Ξαφνικά ακούς κάποιον να φωνάζει από πίσω σου! Γυρίζεις και βλέπεις μερικούς από τους στρατιώτες σου στο έδαφος γεμάτοι αίματα. Άλλοι δεν βρέθηκαν ποτέ...
mno_get_out|Ας φύγουμε από αυτό το καταραμένο μέρος!
menu_can_capture_troll|Το άγριο τρολ αναπνέει ακόμα! Τα μοχθηρά μάτια του σε κοιτάνε γεμάτα πόνο και οργή. Ακόμα και τώρα, μέσα σε μια λίμνη από το ίδιο του το αίμα, φαίνεται υπερβολικά επικίνδυνο...
mno_killit|Απαλλάξου το τώρα. Σιγουρέψου ότι είναι νεκρό.
mno_cageit1|Φυλάκισε το και τράβα το τριγύρω.
mno_cageit2|Φυλάκισε το μαζί με το άλλο τρολ.
mno_cheat_disabable|Απενεργοποιήσει τις ρυθμίσεις cheat/modding.
menu_drank_ent_water_human|Πίνεις το νερό. Είναι καθαρό και δροσιστικό. Έχει μία υπέροχη ευοσμία. Νιώθεις δροσισμένος. Όμως, έχεις και ένα περίεργο και αφύσικο συναίσθημα. Κάτι σου λέει ότι θα ήταν καλύτερο να μην ξαναπιείς, ποτέ ξανά από αυτό το νερό.
menu_drank_ent_water_orc|Πίνεις το νερό. Είναι απλά νερό. Ξαφνικά, πιάνεις τον λαιμό σου, λόγο ενός τεράστιου πόνου. Δηλητήριο! Πνίγεσαι και κάνεις εμετό μαύρο αίμα. Παραλίγο να πεθάνεις. Πονάει. Πονάει πολύ.
mno_i_shall_surv|Θα... επιβιώσω!
menu_end_game|Η επιλογή έγινε και αποφάσισες να παραιτήσεις την ζωή του τυχοδιώκτη. Πουλάς όλα σου τα όπλα και την πανοπλία, μαζεύεις τα αντικείμενα σου και καλπάζεις προς το ηλιοβασίλεμα....
mno_end_game_bye|Αντίο.
menu_cattle_herd|Βρίσκεις μερικά άτομα.
mno_cattle_drive_away|Διέταξε τους να σε ακολουθήσουν.
mno_cattle_stop|Σταμάτησε τους.
mno_leave|Φύγε.
menu_simple_encounter|^^^^^{s2}^Έχεις {reg22} στρατιώτες έτοιμους για μάχη ενάντια στους {reg11} δικούς τους.^^Η μάχη διαδραματίζεται στο {s3}{s4}.^^Οι διαταγές σου;
mno_encounter_attack|{reg21?Όρμηξε τους: Ετοιμάσου να τους αντιμετωπίσεις}.
; mno_encounter_order_attack|Order your troops to {reg21?attack:face them} without you.
mno_control_allies_menu|Χρησιμοποίησε επιρροή για να διατάξεις τους συμμάχους σου στον πεδίο την μάχης.
mno_encounter_hide|Κρύψου από τον εχθρό...
mno_special_whip|Τρέξε κατά επάνω τους ραγίζοντας το {s4}.
; mno_encounter_attack_bearform|{reg21?Leap into battle in bear form:Turn skin and face them}.
mno_encounter_leave|Απομακρύνσου.
mno_encounter_retreat|Υποχώρησε, αφήνοντας κάποιους στρατιώτες πίσω για να σε καλύπτουν.
mno_player_control_allies_simple|Διέταξε τους και όρμησέ στον εχθρό 
mno_player_control_allies_back|Πάνε πίσω...
mno_hide_close|Συνέχισε...
; menu_encounter_retreat_confirm|^^^^^As the party member with the highest tactics skill,   ({reg2}), {reg3?you devise:{s3} devises} a plan that will allow you and your men to escape with your lives,   but you'll have to leave {reg4} soldiers behind to stop the enemy from giving chase.
mno_leave_behind|Συνέχισε. Η θυσία αυτών των αντρών θα σώσει τους υπόλοιπους.
mno_dont_leave_behind|Όχι. Δεν αφήνουμε κανένα πίσω.
menu_encounter_retreat|^^^^^Λες {reg4} σε έναν στρατιώτη σου να κρατήσει τον εχθρό όσο υποχωρείς με την υπόλοιπη ομάδα.
menu_order_attack_begin|^^^^^^          Τα στρατεύματα σου ετοιμάζεται να επιτεθεί στον εχθρό.
mno_order_attack_begin|Διέταξε την έναρξη της επίθεσης.
mno_call_back|Κάλεσε τους πίσω.
menu_order_attack_2|^{s4}^Συμμαχικές απώλειες: {s8}^^Εχθρικές απώλειες: {s9}
mno_order_attack_continue|Διέταξε τους στρατιώτες σου να συνεχίσουν την επίθεση.
mno_order_retreat|Κάλεσε τους στρατιώτες σου πίσω.
; menu_kingdom_army_quest_report_to_army|{s8} sends word that he wishes you to join his new military campaign.   You need to bring at least {reg13} troops to the army,   and are instructed to raise more warriors with all due haste if you do not have enough.
mno_reject|Στείλε μήνυμα ότι είσαι πολύ απασχολημένος.
mno_send_word|Στείλε μήνυμα ότι θα τον ακολουθήσεις σύντομα.
; menu_kingdom_army_quest_messenger|{s8} sends word that he wishes to speak with you about a task he needs performed.   He requests you to come and see him as soon as possible.
; menu_kingdom_army_quest_join_siege_order|{s8} sends word that you are to join the siege of {s9} in preparation for a full assault.    Your troops are to take {s9} at all costs.
; menu_kingdom_army_follow_failed|You have disobeyed orders and failed to follow {s8}. He sends a message he assumes you have more pressing matters, but warns his patience is not unlimited.
; menu_battle_debrief|{s11}^Your Casualties:{s8}{s10}^^Enemy Casualties:{s9}
mno_inspect_troll|Παρατήρησε τον πεσμένο τρολλ
; menu_pre_join|^^^^^You come across a battle between {s2} and {s1}. You decide to...
; mno_pre_join_help_attackers|Move in to help the {s2}.
; mno_pre_join_help_defenders|Rush to the aid of the {s1}.
; mno_pre_join_help_refugees|Rush to the aid of the {s1}.
mno_pre_join_leave|Μην συμμετέχεις.
; menu_join_battle|^^^You are helping {s2} against {s1}.^ You have {reg22} troops fit for battle against the enemy's {reg11}.^^The battle is taking place in {s3}{s4}.
mno_join_attack|Όρμησε στον εχθρό.
; mno_join_order_attack|Order your troops to attack with your allies while you stay back.
; mno_control_allies_join_menu|Use Influence Points to Command Your Allies in the Field.
; mno_join_attack_bearform|Leap into battle in bear form
mno_join_leave|Απομακρύνσου.
mno_player_control_allies_join_menu|Διέταξε τους και όρμησέ στον εχθρό 
; menu_join_order_attack|{s4}^^Your casualties: {s8}^^Allies' casualties: {s9}^^Enemy casualties: {s10}
; mno_enter|Enter.
; menu_battlefields|^^^^^^^^^Select a field...
; mno_enter_f1|Field 1
; mno_enter_f2|Field 2
; mno_enter_f3|Field 3
; mno_enter_f4|Field 4
; mno_enter_f5|Field 5
; menu_join_siege_outside|^^^^^^{s1} has come under siege by {s2}.
; mno_approach_besiegers|Approach the siege camp.
; mno_pass_through_siege|Pass through the siege lines and enter {s1}.
; menu_cut_siege_without_fight|The besiegers let you approach the gates without challenge.
; menu_besiegers_camp_with_allies|{s1} remains under siege. The banners of {s2} fly above the camp of the besiegers,    where you and your troops are welcomed.
; mno_talk_to_siege_commander| Request a meeting with the commander.
; mno_join_siege_with_allies|Join the next assault.
; mno_join_siege_stay_back|Order your soldiers to join the next assault without you.
; menu_moria_must_escape|^^The book seems to give the account of the last attempt of dwarves to resettle in Moria. Attempt which apparently ended with gruesome death for all involved. Perusing the book,  you stumble on the words 'true silver'! Studying the pages you suddenly understand  that those are the descriptions of dwarven stashes somewhere on the lower levels. Hah!  Would not it be cool to uncover the long lost dwarven mithril!?  ^You eagerly follow the directions, into a narrow winding tunnel and down...  ^...^After a couple of hours of fruitless search you understand that you are lost deep in Moria and need to find a way out.
; mno_moria_exit_scene|Find your way out!
; menu_castle_outside|You are outside {s2}.{s11} {s3} {s4}
; mno_moria_enter|Return into main hall of Moria trough the secret entrance
; mno_moria_enter_door|Enter Moria.
; mno_cheat_steal_book_door|Get the book
; mno_castle_start_siege|Besiege the {reg6?town:castle}.
mno_castle_leave|Φύγε.
; menu_castle_besiege|You are laying siege to {s1}. {s2} {s3}
; mno_siege_request_meeting|Call for a meeting with the castle commander.
; mno_wait_24_hours|Wait until tomorrow.
; mno_castle_lead_attack|Lead your soldiers in an assault.
; mno_attack_stay_back|Order your soldiers to attack while you stay back...
; mno_build_ladders|Prepare ladders to attack the walls.
; mno_lift_siege|Abandon the siege.
; menu_siege_attack_meets_sally|^^^^^^The defenders sally out to meet your assault.
; menu_construct_ladders|As the party member with the highest Engineer skill ({reg2}), {reg3?you estimate:{s3} estimates} that it will take {reg4} hours to build enough scaling ladders for the assault.
; mno_build_ladders_cont|Do it.
; menu_castle_attack_walls_simulate|{s4}^^Your casualties:{s8}^^Enemy casualties were: {s9}
; menu_castle_attack_walls_with_allies_simulate|{s4}^^Your casualties: {s8}^^Allies' casualties: {s9}^^Enemy casualties: {s10}
; menu_castle_taken_by_friends|Nothing to see here.
; menu_castle_taken|{s3} has fallen to your troops, and you now have full control of the {reg2?town:castle}.  {reg1? It would seem that there is nothing stopping you from taking it for yourself...:}
; menu_castle_taken_2|{s3} has fallen to your troops, and you now have full control of the castle. It is time to send word to {s9} about your victory. {s5}
; mno_castle_taken_no_claim|Ask no rewards.
; menu_siege_started_defender|{s1} is launching an assault against the walls of {s2}. You have {reg22} troops fit for battle against the enemy's {reg11}. You decide to...
; mno_siege_defender_join_battle|Join the battle.
; mno_siege_defender_troops_join_battle|Order your men to join the battle without you.
mno_siege_defender_do_not_join_battle|Μην συμμετέχεις.
; menu_siege_join_defense|{s4}^^Your casualties: {s8}^^Allies' casualties: {s9}^^Enemy casualties: {s10}
; menu_village_hunt_down_fugitive_defeated|^^^^^A heavy blow from the fugitive sends you to the ground, and your vision spins and goes dark. Time passes. When you open your eyes again you find yourself battered and bloody, but luckily none of the wounds appear to be lethal.
; menu_town_bandits_succeeded|^^^^^The goblins fall before you as wheat to a scythe! Soon you stand alone while most of your attackers lie unconscious, dead or dying. Surely the locals would be very grateful that you saved them from this menace.
; menu_town_brawl_lost|^^^^^^You have been knocked out cold. The people you attacked quickly search you for valuables, before carrying on with their daily business.
; menu_town_brawl_won|^^^^^You have beaten all the opponents and the guards sent to quell the disturbance. You quickly frisk them for valuables then vanish until tempers quieten down.^Maybe next time they would show more respect and back off.
; menu_close|Nothing.
; menu_town|You arrived in {s60}.{s12}{s13}
; mno_town_menu_0|Go to some location.
; mno_town_menu_0_door|Door to some location.
; mno_town_approach|Approach {s1}...
; mno_town_castle|Go to {s1}.
; mno_town_castle_door|Door to the castle.
; mno_town_center|Walk to the main square...
; mno_town_center_door|Door to the town center.
; mno_aw_chamber_door|Open the door.
; mno_trade_with_arms_merchant|Visit the {s40}.
; mno_trade_with_horse_merchant|Visit the {s41}.
; mno_town_prison_door|Door to the prison.
; mno_dungeon_enter|Search for the lost spears inside the mountains.
; mno_dungeon_enter_door|Open the door.
; mno_dwarven_warehouse|Visit the Dwarven Warehouse
; mno_dwarven_warehouse_door|Enter Dwarven Warehouse
; mno_talk_to_castle_commander|Visit the {s61} Barracks.
; mno_speak_with_elder|Speak with the {s6}.
; mno_isengard_underground|Go to the underground caverns.
; mno_isengard_underground_door|Go to the underground caverns
; mno_tirith_toplevel|Climb up to the top level.
; mno_tirith_toplevel_door|Go to the Citadel
; mno_erebor_gates|Visit the Great Gates.
mno_town_leave|Φύγε...
; mno_town_leave_door|Leave Area
; menu_player_initiated_siege_result|You attacked this center under the banner of {s2}.
; menu_disembark|Do you wish to disembark?
; mno_disembark_yes|Yes.
; mno_disembark_no|No.
; menu_ship_reembark|Do you wish to embark?
; mno_reembark_yes|Yes.
; mno_reembark_no|No.
; menu_center_reports|Town Name: {s1}^Rent Income: {reg1} denars^Tariff Income: {reg2} denars^Food Stock: for {reg3} days
; menu_sneak_into_town_suceeded|Disguised in the garments of a poor pilgrim, you fool the guards and make your way into the town.
; menu_sneak_into_town_caught|As you try to sneak in, one of the guards recognizes you and raises the alarm! You must flee back through the gates before all the guards in the town come down on you!
; mno_sneak_caught_fight|Try to fight your way out!
; mno_sneak_caught_surrender|Surrender.
; menu_sneak_into_town_caught_dispersed_guards|You drive off the guards and cover your trail before running off, easily losing your pursuers in the maze of streets.
; menu_sneak_into_town_caught_ran_away|You make your way back through the gates and quickly retreat to the safety out of town.
; menu_tld_player_defeated|^^^^^Suddenly a shattering pain explodes in the back of your head! \\ You shiver, as all the world goes black around you...^Is this your end?
; menu_recover_after_death_fangorn|You wake up. The forest is still around you. Every bone hurts. You are alive, by miracle.^^It was a defeat, but at least you were able to see what happened. ^Now you know what is going on in this accursed forest,^and you survived to tell. ^^Will anyone ever believe you?
; menu_recover_after_death_moria|^^^^^You regain your conciousness. You are lying on soft soil, fresh air breezing on your face. You are outside!^The orcs must have taken you for dead and thrown you in some murky pit.^You must have been carried to the surface by an underground stream.
; mno_whatever|Get up!
