itm_horse_meat|馬肉
itm_giant_mace|巨大メイス
itm_troll_shield_a|トロルの盾
itm_arrows|矢
itm_gondor_arrows|ゴンドールの矢
itm_orc_javelin|オークの投げ大槍
itm_khergit_arrows|ロヒアリムの矢
itm_harad_arrows|ハラドリムの矢
itm_corsair_arrows|海賊の矢
itm_ithilien_arrows|イシリアンの矢
itm_woodelf_arrows|森のエルフの矢
itm_elven_arrows|エルフの矢
itm_orc_hook_arrow|オークのフック矢
itm_isengard_arrow|アイゼンガルドの矢
itm_leather_gloves|革手袋
itm_mail_mittens|鎖ミトン
itm_leather_boots|革ブーツ
itm_leather_boots_dark|馬乗りのブーツ
itm_splinted_greaves|鉄板を張ったすね当て
itm_white_tunic_a|市民の服
itm_rohan_shoes|革靴
itm_furry_boots|毛皮のブーツ
itm_black_tunic|黒のチュニック
itm_hood_black|黒い頭巾
itm_hood_green|緑の頭巾
itm_hood_grey|灰色の頭巾
itm_hood_leather|皮の頭巾
; itm_mail_coif|Mail Coif
itm_axe_a|北国人の斧
itm_axe_b|北国人のヒゲ斧
itm_axe_c|北国人の斧
itm_axe_d|北国人の斧
itm_long_bearded_axe|北国人の長柄ヒゲ斧
itm_2_handed_axe|北国人の長柄斧
itm_shortened_spear|短い槍
itm_spear|槍
itm_light_lance|軽いランス
itm_lance|ランス
itm_tab_shield_small_round_b|騎兵の丸盾
itm_short_bow|短弓
itm_regular_bow|弓
itm_nomad_bow|遊牧民の弓
itm_gondor_bow|ゴンドールの弓
itm_strong_bow|強弓
itm_elven_bow|エルフの弓
itm_corsair_bow|海賊の弓
itm_dwarf_horn_bow|ドワーフの角弓
itm_dwarf_short_bow|ドワーフの短弓
itm_harad_bow|ハラドの丸弓
itm_lg_bow|鷲近衛兵の弓
itm_riv_bow|裂け谷の弓
itm_rhun_bow|バルホスの弓
itm_lorien_bow|ガラズリムの弓
itm_isengard_large_bow|アイゼンガルドの長弓
itm_dale_bow|谷間の国の弓
itm_uruk_bow|オークの角弓
itm_mirkwood_bow|闇の森の弓
itm_dunland_javelin|褐色人の投げ槍
itm_orc_throwing_arrow|オークのダーツ
itm_heavy_throwing_spear|投げ大槍
itm_javelin|投げ槍
itm_harad_javelin|ハラドの投げ槍
itm_gondor_javelin|ゴンドールの投げ槍
itm_rohirrim_throwing_axe|北国人の投げ斧
itm_loss_throwing_axes|ロスサールナッハの投げ斧
itm_arnor_helm_c|アルノールの細工入り兜
itm_arnor_helm_b|アルノールの兜
; itm_arnor_helm_a|Arnor Light Helm
; itm_arnor_light_a|Dunedain Ranger Jerkin
; itm_arnor_light_b|Dunedain Ranger Mail
; itm_arnor_med_a|Dunedain Ranger Coat
; itm_arnor_med_b|Dunedain Mail
itm_arnor_heavy|アルノールの上級鎧
itm_arnor_greaves|アルノールのすね当て
itm_arnor_shield_c|アルノール騎兵の盾
; itm_arnor_shield_a|Arnor Round Shield
itm_arnor_sword_c|アルノールの長剣
itm_arnor_sword_a|アルノールのバスタードソード
itm_arnor_sword_f|アルノールの短剣
itm_riv_helm_a|裂け谷のコイフ
itm_riv_helm_b|裂け谷弓兵の兜
itm_riv_helm_c|裂け谷突撃兵の兜
itm_tiara_reward|エルフロードのティアラ
itm_riv_shield_a|裂け谷の盾
itm_riv_shield_b|裂け谷の盾
itm_riv_bas_sword|裂け谷のバスタードソード
itm_riv_1h_sword|裂け谷の剣
itm_riv_riding_sword|裂け谷の長剣
itm_riv_archer_sword|裂け谷の短剣
itm_riv_spear|裂け谷の槍
itm_riv_light|裂け谷のチュニック
itm_riv_leather|裂け谷の皮鎧
itm_riv_foot_mail|裂け谷の鎖かたびら
itm_riv_foot_scale|裂け谷のスケイル
itm_riv_surcoat|裂け谷のシュールコー
itm_riv_knight|裂け谷騎士の鎧
itm_riv_armor_h_archer|裂け谷の鎧
itm_riv_boots|裂け谷のブーツ
itm_gon_footman|ゴンドールの鎖かたびら
itm_gon_jerkin|ゴンドールの胴着
itm_gon_regular|ゴンドールの重装鎖かたびら
itm_gon_bowman|ゴンドールのギャンビソン
itm_gon_archer|ゴンドールのギャンビソンとマント
itm_gon_noble_cloak|ゴンドール貴族の胴着
itm_gon_squire|ゴンドールの鎖かたびらとマント
itm_gon_knight|ゴンドールの重装鎖かたびらとマント
itm_gon_ranger_cloak|ゴンドール野伏のマント
itm_gon_ranger_skirt|ゴンドール野伏のスカート
itm_gon_steward_guard|ゴンドール執政近衛兵の鎧
itm_gon_tower_guard|ゴンドール塔近衛の鎧
itm_gon_tower_knight|ゴンドール塔の騎士の鎧
itm_gon_leader_surcoat_cloak|ゴンドール指揮官のシュールコー
itm_gondor_ranger_hood|緑の頭巾
itm_gondor_ranger_hood_mask|ゴンドール野伏の頭巾
itm_gondor_light_greaves|ゴンドールの革のすね当て
itm_gondor_med_greaves|ゴンドールのすね当て
itm_gondor_heavy_greaves|ゴンドールの鎖のすね当て
itm_gondor_auxila_helm|ゴンドールの軽装兜
itm_gondorian_archer_helm|ゴンドール弓兵の兜
itm_tower_archer_helm|塔の弓兵の兜
itm_gondor_leader_helm|ゴンドールの上級兜
itm_tower_guard_helm|塔近衛兵の兜
itm_gondor_citadel_knight_helm|城塞の騎士の兜
itm_gondor_infantry_helm|ゴンドール歩兵の兜
itm_gondor_knight_helm|ゴンドール騎兵の兜
itm_gondor_dolamroth_helm|ドル・アムロスの兜
itm_swan_knight_helm|白鳥の騎士の兜
itm_gondor_lamedon_helm|ラメドンの兜
itm_gondor_lamedon_leader_helm|ラメドンの上級兜
itm_blackroot_archer|黒根谷のマントつきギャンビソン
itm_blackroot_bowman|黒根谷のマントつき胴着
itm_blackroot_footman|黒根谷の胴着
itm_blackroot_warrior|黒根谷のギャンビソン
itm_blackroot_leader|黒根谷の鎖かたびら
itm_blackroot_hood|黒い頭巾
itm_dol_hauberk|ドル・アムロスのホバーク
itm_dol_heavy_mail|ドル・アムロスの重装鎖かたびら
itm_dol_padded_coat|ドル・アムロスのマント付きの当て物の入った鎧
itm_dol_shirt|ドル・アムロスの上着
itm_dol_very_heavy_mail|ドル・アムロスの超重装鎖かたびら
itm_dol_greaves|ドル・アムロスのすね当て
itm_dol_shoes|ドル・アムロスの軽装ブーツ
itm_lamedon_clansman|ラメドン藩士の鎧
itm_lamedon_footman|ラメドン歩兵の鎧
itm_lamedon_knight|ラメドン騎士の鎧
itm_lamedon_leader_surcoat_cloak|ラメドン指揮官の鎧
itm_lamedon_warrior|ラメドン突撃兵の鎧
itm_lamedon_veteran|ラメドンベテランの鎧
itm_lamedon_vet_warrior|ラメドンベテラン戦士の鎧
itm_lamedon_hood|頭巾
itm_pinnath_archer|ピンナス・ゲリン弓兵の鎧
itm_pinnath_footman|ピンナス・ゲリン歩兵の鎧
itm_pinnath_leader|ピンナス・ゲリン騎士の鎧
itm_pinnath_vet_footman|ピンナス・ゲリンベテラン歩兵の鎧
itm_pinnath_warrior|ピンナス・ゲリン突撃兵の鎧
itm_pel_footman|ペラルギア突撃兵の鎧
itm_pel_jerkin|ペラルギアの胴着
itm_pel_leader|ペラルギア指揮官の鎧
itm_pel_marine|ペラルギア水兵の鎧
itm_pelargir_marine_leader|ペラルギア水兵長の鎧
itm_pelargir_regular|ペラルギアの鎧
itm_pelargir_hood|白い頭巾
itm_pelargir_helmet_light|ペラルギアの兜
itm_pelargir_helmet_heavy|ペラルギアの重装兜
itm_pelargir_greaves|ペラルギアのすね当て
itm_lossarnach_shirt|ロスサールナッハの上着
itm_lossarnach_axeman|ロスサールナッハ斧兵の鎧
itm_lossarnach_leader|ロスサールナッハ指揮官の鎧
itm_lossarnach_vet_axeman|ロスサールナッハベテラン斧兵の鎧
itm_lossarnach_vet_warrior|ロスサールナッハベテラン戦士の鎧
itm_lossarnach_warrior|ロスサールナッハ戦士の鎧
itm_lossarnach_cloth_cap|ロスサールナッハの頭巾
itm_lossarnach_leather_cap|ロスサールナッハの革頭巾
itm_lossarnach_scale_cap|ロスサールナッハのスケイル頭巾
itm_lossarnach_greaves|ロスサールナッハのすね当て
itm_gondor_shield_a|ゴンドールの四角盾
itm_gondor_shield_b|ゴンドールのカイト盾
itm_gondor_shield_c|ゴンドールの大盾
itm_gondor_shield_d|ゴンドールのカイト盾
itm_gondor_shield_e|ゴンドール城塞の盾
itm_gon_tab_shield_a|ゴンドールの紋章入り丸盾
itm_gon_tab_shield_b|ゴンドールの紋章入り四角盾
itm_gon_tab_shield_c|ゴンドールの紋章入りカイト盾
itm_gon_tab_shield_d|ゴンドールの紋章入り大盾
itm_amroth_sword_a|ドル・アムロスの剣
itm_amroth_sword_b|ドル・アムロス騎士の剣
itm_gondor_sword|ゴンドール歩兵の剣
itm_amroth_bastard|ドル・アムロスの白鳥の剣
itm_gondor_short_sword|リンヒアのエケット
itm_pelargir_eket|ペラルギアのエケット
itm_pelargir_sword|ペラルギアの剣
itm_gondor_ranger_sword|ゴンドール野伏の剣
itm_gondor_2h_sword|ゴンドールの長剣
itm_gondor_citadel_sword|ゴンドール城塞の剣
itm_gondor_cav_sword|ゴンドール騎兵の剣
itm_gondor_spear|ゴンドールの槍
itm_gondor_tower_spear|ゴンドールの大槍
itm_gondor_lance|ゴンドールのランス
itm_loss_axe|ゴンドールの戦闘斧
itm_loss_war_axe|ゴンドールの戦斧
itm_lorien_sword_a|ローリエンの長剣
itm_lorien_sword_b|ローリエンの短剣
itm_lorien_sword_c|ローリエンの大剣
itm_lorien_archer|ローリエン弓兵の鎧
itm_lorien_armor_a|ローリエンのキルトの鎧
itm_lorien_armor_b|ローリエンの鎖かたびらの鎧
itm_lorien_armor_c|ローリエンのスケイル鎧
itm_lorien_boots|ロスローリエンのブーツ
itm_lorien_shield_b|ローリエンの大盾
itm_lorien_shield_c|ローリエンのカイト盾
itm_lorien_round_shield|ローリエンの丸盾
itm_lorien_helm_a|ローリエン弓兵の兜
itm_lorien_helm_b|ローリエン弓兵の兜
itm_lorien_helm_c|ローリエン歩兵の兜
itm_orc_coif|オークの帽子
itm_orc_greaves|オークの鎖ブーツ
itm_orc_ragwrap|オークのぼろ布
itm_orc_furboots|オークの毛皮ブーツ
itm_orc_tribal_a|剥いだだけの皮
itm_orc_tribal_b|剥いだだけの皮
itm_orc_tribal_c|剥いだだけの皮
itm_evil_gauntlets_a|黒い手袋
itm_evil_gauntlets_b|黒い小手
itm_isen_orc_light_a|アイゼンガルドオークの軽装ハーネス
itm_isen_orc_light_b|アイゼンガルドオークの軽装ハーネス
itm_isen_orc_pad_a|アイゼンガルドオークの軽装板札鎧
itm_isen_orc_pad_b|アイゼンガルドオークの板札鎧
itm_isen_orc_mail_a|アイゼンガルドオークの鎖かたびら
itm_isen_orc_mail_b|アイゼンガルドオークの重装板札鎧
itm_isen_uruk_light_a|ウルク＝ハイの軽装ハーネス
itm_isen_uruk_light_b|ウルク＝ハイの戦闘ハーネス
itm_isen_uruk_light_c|ウルク＝ハイ狂戦士のハーネス
itm_isen_uruk_med_a|ウルク＝ハイの軽装板札鎧
itm_isen_uruk_med_b|ウルク＝ハイの鎖かたびら
itm_isen_uruk_heavy_a|ウルク＝ハイの板札鎧
itm_isen_uruk_heavy_b|ウルク＝ハイの重装鎖かたびら
itm_isen_uruk_heavy_c|ウルク＝ハイの重装板札鎧
itm_isen_uruk_heavy_d|ウルク＝ハイ追跡兵の革鎧
itm_isen_uruk_heavy_e|ウルク＝ハイ追跡兵の革鎧
itm_uruk_tracker_boots|ウルク追跡兵のブーツ
itm_uruk_greaves|ウルクのすね当て
itm_uruk_chain_greaves|ウルクの鎖すね当て
itm_uruk_ragwrap|ウルクのぼろ布
itm_isen_orc_helm_a|アイゼンガルドオークの兜
itm_isen_uruk_helm_a|ウルク＝ハイの兜
itm_isen_uruk_helm_d|ウルク＝ハイキャプテンの兜
itm_isen_uruk_helm_e|ウルク＝ハイ追跡兵の兜
itm_uruk_pike_b|モルドールのパイク
itm_uruk_falchion_a|ウルクのファルシオン
itm_uruk_falchion_b|オークの大シミター
itm_isengard_sword|アイゼンガルドの剣
itm_isengard_axe|アイゼンガルドの斧
itm_isengard_hammer|アイゼンガルドの槌
itm_isengard_halberd|アイゼンガルドのハルバード
itm_isengard_mallet|アイゼンガルドの木槌
itm_isengard_heavy_axe|アイゼンガルドの大斧
itm_isengard_heavy_sword|アイゼンガルドの大剣
itm_isengard_spear|アイゼンガルドの槍
itm_isengard_pike|アイゼンガルドのパイク
itm_isen_orc_shield_a|アイゼンオークの盾
itm_isen_orc_shield_b|アイゼンオークの盾
itm_isen_uruk_shield_b|アイゼンウルクの盾
itm_wood_club|木の棍棒
itm_twohand_wood_club|大きい木の棍棒
itm_bone_cudgel|骨の棍棒
itm_orc_pick|オークのつるはし
itm_orc_hammer|邪の槌
itm_orc_club_b|ワーグ乗りの棍棒
itm_orc_club_c|とげつきのオークの棍棒
itm_orc_club_d|闇のメイス
itm_orc_sledgehammer|オークの大槌
itm_orc_simple_spear|オークの槍
itm_orc_skull_spear|オークのどくろ槍
itm_orc_bill|オークの長柄
itm_orc_slasher|オークの短剣
itm_orc_falchion|オークのファルシオン
itm_orc_scimitar|オークのシミター
itm_orc_sabre|オークのサーベル
itm_orc_battle_axe|オークの戦斧
itm_orc_axe|オークの斧
itm_orc_two_handed_axe|オークの大斧
itm_orc_throwing_axes|オークの投げ斧
itm_orc_bow|オークの弓
; itm_orc_shield_a|Simple Shield
; itm_orc_shield_b|Fur Shield
; itm_orc_shield_c|Fur Tower Shield
itm_mordor_orc_shield_a|モルドールオークの盾
itm_mordor_orc_shield_b|モルドールオークの盾
itm_mordor_orc_shield_c|モルドールオークの盾
itm_mordor_orc_shield_d|モルドールオークの盾
itm_mordor_orc_shield_e|モルドールオークの盾
itm_mordor_uruk_shield_a|モルドールウルクの盾
itm_mordor_uruk_shield_b|モルドールウルクの盾
itm_mordor_uruk_shield_c|モルドールウルクの盾
itm_mordor_man_shield_a|モルドール人間用の盾
itm_mordor_man_shield_b|モルドール人間用の盾
itm_angmar_shield|アングマールの盾
itm_orc_nosehelm|オークの鼻当て付き兜
itm_orc_kettlehelm|オークのケトル兜
itm_orc_buckethelm|オークのバケツ兜
itm_orc_morion|オークのモリオン
itm_orc_beakhelm|オークのくちばし付き兜
itm_orc_bughelm|オークの虫兜
itm_orc_visorhelm|オークのバイザー兜
itm_m_orc_light_a|モルドールオークの軽装鎧
itm_m_orc_light_b|モルドールオークの軽装鎧
itm_m_orc_light_c|モルドールオークの軽装鎧
itm_m_orc_light_d|モルドールオークの軽装鎧
itm_m_orc_light_e|モルドールオークの軽装鎧
itm_m_orc_heavy_a|モルドールオークの重装鎧
itm_m_orc_heavy_b|モルドールオークの重装鎧
itm_m_orc_heavy_c|モルドールオークの重装鎧
itm_m_orc_heavy_d|モルドールオークの重装鎧
itm_m_orc_heavy_e|モルドールオークの重装鎧
itm_m_uruk_light_a|ウルクのハーネス
itm_m_uruk_light_b|ウルクの革鎧
itm_m_uruk_light_c|ウルクの軽装鎖かたびら
itm_m_uruk_med_a|ウルクの重装皮鎧
itm_m_uruk_med_b|ウルクの重装鎖かたびら
itm_m_uruk_med_c|ウルクの軽装スケイル鎧
itm_m_uruk_heavy_a|ウルクの重装スケイル鎧
itm_m_uruk_heavy_b|ウルクの板金鎧
itm_m_uruk_heavy_c|ルグブルズの板金鎧
itm_m_cap_armor|モルドール指揮官の鎧
itm_black_num_armor|黒きヌーメノール人の鎧
itm_m_armor_a|モルドールの鎧
itm_m_armor_b|モルドールの鎧
itm_evil_light_armor|不吉の祭服
itm_uruk_helm_a|ウルクの兜
itm_uruk_helm_b|ウルクの兜
itm_uruk_helm_c|ウルクのくちばし付き兜
itm_uruk_helm_d|ウルクの格子付き兜
itm_uruk_helm_e|ウルクの仮面付き兜
itm_uruk_helm_f|ウルクの兜
itm_mordor_cap_helm|モルドール指揮官の兜
itm_mordor_helm|モルドールの兜
itm_black_num_helm|黒きヌーメノール人の兜
itm_mordor_sword|モルドールのバスタードソード
itm_mordor_longsword|モルドールの剣
itm_moria_armor_a|モリアの胸当て
itm_moria_armor_b|モリアの胸当てと肩当て
itm_moria_armor_c|モリアオークの鎖かたびら
itm_moria_armor_d|モリアの鋲を打った革鎧
itm_moria_armor_e|モリアオークの重装鎖かたびら
itm_moria_orc_shield_a|モリアの大盾
itm_moria_orc_shield_b|モリアオークの盾
itm_moria_orc_shield_c|モリアオークの盾
itm_gundabad_armor_a|グンダバドオークの布きれ
itm_gundabad_armor_b|グンダバドオークの毛皮
itm_gundabad_armor_c|グンダバドオークの鎧
itm_gundabad_armor_d|グンダバドオークの鎧
itm_gundabad_armor_e|グンダバドオークの重装鎧
itm_gundabad_helm_a|皮の帽子
itm_gundabad_helm_b|皮の兜
itm_gundabad_helm_c|グンダバドの兜
itm_gundabad_helm_d|グンダバドの兜
itm_gundabad_helm_e|ワーグ騎兵の兜
itm_dunland_wolfboots|褐色人の狼ブーツ
; itm_dunland_tunic_1|Dunnish Leather Tunic
; itm_dunland_tunic_2|Dunnish Leather Tunic
; itm_dunland_fur_1|Dunnish Fur
; itm_dunland_fur_2|Dunnish Fur
itm_dunland_mail_1|褐色人のホバーク
itm_dunland_mail_2|褐色人のホバーク
; itm_dunland_chieftain|Dunnish Chief Armor
itm_dun_helm_a|褐色人の狼の被り物
; itm_dun_helm_b|Dunnish Fur Cap
itm_dun_helm_c|褐色人の山高兜
itm_dun_helm_d|褐色人の山高兜
itm_dun_helm_e|褐色人の鹿の角の兜
; itm_dun_shield_a|Dunnish Roundshield
; itm_dun_shield_b|Dunnish Oval Shield
itm_dun_berserker|褐色人族長の剣
itm_dunnish_antler_axe|褐色人の鹿の角の斧
itm_dunnish_war_axe|褐色人の戦斧
itm_dunnish_axe|褐色人の斧
itm_dunland_spear|褐色人の槍
itm_dunnish_pike|褐色人のパイク
itm_rohan_cav_sword|ローハン騎兵の剣
itm_rohan_inf_sword|ローハンの剣
itm_rohan_spear|ローハンの槍
itm_rohan_lance|ローハンのランス
itm_rohan_sword_c|ローハンの剣
itm_rohirrim_short_axe|ロヒアリムの短斧
itm_rohirrim_long_hafted_axe|ロヒアリムの長柄斧
itm_rohan_2h_sword|ローハンの大剣
itm_rohan_recruit|ローハンの当て物の入った胴着
itm_rohan_leather|ローハンの皮のベスト
itm_rohan_mail|ローハンのホバーク
itm_rohan_rider|ローハンの馬乗りの鎧
itm_rohan_scale|ローハンのスケイル鎧
itm_rohan_surcoat|ローハンのシュールコー
itm_rohan_guard|ローハン近衛兵の鎧
itm_rohan_light_helmet_a|ローハンの軽装兜
itm_rohan_light_helmet_b|ローハンの軽装兜
itm_rohan_inf_helmet_a|ローハンの目当て付き兜
itm_rohan_inf_helmet_b|ローハンの目当て付き兜
itm_rohan_archer_helmet_a|ローハンの鼻当て付き兜
itm_rohan_archer_helmet_b|ローハンの鼻当て付き兜
itm_rohan_archer_helmet_c|ローハン近衛兵の兜
itm_rohan_shield_a|ローハンの盾
itm_rohan_shield_b|ローハンの盾
itm_rohan_shield_c|ローハンの盾
itm_rohan_shield_d|ローハンの盾
itm_rohan_shield_e|ローハンの盾
itm_rohan_shield_f|ローハンの盾
itm_rohan_shield_g|ローハンの上級盾
itm_rohan_light_greaves|ローハンの軽装すね当て
itm_rohirrim_war_greaves|ロヒアリムの重装すね当て
itm_mirkwood_leather|森のエルフの皮鎧
itm_mirkwood_pad|緑森のキルトのコート
itm_mirkwood_mail|緑森の鎖かたびら
itm_mirkwood_scale|緑森の軽装スケイル
itm_mirkwood_heavy_scale|緑森のリーフスケイル
itm_mirkwood_sword|森のエルフの剣
itm_mirkwood_great_spear|緑森の大槍
itm_mirkwood_war_spear|緑森の戦槍
itm_mirkwood_short_spear|森のエルフの槍
itm_mirkwood_knife|森のエルフのナイフ
itm_mirkwood_axe|森のエルフの斧
itm_mirkwood_spear_shield_a|森のエルフの盾
itm_mirkwood_spear_shield_b|緑森の大盾
itm_mirkwood_spear_shield_c|森のエルフの丸盾
itm_mirkwood_helm_a|森のエルフ弓兵の兜
itm_mirkwood_helm_b|緑森の兜
itm_mirkwood_helm_c|緑森の重装兜
itm_mirkwood_helm_d|緑森の上級兜
; itm_woodelf_leather_boots|Woodelf Leather Boots
; itm_mirkwood_boots|Greenwood Boots
itm_harad_tunic|ハラドのチュニック
; itm_harad_padded|Harad Padded Jerkin
; itm_harad_lamellar|Harad Scale Vest
; itm_harad_heavy_lamellar|Harad Heavy Scale Vest
itm_harad_heavy|ハラシヤラ鎧
; itm_harad_pectoral|Harad Breastplate
itm_black_snake_armor|マランカ鎧
itm_harad_champion|遠ハラドの祭服
itm_harad_scale|ハラドのスケイル鎧
itm_harad_lion_scale|獅子近衛兵の鎧
itm_harad_dragon_helm|キロカ兜
itm_harad_cav_helm_a|ハロンドールの軽装兜
itm_harad_cav_helm_b|ハロンドールの軽装兜
itm_black_snake_helm|マランカ兜
itm_harad_finhelm|ハラド歩兵の重装兜
itm_harad_heavy_inf_helm|ハラド歩兵の兜
itm_harad_wavy_helm|ハラドの陣笠
itm_harad_eaglehelm|鷲近衛兵の兜
itm_lion_helm|獅子近衛兵の兜
itm_harad_pantherhelm|豹近衛兵の頭巾
itm_harad_khopesh|ハラドのケペシュ
; itm_black_snake_sword|Harad Cobra Sword
; itm_harad_heavy_sword|Harad Dragon Sword
itm_horandor_a|ハラドのシミター
itm_skirmisher_sword|ハラド散兵の剣
; itm_harad_sabre|Harad Salamander Sword
itm_harad_mace|遠ハラドのメイス
itm_far_harad_2h_mace|遠ハラドの大メイス
itm_harad_dagger|ハラドのナイフ
itm_harad_short_spear|ハラドの短槍
itm_harad_long_spear|ハラドの槍
itm_eagle_guard_spear|ハラシヤラの矛
itm_harad_long_shield_a|ハラドの豹の盾
itm_harad_long_shield_b|ハラドの銅の盾
itm_harad_long_shield_c|ハラドの太陽の盾
itm_harad_long_shield_d|ハラドの蛇の盾
itm_harad_long_shield_e|ハラドの蛇の盾
itm_harad_shield_a|ハロンドールの盾
itm_harad_shield_b|ハロンドールのバックラー
itm_harad_shield_c|ハロンドールのバックラー
itm_harad_yellow_shield|ハラドの盾
itm_desert_boots|砂漠のブーツ
itm_harad_leather_greaves|ハラドの革のすね当て
itm_harad_scale_greaves|ハラドのすね当て
itm_harad_lamellar_greaves|ハラドの鉄板を張ったすね当て
itm_khand_inf_helm_a|ハンドの兜
itm_khand_inf_helm_b|ハンドの兜
itm_khand_inf_helm_c1|ハンドの笠形兜
itm_khand_inf_helm_c2|ハンドの笠形兜
itm_khand_inf_helm_d|ハンドの円錐形兜
itm_khand_cav_helm_a|ハンドの騎兵の兜
itm_khand_cav_helm_b|ハンドの騎兵の兜
itm_khand_cav_helm_c|ハンドの飾りのついた兜
itm_khand_helm_mask|ハンドの仮面
itm_khand_light|ハンドのキルト
; itm_khand_light_lam|Khand Light Footmen Armor
; itm_khand_foot_lam|Khand Heavy Footman Armor
itm_khand_med_lam|ハンドの薄金鎧
itm_khand_heavy_lam|ハンドの重装薄金鎧
; itm_khand_mail|Khand Mail
itm_khand_noble_lam|ハンドの上級鎧
itm_khand_axe_great|ハンドの大斧
itm_khand_axe_winged|ハンドの両刃斧
itm_khand_halberd|ハンドのハルバード
itm_khand_trident|ハンドの刺又
itm_khand_voulge|ハンドのブージ
itm_khand_mace1|ハンドのメイス
itm_khand_mace2|ハンドのメイス
itm_khand_throwing_axe|ハンドの投げ斧
itm_khand_rammace|ハンドのラムメイス
itm_khand_pitsword|闘士の剣
itm_khand_tulwar|ハンドのタルワール
itm_khand_2h_tulwar|ハンドの大タルワール
itm_khand_lance|ハンドのランス
itm_easterling_round_horseman|東夷の丸盾
itm_variag_gladiator_shield|東夷の闘士の盾
itm_easterling_hawk_shield|東夷の鷹の盾
itm_rhun_bull1_shield|リューンの盾
itm_rhun_bull2_shield|リューンの盾
itm_rhun_bull3_shield|リューンの盾
itm_rhun_shield|リューンのカイト盾
itm_rhun_armor_a|リューンの軽装戦闘着
itm_rhun_armor_b|リューンの軽装戦闘着
itm_rhun_armor_d|リューンの軽装戦闘着
itm_rhun_armor_g|リューンの重装戦闘着
itm_rhun_armor_h|リューンの重装戦闘着
itm_rhun_armor_j|リューンの戦闘着
itm_rhun_armor_m|リューンの戦闘着
itm_rhun_armor_n|リューンの戦闘着
itm_rhun_armor_o|リューンの戦闘着
itm_rhun_armor_p|リューンの上級鎧
itm_rhun_armor_k|リューンの上級鎧
itm_rhun_helm_chieftain|リューン族長の兜
itm_rhun_helm_pot|リューンのポット兜
itm_rhun_helm_barbed|リューンのかぎ兜
itm_rhun_helm_round|リューンの丸兜
itm_rhun_helm_leather|リューンの革兜
itm_rhun_warpick|リューンのつるはし
itm_rhun_greataxe|リューンの大斧
itm_rhun_battleaxe|リューンの戦斧
itm_rhun_falchion|蛮人のファルシオン
itm_rhun_glaive|リューンのグレイブ
itm_rhun_greatfalchion|蛮人の大ファルシオン
itm_rhun_greatsword|蛮人の大剣
itm_rhun_shortsword|蛮人の短剣
itm_rhun_sword|蛮人の剣
itm_rhun_mangler|リューンのマングラー
itm_dale_light_a|谷間の国民兵の上着
itm_dale_light_b|北国人の軽装薄金鎧
itm_dale_med_a|北国人の重装薄金鎧
itm_dale_med_b|谷間の国の皮鎧
itm_dale_med_c|谷間の国の鎖かたびらと皮鎧
