
str_yes|する
str_tutorial_2_msg_1|このチュートリアルでは、 盾を使った防御と、 武装した相手と戦う方法を学びます。 一時的にあなたは今、 盾以外に何も持っていません。 ここでの課題は攻撃する事ではなく、 盾を使って身を守る事です。 次の部屋では、 武装した対戦相手があなたを待っています。 彼は全力をもってあなたを倒そうとしますが、 マウスの右ボタンを押したまま保持し、 盾で身を守りましょう。 さあ対戦相手と対峙するために、 次の部屋へ移動しましょう。 Tabキーを押せば、いつでもこのチュートリアルを終了できますし、 ゲーム中のあらゆるエリアから離脱する事もできます。
str_tutorial_2_msg_2|マウスの右ボタンを押してそのまま保持する事で、盾を構えます。 その場を動かずに30秒間、守りましょう。 残りはあと{reg3}秒です。
str_tutorial_2_msg_3|よくできました。 あなたは武装した相手から身を守る事に成功しました。 次のチュートリアルでは、 あなたとあなたの盾には弓兵の破壊力を相手にしてもらいます。 弓兵と対峙する準備ができたら、 次の部屋へ移動してください。
str_tutorial_2_msg_4|マウスの右ボタンを使って盾を構え、矢から身を守ってください。 その場を動かずに30秒間、守りましょう。 残りはあと{reg3}秒です。
str_tutorial_2_msg_5|素晴らしい。弓兵を相手に身を守る事ができました。 次の部屋に、あなたへのご褒美が置いてあります。
str_tutorial_2_msg_6|デフォルトの設定では、 ゲームに登場する物や人間に非暴力的に接触する目的には、 キーボードのFキーが割り当てられています。 祭壇に置かれている剣を手に取るには、 視点を対象に合わせて「装備する」という文字が表示されたらFを押します。
str_tutorial_2_msg_7|これは良い武器です！ これで今までやられた分を多少やり返して やる事ができるようになりました。 元来た扉を戻り、 先ほど対峙した弓兵を片づけてやりましょう。
str_tutorial_2_msg_8|とてもいいですね。 このチュートリアルの最後の課題は、 騎士の従者との対戦です。 さあ扉を抜け、 あなたの力を知らしめてやりましょう！
str_tutorial_2_msg_9|おめでとう！これであなたは盾を使った防御方法に加え、 武装した相手との格闘も少々学びました。 もう少し練習をすれば、 近い将来には名の知れた剣士となれるでしょう。 次のチュートリアルでは、 Mount&Bladeの戦闘システムにおける最も重要な要素のひとつである、 指向性防御を学びます。 Tabキーを押せば、 いつでもチュートリアルメニューに戻れます。
str_tutorial_3_msg_1|このチュートリアルでは、 受け流しと、 盾を使わない防御方法の おおまかな説明をします。 武器を使って攻撃を受け流すというのは、 盾を使って攻撃を受け止めるよりも少々難度が高いです。 武器を使って防御をする場合、 防御が有効になるのは武器を構えた方向のみです。 上段の防御の構えをとった場合、 あなたに向かってくる上段攻撃はすべて防ぐ事ができますが、 突きや、 横方向の攻撃は防げません。 それらの攻撃を受けてしまうでしょう。 盾がなくても生き延びるには、 指向性防御を学ぶ必要があるのです。 さあその斧を手に取り、 訓練を始めましょう。
str_tutorial_3_msg_2|デフォルトの設定では、 防御(マウスの右ボタンを押したまま保持)の方向は、 あなたに一番近い場所にいる敵の攻撃の方向によって決まります。 例えば、 もし敵が突きの構えをしている場合、 マウスの右ボタンを押したまま保持すると、 突きを受け流す事ができますが、 横方向や上段の攻撃は防げません。 敵の動きによく注意を払い、 敵が攻撃を開始した後に受け流しの構えをとらなければなりません。 敵が攻撃を開始する前に構えてしまうと、 まったくの見当違いな方向を防御しようとしてしまうでしょう！ さあいよいよ次の部屋へ移動し、 武装した敵を相手に防御をするときがやってきました。 ここでの課題は、 単なる斧のみを使って30秒間、 身を守り続ける事です。 ここでは斧の攻撃は無効になっていますので、 攻撃の事は忘れて防御に専念してください。 格闘の準備ができたら、 次の部屋へ移動してください。
str_tutorial_3_msg_3|敵が攻撃を開始したら、マウスの右ボタンを押して保持し、 斧で身を守ってください。 その場を動かずに30秒間、守りましょう。 残りはあと{reg3}秒です。
str_tutorial_3_msg_4|よくできました。この課題は合格です！ 次はさらに難しい相手と対峙してもらいます。 準備ができたら、次の部屋へ進んで下さい。
str_tutorial_3_msg_5|敵が攻撃を開始したら、マウスの右ボタンを押して保持し、 斧で身を守ってください。 その場を動かずに30秒間、守りましょう。 残りはあと{reg3}秒です。
str_tutorial_3_msg_6|おめでとう、敵がどんなに頑張って攻撃しても、 あなたを打ち倒す事はできませんでした。 ではそろそろ防御に加えて攻撃もしましょう。 そこの扉に近づき、 「進む」という文字が見えたら、 Fキーを押してください。
str_tutorial_3_2_msg_1|あなたの斧の攻撃無効状態を解除しました。 最初の対戦相手は、 次の部屋で待っています。 防御と攻撃を組み合わせて彼を倒してください。
str_tutorial_3_2_msg_2|斧で敵を打ち倒しましょう。
str_tutorial_3_2_msg_3|素晴らしい。ついに最後の敵が立ちふさがるだけとなりました。 彼は次の部屋にいます。 彼を打ち倒しましょう。
str_tutorial_3_2_msg_4|斧で敵を打ち倒しましょう。
str_tutorial_3_2_msg_5|よくできました！このチュートリアルでは、 盾を使わずに巧みに戦うすべを学びました。 しっかりと訓練を積めば、 誰もあなたに指一本触れる事ができなくなるでしょう。 次のチュートリアルでは、 馬に乗った格闘を学びます。 Tabキーを押せば、 いつでもチュートリアルメニューに戻れます。
str_tutorial_4_msg_1|チュートリアル第四章へようこそ。 ここでは馬/ワーグの乗り方と、 騎乗した状態で行う戦闘技能を学びます。 まずは馬に乗ってみましょう。 馬に近づき、 「乗る」という文字が見えたらFキーを押します。
str_tutorial_4_msg_2|騎乗した状態では、 WASDでコントロールされるのは あなた自身ではなく、 騎乗している馬になります。  馬に乗り、 競技場に設置されている旗を追ってください。 あなたが旗の位置まで行くと旗は次のポイントまで移動し、 あなたをゴールまで誘導します。
str_tutorial_4_msg_3|とてもいいですね。次は騎乗した状態で敵を攻撃する方法を学びます。 さあその旗まで移動してください。
str_tutorial_4_msg_4|剣を抜き(マウスホイールを使います)、 よっつのターゲットを破壊してください。 全速力で馬を駆った状態で、 人形をすれ違いざまに攻撃してみましょう。 難度は上がりますが、 攻撃に追加の移動速度を乗せることで、 より大きなダメージを与える事ができます。 最も簡単な方法は、 マウスの左ボタンを押して保持し、 ターゲットとすれ違う直前のタイミングを見計らってボタンを離す事です。
str_tutorial_4_msg_5|素晴らしいですね。次は騎乗状態での射撃に移りましょう。 最寄りの旗まで移動してください。
str_tutorial_4_msg_6|競技場に設置された射撃の的を確認し、 それをあなたの弓で三度射抜いてください。 射撃時に馬を駆る事は必須ではありませんが、 いろいろな速度や角度から射撃をしてみて、 馬の速度や競技場の状態があなたの射撃に与える影響を確認してみる事をおすすめします。
str_tutorial_4_msg_7|おめでとう、このチュートリアルは卒業です。 Tabキーを押せば、いつでもチュートリアルメニューに戻れます。
str_tutorial_5_msg_1|5番目にして最後のチュートリアルにようこそ。 ここではMount&Bladeにおいて最も重要な要素のひとつである、 戦場における兵の指揮についておおまかに学びます。^^最初に学ぶべき命令メニューは、 F1キーで呼び出すことのできる移動命令です。 さっそくそのキーを押して、 戦闘で兵に下すことのできる移動命令をいろいろと見てください。^^まず手始めに、兵にあなたについてくるよう命令し、 丘の上の旗と矢印で示された地点まで移動してください。
str_tutorial_5_msg_2|素晴らしい。あなたの兵を丘の上まで誘導しました。ここからは戦場が一望できます。^^では、再びF1を押して命令メニューを呼び出し、 この場に待機(F1)を命令して兵にこの丘を守らせてください。^^成功すれば、兵があなたに追従するのをやめ、 あなたに指示された位置に待機するようになります。^^そろそろ基本的な陣形を扱う次の命令メニューを学びましょう。^^このメニューでは、敵の歩兵の突撃に備えるために列の間隔を詰めたり、 弓兵の一斉射撃に対抗するために列の間隔を広げたりといった事を兵に命令できます。^^この命令メニューから10歩前進、 または10歩後退を命令すると、 陣形を維持したまま兵を移動させる事ができます。^^命令を一通り確認したら、兵たちにはこの丘を守らせ、 あなたはひとりで向かい側の丘の、 旗と矢印で示された場所まで移動してください。
str_tutorial_5_msg_3|素晴らしい。ご覧のように、あなたの兵たちは命令された場所に待機しています。 では、風車のある場所まで移動させてください。
str_tutorial_5_msg_4|さて、部隊に弓兵が加わりました。 Mount&Bladeでは、歩兵、弓兵、騎兵といった特定の分隊ごとに命令を与える事ができます。^^数字キーを押す事によって、 任意の分隊を選択できます(1で歩兵、2で弓兵、3で騎兵)。 その後に命令メニューを使用すると、 特定の分隊に指示できます。^^選択した分隊はずっと選択された状態が維持されるので、 どの命令メニュー(F1、F2、F3)を使用しても、 その命令が下される対象は最後に選択された分隊です。 画面上に表示されるメッセージを見て、 どの分隊に命令しているのかを確認するようにしましょう。^^では、歩兵にあなたの後をついてくるように命令し、 その後さらに弓兵にも同様の命令を出しましょう。 全員が揃ったら、あなたが元に来た丘へ戻ってください。^^到着したら矢印を探してください。 1を押してからF1を押して歩兵にその場所に移動して待機するよう命令すると、 旗が現れます。 この方法を使えば、 兵を好きな場所へ正確に移動させる事ができます。^^弓兵を矢印の後ろにある旗の位置に向かって移動させて、 高い場所を確保させてください。
str_tutorial_5_msg_5|あなたの兵が配置につくと、集まってきた敵があなたに向かって突撃の態勢をとっています。 ここで学んだ陣形を維持したままの前進を歩兵に命令するか、 もしくは突撃命令を下してください。 突撃を命令すると陣形は解除され、 兵は最寄りの敵兵を目指して移動します。^^また、優位性を確保するために弓兵を高い位置に配置するか、 他の場所へ移動させましょう。^^さらに、F3を押すと現れるみっつめの命令メニューでは、 武器に関する命令を兵に与える事ができます。
str_tutorial_5_msg_6|素晴らしい！あなたはMount&Bladeにおける野戦の初陣を果たしました。 戦闘において兵に的確な命令を下せるかどうかは、 指揮官として成功するための主要な要素です。 有利な位置に兵を動かすためのさまざまな方法を、 一通り覚えておきましょう。^^The Last Days of the Third Ageでは、 歩兵によるシールドウォールや騎兵のくさび形など、 より高度な陣形を使用できます。 詳しい使用方法は、ゲーム内で確認できます。^^Tabキーを押せば、いつでもチュートリアルメニューに戻れます。
str_trainer_help_1|ここはこのゲームの基本を学ぶことができる訓練場です。 A、S、D、Wキーを使って移動し、マウスで視点を動かしてください。
str_trainer_help_2|教官と話をするには、教官のそばへ行き、 彼を見て名前の下に「話す」という文字が表示されたらFキーを押します。 ここやその他の場所から立ち去りたい場合、 もしくは戦場から離脱したい場合は、 TABキーを押します。
str_custom_battle_1|怖いもの知らずのアングボール率いるゴンドール部隊は、 増援に向う途中のハラドの部隊を迎え撃った。 隊長はときの声を上げて乗馬にムチを当てると、 忠実な部下たちを率いて激しい戦いの火蓋を切った。
str_custom_battle_2|ローリエンのケレボルンが騎兵と弓兵からなる巡察隊を率いていると、^先行していた斥候から、灰色の顔をした男たちの一群が^接近していると報告を受けた。悪名高い、黒きヌーメノール人だ！^ロスローリエンの近くでは彼らを長いこと見ることがなかったが、^再びこの世界へと追い払われてきたのだろう。
str_custom_battle_3|ローハンのグリムボルド卿は一隊を率い、アイゼンガルド軍による^包囲のなか、絶対防御線である城壁を死守していた。攻城軍が^仕上げの総攻撃にかかろうとする今、彼は勇気と磨き上げた剣を^もって、この城壁を守り通さねばならない。 
str_custom_battle_4|リューンの軍勢が接近しているとの報告を斥候から受けると、 ベランヘルム卿は数に優る敵勢を食い止めるべく、 野営地の守備を固める準備に素早くとりかかった。
str_custom_battle_5|ウグルクは獰猛なオークどもに思うさまの略奪を約束すると、^彼らを率いて西方へと遠征した。もしこのドワーフの要塞を今日^落とすことができれば、バラド＝ドゥーアの主人たちは大いに^お喜びになるだろう。
str_custom_battle_6|ウグルク率いるオーク遊撃隊は、彼らから逃げるエルフの巡察隊を^夢中になって追撃していた。だが、運とはいづれ尽きるものなのだ。^どうやら、狡猾な青白い顔の連中が攻勢に出る番が来たようだ。
str_custom_battle_7|ゴンドールの海岸に、海賊どもが野営を張った！なんと^ずうずうしい奴らか！やつらの後続部隊が到着する前に、元来た^海へ追い戻してやろう。
str_finished|(完了)
str_delivered_damage|{reg60}のダメージを与えました。
str_archery_target_hit|距離:{reg61}ヤード。スコア:{reg60}
str_use_baggage_for_inventory|戦闘中にインベントリを使用するには、箱を利用してください(戦闘開始位置に置いてあります)。
str_cant_use_inventory_now|今はインベントリを開けません。
str_cant_use_inventory_arena|この場所ではインベントリを利用できません。
str_cant_use_inventory_disguised|変装中はインベントリを利用できません。
str_cant_use_inventory_tutorial|訓練所にいるあいだは、インベントリを利用できません。
str_1_denar|1リソースポイント。
str_reg1_denars|{reg1}リソースポイント。
str_january_reg1_reg2|第三紀{reg2}年ナルヴィンイエ(1月){reg1}日
str_february_reg1_reg2|第三紀{reg2}年ネーニエ(2月){reg1}日
str_march_reg1_reg2|第三紀{reg2}年スーリメ(3月){reg1}日
str_april_reg1_reg2|第三紀{reg2}年ヴィーレッセ(4月){reg1}日
str_may_reg1_reg2|第三紀{reg2}年ローテッセ(5月){reg1}日
str_june_reg1_reg2|第三紀{reg2}年ナーリエ(6月){reg1}日
str_july_reg1_reg2|第三紀{reg2}年ケアミエ(7月){reg1}日
str_august_reg1_reg2|第三紀{reg2}年ウリメ(8月){reg1}日
str_september_reg1_reg2|第三紀{reg2}年ヤヴァンニエ(9月){reg1}日
str_october_reg1_reg2|第三紀{reg2}年ナルクウェリエ(10月){reg1}日
str_november_reg1_reg2|第三紀{reg2}年ヒーシメ(11月){reg1}日
str_december_reg1_reg2|第三紀{reg2}年リンガレ(12月){reg1}日
str_calendar_spec_day_1|第三紀{reg2}年イェスタレ(最初の日)
str_calendar_spec_day_2|第三紀{reg2}年トゥイレーレ(春の日)
str_calendar_spec_day_3|第三紀{reg2}年ロエンデ(ロアの中間の日)
str_calendar_spec_day_4|第三紀{reg2}年ヤーヴィエーレ(秋の日)
str_calendar_spec_day_5|第三紀{reg2}年メッタレ(終わりの日)
str_town_nighttime|夜も更けています。
str_door_locked|扉にはカギがかかっている。
str_castle_is_abondened|城は抜け殻のようだ。
str_town_is_abondened|ここには守備兵がいないようだ。
str_place_is_occupied_by_player|ここはあなたの部隊によって確保されています。
str_place_is_occupied_by_enemy|ここは敵対勢力によって確保されています。
str_place_is_occupied_by_friendly|ここは友軍によって確保されています。
str_do_you_want_to_retreat|本当に退却しますか？
str_give_up_fight|降参しますか？
str_do_you_wish_to_leave_tutorial|チュートリアルを終了しますか？
str_do_you_wish_to_surrender|降伏しますか？
str_can_not_retreat|敵勢が近すぎて退却できません！
str_s1_joined_battle_enemy|{s1}が敵軍に加わりました。
str_s1_joined_battle_friend|{s1}が味方に加わりました。
str_entrance_to_town_forbidden|衛兵が侵入者に目を光らせていて、簡単に門を通してはくれない様子です。
str_sneaking_to_town_impossible|衛兵たちに気付かれてしまいました。 こうなってしまっては、どんなにうまく変装をしても門を通り抜ける事は不可能です。
str_battle_won|戦いに勝利しました！
str_battle_lost|戦いに敗れました！
str_player_down|あなたは気を失いましたが、部下たちは戦いを続行します！
str_attack_walls_success|多くの血が流れた激戦を戦い抜き、あなたの勇敢な兵士たちは^敵の手から城壁を奪い取ることに成功しました。
str_attack_walls_failure|あなたの兵士たちは、城壁を襲う寄せ手の猛攻の波に飲み込まれて^いきました。数少ない生き残った者たちは逃亡し、二度と戻る事は^ないでしょう。
str_attack_walls_continue|多くの犠牲者を出した戦闘はお互いに譲らず、^痛み分けに終わりました。兵士たちは勇敢に戦ってはいますが、^城は依然として敵の手にあります。
str_order_attack_success|あなたの兵士たちは勇敢に戦い、敵勢を撃破しました。
str_order_attack_failure|敵兵があなたの部下を切り倒し、傷ついた生き残りの兵をいとも^簡単に追い払う光景を、あなたは絶望に包まれながら見つめました。
str_order_attack_continue|再三の攻撃にもかかわらず、あなたの兵は決定的な勝利をつかむ事が^できませんでした。
str_join_order_attack_success|あなたの兵は友軍とともによく戦って敵を打ち倒し、勝利の栄誉を^友軍と分かち合いました。
str_join_order_attack_failure|敵兵はあなたの部下を切り倒し、傷ついた生き残りの兵をいとも^簡単に追い払いました。
str_join_order_attack_continue|再三の攻撃にもかかわらず、あなたの兵と友軍は決定的な勝利を^つかむ事ができませんでした。
str_siege_defender_order_attack_success|守備隊の兵たちは勇気と巧妙さを発揮して城壁を守り抜き、敵の^攻撃を打ち破ると、その勢いをかって敵勢を敗走させました。
str_siege_defender_order_attack_failure|敵の攻撃がはじまるや、すぐに一方的な大虐殺となりました。数で^圧倒される守備隊は、勇敢な抵抗もむなしく城壁を奪われ、^皆殺しにされました。
str_siege_defender_order_attack_continue|再び繰り返された総攻撃は、攻撃軍に多くの犠牲者を出しながら、^寸土も奪うことができずに失敗に終わりました。しかし攻撃軍の^圧倒的な数の優位は依然ゆるがず、守備隊にとってはささやかな^勝利に終わりました。攻防戦はまだ続きます。
str_hero_taken_prisoner|{s3}の{s1}が、 {s2}の捕虜になりました。
str_hero_freed|{s2}の捕虜となっていた{s3}の{s1}が、 開放されました。
str_center_captured|{s2}が、{s3}から{s1}を奪いました！
str_troop_relation_increased|{s1}との信頼関係が{reg1}から{reg2}に向上しました。
str_troop_relation_detoriated|{s1}との信頼関係が{reg1}から{reg2}に悪化しました。
str_faction_relation_increased|{s1}との信頼関係が{reg1}から{reg2}へ向上しました。
str_faction_relation_detoriated|{s1}との信頼関係が{reg1}から{reg2}へ悪化しました。
str_party_gained_morale|パーティの士気が{reg1}上がりました。
str_party_lost_morale|パーティの士気が{reg1}下がりました。
str_qst_follow_spy_noticed_you|間者があなたに気付きました！彼が一目散に逃げます！
str_father|父
str_husband|夫
str_wife|妻
str_daughter|娘
str_mother|母
str_son|息子
str_brother|兄弟
str_sister|姉妹
str_he|彼
str_she|彼女
str_s3s_s2|{s3}の{s2}
str_s5_is_s51|{s5}は{s51}だよ。
str_s5_is_the_ruler_of_s51|{s5}は{s51}の領主だよ。 
str_s5_is_a_nobleman_of_s6|{s5}は{s6}の貴族だよ。
str_relation_mnus_100|復讐を誓っている
str_relation_mnus_90|復讐を誓っている
str_relation_mnus_80|復讐を誓っている
str_relation_mnus_70|憎んでいる
str_relation_mnus_60|憎んでいる
str_relation_mnus_50|敵意をもっている
str_relation_mnus_40|憤慨している
str_relation_mnus_30|恨みをもっている
str_relation_mnus_20|不満を抱いている
str_relation_mnus_10|疑いをもっている
str_relation_plus_0|中立的
str_relation_plus_10|協力的
str_relation_plus_20|好意的
str_relation_plus_30|贔屓にしている
str_relation_plus_40|支持している
str_relation_plus_50|理解者
str_relation_plus_60|尊敬している
str_relation_plus_70|好意を抱いている
str_relation_plus_80|忠実
str_relation_plus_90|心酔している
str_relation_mnus_100_ns|{s60}は、あなたに対する復讐を誓っています。
str_relation_mnus_90_ns|{s60}は、あなたに対する復讐を誓っています。
str_relation_mnus_80_ns|{s60}は、あなたに対する復讐を誓っています。
str_relation_mnus_70_ns|{s60}は、あなたを憎んでいます。
str_relation_mnus_60_ns|{s60}は、あなたを憎んでいます。
str_relation_mnus_50_ns|{s60}は、あなたに敵意を抱いています。
str_relation_mnus_40_ns|{s60}は、あなたに憤慨しています。
str_relation_mnus_30_ns|{s60}は、あなたに恨みを抱いています。
str_relation_mnus_20_ns|{s60}は、あなたに不満を抱いています。
str_relation_mnus_10_ns|{s60}は、あなたに懐疑的です。
str_relation_plus_0_ns|{s60}は、あなたに対して中立の立場をとっています。
str_relation_plus_10_ns|{s60}は、あなたに協力的です。
str_relation_plus_20_ns|{s60}は、あなたに好意的です。
str_relation_plus_30_ns|{s60}は、あなたを贔屓にしています。
str_relation_plus_40_ns|{s60}は、あなたを支持しています。
str_relation_plus_50_ns|{s60}は、あなたの理解者です。
str_relation_plus_60_ns|{s60}は、あなたを尊敬しています。
str_relation_plus_70_ns|{s60}は、あなたに好意を抱いています。
str_relation_plus_80_ns|{s60}は、あなたに忠実です。
str_relation_plus_90_ns|{s60}は、あなたに心酔しています。
str_relation_reg1|信頼関係:{reg1}
str_center_relation_mnus_100|民衆はあなたを呪っています。
str_center_relation_mnus_90|民衆はあなたに強い恨みを持っています。
str_center_relation_mnus_80|民衆はあなたに恨みを持っています。
str_center_relation_mnus_70|民衆はあなたを激しく憎んでいます。
str_center_relation_mnus_60|民衆はあなたを憎んでいます。
str_center_relation_mnus_50|民衆はあなたに激しい敵意を持っています。
str_center_relation_mnus_40|民衆はあなたに強い敵意を持っています。
str_center_relation_mnus_30|民衆はあなたに敵意を持っています。
str_center_relation_mnus_20|民衆はあなたを拒否しています。
str_center_relation_mnus_10|民衆はあなたに否定的です。
str_center_relation_plus_0|民衆はあなたに対して中立的です。
str_center_relation_plus_10|民衆はあなたを受け入れています。
str_center_relation_plus_20|民衆はあなたに協力的です。
str_center_relation_plus_30|民衆はあなたをいくらか支持しています。
str_center_relation_plus_40|民衆はあなたを支持しています。
str_center_relation_plus_50|民衆はあなたを熱心に支持しています。
str_center_relation_plus_60|民衆はあなたに忠実です。
str_center_relation_plus_70|民衆はあなたに非常に忠実です。
str_center_relation_plus_80|民衆はあなたに心酔しています。
str_center_relation_plus_90|民衆はあなたを崇めています。
str_town_prosperity_0|{s60}は目を覆うばかりの貧困にさらされています。
str_town_prosperity_10|荒れるにまかせた{s60}は、ほとんど廃墟と化しています。
str_town_prosperity_20|{s60}はみすぼらしく、荒れ果てています。
str_town_prosperity_30|{s60}は貧しく、荒れ放題です。
str_town_prosperity_40|{s60}は多くの問題を抱えているように見えます。
str_town_prosperity_50|{s60}はとりたてて言うべきところもない、平凡な町です。
str_town_prosperity_60|{s60}には活気があります。
str_town_prosperity_70|経済的に豊かな{s60}は、活気に満ちています。
str_town_prosperity_80|{s60}は裕福で、手入れが行き届いています。
str_town_prosperity_90|華やかな{s60}は、裕福そうな人々で賑わっています。
str_town_prosperity_100|光輝くような{s60}の大いなる富の力は、訪れる者を圧倒せんばかりです。
str_village_prosperity_0|{s60}は目を覆うばかりの貧困にさらされています。
str_village_prosperity_10|{s60}の村は、ひどく貧しく、 悲惨な状態です。
str_village_prosperity_20|{s60}の村はとても貧しく、 荒れ果てています。
str_village_prosperity_30|{s60}の村は貧しく、荒れ放題です。
str_village_prosperity_40|{s60}の村はどことなく寂れたように見えます。
str_village_prosperity_50|{s60}の村はとりたてて言うべきところもない、 平凡な村です。
str_village_prosperity_60|{s60}の村には活気があります。
str_village_prosperity_70|{s60}の村は栄えているようです。
str_village_prosperity_80|{s60}の村は豊かで、 手入れが行き届いています。
str_village_prosperity_90|{s60}の村は非常に豊かで、 繁盛しています。
str_village_prosperity_100|{s60}の村は広大で肥沃な農地に囲まれ、 非常に豊かです。
str_war_report_minus_4|この圧倒的に不利な戦況を打開するすべは、 見当たらない
str_war_report_minus_3|見通しは暗い
str_war_report_minus_2|戦況は良くない
str_war_report_minus_1|戦況は我が軍に不利ながら、 まだ巻き返せる
str_war_report_0|戦況は五分だ
str_war_report_plus_1|勝利の可能性は充分あるだろう
str_war_report_plus_2|すべてがうまくいっている
str_war_report_plus_3|我が軍は敵勢を圧倒していると言えよう
str_war_report_plus_4|勝利は目前と言ってもいいだろう
str_persuasion_summary_very_bad|あなたは{s50}をなんとか説得しようと試みたが、 まるでうまくいかなかった。 話の出だしは良くても、 言葉の選択がまずいせいなのか、 話せば話すほど、 先方は興味を失っていくようだ。 終わってみれば、 もう自分でも何を言いたかったのか 分からないほど要領を得ない話になっていた。 説得というより、 墓穴を掘っただけだったようだ。 当然のことながら、 {s50}は何の感動も示さなかった。
str_persuasion_summary_bad|あなたは{s50}を説得しようと試みたが、 のっけから厳しい反論にさらされた。 あなたが快心の論だと内心感じたものでさえ、 吐き出してみると、 {reg51?彼女:彼}の前では、 我ながら虚しい話に聞こえた。 {s50}があなたの意見を高く評価してくれるとは、 とても思えない。
str_persuasion_summary_average|議論を始めてみると、 {s50}は頭の切れる、 弁舌の達者な人物であることが判明した。 あなたがどう論じてみても、 {reg51?彼女:彼}からの的確な反論に遭ってしまうのだった。 終わってみれば、 議論は平行線のままだった。
str_persuasion_summary_good|とっさの機転と流れるような論証により、 あなたの弁論は {s50}のいくつかの考えを改めさせるのに 充分な効果を発揮した。 しかしながら、 {reg51?彼女:彼}はあなたの要望に対する懸念を 完全には捨てきれない様子だ。
str_persuasion_summary_very_good|あなたの情熱のほとばしる言葉の数々は、 聴く者の耳に力強い詩のように響いた。 あたりは静まり返り、 まるで世界中のすべてのものが、 息をひそめてあなたの話に聴き入っているかのようだった。 あなたの美しい弁論は、 {s50}を大いに感動させた。 {reg51?彼女:彼}はあなたを支持することに対して 意欲的になったようだ。
str_name_1|アダンエゼル
str_name_2|オンドヘア
str_name_3|アイランディア
str_name_4|アガルワイン
str_name_5|アイリネル
str_name_6|アルダリオン
str_name_7|アルマリアン
str_name_8|アマンディル
str_name_9|アムライス
str_name_10|アナルディル
str_name_11|アンボルン
str_name_12|アンドローグ
str_name_13|アングボール
str_name_14|アラドール
str_name_15|アラグラス
str_name_16|アラハイル
str_name_17|アランタール
str_name_18|アラススイル
str_name_19|アルカリン
str_name_20|ベレグンド
str_name_21|ベレグ
str_name_22|ベアギル
str_name_23|ボルサンド
str_name_24|ケオル
str_name_25|キアヨン
str_name_26|ダムロド
str_name_27|デルフィン
