menu_start_game_1|^^^^^^^^^^何のために戦いますか？
mno_view_character_report|キャラクター情報を見る
mno_view_party_size_report|パーティの人数上限を確認する
mno_view_morale_report|パーティの士気に関する情報を見る
mno_view_character_report_02|NPCの状態を確認する
mno_view_faction_strengths_report|各勢力の勢力ポイントを確認する
mno_view_traits_report|特殊能力を見る
mno_resume_travelling|旅を続ける
mno_custom_battle_go|開始
mno_leave_custom_battle_2|キャンセル
menu_custom_battle_end|^^^^^^戦闘は終わりました。 {s1} あなたの陣営は敵勢{reg5}名を倒し、味方の兵を{reg6}名失いました。^あなた個人では敵を{reg7}名を倒しました。
mno_replay|この戦闘をもう一度プレイする。
mno_continue_dot|続ける。
menu_custom_battle_durin_end|^^^^^^見事な最期の抵抗でしたが、最後には力尽きてしまいました。^^あなたと同胞たちは{reg5}名の敵を倒しました。^あなた個人では{reg7}名の敵を倒しました。
mno_replay_cbd|この戦闘をもう一度プレイする
mno_continue_dot_cbd|続ける
mno_dot_go_back|戻る
menu_start_good|^^^^^^^^^^種族を選んでください:
mno_start_ma|人間
mno_start_el|エルフ
mno_start_dw|ドワーフ
menu_start_evil|^^^^^^^^^^誰に仕えますか？
mno_start_eye|モルドールのサウロン、指輪王
mno_start_hand|アイゼンガルドのサルマン、白の手
menu_start_eye|^^^^^^^^^あなたの主人は、瞼のない御目です。^種族を選んでください
mno_start_or|オーク、瞼のない御目の忠実な下僕
mno_start_ur|ウルク、新種のオーク
mno_start_em|人間、サウロンに服従
menu_start_hand|^^^^^^^^^あなたの主人は、白の手となりました。^種族を選んでください
mno_start_whor|オーク、白の手のしもべ
mno_start_isur|ウルク＝ハイ、アイゼンガルドの産
mno_start_duma|人間、西方の平野にある褐色人の国の住人
menu_start_good_man|^^^^^^^^^^民族を選んでください:
mno_start_go|白い塔の王国、ゴンドール
mno_start_ro|馬の民、ローハン
mno_start_du|いにしえの王族の末裔、ドゥネダイン
mno_start_be|熊人族、ビヨルン一党
mno_start_wo|闇の森の軒の住人、森人
mno_start_da|北方の王国、谷間の国
menu_start_good_elf|^^^^^^^^^^賢者殿、どちらの森にお住まいですか？
mno_start_ri|エルロンド卿の率いる国、裂け谷
mno_start_lo|ガラドリエル夫人の治める国、ロスローリエン
mno_start_mi|シルヴァン・エルフの国、闇の森
menu_start_good_dwarf|^^^^^^^^^^一族を選んでください:
mno_start_er|エレボールの住人
mno_start_ih|くろがね連山の鉱夫
menu_start_gondor|^^^^^^^^^^ゴンドールのどこの出身ですか？
mno_start_mt|首都、ミナス・ティリス
mno_start_ls|斧使いの国、ロスサールナッハ
mno_start_la|山の民の国、ラメドン
mno_start_pg|緑丘陵の国、ピンナス・ゲリン
mno_start_do|白鳥の騎士の国、ドル・アムロス
mno_start_pe|海岸沿いの国、ペラルギア
mno_start_bl|弓使いの国、黒根谷
menu_start_eye_man|^^^^^^^^^^民族を選んでください:
mno_start_hr|南方の砂漠の民、ハラドリム
mno_start_bn|西方から来た背教者、黒きヌーメノール人
mno_start_um|南の海からやってきた海賊、ウンバール
mno_start_rh|東方の蛮族、リューン
mno_start_kh|南東に住む獰猛な民族、ハンド
menu_start_eye_uruk|^^^^^^^^^^どこに潜伏しているのですか？
mno_start_arm_uruk|モルドールに集結する軍勢
mno_start_cav_uruk|ドル・グルドゥアの洞窟
menu_start_eye_orc|^^^^^^^^^^どこに潜伏しているのですか？
mno_start_arm|モルドールに集結する軍勢
mno_start_cav|ドル・グルドゥアの洞窟
menu_start_hand_orc|^^^^^^^^^^どこに潜伏しているのですか？
mno_start_armis|アイゼンガルドに集結する軍勢
mno_start_minmo|モリアの坑道
mno_start_cliff|グンダバド山の絶壁
menu_start_gondor_mt|^^^^^^^^^^家柄を選んでください
mno_start_1_com|平民
mno_start_2_hib|高貴な生まれ
menu_start_haradrim|^^^^^^^あなたは砂漠の住人として知られる、^ハラドリムの民です。^あなたの部族を選んでください
mno_start_1_des|砂漠の住人
mno_start_2_far|遠ハラドの部族
menu_start_numenorean|^^^^^^^あなたは暗黒とモルゴスを崇拝する黒きヌーメノール人です。^御目のために活動する場所を選んでください
mno_start_1_bn|サウロンの口の傍ら、モランノン
mno_start_2_bn|妖術師の要塞、ドル・グルドゥア
menu_choose_gender|^^^^^^^^^^あなたの性別は？
mno_start_male|男性
mno_start_female|女性
mno_proc|通常通り続ける
menu_start_as_one|^^^^^^^^^^どんな戦士ですか？
mno_start_default|{s23} (標準)
mno_start_up1|{s21} (簡単)
mno_start_up2|{s22} (簡単)
mno_continue|続ける・・・
menu_character_report|^^^^^パーティの士気:{reg8}^パーティの人数上限:{reg7}^{s5}
menu_camp|^^^^ここは{s1}です。{s2}^^何をしますか？
mno_camp_scene|この辺りを散歩する
mno_camp_troop|{reg10?部下:}{reg12?および:}{reg11?捕虜:}の確認をする
mno_camp_action|アイテムを使う
mno_camp_wait_here|ここで野営する
mno_camp_options|TLDのオプション
mno_Dev_Menu|開発者用メニュー
menu_dev_menu|これは開発者向けのオプションで、たくさんのチートやツールを利用できます。^^ただ、これらを利用すると開発途中のイベント、トリガー、キャンペーンの^変更などが原因でゲームの動作に支障がでる事があります。^^リスクを理解した上で利用してください！^^バグの報告をする場合は、この開発者メニューを^利用したかどうかも報告してください。
mno_Cheat_enable|チート/mod作成オプションを有効にする
menu_game_options|^^^^^^^^項目をクリックするとトグルします
mno_game_options_war_level_start|戦争の始まるレベル:{s1}
mno_game_options_restrict_items|プレイヤーの装備制限:{s7}
mno_game_options_formations|陣形とAI:{s7}
mno_game_options_siege_ai|高度な攻城戦AI:{s7}
mno_game_options_town_menu|拠点のNPCに常にメニュー画面からアクセス:{s7}
mno_game_options_cutscenes|カットシーン:{s7}
mno_game_options_injuries|コンパニオンの怪我:{s7}
mno_game_options_death|指揮官とコンパニオンが死亡する:{s7}
mno_game_options_death2|プレイヤーが死亡する(あなたの事ですよ！):{s7}
mno_game_options_morale|戦闘時の士気システム:{s7}
mno_game_options_animal_ambushes|動物による襲撃:{s7}
mno_game_options_horse_ko|落馬ダメージの報告:{s7}
mno_game_options_bright_nights|夜を明るくする:{s7}
mno_game_options_camera_pref|優先するカメラモード:{s7}
mno_game_options_tweaks|ゲームプレイの調整・・・
mno_game_options_back|野営メニューに戻る
mno_game_options_start_back|戻る
menu_camp_tweaks|^^^^^^^^調整したい項目を選んでください。
mno_tweak_options_compat|互換性の調整・・・
mno_tweak_options_strat|戦略上の調整・・・
mno_tweak_options_battlefield_ai|戦場でのAIの調整・・・
mno_tweak_options_back|オプションメニューに戻る
menu_camp_compat_tweaks|^^^^^^^^項目をクリックして調整してください^(SHIFTを押しながらクリックすると数値が減ります)^(これらは互換性に関する調整で、 チートではありません)
mno_game_options_compat_party|パーティの最大数:{s1}
mno_game_options_compat_back|調整メニューに戻る
menu_camp_strat_tweaks|^^^^^^^^項目をクリックするとトグルします^(警告:これらはチートです！)
mno_strat_tweaks_siege_reqs|包囲攻城戦に必要な勢力ポイント:{s7}
mno_strat_tweaks_siege_relax_rate|包囲攻城戦の必要条件の緩和レート:{reg1}
mno_strat_tweaks_regen_rate|勢力ポイントの回復レート:{s7}
mno_strat_tweaks_siege_regen_limit|勢力ポイントの回復速度が遅くなるしきい値:{reg1}
mno_strat_tweaks_influence_gain_rate|影響力ポイント獲得レート:{s7}
mno_strat_tweaks_rank_gain_rate|ランクポイント獲得レート:{s7}
mno_strat_tweaks_back|調整メニューに戻る
menu_camp_action|^^^^^^^^^ どのアイテムですか？
mno_camp_drink_water|エント水を飲むぞ！
mno_camp_drink_orc_brew|オークビールを皆に回せ！
mno_camp_drink_miruvor|ミルヴォールを皆に回せ！
mno_camp_use_athelas|アセラスで傷の治療をする。
mno_camp_use_drums|地底の太鼓を叩き鳴らす。
mno_camp_action_4|戻る
menu_assasins_attack_player_won|あなたは{s3}によって送り込まれた、 {s2}の暗殺者を撃退しました。
menu_assasins_attack_player_retreat|あなたは命からがら逃げました！
menu_fangorn_danger|^^^^^^これはおかしい。周囲のあちこちから不穏な物音が聞こえる。^木々がしゃべっているのだろうか？ 大いなる怒りと苦痛が伝わってくる。 どうしますか？
mno_be_quiet_elf|木々の憎悪はもっともだ。静かに移動せよ。
mno_be_quiet|武器をしまって静かにするんだ！この場から離れるぞ！
mno_be_bold|かかって来い！植物だの古い伝説だの、私は一切恐れないぞ！
; mno_fight_back|Let's find out! Search the area! Burn down a tree or two! (Camp)
menu_fangorn_search_fails|^^^^^^あなたは暗く、深い森のなかを探しまわったが、何も^見つけられなかった。しかし、監視の目にさらされているという思いと、^あたりに漂う脅威は、どんどん強くなっている。
menu_fangorn_killed_player_only|^^^^^^あなたは深く、暗い森のなかを探し回った。^突然、あなたは何かに殴られた！大きな木の枝が頭を直撃したのだろうか？^あなたは数分の間、気を失った。ひどい痛みが残っているが、^探索の続行に支障はない。
mno_ow_get_out|いたた！この呪われた場所から逃げろ！
menu_fangorn_killed_troop_and_player|^^^^^^あなたは深く、暗い森のなかを探し回った。^^突然、あなたは何かに殴られた！大きな木の枝でも落ちてきて、^頭を直撃したのだろう。^^数分後に意識を取り戻したあなたは、部下たちはあなたほど^幸運には恵まれなかった事を知った。^^
menu_fangorn_killed_troop_only|^^^^^^^^あなたは深く、暗い森のなかを探し回った。部下たちは恐怖で顔を^ひきつらせている。^^突然、後方で悲鳴が上がった！駆けつけてみると、数人の部下が^血の海に横たわっていた。^^他にも数人の姿が見当たらないが、一体どこへ消えたのか・・・
mno_get_out|この呪われた場所から離れるぞ！
menu_can_capture_troll|倒されてもまだ、野生のトロルは息をしている！^^それは悪意に満ちたその目に苦痛と怒りの色をいっぱいに浮かべて、^あなたを凝視している。みずからの血の海の中に力なく横たわっている今でさえ、^それは途方もなく危険に見える・・・
mno_killit|それをいますぐ殺せ。間違いなく息の根を止めろ。
mno_cageit1|檻に入れて引きずりまわせ。
mno_cageit2|他のトロルと一緒に檻に入れろ。
mno_cheat_disabable|チート/mod作成オプションを無効にする。
menu_drank_ent_water_human|^^^あなたは水を飲んだ。澄んだ、さわやかな味がする。 ジャコウに似た良い香りもする。とてもおいしい。^^しかし、あなたは奇妙な、超自然的ともいえる違和感を覚えた。 あなたの直感が、もう二度とこの水を口にしてはならない、と訴えている。
menu_drank_ent_water_orc|^^^あなたは水を飲んだ。ただの水だ。突然激痛が走り、あなたはのどを^手で押さえた。毒だ！あなたはむせ、黒い血のかたまりを吐き、^意識が遠のくのを感じた。^^痛い。ちくしょう、痛いぞ。
mno_i_shall_surv|し・・・死んで・・・たまるか！
menu_end_game|^^^^^あなたはついに冒険者としての生活に区切りをつける決心をし、^腰を落ち着ける事にした。あなたは武器や防具を売りさばき、^荷物をまとめると、馬上の人となって夕日を目指して去っていった・・・
mno_end_game_bye|さようなら。
menu_cattle_herd|あなたは人間の一群に会った。
mno_cattle_drive_away|ついてくるように言う。
mno_cattle_stop|その場で待つように言う。
mno_leave|立ち去る。
menu_simple_encounter|^^^^^{s2}^この戦闘に参加できるあなたの部隊は総勢{reg22}名、 対する敵勢は{reg11}名です。^^この戦いは{s3}{s4}で行われます。^^どうしますか？
mno_encounter_attack|{reg21?攻撃開始:迎え撃つ}。
mno_encounter_order_attack|部下に{reg21?攻撃を開始する:迎え撃つ}よう命令し、 自身は後方に待機する。
; mno_control_allies_menu|Use influence to command your allies in the field.
mno_encounter_hide|敵から隠れる・・・
mno_special_whip|{s4}を打ちながら威圧する。
mno_encounter_attack_bearform|{reg21?熊の姿で戦場に飛び込む:姿を変えて敵と対峙する}.
mno_encounter_leave|撤退する。
mno_encounter_retreat|数名の兵をしんがりに残し、撤退する。
mno_player_control_allies_simple|彼らの指揮をとって敵勢へ突撃する
mno_player_control_allies_back|戻る・・・
mno_hide_close|続ける・・・
menu_encounter_retreat_confirm|^^^^^パーティの中で最も高い戦略スキル({reg2})を持つ {reg3?あなた:{s3}}は、 敵を振り切って部隊を無事に撤退させる作戦を 考え出しましたが、 敵の追撃を食い止めるための兵を{reg4}名、 しんがりとして犠牲にしなければなりません。
mno_leave_behind|この作戦でいこう。彼らの犠牲は無駄にしない。
mno_dont_leave_behind|だめだ。部下を置いていくわけにはいかない。
menu_encounter_retreat|^^^^^あなたは部下の兵{reg4}名に、あなたと部隊が撤退するあいだ、敵勢を^食い止めるよう命令しました。
menu_order_attack_begin|^^^^^^ 部下の兵は攻撃準備をしています。
mno_order_attack_begin|攻撃開始を命令する。
mno_call_back|呼び戻す。
menu_order_attack_2|^{s4}^自軍犠牲者:{s8}^^敵軍犠牲者:{s9}
mno_order_attack_continue|部下に攻撃を続けるように指示する。
mno_order_retreat|部下を呼び戻す。
menu_kingdom_army_quest_report_to_army|{s8}より、 今回の軍事遠征にあなたも同行せよ、 との連絡を受けました。 あなたは少なくとも {reg13}名の兵を連れて行かなくてはなりません。 足りない場合は、 急いで兵を集めてくるように、 とのことです。
mno_reject|忙しくてそちらまで手が回らない、と返答する。
mno_send_word|すぐにはせ参じる、と伝える。
menu_kingdom_army_quest_messenger|{s8}より、 遂行すべき任務について あなたに話があるため出頭するように、 との連絡を受けました。 できる限りの速い出頭を求めています。
menu_kingdom_army_quest_join_siege_order|{s8}より、 総攻撃を予定している {s9}包囲軍に参加せよとの指示がありました。 あなたの部隊は {s9}をなんとしても落とさねばなりません。
menu_kingdom_army_follow_failed|あなたは命令を無視し、 {s8}への同行に失敗しました。 彼は火急の事態にみまわれたであろう あなたに理解を示しましたが、 彼の忍耐には限度がある事も伝えてきました。
menu_battle_debrief|{s11}^自軍犠牲者:{s8}{s10}^^敵軍犠牲者:{s9}
mno_inspect_troll|倒れたトロルを調べる
menu_pre_join|^^^^^{s2}と{s1}が交戦中です。^あなたは・・・
mno_pre_join_help_attackers|{s2}に加勢をする。
mno_pre_join_help_defenders|{s1}の味方にまわる。
mno_pre_join_help_refugees|{s1}の味方にまわる。
mno_pre_join_leave|巻き込まれないようにする。
menu_join_battle|^^^{s1}と戦っている、 {s2}に加勢します。^敵勢{reg11}名に対して、 戦える状態の味方の兵は{reg22}名です。^^この戦いは{s3}{s4}で行われます。
mno_join_attack|攻撃を開始する。
mno_join_order_attack|部下に友軍と共に戦うよう指示をし、自分は後方に待機する。
; mno_control_allies_join_menu|Use influence to command your allies in the field.
mno_join_attack_bearform|熊の姿で戦場に飛び込む
mno_join_leave|撤退する。
mno_player_control_allies_join_menu|彼らの指揮をとって敵勢へ突撃する
menu_join_order_attack|{s4}^^自軍犠牲者:{s8}^^友軍犠牲者:{s9}^^敵軍犠牲者:{s10}
mno_enter|入る。
menu_battlefields|^^^^^^^^^戦場を選んでください・・・
mno_enter_f1|Field 1
mno_enter_f2|Field 2
mno_enter_f3|Field 3
mno_enter_f4|Field 4
mno_enter_f5|Field 5
menu_join_siege_outside|^^^^^^{s1}が{s2}による包囲攻撃を受けています。
mno_approach_besiegers|包囲軍の陣営を訪ねる。
mno_pass_through_siege|包囲網を突破し、{s1}へ入城する。
menu_cut_siege_without_fight|包囲軍は、門に近づくあなたに対して 攻撃をしませんでした。
menu_besiegers_camp_with_allies|{s1}は依然、包囲されています。 あなたの部隊を歓迎してくれた 包囲軍の陣営には、 {s2}の軍旗がたなびいています。
mno_talk_to_siege_commander|指揮官に面会を申し入れる。
mno_join_siege_with_allies|次の攻撃に参加する。
mno_join_siege_stay_back|部下に次の攻撃に参加するよう指示をし、 自身は後方に待機する。
menu_moria_must_escape|^^この本には、モリアに再び入植しようとした、最後のドワーフたちの^記録が記されているようだ。そのドワーフたちの試みは、^関わった者すべてが凄惨な死を遂げ、失敗に終わったらしい。^本を注意深く読み進めていくうち、あなたは「まことの銀」という^記述を見つけた！その記述の前後をよく読んでいくうち、これは^さらに深い層のどこかにある、ドワーフの隠し財産に関する^記述であることをついに理解した。やった！長く忘れられた^ドワーフのミスリルを発掘するだなんて、素敵じゃないか！？^あなたは喜び勇んで記述に従い、細くまがりくねった坑道を^深く深く進んでいった・・・^・・・^何も手がかりのないまま二時間ほどが過ぎた頃、あなたは^自分たちがモリアの深層で迷ってしまい、まず出口を探さなければ^ならない事態になった事を悟った。
mno_moria_exit_scene|出口を探すんだ！
menu_castle_outside|ここは{s2}の外です。 {s11} {s3} {s4}
mno_moria_enter|秘密の入り口を通って、モリアの大広間へ行く
mno_moria_enter_door|モリアに入る。
mno_cheat_steal_book_door|本を入手する
mno_castle_start_siege|この{reg6?町:城}を包囲する。
mno_castle_leave|立ち去る。
menu_castle_besiege|あなたは{s1}の包囲を準備しています。 {s2} {s3}
mno_siege_request_meeting|敵の指揮官に面会を申し入れる。
mno_wait_24_hours|明日まで待機する。
mno_castle_lead_attack|攻撃を陣頭指揮する。
mno_attack_stay_back|部下に攻撃を指示し、自身は後方に待機する・・・
mno_build_ladders|城壁にかけるはしごの準備をする。
mno_lift_siege|包囲を中止する。
menu_siege_attack_meets_sally|^^^^^^守備軍が撃って出てきました。
menu_construct_ladders|パーティメンバーの中で最も高い 技術者スキル({reg2})を持つ{reg3?あなた:{s3}}は、 充分なはしごを準備するのに {reg4}時間を要すると計算しました。
mno_build_ladders_cont|準備に取りかかる。
menu_castle_attack_walls_simulate|{s4}^^自軍犠牲者:{s8}^^敵軍犠牲者:{s9}
menu_castle_attack_walls_with_allies_simulate|{s4}^^自軍犠牲者:{s8}^^友軍犠牲者:{s9}^^敵軍犠牲者:{s10}
menu_castle_taken_by_friends|ここに用はない。
menu_castle_taken|{s3}はあなたの軍の手に落ち、 現在、 この{reg2?町:城}は完全にあなたの軍の 管理下におかれています。 {reg1? ここをあなたの領地とすることを 止めるものはいません・・・:}
menu_castle_taken_2|{s3}はあなたの軍の手に落ち、 現在、 この城は完全にあなたの軍の 管理下におかれています。 {s9}に、 この勝利を報告しましょう。 {s5}
mno_castle_taken_no_claim|褒美の要求をしない。
menu_siege_started_defender|{s2}の城壁に対し、 {s1}が攻撃を仕掛けています。 あなたの部隊で戦闘可能な兵は{reg22}名、 対する敵勢は{reg11}名です。 あなたは・・・
mno_siege_defender_join_battle|攻撃に参加する。
mno_siege_defender_troops_join_battle|部下に攻撃に参加するよう指示し、自身は後方に待機する。
mno_siege_defender_do_not_join_battle|巻き込まれないようにする。
menu_siege_join_defense|{s4}^^自軍犠牲者:{s8}^^友軍犠牲者:{s9}^^敵軍犠牲者:{s10}
menu_village_hunt_down_fugitive_defeated|^^^^^逃亡者の強烈な一撃を食らったあなたの視界は、 ぐるっと回った後に闇に包まれました。 しばらくの時間が経ち、あなたは目を覚ましました。 血まみれの体は痛みはするものの、 幸運な事に致命傷は受けていませんでした。
menu_town_bandits_succeeded|^^^^^鎌に刈られる小麦のように、 ゴブリンどもはなぎ倒されました！ 立っているのはあなただけで、 ゴブリンどもは残らず気を失ったか、 死んだか、 または虫の息です。 このような脅威を取り除いたあなたに対し、 地元の民はとても感謝することでしょう。
menu_town_brawl_lost|^^^^^^あなたは倒され、 完全に気を失いました。 彼らは素早くあなたの体から 金目の物を抜き取ると、 何食わぬ顔で普段の生活へと 戻っていきました。
menu_town_brawl_won|^^^^^あなたが敵をすべて倒すと、 騒動を聞きつけた衛兵が 駆けつけてきました。 あなたは素早く倒れている者たちから 金目の物を抜き取ると、 騒ぎが落ち着くまで身を隠しました。^次に連中と顔を合わせる機会があれば、 彼らはもう少しあなたに敬意を払うでしょう。
menu_close|何でもない。
menu_town|{s60}に到着しました。{s12}{s13}
mno_town_menu_0|その辺をうろうろする。
; mno_town_menu_0_door|Inspect...
mno_town_approach|{s1}へ向かう・・・
mno_town_castle|{s1}に行く。
mno_town_castle_door|城に入る。
mno_town_center|中央広場へ向かう・・・
mno_town_center_door|拠点の中心部へ行く。
mno_aw_chamber_door|扉を開ける。
mno_trade_with_arms_merchant|{s40}に行く。
mno_trade_with_horse_merchant|{s41}に行く。
; mno_town_prison_door|To the Training Grounds
; mno_talk_to_healer|Speak with {s40}.
mno_talk_to_castle_commander|{s61}の兵舎へ行く。
mno_speak_with_elder|{s6}に会う。
; mno_town_ask|Ask around for persons of import...
mno_isengard_underground|地下の洞窟へ行く。
mno_isengard_underground_door|地下の洞窟へ行く。
mno_tirith_toplevel|最上層に登る。
mno_tirith_toplevel_door|城塞へ行く
mno_erebor_gates|大門へ行く。
; mno_erebor_gates_door|Go to the Great Gates
; mno_glittering_caves|Go to the Glittering Caves.
; mno_glittering_caves_door|Go to the Glittering Caves
mno_town_leave|立ち去る・・・
mno_town_leave_door|立ち去る
mno_town_find_NPCs_cont|準備に取りかかる。
; menu_town_find_NPCs_end|Talking to the people of {s2}, {reg3?you have found:{s3} has found} out the locations of the local stables and warehouse, the smithy, {s4} ^^{s6}
menu_player_initiated_siege_result|{s2}の旗のもと、あなたはこの拠点を攻撃しました。
menu_disembark|上陸しますか？
mno_disembark_yes|する
mno_disembark_no|しない
menu_ship_reembark|乗船しますか？
mno_reembark_yes|する
mno_reembark_no|しない
menu_center_reports|拠点:{s1}^地代収入:{reg1}リソースポイント^関税収入:{reg2}リソースポイント^食料備蓄:{reg3}日間分
menu_sneak_into_town_suceeded|みすぼらしい浮浪者に変装したあなたは、 衛兵の目をかいくぐって町の中へと入り込みました。
menu_sneak_into_town_caught|潜入を試みたあなたに衛兵のひとりが気付き、 大声を上げました！ この辺りの衛兵が殺到するまえに、 門の外へ逃げなければなりません！
mno_sneak_caught_fight|強行突破だ！
mno_sneak_caught_surrender|降参する。
menu_sneak_into_town_caught_dispersed_guards|衛兵どもを追い払ったあなたは、 自分の痕跡を消すと、 その場を去った。 追跡者たちは 入り組んだ通りの中に、 あなたを完全に見失った。
menu_sneak_into_town_caught_ran_away|あなたは門の外へ出ると、 素早く町の外の安全な場所へ撤退した。
menu_tld_player_defeated|^^^^^突然、後頭部に激痛が走った！^目の前が真っ暗になり、あなたの体は震えた。^ここで死ぬのだろうか？
menu_recover_after_death_fangorn|あなたは目を覚ました。 あいかわらず、 あたりはいちめんの森だ。 関節という関節が痛む。 あなたは奇跡的に一命をとりとめたようだ。^^敗北を喫したには違いないが、 少なくとも何が起こったのかを 知る事はできた。^ようやくこの呪われた森の正体を知ったあなたは、 この事実を人に伝えなくてはならない。^^しかし、 信じる者はいるだろうか？
menu_recover_after_death_moria|^^^^^あなたは意識を取り戻した。 あなたの体はやわらかい地面に横たわり、 新鮮な空気を運ぶそよ風が顔をなでていく。 ここは外だ！^オークどもはあなたが死んだと思い込み、 その辺の暗い穴にあなたを放り込んだのだ。^おそらく、 地下を流れる水脈にここまで運ばれたのだろう。
mno_whatever|起き上がれ！
menu_recover_after_death_default|^^^^^あなたは意識を取り戻した。 ここは倒された場所だ。 おそらく敵はあなたが死んだと思い、 そのまま放置したのだろう。 しかし、 致命傷は負わずに済んだようだ。 ひどい気分だが、 なんとか自力で歩けるようだ。 あなたは起き上がると、 生き残った部下がいないか探し始めた。
menu_recover_after_death_town|^^^^あなたが意識を取り戻すと、 そこは町の郊外だった。 あなたは生きのびた！ まわりに人の気配はせず、 あなたはなんとか町の外へと這い出した。 どうやら致命傷はまぬがれたようだ。 気分は最悪だが、 なんとか自力で歩くことは出来る。
menu_recover_after_death_town_alone|あなたが意識を取り戻すと、 そこは町の郊外だった。 あなたは生きのびた！ まわりに人の気配はせず、 あなたはなんとか町の外へと這い出した。 コンパニオンがあなたを発見した。 どうやら致命傷はまぬがれたようだ。 気分は最悪だが、 なんとか自力で歩くことは出来る。
menu_notification_center_under_siege|{s1}が{s3}の{s2}によって包囲されました！
menu_notification_one_side_left|^^^^^指輪戦争は終わりました！^^{s1}はすべての敵を打ち倒し、 勝者となりました！
menu_notification_total_defeat|^^^^^あなたの指輪戦争は終わりました！^^{s1}は打ち倒され、 残ったのはあなたひとりです！
menu_notification_your_faction_collapsed|^^^^^あなたの故郷である{s11}は壊滅しました！^しかしながら、 いまだ戦いを続ける同盟国は残っています。 あなたと{s11}の生き残った者たちは力を結集し、 味方の勝利の助けとならなければいけません。
menu_notification_faction_defeated|^^^^^{s1}は敗れました！^{s1}は{s13}の軍勢によって壊滅し、 この世から消え去りました！
menu_ruins|^^^^あなたは{s1}へと近づいていきました。 かつて強固を誇った陣地は完全に破壊され、 わずかに残る城壁や 散乱するさびた武器に、 かろうじてその面影を見ることができる。
menu_legendary_place|^^^^あなたは噂話を頼りに{s1}を発見しました。 さっそく探索し、 噂が本当かどうか、 自らの手で確かめましょう。
mno_explore|探索を始める。
menu_ring_hunter_lair|^^^^闇の森から{s1}到着まで指輪狩り一味の痕跡を追跡した。 指輪狩り一味が宝箱を後にする準備を始めている。
mno_attack_lair|今すぐ攻撃する。
mno_leave_bandit_lair|今のところは立ち去る。
menu_gondor_reinforcement_event|^^^^^救援を求めるミナス・ティリスによって、ゴンドールの烽火がともされた！^^迫りくる暗闇から白の都を守るため、これより南方の領主たちが北上するだろう。
mno_gondor_reinforcement_event_close|閉じる
menu_gondor_beacons|あなたはゴンドールの南北に危急を知らせる、 ゴンドールの烽火のうちのひとつである{s1}を見上げた。
mno_gondor_beacons_close|立ち去る・・・
menu_player_added_to_war_council|^^^^^ただいま伝令があり、 今や{s24}であるあなたも戦略協議に加わるよう、 {s2}から要請を受けました。 これにより、 あなたは戦争の行方に影響を与える、 戦略上の提案ができるようになりました。
mno_player_added_to_war_council_close|閉じる
menu_player_added_to_siege_reports|^^^^^ただいまの伝令によると、 今や{s24}であるあなたにも、 {s2}が敵の拠点を攻撃した際、 または{s2}の拠点が包囲攻撃を受けた際の報告が 届けられるようになったとのことです。
mno_player_added_to_siege_reports_close|閉じる
