qstr_Received_{reg0}_dama|{reg0}のダメージを受けました。
qstr_Learn_about_the_diff|中つ国のさまざまな勢力について調べる
qstr_The_DAWN_of_a_New_Er|新しい時代の夜明け
qstr_The_TWILIGHT_of_Man|人類の黄昏
qstr_Select_your_Race?|種族を選んでください
qstr_Man|人間
qstr_Elf|エルフ
qstr_Dwarf|ドワーフ
qstr_Whom_Do_You_Serve?|誰に仕えますか？
qstr_SAURON_of_Mordor_The|指輪王、モルドールのサウロン
qstr_SARUMAN_of_Isengard_|白の手、アイゼンガルドのサルマン
qstr_an_ORC^_serving_the_|オーク、^瞼のない御目の忠実な下僕
qstr_an_URUK^_the_new_bre|ウルク、^新種のオーク
qstr_a_MAN^_subjugated_by|人間、^サウロンに服従
qstr_an_ORC^_serving_the_W|オーク、^白の手のしもべ
qstr_one_of_the_URUK_HAI^|ウルク＝ハイ、^アイゼンガルドの産
qstr_a_MAN_of_Dunland^_th|褐色人、^西方の平野の住人
qstr_Click_the_center_but|中央のボタンをクリックすると勢力を切り替えます^アバターをクリックすると詳細を表示します
qstr_Level:_{reg3}^Health|レベル:{reg3}^ヒットポイント:{reg4}
qstr_Attributes|属性
qstr_STR^AGI^INT^CHA|体力^敏捷^知性^魅力
qstr_Skills|スキル
qstr_Ironflesh^Power_Stri|鋼の肉体^強打^豪投^弓術^盾防御^アスレチック^乗馬^馬上弓術
qstr_Proficiencies|熟練度
qstr_1H_Weapons^2H_Weapon|片手武器^両手武器^長柄武器^弓^クロスボウ^投てき
qstr_Equipment|装備
qstr_The_Last_Days_Mod_Op|The Last Days Modオプション
qstr_War_Starts_at_Level:|戦争の始まるレベル:
qstr_Restrict_Player_Equi|プレイヤーの装備制限:
qstr_Battle_Formations_an|戦闘陣形とAI:
qstr_Native|Native
qstr_TLD_FormAI__Original|TLD FormAI(オリジナル)
qstr_TLD_New_FormAI|TLD New FormAI
qstr_Siege_AI:__|攻城戦AI:  
qstr_Basic__better_perfor|標準(低負荷)
qstr_Advanced|高度
; qstr_Campaign_difficulty:|Campaign difficulty:  
qstr_Hard|難しい
qstr_Default|標準
qstr_Easy|やさしい
qstr_Cutscenes:__|カットシーン:
qstr_Injuries_for_compani|コンパニオンの負傷:
qstr_Permanent_death_for_|指揮官とコンパニオンが死亡する:
qstr_Permanent_death_for_p|プレイヤーが死亡する(あなたの事ですよ！):
qstr_Battle_morale_system|戦場における士気システム:
qstr_Animal_ambushes:__|動物の襲撃:
qstr_Fallen_rider_damage_|落馬ダメージの報告:
qstr_No_Messages|メッセージなし
qstr_Player_damage_only|プレイヤーのみ
qstr_All_Messages|すべてのメッセージ
qstr_Preferred_Camera_Mod|優先するカメラモード:
qstr_Default_Camera|標準
qstr_Free_Mode_Custom_Cam|カスタムカメラのフリーモード
qstr_Fixed_Over_The_Shoul|肩口からの視点の固定ポジション
qstr_Prevent_AI_from_taki|AIが守備的になるのを無効化:
qstr_Brighter_Nights:__|夜を明るくする:
qstr_Done|完了
qstr_Gameplay_Tweaks|ゲームプレイに関する調整
qstr_Beta_Formations_Twea|ベータ版の陣形の調整
; qstr_Set_to_Native_if_you|Set to Native if you encounter any types of AI problems during battle.
; qstr_Disable_cutscenes_if|Disable cutscenes if you encounter any crashes at the start of the war.
; qstr_Campaign_Difficulty_a|Campaign Difficulty affects abundance of volunteers, lord party size, and strength income for allied factions.
qstr_War_Will_Start_at_Le|レベル{reg0}で戦争開始
; qstr_Be_aware_that_many_q|Be aware that many quests and campaign mechanics scale with player level. Increasing this setting will give you more time to prepare, but will make the war unfold quicker.
qstr_Troop_Tree|兵科ツリー
qstr__Click_on_a_unit_for|(ユニットをクリックすると詳細表示)
qstr_Weapons|武器
qstr_Armors|防具
qstr_Others|その他
qstr_F4___Complex_formati|F4 - 高度な陣形
qstr_F7___Memorize_div._p|F7 - 分隊の位置を保存
qstr_F8___Default_divisio|F8 - 分隊の位置をデフォルトに戻す
qstr_F4___Ranks|F4 - 横陣
qstr_F5___Shield_Wall|F5 - シールドウォール
qstr_F6___Wedge|F6 - くさび形
qstr_F7___Square|F7 - 方陣
qstr_F8___No_Formation|F8 - 陣形なし
qstr_Extended_Formations_|陣形とAIの詳細なオプション
qstr_Put_player_in_divisi|プレイヤーの所属分隊:
qstr_None|なし
qstr_Army_rotates_to_face|敵勢の中心に面するように軍団を回転させる:
qstr_Prevent_AI_from_takin|AIが守備的になるのを無効化:
qstr_AI_Controls_Troops_W|プレイヤーが倒された後にAIが兵を指揮:
qstr_You_gained_{reg0}_Re|{s0}のリソースポイントを{reg0}獲得しました。
qstr_You_lost_{reg0}_Reso|{s0}のリソースポイントを{reg0}失いました。
qstr_{s24}:|{s24}:
qstr_Great_Hope_of_{s5}|{s5}の大いなる希望
qstr_Hope_of_{s5}|{s5}の希望
qstr_Indispensable_Ally_o|{s5}のかけがえのない盟友
qstr_Faithful_Ally_of_{s5|{s5}の誠実な盟友
qstr_Trusted_Friend_of_{s|{s5}の信頼のおける友
qstr_Close_Friend_of_{s5}|{s5}の親しい友
qstr_Friend_of_{s5}|{s5}の友
qstr_Familiar_to_{s5}|{s5}の隣人
qstr_Known_to_{s5}|{s5}の顔なじみ
qstr_Stranger_to_{s5}|{s5}のよそ者
qstr_Great_Enforcer_of_{s|{s5}の偉大なる代弁者
qstr_Enforcer_of_{s5}|{s5}の代弁者
qstr_Important_Ally_of_{s|{s5}の重要な盟友
qstr_Ally_of_{s5}|{s5}の盟友
qstr_Accomplice_of_{s5}|{s5}の共謀者
qstr_Useful_Tool_of_{s5}|{s5}の手足
qstr_Servant_of_{s5}|{s5}の下僕
qstr_Unknown_to_{s5}|{s5}のよそ者
qstr_You_have_been_{reg1?|あなたは{s24}({reg0})に{reg1?昇格:降格}しました！
qstr_You_{reg1?earned:los|あなたの所属する{s11}のランクポイントを{reg11}{reg12?、影響力ポイントを{reg12}:}{reg1?獲得し:失い}ました。
qstr_You_{reg1?earned:lost|{s11}のランクポイントを{reg11}{reg12?、影響力ポイントを{reg12}:}{reg1?獲得し:失い}ました。
qstr_You_spent_{reg10}_of|{s1}への影響力ポイントを{reg10}消費しました。残りは{reg11}です。
qstr_Troop_upkeep:|兵士維持費:
qstr_{s11}_and_{s10}|{s11}、 および{s10}
qstr_their|彼らの
qstr_its|その
qstr_[no_upkeep_costs]|[維持費なし]
qstr_Short_of_Resource_Po|リソースポイントが足りません！！
qstr_{s10}_will_soon_reas|{s10}が、まもなくあなたのパーティから{s12}兵士を呼び戻します！
qstr_Superior_orders_from|{s11}より、次の兵士の異動命令が下されました:
qstr_{reg12}_{s10}_left_t|{reg12}名の{s10}がパーティを離れました！
qstr_Fangorn_claimed_{reg|ファンゴルンの森にて、あなたの部隊のうち{reg0}名が死亡、{reg1}名が負傷しました！
qstr_You_were_wounded_in_|あなたはファンゴルンの森で負傷しました!
qstr_{s1}_of_{s3}_was_def|{s3}の{s1}が戦いに敗れました。
qstr_{s2}_have_razed_{s1}|{s2}が{s1}を壊滅させました！
qstr_Left_for_dead_but_mi|瀕死の状態で放置されていましたが、奇跡的に生き延びました。 {reg1?{reg1} 時間{reg2?s:}:NEVER}
qstr_1_Res.Pt__{s2}_|1リソースポイント({s2})
qstr_{reg1}_Res.Pts__{s2}|{reg1}リソースポイント({s2})
qstr_+30_to_Party_Morale|パーティの士気+30
qstr_+20_to_Party_Morale|パーティの士気+20
qstr_+1_to_Riding_Skill|乗馬スキル+1
qstr_during_battles|(戦闘中のみ)
qstr_+1_to_Pathfinding|経路探索スキル+1
qstr_+2_to_Wound_Treatmen|治療スキル+2(パーティスキル)
qstr_+2_to_Surgery__Party|手術スキル+2(パーティスキル)
qstr_+2_to_Pathfinding__P|経路探索スキル+2(パーティスキル)
qstr_Use_from_Camp_Menu|キャンプメニューから使用します
qstr_Use_from|このアイテムは
qstr_Action_Menu|アクションメニューから使用します
qstr_Bonus_to_Wound_Treat|治療スキルにボーナス(パーティスキル)
qstr_Bonus_to_Surgery__Pa|手術スキルにボーナス(パーティスキル)
qstr_Bonus_to_First_Aid__|応急手当てスキルにボーナス(パーティスキル)
qstr_+1_to_Weapon_Mastery|武器熟練スキル+1
qstr_+1_to_Wound_Treatmen|治療スキル+1
qstr_+1_to_Tactics|戦略スキル+1
qstr_+1_to_Power_Strike|強打スキル+1
qstr_+1_to_Strength|体力+1
qstr_+1_to_Agility|敏捷性+1
qstr_+1_to_Leadership|統率力スキル+1
qstr_+1_to_Wildcraft|ワイルドクラフト+1
qstr_+1_to_Tracking|追跡術+1
qstr_+1_to_Athletics|アスレチックスキル+1
qstr_when_equipped|(要装備)
qstr_+1_to_Power_Draw|弓術スキル+1
qstr_The_record_of_Balin_|失踪したバーリン一団の記録。
qstr_Who_might_be_interes|これに興味を持つとしたら、誰が考えられるだろう？
qstr_Bonus_to_Shield_Skil|盾防御スキルにボーナス
qstr_Turns_nature_to_your|自然が味方になる
qstr_when_equipped.__Effe|(要装備) (効果はワイルドクラフトのスキルに依存)
qstr_Bonus_to_Power_Strik|強打スキルにボーナス
qstr_+1_to_Trainer|訓練スキル+1
qstr_Recruits_Tribal_Orcs|部族オークを徴用可能
qstr_rally|檄の回数
qstr_rallies|檄の回数
qstr_+{reg1}_{s3}_in_batt|戦場で{s3}に+{reg1}
qstr_+1_to_Charisma|魅力+1
qstr_Call_Reinforcements|増援を呼ぶ
qstr__Effect_scales_with_|(効果は体力と魅力に依存)
qstr_+1_to_First_Aid|応急手当てスキル+1
qstr_+1_to_Surgery|手術スキル+1
qstr_+1_to_Intelligence|知性+1
qstr_+2_to_Surgery|手術スキル+2
qstr_+1_to_Riding|乗馬スキル+1
qstr_+1_to_Mounted_Archer|馬上弓術+1
qstr_Bonus_to_Riding|乗馬スキルにボーナス
qstr_when_equipped.__Effec|(要装備) (効果は体力に比例)
qstr_Orcs:_+1_Riding_Requ|オーク種は要求乗馬スキル+1
qstr_+1_to_Prisoner_Mgmt|囚人管理スキル+1
qstr_+2_to_Tactics|戦略スキル+2
qstr_+1_Intelligence|知性+1
qstr_+{reg1}_to_Spotting|観測術+{reg1}
qstr__Scales_with_Wildcra|(効果はワイルドクラフトのスキルに比例)
qstr_Strengthens_all_Hero|プレーヤーとすべてのコンパニオンを強化
qstr_+2_to_First_Aid__Par|応急手当てスキル+2(パーティスキル)
qstr_lead_more_Uruks|より多くのウルクを指揮可能
qstr_+1_to_Power_Throw|豪投+1
; qstr_Recruit_Black_Numeno|Recruit Black Numenoreans from various places
; qstr__Scales_with_Charism|(Scales with Charisma. Human leaders only.)
qstr_+1_to_Spotting|観測術+1
qstr_+2_to_Weapon_Master|武器熟練スキル+2
qstr_+2_to_First_Aid|応急手当てスキル+2
qstr_Less_Dunnish_upkeep|褐色人の維持費が低下
qstr_Less_Wargs_upkeep|ワーグ騎兵の維持費が低下
qstr_Light_Armor|軽装鎧
qstr_Bonus_to_Strength__P|体力にボーナス (プレイヤーのみ)
qstr_Lead_more_Orcs|指揮可能なオークの数が増大
; qstr_Can_scare_horses|Can scare horses
qstr_+{reg1}_to_Party_Mor|パーティの士気+{reg1}
qstr_Range:_{reg55}|範囲: {reg55}
qstr_Dwarves|ドワーフ
; qstr_Humans_and_Elves|Humans and Elves
; qstr_Orcs|Orcs
; qstr_Uruks_and_Uruk_Hai|Uruks and Uruk-Hai
; qstr_Humans_Uruks_and_Uru|Humans, Uruks, and Uruk-Hai
; qstr_Humans|Humans
; qstr_This_item_can_be_use|This item can be used by {s2}
qstr_Do_you_want_to_disem|上陸しますか？
qstr_Move_here|ここへ移動
qstr_View_notes|詳細を見る
qstr_Looted_your_items|略奪されたあなたの持ち物
qstr_nothing|なし
qstr_Good|良
qstr_Med|平凡
qstr_Bad|悪
qstr_You_gained_{reg84}_e|知力により、{reg84}の経験値を獲得しました。
qstr_You_gained_{reg84}_w|敏捷性により、{reg84}の武器ポイントを獲得しました。
qstr_{reg4}_killed_{reg5}|{reg4}名死亡、{reg5}名負傷、{reg6}名離脱
qstr_{reg4}_killed_{reg5}_|{reg4}名死亡、{reg5}名負傷
qstr_{reg4}_killed_{reg5}_r|{reg4}名死亡、{reg5}名離脱
qstr_{reg4}_wounded_{reg5|{reg4}名負傷、{reg5}名離脱
qstr_killed|死亡
qstr_routed|離脱
qstr_wounded|負傷
qstr_{s0}^TOTAL:_{reg3}__|{s0}^合計:{reg3}({s2})
qstr_^None|^なし
qstr_near_the_Great_East_|東街道の近くにある、 荒れ果てたむかしの道
qstr_near_what_is_left_of|その一部をかろうじて残す古森街道の近くにある、 かつてこの深い森を横切っていた古代のドワーフ道
qstr_close_to_the_Hand_sh|オルサンクの塔の方角を指し示す、 手の形をしたサルマンの印の近く
qstr_in_sight_of_the_maje|白の都、ミナス・ティリスの壮大な城壁を望む一帯
qstr_in_sight_of_Edoras_t|ローハンの首都、エドラスを望む一帯
qstr_in_sight_of_the_Horn|ローハンの大要塞、角笛城を望む一帯
qstr_in_sight_of_Dol_Amro|ベルファラスの大公の居住地、ドル・アムロスを望む一帯
qstr_in_sight_of_the_Mora|モルドールの黒門、モランノンを望む一帯
qstr_in_sight_of_Dol_Guld|サウロンの北方の要塞、ドル・グルドゥアを望む一帯
qstr_on_the_green_pasture|ビヨルンの家のまわりに広がるたくさんの花の咲く草地と、 青々とした牧草地
qstr_on_the_shores_of_Lak|モリアの東門に近い、鏡の湖の岸辺
qstr_on_the_shores_of_the|湖の町、エスガロスの見える、たての湖の岸辺
qstr_near_the_coast_of_Go|遠くにカモメの鳴き声や波の音の聞こえる、 ゴンドール沿岸付近
qstr_in_the_outskirts_of_|ゴンドールのかつての首都、オスギリアスの郊外
qstr_in_sight_of_the_entr|ドワーフの要塞、エレボールの城門を望む一帯
qstr_in_sight_of_the_dark|闇の塔、オルサンクを望む一帯
qstr_near_the_Old_Ford_wh|むかしの渡り場の近くの、 古森街道がアンドゥインの大河を渡るところ
qstr_near_a_big_ford_cros|大きな浅瀬が{s15}の川を渡るところ
qstr_near_a_small_ford_cr|小さな浅瀬が{s15}の川を渡るところ
qstr_Battle_Advantage_=_戦闘の優位性 = {reg0}。"
qstr_{s9}_wants_you_to_re|{s9}は、次の指示があるまで、再び彼の軍に同行するよう求めています。
qstr__Being_Raided_|(襲撃されています)
qstr__Looted_|(略奪済み)
qstr__Under_Siege_|(包囲攻撃を受けています)
qstr_{s3}_is_no_longer_un|{s3}の包囲が解かれました。
qstr_Enemies_spotted_near|{s1}付近で敵勢を発見しました。
qstr_Your_relation_with_{|あなたと{s1}の関係が向上しました。
qstr_Your_relation_with_{s|あなたと{s1}の関係が悪化しました。
qstr_{s1}_gained_faction_|{s1}の勢力ポイントが上がりました！
qstr_{s1}_lost_faction_st|{s1}の勢力ポイントが下がりました！
qstr_{s2}_{reg3?was:is_cu|{s2}は{reg3?:現在}、{s3}に{reg3?いた:いるはずだ}。
qstr_{s2}_{reg3?was:is}_t|{s2}は{s3}を目指し、 {reg3?:現在}{s4}付近を移動中{reg3?だった:だ}。
qstr_{s2}_{reg3?was:is}_i|{s2}は{reg3?:現在}、{s3}付近に{reg3?いた:いるはずだ}。
qstr_{s2}_{reg3?was:is}_b|{s2}は{s3}で囚われの身となってい{reg3?た:る}。
qstr_{s2}_{reg3?was:has_b|{s2}は敵の捕虜になってい{reg3?た:る}。
qstr_{reg3?{s2}_s_locatio|{reg3?{s2}の消息は不明だ:{s2}の行方はわからない}。
qstr_{s6}_has_joined_your|{s6}があなたのパーティに加わりました
qstr_elven|エルフ
qstr_dwarven|ドワーフ
qstr_orc|オーク
qstr_uruk|ウルク
qstr_uruk_hai|ウルク＝ハイ
qstr_trollish|トロル
qstr_man|人間
qstr_riding|突撃して
qstr_marching|行軍して
qstr_charging|襲撃して
qstr_We_know_this_is_your|{playername}よ、 ここがおぬしらの領土であることは承知している。 おぬしと我らの敵は同じである、という事を信じてもらいたい。
qstr_I_trust_you._{s20}_a|信じよう。{s20}と{s21}は、 互いに友好関係を築かなければならない。
qstr_There_is_wisdom_in_y|さすがは{playername}。 おぬしは冷静な判断ができるようだ。
qstr_Why_should_I?_Better|信じろだと？すぐにこの {s20}の地から去れ。
qstr_We_will_go_in_peace_|我々の任務さえ果たせばすぐに立ち去ろう。 残念ながら、任務の内容を明かすことはできない。
qstr_Is_this_your_land_{p|ここはおぬしらの土地か、{playername}？ひどいところだな。 まあ安心しろ、我が部隊は我らが主人の命令に従って {s20}に来たまでだ。
qstr_Yes_go_on_do_whateve|では{s22}の命令に従って、 さっさと任務を遂行するがいい。
qstr_Of_course.|もちろんだ。
qstr_I_don_t_like_this._W|気に入らんな。はるばる{s21}から そんなに大勢を引き連れて来て、何が目的だ？
qstr_Do_you_fear_us_{play|何を恐れるのか、{s20}の {playername}よ。 フーム、{s22}に対して、 何かうしろめたい事でもあるのか？^^我々の事は放っておいてもらおう、さすれば誰にも危害は加えない。
qstr_It_s_a_servant_of_{s|{s22}の手下だな。 {s23}の名を恐れるがいい、 {playername}！
qstr_Our_allies_are_you?_|我が友軍だな？ここは通してもいいだろう。
qstr_And_we_shall_not_kil|ならば、おぬしを殺すのはまたの機会にしよう。
qstr_This_land_belongs_to|ここは{s20}の領土だ・・・ {s23}が一体、何の用だ。
qstr_We_will_stay_as_long|我らが主人の命令がある限り、我が部隊はここに滞在する！ まあ安心しろ、おぬしを殺しに来たのではない。
qstr_You_wear_the_colors_|その身なりは{s20}の者だな。 {s21}に何をしに来た？ さっさと答えろ！
qstr_We_are_pursuing_our_|敵を追ってきたのだ。その敵はおぬしらの敵でもある！
qstr_Maybe._Or_maybe_you_|そうかも知れんが、おまえたちが間者である可能性もある。 {s20}の兵士よ、おまえたちの土地へ帰れ。
qstr_We_are_friends_of_{s|我々は{s21}の友だ。
qstr_Time_will_tell_if_yo|おぬしが真実を吐いているかどうかは、時が教えてくれるだろう。 この時勢では、敵か友かを見極めるのは難しい。
qstr_What_are_you_doing_h|{s20}のクズめ、 {s21}の土地で何をしている？ ここは我々の領土だ、 おぬしらのものではない！
qstr_You_dare_question_di|{s23}直々の命令に、 文句をつけるつもりか？
qstr_Guess_not._But_I_sti|そういうわけではない。だが、 おぬしがこのあたりをうろつくのは気に入らん。おぬしから目は離さんぞ、 {s20}の{playername}。
qstr_None_of_your_busines|おまえなどに用は無い、この豚め！
qstr_*growls*^You_should_|*咆哮*^我らと主人を同じくした事を幸運に思うがいい。 本来ならば侵入者は許されんぞ！
qstr_What_are_you_doing_s|{s22}の奴隷が、 はるばるこの地まで来て何をしている？ ここの支配者は{s23}だぞ！
qstr_Quiet!_I_didn_t_came|わめくな！おまえの首が目的ではない。今回は、な。
qstr_And_I_ve_orders_to_l|まあ、おぬしの事は見逃すように言われている。いまのところはな。
qstr_None_of_your_business|おまえに用はない。
qstr_You_slaves_of_{s22}_|おまえら{s22}の奴隷どもは、 弱い！ われらの友軍におさまれて、 幸運だったな・・・
qstr_Look_whom_we_meet_so|おい、はるばるこの地までやってきた我らを、出迎える者の顔をみてみろ。 {s20}の兵士どもだ！ これは喜ぶべきか、不運を嘆くべきなのか。
qstr_{s20}_and_{s21}_figh|{s20}と{s21}は、 共通の目的を持って戦っている。 この敵地では、 お互い協力するべきだ。
qstr_In_these_dark_times_|{playername}よ。この暗い時代では、 みな自分の事で頭が一杯のようだ。 だが我らは、おぬしの旅の無事を祈ろう。
qstr_Neither_good_nor_bad|おぬしの意見などどうでもよい。我らの任務に首を突っ込まないでもらおう。
qstr_Everybody_on_his_way|みなそれぞれの進むべき道がある、という事だろうな。
qstr_What_are_you_trying_|{s20}のクズめ、 おまえの目的は何だ？ 我らの戦利品を横取りに来たのか？
qstr_Ha!_Soon_there_will_|フン！まもなく捌ききれない程の戦利品が手に入るだろう。
qstr_Yes._Unless_you_get_|その通りだ。その前に死ななければな。
qstr_You_don_t_get_any_sp|死んだら手に入るものも手に入らんぞ、 {s21}のクズめ。
qstr_Is_that_a_threat?_Be|それは脅しか？倒すべき敵が多すぎて、お前を殺すのはだいぶ後回しだ。 自分の幸運に感謝しろ。
qstr_The_enemy_is_upon_us|敵が寄せてきたぞ！^
qstr_They_are_upon_us!_^|敵がこちらに向かってくるぞ！^
qstr_{playername}_and_{hi|{s18}の{playername}と、 手下の烏合の衆がやって来たぞ！^
qstr_ORCS!_ORCS!|オークだ！オークだぞ！
qstr_ORCS!_ORCS!_Fight_fo|オークだ！オークだぞ！死にたくなければ戦え！
qstr_Elven_ghosts!|エルフの亡霊どもめ！
qstr_Here_they_come!_Hold|来たぞ！陣を整えろ！
qstr_We_are_under_attack!|敵襲だ！
qstr_Horse_people!_The_ho|馬乗りだ！馬乗りどもが攻めてきたぞ！
qstr_Men_from_the_White_C|白の都の連中だな？来るがいい、望み通り死なせてやろう！
qstr_Death_to_men!|人間どもに死を！
qstr_Kill_the_maggots!|虫けらどもを踏み潰せ！
qstr_Death_to_traitors_of|御目の裏切り者どもに、死を！
qstr_Death_to_traitors_of_|白の手の裏切り者どもに、死を！
qstr_{s14}Kill_them_all!_|{s14}皆殺しだ！ 捕虜はいらんぞ！
qstr_Tonight_we_feast_on_|今宵は{s15}の肉を肴に宴だ！
qstr_Gharr!_Kill!_Kill!_K|ガアア！殺せ！殺せ！殺せ！
qstr_Slaughter_these_half|あの半人間どもを殺せ！
qstr_Fear_no_elven_ghosts|エルフの亡霊どもなど恐れるな！
qstr_{s14}Double_rations_|{s14}一番多くの首級を挙げた者の褒美は、倍だ！
qstr_{s14}Double_rations_t|{s14}{s15}の首級を一番多くの挙げた者の褒美は、倍だ！
qstr_{s14}Kill_these_hors|{s14}あの馬泥棒どもを殺せ！
qstr_Kill_them_all!_Take_|皆殺しにしろ！盗まれたものを取り戻せ！
qstr_Tonight_there_will_b|{s16}の敵を滅ぼせ！
qstr_Baruk_Khazd!_Khazd_a|バルク・カザド！カザド・アイ＝メヌ！
qstr_{s14}Riders_of_Rohan|{s14}ローハンの馬乗りたちよ！ 我々の守るべきものを忘れるな！
qstr_{s14}More_{s19}heads|{s14}黒門にぶら下げる{s19}の首が、 たくさん手に入るな！
qstr_The_Wise_Master_shal|{playername}の死体を持ち帰れば、 我らが主人はお喜びになるだろう！
qstr_{s14}Now_we_will_put|{s14}われらの手で、 あの不浄な者どもを苦悩から開放してやろう。
qstr_{s14}Today_we_shall_|{s14}これより、 イムラドリスと清きものすべての敵を打ち倒す。
qstr_All_who_enter_Mirkwo|悪意を持って闇の森に足を踏み入れる者は、生きて森を出る事はないぞ！
qstr_Men_of_{s16}_the_ene|{s16}の諸君、 我らの敵は目の前にある！ 我らの土地を守れ！
qstr_Men_of_{s16}_charge!|{s16}の諸君、 突撃だ！ 我らの土地を守れ！
qstr_{s14}Grind_their_bod|{s14}やつらの死体を、 砂漠の砂にしてしまえ！
qstr_{s14}Dwarves_or_men_|{s14}ドワーフだろうが人間だろうが、 獰猛さで我らの右に出るものなどおらぬ！
qstr_{s14}Elves_or_men_th|{s14}エルフだろうが人間だろうが、 獰猛さで我らの右に出るものなどおらぬ！
qstr_{s14}Flesh_to_shatte|{s14}のどを切り裂き、 肉体を粉砕し、 血しぶきをあげろ！
qstr_Put_on_the_masks_of_|皆の者、戦いの仮面をつけろ！ {s18}の者どもに死をもたらすのだ！
qstr_They_seek_the_tempes|嵐を求めてさまよっているようだな。望み通りにしてやろう！^野郎ども、戦闘準備！
qstr_Draw_your_weapons_me|嵐のなかに放り込んでやろう。野郎ども、武器をとれ！
qstr_Orcs_of_{s16}_get_re|{s16}のオークども、 戦闘準備！ のど笛を思う存分にかき切ってやれ！
qstr_These_friend_of_elve|エルフに味方するものは、すべて我らが剣のさびにしてくれる！
qstr_These_Elves_will_fal|エルフどもは、すべて我らが剣のさびにしてくれる！
qstr_Raahh!_Draw_your_wea|ガアア！ {s16}のろくでなしども、 武器をとれ！ 今宵は{s15}のはらわたを肴に宴だ！
qstr_Rha!_{s14}More_{s15}|ラア！{s14}また{s15}の体が手に入るぞ！ このねじれた武器で、あいつらの体をもっともっと切り刻むんだ！
qstr_Slaughter_these_puny|{s18}の貧弱な盗賊どもは、 ここで皆殺しだ！ やつらの村に残った者も皆殺しにして、 村は焼き払うぞ！
qstr_Death_to_the_trespas|{s16}への侵入者には、 死だ!
qstr_CHARGE!_Let_s_clear_|突撃！ {s18} {s19}のクズどもを、 {s17}から一掃するぞ！
qstr_{s14}Now_that_{s19}s|{s14}{s19}のクズめ、 我ら熊人の怒りをたっぷり味わえ！
qstr_Attack!|攻撃！
; qstr_You_are_attacked_by_|You are attacked by a group of bandits!
qstr_Holding|待機
qstr_Following|追従
qstr_Charging|突撃
qstr_Advancing|前進
qstr_Falling_Back|後退
qstr_Standing_Closer|密集
qstr_Spreading_Out|散開
qstr_Standing|待機
qstr_N/A|N/A
qstr_Free|自由
qstr_Any_Weapon|得意武器
