str_yes|Sim.
str_do_you_wish_to_leave_tutorial|Você deseja sair do tutorial?
str_do_you_wish_to_surrender|Deseja se render?
str_can_not_retreat|Não podemos recuar, existem inimigos por perto!
str_s1_joined_battle_enemy|{s1} juntou-se a batalha do lado inimigo.
str_s1_joined_battle_friend|{s1} juntou-se a batalha do seu lado.
str_entrance_to_town_forbidden|Os guardas da cidade estão alertas para intrusos e parece que você não vai conseguir passar pelos portões despercebido.
str_sneaking_to_town_impossible|Os guardas da cidade estão alarmados. Você não conseguiria se esgueirar pelo portão não importa o quão bem se disfarsace.
str_battle_won|Você venceu a batalha!
str_battle_lost|Você perdeu a batalha!
str_player_down|Você foi eliminado, mas suas tropas continuam a lutar!
str_attack_walls_success|Depois de uma luta sangrenta, seus bravos soldados conseguem escalar as paredes do inimigo.
str_attack_walls_failure|Seus soldados morrem em ondas conforme atacam os muros, e os poucos que sobrevivem logo batem em retirada e fogem, para nunca mais ser vistos.
str_attack_walls_continue|Uma batalha sangrenta se desdobra e ambos os lados lutam com igual valentia. Porém, mesmo com os esforços de suas tropas, o castelo permanece em mãos inimigas.
str_order_attack_success|Seus homens lutam bravamente e derrotam os inimigos.
str_order_attack_failure|Você observa a batalha desesperado conforme o inimigo aniquila seus soldados, então facilmente afugenta os poucos e esfarrapados sobreviventes.
str_order_attack_continue|Mesmo promovendo uma batalha longa, suas tropas não conseguiram uma vitória definitiva.
str_join_order_attack_success|Seus homens lutam bem ao lado de seus aliados, compartilhando a glória quando seus inimigos são derrotados.
str_join_order_attack_failure|Você observa a batalha desesperado conforme o inimigo aniquila seus soldados, então facilmente afugenta os poucos e esfarrapados sobreviventes.
str_join_order_attack_continue|Mesmo promovendo uma batalha longa, suas tropas não conseguiram uma vitória definitiva.
str_siege_defender_order_attack_success|Os homens da guarnição defendem seus muros com habilidade e coragem, quebrando o assalto inimigo e habilidosamente transformando uma vitória certa em uma derrota completa.
str_siege_defender_order_attack_failure|O assalto rapidamente se transforma em um banho de sangue. Os esforços valentes de nada servem; a guarnição superestimada não conseguiu defender os muros, e o inimigo passa todos os defensores pela espada.
str_siege_defender_order_attack_continue|Repetidas vezes, tentativas sangrentas de tomar os muros falham, mas ainda restam muitos inimigos para que os defensores comemorem a vitória definitiva. O cerco continua.
str_hero_taken_prisoner|{s1} de {s3} foi feito prisioneiro por {s2}.
str_hero_freed|{s1} de {s3} foi libertado do cativeiro por {s2}.
str_center_captured|{s2} capturou {s1} de {s3}!
str_troop_relation_increased|Sua relação com {s1} aumentou de {reg1} para {reg2}.
str_troop_relation_detoriated|Sua relação com {s1} deteriorou de {reg1} para {reg2}.
str_faction_relation_increased|Sua relação com {s1} aumentou de {reg1} para {reg2}.
str_faction_relation_detoriated|Sua relação com {s1} deteriorou de {reg1} para {reg2}.
str_party_gained_morale|Seu destacamento ganhou {reg1} em moral.
str_party_lost_morale|Seu destacamento perdeu {reg1} em moral.
str_qst_follow_spy_noticed_you|O espião te viu! Ele está tentando escapar!
str_father|pai
str_husband|marido
str_wife|esposa
str_daughter|filha
str_mother|mãe
str_son|filho
str_brother|irmão
str_sister|irmã
str_he|Ele
str_she|Ela
str_s3s_s2|{s2} de {s3}
str_s5_is_s51|{s5} é {s51}.
str_s5_is_the_ruler_of_s51|{s5} é o governante de {s51}. 
str_s5_is_a_nobleman_of_s6|{s5} é um nobre de {s6}. 
str_relation_mnus_100|Anseia por vingança
str_relation_mnus_90|Quer muito vingança
str_relation_mnus_80|Quer vingança
str_relation_mnus_70|Odeia muito
str_relation_mnus_60|Odeia
str_relation_mnus_50|Hostil
str_relation_mnus_40|Com raiva
str_relation_mnus_30|Ressentido
str_relation_mnus_20|Descontente
str_relation_mnus_10|Desconfiado
str_relation_plus_0|Indiferente
str_relation_plus_10|Disposto a ajudar
str_relation_plus_20|           Boas-vindas
str_relation_plus_30|Favoravel
str_relation_plus_40|Disposto a apoiar
str_relation_plus_50|Amigável
str_relation_plus_60|Amavel
str_relation_plus_70|Afeiçoado
str_relation_plus_80|Leal
str_relation_plus_90|Dedicado
str_relation_mnus_100_ns|{s60} Anseia por vingança contra você.
str_relation_mnus_90_ns|{s60} quer muito vingança contra você.
str_relation_mnus_80_ns|{s60} quer vingança contra você.
str_relation_mnus_70_ns|{s60} te odeia muito.
str_relation_mnus_60_ns|{s60} te odeia.
str_relation_mnus_50_ns|{s60} é hostil com você.
str_relation_mnus_40_ns|{s60} está com raiva de você.
str_relation_mnus_30_ns|{s60} está ressentido com você.
str_relation_mnus_20_ns|{s60} está descontente com você.
str_relation_mnus_10_ns|{s60} desconfia de você.
str_relation_plus_0_ns|{s60} é indiferente a você.
str_relation_plus_10_ns|{s60} está disposto a ajudar.
str_relation_plus_20_ns|{s60} é acolhedora em sua direção.
str_relation_plus_30_ns|{s60} é favorável a você.
str_relation_plus_40_ns|{s60} está disposto a te apoiar.
str_relation_plus_50_ns|{s60} é amigável com você.
str_relation_plus_60_ns|{s60} é amável com você.
str_relation_plus_70_ns|{s60} é afeiçoado a você.
str_relation_plus_80_ns|{s60} é leal a você.
str_relation_plus_90_ns|{s60} é dedicado a você.
str_relation_reg1| Relação: {reg1}
str_center_relation_mnus_100|O povo te odeia com paixão
str_center_relation_mnus_90|O povo te odeia intensamente
str_center_relation_mnus_80|O povo te odeia fortemente
str_center_relation_mnus_70|A população odeia você
str_center_relation_mnus_60|A população é odiosa com você
str_center_relation_mnus_50|A população é extremamente hostil a você
str_center_relation_mnus_40|A população é muito hostil a você
str_center_relation_mnus_30|A população é hostil a você
str_center_relation_mnus_20|A população está contra você
str_center_relation_mnus_10|A população se opõe a você
str_center_relation_plus_0|A população é indiferente a você
str_center_relation_plus_10|A população te aceita
str_center_relation_plus_20|A população é cooperativa para você
str_center_relation_plus_30|A população te apoia algumas vezes
str_center_relation_plus_40|A população te apoia
str_center_relation_plus_50|A população te apoia muito
str_center_relation_plus_60|A população é leal a você
str_center_relation_plus_70|A população é muito leal a você
str_center_relation_plus_80|A população é devota a você
str_center_relation_plus_90|A população é devota a você ardentemente
str_town_prosperity_0|A pobreza da cidade de {s60} é indescritível
str_town_prosperity_10|A miserável cidade de {s60} está praticamente deserta.
str_town_prosperity_20|A cidade de {s60} parece um lugar lamentável, desolado.
str_town_prosperity_30|A cidade de {s60} parece pobre e negligenciada.
str_town_prosperity_40|A cidade de {s60} parece estar em dificuldades.
str_town_prosperity_50|A cidade de {s60} é comum.
str_town_prosperity_60|A cidade de {s60} parece estar florecendo.
str_town_prosperity_70|A próspera cidade de {s60} está explodindo de atividade.
str_town_prosperity_80|A cidade de {s60} parece rica e bem mantida.
str_town_prosperity_90|A cidade de {s60} é rica e cheia de pessoas de bem.
str_town_prosperity_100|A brilhante cidade de {s60} ostenta abertamente sua grande riqueza.
str_village_prosperity_0|A pobreza da vila de {s60} é indescritível.
str_village_prosperity_10|A vila de {s60} parece lamentavelmente pobre e miserável.
str_village_prosperity_20|A vila de {s60} parece muito pobre e desolada.
str_village_prosperity_30|A vila de {s60} parece pobre e negligenciada.
str_village_prosperity_40|A vila de {s60} parece estar em dificuldades.
str_village_prosperity_50|A vila de {s60} parece comum.
str_village_prosperity_60|TA vila de {s60} parece estar florecendo.
str_village_prosperity_70|A vila de {s60} parece estar prosperando.
str_village_prosperity_80|TA vila de {s60} parece rica e bem mantida.
str_village_prosperity_90|A vila de {s60} parece muito rica e próspera.
str_village_prosperity_100|A vila de {s60}, cercada por vastos campos férteis, parece imensamente rica.
str_war_report_minus_4|nós estamos a ponto de perder a guerra
str_war_report_minus_3|a situação parece difícil
str_war_report_minus_2|as coisas não estão indo muito bem para nós
str_war_report_minus_1|nós ainda podemos vencer a guerra se nos reagruparmos
str_war_report_0|nós estamos em pé de igualdade com nossos inimigos
str_war_report_plus_1|nós temos uma boa chance de vencer a guerra
str_war_report_plus_2|as coisas estão indo muito bem
str_war_report_plus_3|devemos vencê-los facilmente
str_war_report_plus_4|estamos a ponto de vencer a guerra
str_persuasion_summary_very_bad|Você tenta o seu melhor para persuadir {s50}, mas nenhum dos seus argumentos parece soar corretamente. Toda vez que você parece estar conseguindo algo, você parece dizer alguma coisa completamente errada que te leva de volta a estaca zero. Quando a conversa termina, você falhou em formar um único ponto coerente a seu favor, e percebe que tudo o que fez foi piorar as coisas. Obviamente, {s50} não parece impressionado.
str_persuasion_summary_bad|Você tenta persuadir {s50}, mas {reg51?ela:ele} te contorna. Mesmo os seus melhores argumentos soam vazios aos seus próprios ouvidos. {s50}, da mesma forma, não formou uma opinião clara a respeito do que você tinha a dizer.
str_persuasion_summary_average|{s50} acaba por ser habilidoso com as palavras, alem de possuir uma mente afiada, e você não consegue pensar em nada concreto que {reg51?ela:ele} não possa rebater com um ponto racional. No fim, nenhum de vocês consegue convencer o outro.
str_persuasion_summary_good|Através de pensamento rápido e argumentos bem colocados, você consegue expressar bem sua opinião, forçando {s50} a concordar em varios pontos. Porém, {reg51?ela:ele} ainda está em dúvida quanto ao seu pedido.
str_persuasion_summary_very_good|Você faz um discurso apaixonado que ecoa como poesia pelos ouvidos de todos que escutam. O mundo parece se calar para ouvir você melhor. As palavras inspiradoras tocaram {s50} profundamente, e {reg51?ela:ele} parece muito mais {reg51?disposta:disposto} a te ajudar.
str_surname_1|{s50} de Tarnost
str_surname_2|{s50} de Lossarnach
str_surname_3|{s50} de Erech
str_surname_4|{s50} de Edhellond
str_surname_5|{s50} de Pelargir
str_surname_6|{s50} de Linhir
str_surname_7|{s50} de Ethring
str_surname_8|{s50} de Aldburg
str_surname_9|{s50} de Isengard
str_surname_10|{s50} de Dobraoeste
str_surname_11|{s50} de Erebor
str_surname_12|{s50} de Dobraleste
str_surname_13|{s50} de Morannon
str_surname_14|{s50} de Cirith Ungol
str_surname_15|{s50} de Osgiliath
str_surname_16|{s50} de Moria
str_surname_17|{s50} de Dale
str_surname_18|{s50} de Esgaroth
str_surname_19|{s50} de Dol Guldur
str_surname_20|{s50} de Gundabad
str_surname_21|{s50} o Longo
str_surname_22|{s50} o Descarnado
str_surname_23|{s50} o Nazgul
str_surname_24|{s50} o Pardal
str_surname_25|{s50} o Amaldiçoado
str_surname_26|{s50} o Marcado
str_surname_27|{s50} o Justo
str_surname_28|{s50} o Impiedoso
str_surname_29|{s50} o Vermelho
str_surname_30|{s50} o Negro
str_surname_31|{s50} o Alto
str_surname_32|{s50} o Olhos estrelados
str_surname_33|{s50} o Destemido
str_surname_34|{s50} o Mordedor de árvores
str_surname_35|{s50} o Esperto
str_surname_36|{s50} o Covarde
str_surname_37|{s50} o Brilhante
str_surname_38|{s50} o Rápido
str_surname_39|{s50} o Menestrel
str_surname_40|{s50} o Forte
str_surname_41|{s50} o Precipitado
str_number_of_troops_killed_reg1|Tropas inimigas abatidas: {reg1}
str_number_of_troops_wounded_reg1|Tropas inimigas incapacitadas: {reg1}
str_number_of_own_troops_killed_reg1|Tropas aliadas abatidas: {reg1}
str_number_of_own_troops_wounded_reg1|Tropas aliadas incapacitadas: {reg1}
str_retreat|Retirada!
str_siege_continues|A luta continua...
str_casualty_display|Suas baixas: {s10}^Baixas inimigas: {s11}{s12}
str_casualty_display_hp|^Você foi incapacitado tomando {reg1} pontos de vida.
str_quest_log_updated|Registro de missão foi atualizado...
str_banner_selection_text|Você recebeu o direito de carregar um brasão. Seu brasão significa seu lugar na hierarquia e te confere honra. Qual será seu brasão?
str_retirement_text_1|Você percebe muito tarde que seu dinheiro não irá durar. Não demora até que você gaste o pouco que guardou, você tenta desesperadamente recomeçar a vida de aventureiro mas falha miseravelmente. Você termina como um mendigo em {s9}, vivendo de esmolas e da caridade da igreja.
str_retirement_text_2|Você percebe muito tarde que seu dinheiro não irá durar. Não demora até que você gaste o pouco que guardou. Depois que cada denário se foi você é forçado a ingressar em uma vida de crimes nos becos escuros de {s9}, usando suas habilidade para prolongar a vida roubando asses de mulheres e pobres cidadãos.
str_retirement_text_3|Você percebe muito tarde que seu dinheiro não irá durar. Não demora até que você gaste o pouco que guardou, e você termina sem nenhum asse, indo de taverna em taverna pedindo bebidas a clientes indulgentes em troca de histórias de guerra que ninguém nunca acredita.
str_retirement_text_4|O dinheiro que você guardou não dura muito tempo, mas você consegue o suficiente para comprar um pouco de terra proximo a vila de {s7}. Ali você se torna um fazendeiro, e logo começa a atrair {esposas/maridos} em potencial. Após algum tempo os moradores passam a te tratar como um herói local. Você sempre recebe um lugar de honra nos banquetes, e seus feitos são contados e recontados nos bares e tavernas para que assim as crianças possam manter sua memória viva para sempre.
str_retirement_text_5|O dinheiro que você guardou não dura muito tempo, mas é o bastante para comprar uma pequena taverna em {s9}. Apesar de os moradores locais desconfiarem de você a princípio, eles logo te aceitam em seu meio. Com o passar do tempo sua taverna se torna um salão de festas popular, alem de um ponto de referencia. Pessoas viajam milhas para comer ou passar a noite devido ao seu renome e as épicas historias que você conta dos seus dias de aventureiro.
str_retirement_text_6|Você economizou sabiamente durante sua carreira, e agora seu dinheiro e sua inteligencia tornam possivel que você faça excelentes investimentos para cementar seu futuro. Depois de comprar varias lojas e armazens em {s9}, sua astúcia faz de você um dos mais proeminentes mercadores da cidade, e você rapidamente se torna um {homem/mulher} rico conhecido tanto pelo seu império comercial quanto pelos seus feitos em batalha.
str_retirement_text_7|Como um membro da nobreza menor, seu futuro está praticamente assegurado. Você se instala em seu imóvel em {s7}, administrando a vila e seus campos, presidindo a corte local e cumprindo suas obrigações ao seu soberano. Ocasionalmente seu soberano chama você para convocar seus vassalos e comandar suas campanhas, mas essas tarefas são rapidas, e você nunca retorna realmente as aventuras de seus dias passados. Você ja fez sua fortuna. Com seu próprio salão e posses, existem poucas coisas que sua riqueza pessoas e renda das terras não podem comprar.
str_retirement_text_8|Não há duvidas que você fez muito bem a você mesmo. Suas extensivas posses e riquezas são suficientes para garantir a você uma vida rica e fácil até o fim dos seus dias. Retirando-se para seu lugar de nobre em {s8}, você troca aventuras por política, e rapidamente se estabelece como um poder consideravel no reino de seu soberano. Com intrigas para se ocupar, suas próprias florestas para caçar, um salão para se banquetear e centenas de histórias de guerra para contar, você tem muito pouco com o que se preocupar nos anos que seguem.
str_retirement_text_9|Como recompensa pelo seu leal e competente serviço, seu soberano decretou que fosse dado a você um título, se juntando assim, a nobreza do reino. logo você recebe seu título formalmente, Barão de {s7}, e se torna um dos mais próximos conselheiros de seu soberano. Seu renome garante a você grande influencia e evidente poder político. Agora você passa seus dias jogando os jogos de poder, administrando seus grandes feudos, e relembrando os velhos tempos de aventura e glória.
str_retirement_text_10|Apesar de ter começado humildemente, seu soberano tem você em alta estima, e uma onda de surpresa passa pelo reino quando ele te nomeia {conde/condessa} de {s9}. Vastos feudos e fortunas são suas agora para governar. Você rapidamente se torna o conselheiro no qual seu soberano mais confia, quase seu igual e responsável por grande parte das ações do reino, você se senta em um trono no seu esplendido palacio como umas das mais poderosas figuras da Terra Média.
str_loot_village|atacar moradores inocentes
str_steal_from_villagers|roubar de moradores pobres
str_rob_caravan|roubar uma caravana mercante
str_sell_slavery|vender pessoas para escravidão
str_men_hungry|ficar sem comida
str_men_unpaid|não ser capaz de pagar os homens
str_excessive_casualties|sacrificar tantos de nossos soldados
str_surrender|se render ao inimigo
str_flee_battle|fugir da batalha
str_pay_bandits|pagar a bandidos comuns
str_fail_quest|falhar em uma missão na qual demos nossa palavra de honra
str_squander_money|desperdiçar dinheiro que nos foi dado com confiança
str_murder_merchant|se envolver em assassinato a sangue frio
str_round_up_serfs|reunir servos em nome de algum nobre
str_battle_fate_1|Nós fomos separados no calor da batalha
str_battle_fate_2|Eu fui ferido e deixado para morrer
str_battle_fate_3|Eu fui atingido pelo inimigo e perdi a consciência
str_battle_fate_4|Eu fui capturado e preso para pagamento de resgate
str_battle_fate_5|Eu fui capturado, mas consegui escapar depois
str_npc_morale_report|Eu estou {s6} com a sua escolha de companheiros, {s7} com jeito de liderar, e {s8} no geral
str_happy|feliz acerca disso
str_content|contente com
str_concerned|Preocupado sobre
str_not_happy|Não muito feliz
str_miserable|francamente consternado em
str_morale_reg1| Moral: {reg1}
str_bar_enthusiastic|Entusiasmado
str_bar_content|Contente
str_bar_weary|Cansado
str_bar_disgruntled|Desapontado
str_bar_miserable|Miserável
str_here_plus_space|aqui
str_npc1_intro|Saudações guerreiro. Seja bem-vindo à Henneth Annûn.
str_npc2_intro|Saudações visitante! Posso saber o que procuras aqui?
str_npc3_intro|Ho! Mantenha a raquete se você quiser, viajante.
str_npc4_intro|Bem-vindo a Meduseld, guerreiro!
str_npc5_intro|Saudações {playername}. Mae govannen!
str_npc6_intro|Deixe-me em paz estranho, não desejo falar com você.
str_npc7_intro|Kíli, filho de Dwalin, á seu dispor!
str_npc8_intro|Bem-vindo à Dale viajante! Como posso ajudá-lo?
str_npc9_intro|Ssssh! Se você chamar atenção dos guardas, eu vou cortar sua garganta e te dar de comida para os wargs!
str_npc10_intro|Você!
str_npc11_intro|Ar! Você não está por aqui você é? Sinto o cheiro, e se você diz que eu não posso na frente os patrões eu espremerá seus olhos fora!
str_npc12_intro|Oh! O que está fazendo, à espreita aqui em cima?
str_npc13_intro|Segure aí! O que te traz à tenda do chefe?
str_npc14_intro|Você tem o andar de um homem cujas pernas tenham visto muito poucos dias no mar, estranho.
str_npc15_intro|Louvado seja o olho, Ah guerreiro!
str_npc16_intro|Não é sempre um estranho para meus olhos passeios entre tendas das terras orientais. O que te traz aqui? Fale agora e seja rápida.
str_npc17_intro|Ei. Gostas daqueles bosques ali?
str_npc1_intro_response_1|Saudações, Mestre Rastreador. Como vão os Rangers do Sul?
str_npc2_intro_response_1|Meu negócio é o negócio de Gondor, e quem é você?
str_npc3_intro_response_1|E um bom dia para você também, há algo errado?
str_npc4_intro_response_1|Prazer, minha senhora. Com quem tenho a honra de falar?
str_npc5_intro_response_1|Saudações lorde elfo! É uma grande honra conhece-lo
str_npc6_intro_response_1|É assim que os Elfos Silvestres cumprimentam seus convidados?
str_npc7_intro_response_1|{playername} ao seu serviço. Como vai o povo de Durin?
str_npc8_intro_response_1|Olá. Me pergunto se alguém aqui se voluntariaria para se juntar a nós em nossas viagens.
str_npc9_intro_response_1|Pare com as ameaças, Uruk, antes isso fique feio -  não sou dedo-duro.
str_npc10_intro_response_1|Quem é você?
str_npc11_intro_response_1|Quem é você?
str_npc12_intro_response_1|Quem é você?
str_npc13_intro_response_1|Quem é você?
str_npc14_intro_response_1|Quem é você?
str_npc15_intro_response_1|Salve o Olho, Snaga. Qual sua história?
str_npc16_intro_response_1|Quem é você?
str_npc17_intro_response_1|Mirkwood é uma floresta magnífica. Quem é você? O quanto você conhece sobre as florestas?
str_npc1_intro_response_2|Não importa, temo que as cavernas não sejam um lugar agradável para a conversa.
str_npc2_intro_response_2|Esqueça, eu não tenho tempo para conversar com guardas.
str_npc3_intro_response_2|\nNão importa, vou fazer uma "algazarra" em outro lugar.
str_npc4_intro_response_2|Com licença, tenho assuntos urgentes em outros lugares.
str_npc5_intro_response_2|Com licença, eu tenho que conversar com pessoas menos importantes.
str_npc6_intro_response_2|Esse sentimento é mutuo. Adeus.
str_npc7_intro_response_2|Não importa, eu preciso de um pouco de ar fresco.
str_npc8_intro_response_2|Não importa, somos apenas visitas.
str_npc9_intro_response_2|Seguirei meu caminho, antes que minha mão de espada começe a tremer.
str_npc10_intro_response_2|[Ignorar e sair]
str_npc11_intro_response_2|Cuide dos seus assuntos, verme!
str_npc12_intro_response_2|Cuide dos seus assuntos, verme!Cuide dos seus assuntos, verme!
str_npc13_intro_response_2|E não se meta nos meus assuntos!
str_npc14_intro_response_2|E não se meta nos meus assuntos, Verme!
str_npc15_intro_response_2|Hmmf. Mantenha suas garrinhas pra você, Snaga.
str_npc16_intro_response_2|Cuide dos seus assuntos!
str_npc17_intro_response_2|Sim, as florestas são muito amáveis, mas preciso ir agora.
str_npc1_backstory_a|Você vem em um momento difícil, amigo. Ithilien é inundado por escoteiros e invasores inimigos, e alguns viram grandes anfitriões de orcs em movimento. Nós tentamos evitar que as criaturas sujas cruzem o grande rio e eu levei um grupo de Rangers qualificados para muitos um sucesso. Meu capitão Faramir é ousado e não desespero da sombra sobre nós.
str_npc2_backstory_a|Ah, que gentileza em perguntar sobre mim. Fui designado recentemente como guarda dos salões do Regente, um dever que faço com orgulho, se é que posso dizer, se não for muito agitado.
str_npc3_backstory_a|Bem, meu capacete velho aqui está ficando menor a cada minuto e o chão parece vacilante como se eu montasse uma folhagem travessa. Ah, se eu não tivesse bebido toda aquela cerveja ontem à noite - eu normalmente tenho uma boa cabeça para beber, então deve ter sido uma poção desagradável.
str_npc4_backstory_a|Meu nome é Gálmynë, e fiz questão de conhecer o seu, {playername}. Deixe-me explicar por que
str_npc5_backstory_a|Você pode ter ouvido histórias de minhas ações em batalhas passadas e esquecidas por homens mortais. Na plenitude do tempo, esta guerra é mais uma época de perigo para os Eldar, mas será a Última Guerra.
; str_npc6_backstory_a|Excuse my brashness, stranger, but we don't have many visitors here and those that come do not look very trustworthy. Only a week ago, this dwarf appeared and... Never mind. My name is Luevanna, of the Silvan Elves of Mirkwood.
str_npc7_backstory_a|Educado de você para perguntar, {playername}. Estamos lutando contra incursões de orcs de Easterlings e Gundabad, mas até agora nada que nós e nossos aliados de Dale não consigam lidar.
str_npc8_backstory_a|Tenho certeza que você pode encontrar alguns bons voluntários se você falar com o intendente no quartel. Quanto a mim, eu sou apenas um curandeiro e herbalista de habilidades modestas.
str_npc9_backstory_a|Bom para você! Eles me chamam de Gulm. Esvaziei meu sargento e suas snagas agora me caçam. ^ O leitão sem valor estava chegando! Uma vez, fomos emboscados por uma patrulha de cabeças de palha ... e ele perdeu. 'Fall back' ele grita, depois foge. Apenas Gulm e alguns outros ficaram firmes e quebraram os cavalos. Então nós espancamos o cabelo amarelo em pasta (heh heh heh). Mas se não fosse por nós fortes, tudo seria comida de vermes!
str_npc10_backstory_a|Eu sou o Durgash!
str_npc11_backstory_a|Nar! Não é um rastreador, é quem. Eles me expulsaram! Eu digo que eles perderam a cabeça, é o que é. Maldito seja! Primeiro eles dizem que eu tiro selvagemente, então eu corro muito devagar, e então eu tenho um snuffler inútil. Garn! Se eles não encontrarem uma turba para mim, logo estarei no Black Pits, se o que eu ouço for verdade. Vou me certificar de que alguns desses Chefes percam suas peles antes de me colocar lá!
str_npc12_backstory_a|Eu estou no comando de um bando de rapazes aqui em cima. Eu sou o Gorbag ​​e é melhor você aprender rápido nos usar. Uruks são os verdadeiros chefes por aqui. Os chefões fazem escorregões, até mesmo os maiores podem cometer erros, e sempre os pobres Uruks para fazer as coisas certas, e pequenos agradecimentos. Eles nem sequer nos dizem tudo o que sabem, sabem? Não pela metade. Grr!
str_npc13_backstory_a|EU? Eu sou um grão de terra das areias do sul, soprado para o norte pelos ventos frios e escuros da noite. Eu sou Lykyada, um Senhor da Serpente de Haradwaith. Senhor da Serpente de Ouro, a perdição da Tribo da Serpente Negra, agora aliada para servir a vontade do Lorde das Trevas.
