qstr_Gate_is_breached!|Portão está quebrado!
qstr_Poor|Pobre
qstr_Average|Mediano
qstr_Rich|Rico
qstr_Very_Rich|Muito Rico
; qstr_Strength|Strength
; qstr_Agility|Agility
; qstr_Intelligence|Intelligence
; qstr_Charisma|Charisma
; qstr_You_ve_gained_{s6}_f|You've gained {s6} from gaining {s7}
; qstr_You_ve_lost_{s6}_fro|You've lost {s6} from losing {s7}
qstr_{s50}_Caves|{s50} Cavernas
qstr_{s50}_Mines|{s50} Minas
qstr_{s50}_Woods|{s50} Florestas
qstr_{s4}_looks_upset.|{s4} parece incomodado.
qstr_your_party|seu destacamento
qstr_{reg0?One_of_your_pr|{reg0?um de seus prisioneiros, :}{s1} de {s3} escapou do cativeiro!
qstr_You_brought_{reg3}_h|Você trouxe {reg3} cabeças de gado para {s1}.
qstr_Log_entry_{reg3}:_ty|Registro {reg3}: tipo {reg4}
qstr_Center:_{s4}|Centro: {s4}
qstr_Troop:_{s4}|Tropa: {s4}
qstr_Lord:_{s4}|Senhor: {s4}
qstr_Ally_party_is_presen|Destacamento aliado está presente
qstr_{s4}_is_present_at_e|{s4} está presente ao evento
qstr_Event_#{reg5}_type_{|Evento #{reg5}, tipo {reg6}, hora {reg8}: Relação do reino do jogador ao objeto tropa = {reg7}
qstr_Event_#{reg5}_type_{r|Evento #{reg5}, tipo {reg6}, hora {reg8}: Relação do reino do jogador ao objeto central facção = {reg7}
qstr_Event_#{reg5}_type_{re|Evento #{reg5}, tipo {reg6}, hora {reg8}: Relação do reino do jogador ao objeto facção = {reg7}
qstr_Event_#{reg5}_type_{reg|Evento #{reg5}, tipo {reg6}, hora {reg8}. Sem relação relevante com o reino
qstr_Event_#{reg5}_type_{reg6|Evento #{reg5}, tipo {reg6}, hora {reg8}. Jogador não afiliado
qstr_Elapsed_hours:_{reg7|Horas trascorridas: {reg7}
qstr_Reputation_type:_{s1|Tipo de reputação: {s15}
qstr_Entries_up_to_#{reg5|Registros até #{reg5} pulados
qstr_A_new_location_is_no|Uma nova localidade está disponível no mapa!
qstr_New_trait_gained:_{s|Nova característica adquirida: {s5}.
qstr_Gained_permanent_+1_|Ganho permanente +1 em Força.
qstr_Gained_permanent_+1_t|Ganho permanente +1 em Agilidade.
qstr_Gained_permanent_+1_to|Ganho permanente +1 em Carisma.
qstr_Gained_permanent_+20|Ganho permanente +20 em Proficiencias com armas.
qstr_Gained_permanent_+2_|Ganho permanente +2 em Força.
qstr_Gained_permanent_+2_t|Ganho permanente +2 em Carisma.
qstr_Lost_permanent__1_to|Perda permanente -1 em Carisma.
qstr_Gained_permanent_+1_to_|Ganho permanente +1 em Pele de ferro.
qstr_Gained_permanent_+5_|Ganho permanente +5 em Força.
qstr_Lost_permanent__2_to|Perda permanente -2 em Carisma.
qstr_Gained_permanent_+2_to|Ganho permanente +2 em Pele de ferro.
qstr_Gained_permanent_+10|Ganho permanente +10 em Proficiencia em armas.
qstr_Gained_permanent_+1_to_T|Ganho permanente +1 em Táticas.
qstr_You_have|Você tem
qstr_{s1}_has|{s1} tem
qstr_{s11}_suffered_a_ser|{s11} foi ferido seriamente.
qstr_The_leg_has_been_bad|A perna foi mutilada em batalha.
qstr___2_athletics__1_rid|(-2 em Habilidade Atlética, -1 em Cavalgar, -2 em Agilidade, -15 em Habilidade Corpo a Corpo)
qstr_The_arm_has_been_bad|O braço foi mutilado em batalha.
qstr___20_weapon_skill__2|(-20 em Habilidade com Armas, -2 em Força, -1 em Ataque Forte)
qstr_The_head_has_suffere|Sofre um forte golpe na cabeça.
qstr___1_intelligence_ski|(-1 em Habilidades de Inteligência, -15 em Habilidade a Distância)
qstr_The_chest_has_suffer|Sofreu algumas costelas quebradas.
qstr___20_weapon_skill_|(-20 em Habilidade com Armas)
qstr_{s1}_has_been_killed|{s1} foi morto.
qstr_You_were_killed.|Você morreu.
qstr_{s1}_recovered_from_|{s1} se recuperou de um ferimento sério.
qstr_The_leg_wound_has_he|Se recuperou do ferimento da perna.
qstr__+2_athletics_+1_rid|(+2 em Habilidade Atlética, +1 em Cavalgar, +2 em Agilidade, +15 em Habilidade Corpo a Corpo)
qstr_The_arm_wound_has_he|O ferimento no braço foi curado.
qstr__+20_weapon_skill_+2|(+20 em habilidade com arma, +2 Força, +1 ataques poderosos)
qstr_The_head_wound_has_h|O ferimento na cabeça foi curado.
qstr__+1_intelligence_ski|(+1 em habilidades de inteligência, +15 habilidade com projéteis)
qstr_The_cracked_ribs_hav|As costelas quebradas estão curadas.
qstr__+20_weapon_skill_|(+20 em habilidade com armas)
qstr_{s1}_has_had_his_hea|{s1} teve sua saúde aumentada
qstr_News_has_arrived_tha|Notícias chegaram de que {s1} de {s2} foi morto em batalha!
qstr_{s1}_s_Burial_Mound|Monte funerário de {s1}
qstr_{s1}_s_Funeral_Pyre|Monte funerário de {s1}
qstr_{s1}_is_logged_as_de|{s1} está logado morto
qstr_You_have_been_discov|Você foi descoberto antes de escalar o muro
qstr_The_enemy_is_coming_|O inimigo está vindo com força, você deve fugir!
qstr_Scout_this_area_alon|Explore essa área sozinho e encontre seus homens depois!
qstr_Be_stealthy_but_elim|Seja furtivo mas elimine quaisquer ameaças rapidamente!
qstr_You_are_spotted_by_a|Você foi descoberto por uma patrulha! 
qstr_Eliminate_them_befor|Elimine-os antes que espalhem o alarme!
qstr_You_have_reached_the|Você chegou nas dungeons!
qstr_Eliminate_the_guards|Elimine os guardas e liberte os seus homens!
qstr_{s1}_has_been_captur|{s1} foi capturado pelo inimigo.
qstr_Gondor_takes_a_capti|Gondor faz um prisioneiro
qstr_Rohan_takes_a_captiv|Rohan faz um prisioneiro
qstr_Mordor_takes_a_capti|Mordor faz um prisioneiro
qstr_Isengard_takes_a_cap|Isengard faz um prisioneiro
qstr_You_were_grievously_|Você ficou gravemente ferido e seu corpo empilhado com os mortos. Escolhendo o seu momento, você conseguiu escapar sobre a parede, mas o inimigo pode ter visto seus movimentos. É melhor ir depressa.
qstr_You_were_grievously_w|Você ficou gravemente ferido na batalha. Seus homens conseguiram arrastá-lo para longe, mas causou grandes baixas no esforço.
qstr_You_were_grievously_wo| \nVocê ficou gravemente ferido na batalha. Seus homens conseguiram arrastá-lo para longe, mas causou grandes baixas no esforço. Infelizmente, alguns dos seus companheiros foram capturados e arrastados para {s2}.
qstr_You_were_grievously_wou|Você ficou gravemente ferido na batalha. Seus homens conseguiram arrastá-lo para longe da luta, mas, infelizmente, o feiticeiro conseguiu escapar.
qstr_You_were_grievously_woun|Você ficou gravemente ferido e seu corpo empilhado com os mortos. Escolhendo o momento certo, você conseguiu escapar, mas, infelizmente, o feiticeiro conseguiu escapar.
qstr_Some_of_your_compani|Alguns de seus companheiros estão sofrendo de antigas feridas.
qstr_Item_you_just_equipp|O item que você apenas equipou não se encaixa nos personagens desta corrida e será removido no inventário do jogador em breve^^Certifique-se de que seu equipamento tenha espaço para o item, ou ele será perdido
qstr_Inappropriate_equipm|Equipamento inapropriado
qstr_The_mount_you_just_e|A montaria que você equipou não se encaixa nos personagens desta raça. Esteja avisado que haverá problemas com o comportamento do animal do campo de batalha se você deixar do jeito que está.
qstr_Inappropriate_mount|Montaria inapropriada. 
qstr_{s24}:_Your_infantry|{s24}: Sua infantaria se sente melhor!
qstr_{s24}:_Your_archers_|{s24}: Seus arqueiros se sentem melhor!
qstr_{s24}:_Your_cavalry_|{s24}: Sua cavalaria se sente melhor!
qstr_Ah_what_a_coincidenc|Ah, que coincidência, te encontrar aqui, {playername}! Você pode não me conhecer, mas não é estranho para mim. Eu estou indo para {s4}, mas eu acabei de vir de {s3} e seu nome apareceu. {s3} esta contando com você nesses tempos difíceis e se você pensou em usar algumas estrategias distraidoras, você deve pensar em reconsiderar e focar em ajudar {s3} com toda a sua capacidade. 
qstr_Who_are_you?|Quem é você?
qstr_A_friend_of_{s3}_and|Um amigo de {s3} e as pessoas de {s2} Agora corra! Mordor desenha todas as coisas más, e o Poder das Trevas está dobrando toda a sua vontade para reuni-las lá. O tempo está se esgotando para tudo que é bom neste mundo, para que não façamos a contagem de todas as nossas ações para se opor a isso!
qstr_What_should_I_do?|O que devo fazer?
qstr_Find_{s3}_s_whereabo|Encontre a localização de {s3} imediatamente e fale com ele. Boa sorte!
qstr_Good_to_see_the_Shad|Bom ver que a Sombra ainda não conseguir te derrotar, {playername}.
qstr_You_are_the_one_they|Você é aquele a quem chamam de Gandalf ou Mithrandir.
qstr_That_is_what_some_ca|Isso é o que alguns me chamam. No meu tempo eu também tenho sido chamado de outras coisas, mas a menos que a Escuridão seja detida, em breve pode não haver mais ninguém para me chamar de alguma coisa.
qstr_What_do_you_mean?|O que você quer dizer?
qstr_In_spite_of_their_va|Apesar de sua valente resistência, {s3} foi subjugado pelas forças do mal. As pessoas de {s3} estão dispersas e as boas {s4} não são mais.
qstr_You_bring_dismal_new|Você traz péssimas notícias, mago.
qstr_But_I_also_bring_a_m|Mas também trago uma mensagem de esperança. As pessoas de {s5} ainda estão firmes. Seus guerreiros são destemidos e seus líderes resolutos.
qstr_Help_them_fight_the_|Ajude-os a lutar contra o inimigo o melhor que puder. Nunca perca o foco! Esteja sempre em guarda! Existem coisas mais velhas e nojentas que Orcs no mundo.
qstr_Beware_{playername}_|Cuidado, {playername}, o poder da escuridão desmorona. {s3} caiu, assim como seu líder {s4}.
qstr_What_do_you_want_of_|O que você quer de mim, velho?
qstr_Just_know_that_a_Daw|Só saiba que o Alvorecer está chegando. É inevitável. E você deveria ainda estar vivo para vê-lo, então considere o que você deve ter que dizer por si próprio.
qstr_Well_met_{playername|Bem conhecido, {playername}, {s24}. Minha confiança em você não foi perdida. O poder das forças da Sombra foi quebrado e seus esforços não tiveram um pequeno papel nisso!
qstr_Thank_you_Mithrandir|Obrigado, Mithrandir!
qstr_The_wizard_Saruman_i|O mago Saruman se foi e Barad Dur foi despedaçado junto com seu Lorde das Trevas! Todos os povos da Terra Média estão aliviados da ameaça que quase consumiu tudo o que era bom e puro neste mundo. O inimigo é derrotado e o rei voltou!
qstr_It_was_a_long_and_bl|Foi uma longa e sangrenta guerra e muitos de nossos melhores amigos não estão mais entre nós.
qstr_There_is_much_to_reg|Há muito a se lamentar e lamentar, e ainda mais para reconstruir e consertar nos próximos dias. Mas, por enquanto, vamos estar exultantes com os de nossos amigos que ainda estão conosco e celebrar tudo o que conquistamos nos Últimos Dias da Terceira Era.
qstr_Bagginsssss..._Ssssh|Bolsssseiro... Condaaado...
qstr_I..._don_t_know!|Eu... não sei!
qstr_It..._beckonsssssss.|Ele.... Chaaamaaaa
qstr_Treachery..._Unforgi|Traição... Imperdoável...
qstr_But_I...|Mas eu...
qstr_Noone..._oppossssses|Ninguéem.... contrariaaaa... Barad Dur... e viveee!
qstr_All..._must..._submi|Todos... devem... submeter-se... e... servir...
qstr_I_serve_the_Eye!|Eu sirvo ao Olho!
qstr_I_shall_serve_the_Ey|Eu servirei ao Olho!
; qstr_Go_to_{s1}_and_speak|Go to {s1} and speak with {s9}.
; qstr_The_Remnant_Forces_o|The Remnant Forces of {s22} have gathered to reinforce the {s15} theater!
; qstr_The_strength_of_the_|The strength of the remaining allied factions of the {s15} theater has increased
; qstr_{s30}_reinforced_by_|{s30} reinforced by {reg65} fac str
qstr_{s1}_has_been_besieg|{s1} foi sitiada por {s2} of {s3}!
qstr_The_forces_of_{s2}_m|As forças do {s2} estão indo para {s15}!
qstr_Rohan_capital_moved_|A capital de Rohan foi movida de Edoras para Hornburg!
; qstr_Gondor_capital_moved|Gondor capital moved from Minas Tirith to Dol Amroth!
; qstr_Dale_capital_moved_f|Dale capital moved from Dale to Esgaroth!
; qstr_Gundabad_capital_mov|Gundabad capital moved from Gundabad to Goblin Town!
; qstr_The_hosts_of_{s2}_re|The hosts of {s2} retreat back to their homes!
qstr____Ruins_of_{s1}___|Ruinas de {s1}
qstr_ranks|Fileiras
qstr_shield_wall|parede de escudos
qstr_wedge|cunha
qstr_square|Quadrado
qstr_up|em cima
qstr___Infantry_forming_{|Infantaria formando {s1}.
qstr___Not_enough_infantr|Sem infantaria o suficiente para formar {s1}, esperando.
qstr___Cavalry_forming_{s|Cavalaria Formando {s1}.
qstr___Not_enough_cavalry|Pouca cavalaria para formar {s1}, esperando.
qstr___Archers_forming_{s|Arqueiros formando {s1}.
qstr___Not_enough_archers|Sem arqueiros o suficiente para formar {s1}, esperando.
qstr___Infantry_formation|Formação de infantaria desmontada.
qstr___Cavalry_formation_|Formação de cavalaria desmontada.
qstr___Archer_formation_d|Formação de arqueiros desmontada.
; qstr_Division_{reg1}_{s2}|Division {reg1} {s2} forming {s1}.
; qstr_Not_enough_troops_in|Not enough troops in division {reg1} {s2} to form {s1}.
; qstr_Division_{reg1}_{s2}_|Division {reg1} {s2} is an {s3} division and cannot form {s1}.
; qstr_{s1}:_infantry_forma|{s1}: infantry formation disassembled.
; qstr_{s1}:_archer_formati|{s1}: archer formation disassembled.
; qstr_{s1}:_skirmisher_for|{s1}: skirmisher formation disassembled.
; qstr_{s1}:_cavalry_format|{s1}: cavalry formation disassembled.
; qstr_{s1}:_formation_disa|{s1}: formation disassembled.
; qstr_Cavalry_formation_di|Cavalry formation disassembled.
; qstr_The_placement_of_{s1|The placement of {s1} division {reg0} memorized.
; qstr_The_placement_of_{s1}|The placement of {s1} division {reg0} set to default.
; qstr_Your_party_s_tactica|Your party's tactical skill limits how far away you can deploy your troops!
; qstr_...and_attack_enemy_|...and attack enemy {s1} division!
; qstr_{s2}:_returning_afte|{s2}: returning after destroying enemy {s1} division.
; qstr_infantry|infantry
; qstr_archer|archer
; qstr_cavalry|cavalry
; qstr_polearm|polearm
; qstr_skirmisher|skirmisher
; qstr_mounted_archer|mounted archer
; qstr_support|support
; qstr_bodyguard|bodyguard
; qstr_undetermined_type_of|undetermined type of

qstr_{s1}_has_fled_the_ba|{s1} fugiu da batalha!
qstr_Your_troops_are_at_{|Suas tropas estão {reg1}% coesão (+{reg3}% bônus), o inimigo está a {reg2}%! 
qstr_Morale_of_your_troop|A moral de suas tropas caiu!
qstr_Morale_of_your_enemi|A moral dos inimigos caiu!
qstr_Your_enemies_flee_in|Seus inimigos fogem aterrorizados!
qstr_Many_of_your_enemies|Muitos inimigos estão fugindo da batalha.
qstr_Some_of_your_enemies|Uma parte dos inimigos estão fugindo da batalha.
qstr_A_few_of_your_enemie|Um pequeno número de inimigos estão fugindo da batalha.
qstr_Your_troops_flee_in_|Suas tropas fogem aterrorizadas!
qstr_Many_of_your_troops_|Muitos membros de suas tropas estão fugindo da batalha.
qstr_Some_of_your_troops_|Alguns membros de suas tropas estão fugindo da batalha.
qstr_A_few_of_your_troops|Um pequeno número de suas tropas estão fugindo da batalha.
; qstr_Gained_permanent_+1_to_P|Gained permanent +1 to Pathfinding.
; qstr_Gained_permanent_+1_to_S|Gained permanent +1 to Spotting.
; qstr_{s11}_recovered_from|{s11} recovered from a serious wound.
qstr_Volunteers|Voluntários
; qstr_Reserves|Reserves
; qstr_have_taken_measure_o|have taken measure of your faction's current strength and has grown bolder.
; qstr_loses_Faction_Streng|loses Faction Strength as supply lines were disrupted.
; qstr_loses_Faction_Strengt|loses Faction Strength due to the destruction of their camp.
; qstr_gains_Faction_Streng|gains Faction Strength as news of your victory spreads.
; qstr_Something_wrong_not_|Something wrong, not enough troops to remove
; qstr_Raiders|Raiders
; qstr_have_won_the_sea_bat|have won the sea battle, demoralizing your troops. The enemy may take advantage of this defeat and attack more frequently.
; qstr_loses_Faction_Strength|loses Faction Strength due to the destructive raid.
; qstr_loses_Faction_Strength_|loses Faction Strength due to the your success at the sea.
; qstr_You_spent_{reg67}_of|You spent {reg67} of your influence with {s1}, with {reg66} remaining.
qstr_No_Troops_Left.|Não restam mais tropas.
; qstr_avoid_melee|avoid melee
; qstr_stand_and_fight|stand and fight
qstr_Everyone|Todos
; qstr_Shield___{reg31}_|Shield (-{reg31})
; qstr_Power_Draw___{reg31}|Power Draw (-{reg31})
; qstr_Riding___{reg31}_|Riding (-{reg31})
; qstr_Horse_Archery___{reg|Horse Archery (-{reg31})
; qstr_Athletics___{reg31}_|Athletics (-{reg31})
; qstr_No_Skill_Penalty_Ass|No Skill Penalty Assigned
; qstr_Inventory|Inventory
; qstr_Show_stats|Show stats
; qstr_Show_item_details__|Show item details  
; qstr_Troop_detail|Troop detail
; qstr_{s1}^|{s1}^
; qstr_{s1}Level:_{reg1}^|{s1}Level: {reg1}^
; qstr_{s1}Hit_Points:_{reg|{s1}Hit Points: {reg1}
; qstr_{s1}Atributes:_^___S|{s1}Atributes: ^   Strength:^
; qstr_{s2}^{reg1}^|{s2}^{reg1}^
; qstr_{s1}___Agility:|{s1}   Agility:
; qstr_{s2}{reg1}|{s2}{reg1}
; qstr_{s1}Main_skills:_^|{s1}Main skills: ^
; qstr_{s1}___Power_Strike:|{s1}   Power Strike:^
; qstr_{s2}{reg1}^|{s2}{reg1}^
; qstr_{s1}___Athletics:^|{s1}   Athletics:^
; qstr_{s1}___Riding:^|{s1}   Riding:^
; qstr_{s2}_^|{s2}-^
; qstr_{s1}___Power_Throw:^|{s1}   Power Throw:^
; qstr_{s1}___Power_Draw:^^|{s1}   Power Draw:^^
; qstr_{s2}{reg1}^^|{s2}{reg1}^^
; qstr_{s2}_^^|{s2}-^^
; qstr_{s1}Weapons:^|{s1}Weapons:^
; qstr_{s1}___One_Handed:^|{s1}   One Handed:^
; qstr_{s1}___Two_Handed:^|{s1}   Two Handed:^
; qstr_{s1}___Polearms:^|{s1}   Polearms:^
; qstr_{s1}___Archery:^|{s1}   Archery:^
; qstr_{s1}___Crossbow:^|{s1}   Crossbow:^
; qstr_{s1}___Throwing:^|{s1}   Throwing:^
; qstr_{s1}___Slings:|{s1}   Slings:
; qstr_{s2}_|{s2}-
; qstr__Click_on_the_troop_|(Click on the troop to rotate it)^^Click on pieces of gear ^(helmet, armor, gloves and boots)^ to display them.
; qstr_ready_bows_and_missi|ready bows and missiles
; qstr_ready_side_arms|ready side arms
; qstr_ready_two_hander|ready two-hander
; qstr_ready_polearms|ready polearms
; qstr_shields_up|shields up
; qstr_doff_shields|doff shields
; qstr_Distance___{reg70}__|Distance - {reg70} - {s11} Party - {s12} Troop
; qstr_Your_mount_stumbles!|Your mount stumbles! It seems to be lame.
qstr_Bitten_by_your_own_w|Mordido pela sua própria montaria warg!
qstr_You_weigh_too_much_f|Você é muito pesado para montar esse pony! 
qstr_Your_mount_rears_ref|Sua montaria volta, se recusando a obedecer seus comandos!
qstr_Fixed_Custom_Camera|Câmera Customizada Fixa
; qstr_Press_Ctrl_+_Left_/_|Press Ctrl + Left / Ctrl + Right Arrow Keys to Switch Shoulders
qstr_Use_+/__to_zoom_in/o|Use +/- para dar + ou - zoom
; qstr_Use_Up/Down_arrow_ke|Use Up/Down arrow keys to tilt up/down
qstr_Fixed_Camera___Right|Câmera Fixa - Ombro Direito
qstr_Fixed_Camera___Left_|Câmera Fixa - Ombro Esquerdo
; qstr_While_visiting_towns|While visiting towns, settlements and camps, you can talk to people walking around. Members of different factions have different things to say - some will let you in on their own thoughts, others will share rumours. Both could merely give you a better understanding of the person's culture and faction, or they might hold clues to finding secret locations, or tips and tricks for travelling through the Wilderness and fighting in the War of the Ring.
qstr_Cannot_leave_now.|Não pode sair agora.
; qstr_You_have_found_the_l|You have found the local smithy... (+{reg3} XP)
; qstr_You_have_found_the_lo|You have found the local authority...(+{reg3} XP)
; qstr_You_have_found_the_loc|You have found the local warehouse...(+{reg3} XP)
; qstr_You_look_through_Hen|You look through Henneth Annun, the Window of the Sunset. The beautiful sight restores your faith in the West and the Powers beyond.\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t  
; qstr__cancelled_the_{reg1|(cancelled the {reg10} exp pts earned from killing prisoners)
qstr_Forming_ranks.|Formando fileiras.
; qstr_{reg2?You:Your_mount|{reg2?You:Your mount} received {reg1} extra damage!
; qstr_{reg2?You_strike:You|{reg2?You strike:Your horse charges} for {reg1} bonus damage!
qstr_Division_Placement|Disposição de Divisão
; qstr_Complex_Formations|Complex Formations
; qstr_Formations_turned_OF|Formations turned OFF in options menu
; qstr_Division_{reg1}_{s2}_g|Division {reg1} {s2} goes to its memorized position...
; qstr_Division_{reg1}_{s2}_f|Division {reg1} {s2} forms line (memorized).
; qstr_Division_{reg1}_{s2}_fo|Division {reg1} {s2} forms {reg0} lines (memorized).
; qstr_DEBUG__Health_Regen_|DEBUG (Health Regen): {s1} regains {reg0}% health.  = +{reg1}% STR
; qstr_Three_Nazgul_are_cir|Three Nazgul are circling in the sky above the battlefield!
; qstr_Two_Nazgul_are_circl|Two Nazgul are circling in the sky above the battlefield!
qstr_A_Nazgul_is_circling|Um Nazgul está circulando os céus acima do campo de batalha!
; qstr_Some_of_your_human_t|Some of your human troops are not daunted by the darkness.(Night Troops are not affected by night time penalties)
; qstr_You_are_filled_with_|You are filled with just rage as you set your eyes upon the enemy (Berserk active).
; qstr_Your_mount_is_scared|Your mount is scared by the {reg73?ent:troll}!
; qstr_Nazgul_sweep!|Nazgul sweep!
qstr_You_and_your_horse_p|Você e seu cavalo entram em panico, os gritos do Nazgul são insuportáveis!
; qstr_Your_horse_panics_th|Your horse panics, the Nazgul cries are unbearable!
; qstr_You_cower_in_terror_|You cower in terror, the Nazgul cries are unbearable!
qstr_knocked_unconscious|derrubado inconsciente
; qstr_Nazgul_diving_attack|Nazgul diving attack on {s11}!
; qstr_{s11}_is_{s10}_in_th|{s11} is {s10} in the Nazgul attack!
; qstr_Received_{reg66}_dam|Received {reg66} damage.
qstr_You_yell_for_your_ho|Você grita por seu cavalo.
qstr_{s1}_s_morale:_{reg1|{s1}'s moral: {reg1}
; qstr_You_do_not_need_to_r|You do not need to rally your troops yet.
; qstr_You_rally_your_troop|You rally your troops!
; qstr_{s5}_rallies_{reg65?|{s5} rallies {reg65?her:his} troops!
qstr_You_have_killed_{reg|Você matou {reg1} inimigos nessa batalha!
qstr_Your_bravery_inspire|Sua bravura inspira suas tropas!
; qstr_Your_mount_has_falle|Your mount has fallen to the ground beneath you!
; qstr_Receive_{reg22}_dama|Receive {reg22} damage.
; qstr_You_have_been_knocke|You have been knocked unconscious by {s22}.
; qstr_{s21}_has_been_knock|{s21} has been knocked off of {reg23?her:his} mount when it fell.
; qstr_{s21}_{reg24?killed:|{s21} {reg24?killed:knocked unconscious} by {s22}.
; qstr_A_bear_has_been_summ|A bear has been summoned to battle!
; qstr_In_The_Last_Days_of_|In The Last Days of the Third Age, your troops will position themselves and hold at the beginning of each battle, instead of blindly charging.^^To order your troops into formation, press 'J' for Ranks, 'K' for Shield-Wall, 'L' for Wedge, ';' for Square. To undo the formation, press 'U'. ^If your troops are fleeing, you can press 'V' to rally them. You get only a limited amount of rallies per battle, and the amount depends on your leadership and charisma.
; qstr_You_can_also_order_y|You can also order your troops to cycle through the type of weapon you want them to use.^^ Press O to cycle between Weapon Order types. Press P to cycle between Shield Order types.
; qstr_The_Last_Days_of_the|The Last Days of the Third Age has implemented a Custom Camera in order to bypass the current camera limitation with regards to shorter races (e.g Orcs and Dwarves).^^Press CTRL + END to cycle through the 2 camera modes: Fixed Position and Free-Mode.^^Fixed position is the optimal position for all races, however it cannot be configured. You can press CTRL+Left/Right Arrow Keys to switch shoulders.^^Free-Mode Camera puts the character in the middle of the screen. You can press CTRL+Up/Down arrow keys to tilt the camera and CTRL+ Numpad +/- to zoom.^^See Info Pages for how to control the different camera modes.
; qstr_Battlefield_is_too_s|Battlefield is too small for complex AI formations.
qstr_You_have_a_clear_per|Você tem uma percepção clara do grande perigo iminente, de todos ao seu redor!
; qstr_New_ent_reached_batt|New ent reached battle scene...
qstr_You_receive_word_tha|Você recebe a notícia de que as aldeias de Beorning foram atacadas. Os ornamentos perdem a força das facções.
qstr_You_receive_word_that|Você recebe a notícia de que os Líderes dos Caçadores de Anel foram vistos viajando em direção a Mordor, um baú a tiracolo. Mordor ganha força de facção.
; qstr_Enemy_reinforcements|Enemy reinforcements have arrived
; qstr_Yarrrr!!|Yarrrr!!
; qstr_Get_all_of_them!|Get all of them!
; qstr_Kill_them_all!|Kill them all!
; qstr_Toss_them_overboard!|Toss them overboard!
; qstr_It_is_a_good_day_to_|It is a good day to die!
; qstr_All_hands_on_deck!_T|All hands on deck! Throw them back!
; qstr_Ally_reinforcements_|Ally reinforcements have arrived
; qstr_Forward_men!|Forward, men!
; qstr_Leave_none_of_these_|Leave none of these filth standing!
; qstr_End_them_all!|End them all!
; qstr_Drive_them_back!|Drive them back!
; qstr_Protect_the_City!|Protect the City!
; qstr_Forward!_Board_them!|Forward! Board them!
; qstr_The_Last_Days_of_the_|The Last Days of the Third Age has an Advanced Siege AI, vastly different from Native. All troops, including the player's, are distributed amongst different teams (Left Flank / Center / Right Flank).^^ The player is then in charge of commanding their team, while the AI is in charge of commanding the other teams. This allows for a smarter, squad-based, siege battles.^^ Starting troops and reinforcements are commanded to CHARGE during the first few seconds after deployment. After that, your team can be commanded again.


; qstr_Reached_Gauntlet_wav|Reached Gauntlet wave {reg1}!
qstr_Ballista:_out_of_amm|Balista: sem munição!
; qstr_Ballista:_turn_CURSO|Ballista: turn CURSOR, aim LSHIFT, shoot SPACE, set fire T, exit F
qstr_Ballista:_out_of_ammo|Balista: sem munição
; qstr_The_ladders_on_Deepi|The ladders on Deeping Wall! Watch out!
qstr_You_yell_for_your_ho|Você grita por seu cavalo.
qstr_THREE.._TWO..._ONE..|TRÊS.. DOIS... UM.... LUTEM!
; qstr_You_have_come_upon_t|You have come upon the ruins of Amon Hen, the Hill of Sight, a Gondorian watch-tower atop which rests the Seat of Seeing^^You sense that this place was once great but has long been forgotten
; qstr_You_have_come_upon_th|You have come upon the Dead Marshes, site of the battle of Dagorlad during the War of the Last Alliance^^The marshlands have swallowed up what was once a grassy plain, and now the only green is the scum of livid weed on the dark greasy surfaces of the sullen waters^^Dead grasses and rotting reeds loom up in the mists like ragged shadows of long forgotten summers, and bodies of men, elves, and orcs float in the murky depths^^The air feels cold and clammy, and you can't help but shiver as you see candle-lights flickering in the eyes of an elf corpse just beneath the water's surface
; qstr_You_have_entered_the|You have entered the woods of Southern Mirkwood, once known as Greenwood the Great^^The fortress of Dol Guldur is nearby and it casts a dark shadow over the forest. The woods here feel sickly and full of decay. Ancient oak trees are overrun with rot and fungus and great tangling webs stretch from trunk to trunk^^ The air is everlastingly still and dark and stuffy, and it feels like you are slowly being suffocated
; qstr_You_have_found_the_D|You have found the Dwarven Warehouse where the Legendary Spears could be. Report what you find to {s3}
qstr_Leave_the_Warehouse?|Sair do depósito?
; qstr_Leave_the_place_in_s|Leave the place in silence?
qstr_Leave_scene?|Sair da cena?
; qstr_Trace_back_your_step|Trace back your steps and go back in the open now?
qstr_There_is_no_way_out!|Não tem escapatória! Se render para os orcs?
qstr_Stealth_mini_game_tu|Tutorial do mini-jogo furtivo: Existem dois níveis de alarme. O nível 1 é disparado pelos guardas, vendo um cadáver ou por eles observando você. O nível 2 é ativado pelos guardas quando você avisa quando o nível 1 já está ativo. O nível dois é perigoso porque os guardas continuarão chegando. Você pode evitar ser visto ficando escondido. Esconder-se simplesmente se move atrás de vários pedaços de cobertura.
qstr_You_are_now_hidden.|Você agora está escondido
qstr_You_move_out_of_hidi|Você sai do seu esconderijo.
qstr_The_guards_have_spot|Os guardas encontraram um corpo morto!
qstr_Alarm_Level_is_now_a|Nível de alarme agora é 1!
qstr_Alarm_Level_is_now_at|Nível de alarme agora é 0!
qstr_The_guards_have_spott|Os guardas te encontraram!
qstr_Alarm_Level_is_now_at_|Nível de alarme agora é 2!
qstr_The_sorcerer_has_fle|O feiticeiro fugiu!
