itm_horse_meat|Konjsko meso
; itm_riv_boots|Rivendell Boots
; itm_gon_footman|Gondor Mail Shirt
; itm_gon_jerkin|Gondor Jerkin
; itm_gon_regular|Gondor Heavy Mail
; itm_gon_bowman|Gondor Gambeson
; itm_gon_archer|Gondor Gambeson with Cloak
; itm_gon_noble_cloak|Gondor Noble's Jerkin
; itm_gon_squire|Gondor Mail with Cloak
; itm_gon_knight|Gondor Heavy Mail and Cloak
; itm_gon_ranger_cloak|Gondor Ranger Cloak
; itm_gon_ranger_skirt|Gondor Ranger Skirt
; itm_gon_steward_guard|Gondor Steward Guard Armor
; itm_gon_tower_guard|Gondor Tower Guard Armor
; itm_gon_tower_knight|Gondor Tower Knight Armor
; itm_gon_leader_surcoat_cloak|Gondor Leader's Surcoat
; itm_gondor_ranger_hood|Green Hood
; itm_gondor_ranger_hood_mask|Gondor Ranger Hood
; itm_gondor_light_greaves|Gondorian Leather Greaves
; itm_gondor_med_greaves|Gondorian Medium Greaves
; itm_gondor_heavy_greaves|Gondorian Mailed Greaves
; itm_gondorian_light_helm|Gondorian Footman Helm
; itm_gondor_infantry_helm|Gondor Infantry Helm
; itm_gondor_auxila_helm|Gondorian Auxilia Helm
; itm_gondorian_light_helm_b|Gondorian Bowman Helm
; itm_gondorian_archer_helm|Gondorian Archer Helm
; itm_tower_archer_helm|Tower Archer Helm
; itm_gondor_leader_helm|Gondor High Helmet
; itm_tower_guard_helm|Tower Guard Helm
; itm_gondor_citadel_knight_helm|Citadel Knight Helm
; itm_gondor_squire_helm|Gondor Squire Helm
; itm_gondor_knight_helm|Gondor Knight Helm
; itm_gondor_dolamroth_helm|Dol Amroth Helm
; itm_swan_knight_helm|Swan Knight Helm
; itm_gondor_lamedon_helm|Lamedon Helm
; itm_gondor_lamedon_leader_helm|Lamedon High Helmet
; itm_blackroot_archer|Blackroot Vale Cloaked Gambeson
; itm_blackroot_bowman|Blackroot Vale Cloaked Jerkin
; itm_blackroot_footman|Blackroot Vale Jerkin
; itm_blackroot_warrior|Blackroot Vale Gambeson
; itm_blackroot_leader|Blackroot Vale Mail
; itm_blackroot_hood|Black Hood
; itm_dol_hauberk|Dol Amroth Hauberk
; itm_dol_heavy_mail|Dol Amroth Heavy Mail
; itm_dol_padded_coat|Dol Amroth Padded Coat
; itm_dol_shirt|Dol Amroth Shirt
; itm_dol_very_heavy_mail|Dol Amroth Very Heavy Mail
; itm_dol_greaves|Dol Amroth Greaves
; itm_dol_shoes|Dol Amroth Light Boots
; itm_lamedon_clansman|Lamedon Clansman Armor
; itm_lamedon_footman|Lamedon Footman Armor
; itm_lamedon_knight|Lamedon Knight Armor
; itm_lamedon_leader_surcoat_cloak|Lamedon Leader Armor
; itm_lamedon_warrior|Lamedon Warrior Armor
; itm_lamedon_veteran|Lamedon Veteran Armor
; itm_lamedon_vet_warrior|Lamedon Veteran Warrior Armor
; itm_lamedon_hood|Hood
; itm_pinnath_archer|Pinnath Gelin Archer Armor
; itm_pinnath_footman|Pinnath Gelin Footman Armor
; itm_pinnath_leader|Pinnath Gelin Knight Armor
; itm_pinnath_vet_footman|Pinnath Gelin Veteran Footman Armor
; itm_pinnath_warrior|Pinnath Gelin Warrior Armor
; itm_pel_footman|Pelargir Footman Armor
; itm_pel_jerkin|Pelargir Jerkin
; itm_pel_leader|Pelargir Leader Armor
; itm_pel_marine|Pelargir Marine
; itm_pelargir_marine_leader|Pelargir Marine Leader
; itm_pelargir_regular|Pelargir Regular
; itm_pelargir_hood|White Hood
; itm_pelargir_helmet_light|Pelargir Helm
; itm_pelargir_helmet_heavy|Pelargir Heavy Helm
; itm_pelargir_greaves|Pelargir Greaves
; itm_lossarnach_shirt|Lossarnach Shirt
; itm_lossarnach_axeman|Lossarnach Axeman Armor
; itm_lossarnach_leader|Lossarnach Leader Armor
; itm_lossarnach_vet_axeman|Lossarnach Veteran Axeman Armor
; itm_lossarnach_vet_warrior|Lossarnach Veteran Warrior Armor
; itm_lossarnach_warrior|Lossarnach Warrior Armor
; itm_lossarnach_cloth_cap|Lossarnach Cloth Cap
; itm_lossarnach_leather_cap|Lossarnach Leather Cap
; itm_lossarnach_scale_cap|Lossarnach Scale Cap
; itm_lossarnach_greaves|Lossarnach Greaves
; itm_gondor_shield_a|Gondor Square Shield
; itm_gondor_shield_b|Gondor Kite Shield
; itm_gondor_shield_c|Gondor Tower Shield
; itm_gondor_shield_d|Gondor Kite Shield
; itm_gondor_shield_e|Gondor Citadel Shield
; itm_gon_tab_shield_a|Heraldic Gondor Round Shield
; itm_gon_tab_shield_b|Heraldic Gondor Square Shield
; itm_gon_tab_shield_c|Heraldic Gondor Kite Shield
; itm_gon_tab_shield_d|Heraldic Gondor Tower Shield
; itm_amroth_sword_a|Dol Amroth Sword
; itm_amroth_sword_b|Dol Amroth Knight Sword
; itm_gondor_sword|Gondor Infantry Sword
; itm_amroth_bastard|Dol Amroth Heavy Sword
; itm_gondor_short_sword|Linhir Eket
; itm_pelargir_eket|Pelargir Eket
; itm_pelargir_sword|Pelargir Sword
; itm_gondor_ranger_sword|Gondor Ranger Sword
; itm_gondor_bastard|Gondor Bastard Sword
; itm_gondor_citadel_sword|Gondor Citadel Sword
; itm_gondor_cav_sword|Gondor Cavalry Sword
; itm_gondor_spear|Gondorian Spear
; itm_gondor_tower_spear|Gondorian Tower Spear
; itm_gondor_lance|Gondor Lance
; itm_loss_axe|Lossarnach Fighting Axe
; itm_loss_war_axe|Lossarnach War Axe
; itm_lorien_sword_a|Lorien Longsword
; itm_lorien_sword_b|Lorien Shortsword
; itm_lorien_sword_c|Lorien War Sword
; itm_lorien_archer|Lorien Archer Armor
; itm_lorien_armor_a|Lorien Infantry Armor
; itm_lorien_armor_b|Lorien Heavy Infantry Armor
; itm_lorien_armor_c|Lorien Royal Archer Armor
; itm_lorien_armor_d|Lorien Royal Swordsman Armor
; itm_lorien_armor_e|Lorien Warden Cloak
; itm_lorien_armor_f|Lorien Elite Armor
; itm_lorien_boots|Lothlorien Boots
; itm_lorien_shield_b|Lorien Tower Shield
; itm_lorien_shield_c|Lorien Kite Shield
; itm_lorien_round_shield|Lorien Round Shield
; itm_lorien_helm_a|Lorien Archer Helm
; itm_lorien_helm_b|Lorien Archer Helm
; itm_lorien_helm_c|Lorien Infantry Helm
; itm_orc_chain_greaves|Orc Greaves
; itm_orc_coif|Orc Skullcap
; itm_orc_greaves|Orc Chain Boots
; itm_orc_ragwrap|Orc Ragwrap
; itm_orc_furboots|Orc Fur Boots
; itm_orc_furboot_tall|Orc Fur Boots
; itm_orc_tribal_a|Untreated Skin
; itm_orc_tribal_b|Untreated Skin
; itm_orc_tribal_c|Untreated Skin
; itm_evil_gauntlets_a|Gauntlets
; itm_evil_gauntlets_b|Gauntlets
; itm_isen_orc_armor_a|Isengard Orc Armor
; itm_isen_orc_armor_b|Isengard Orc Armor
; itm_isen_orc_armor_c|Isengard Orc Armor
; itm_isen_orc_armor_d|Isengard Orc Armor
; itm_isen_orc_armor_e|Isengard Orc Armor
; itm_isen_orc_armor_f|Isengard Orc Armor
; itm_isen_orc_armor_g|Isengard Orc Armor
; itm_isen_uruk_light_a|Uruk-hai Light Harness
; itm_isen_uruk_light_b|Uruk-hai Leather Armor
; itm_isen_uruk_light_c|Uruk-hai Leather Armor
; itm_isen_uruk_light_d|Uruk-hai Mail and Leather
; itm_isen_uruk_light_e|Uruk-hai Mail Harness
; itm_isen_uruk_heavy_a|Uruk-hai Mail and Leather
; itm_isen_uruk_heavy_b|Uruk-hai Heavy Armor
; itm_isen_uruk_heavy_c|Uruk-hai Heavy Armor
; itm_isen_uruk_heavy_d|Uruk-hai Tracker Leather
; itm_isen_uruk_heavy_e|Uruk-hai Tracker Leather
; itm_uruk_tracker_boots|Uruk Tracker Boots
; itm_uruk_greaves|Uruk Greaves
; itm_uruk_chain_greaves|Uruk Chain Greaves
; itm_uruk_ragwrap|Uruk Ragwrap
; itm_isen_orc_helm_a|Isen Orc Helm
; itm_isen_orc_helm_b|Isen Orc Helm
; itm_isen_orc_helm_c|Isen Orc Helm
; itm_isen_uruk_helm_a|Uruk-Hai Helm
; itm_isen_uruk_helm_b|Uruk-Hai Helm
; itm_isen_uruk_helm_c|Uruk-Hai Helm
; itm_isen_uruk_helm_d|Uruk-Hai Captain Helm
; itm_isen_uruk_helm_e|Uruk-Hai Tracker Helm
; itm_isen_uruk_helm_f|Uruk-Hai Tracker Helm
; itm_uruk_pike_a|Uruk Pike
; itm_uruk_pike_b|Mordor Pike
; itm_uruk_falchion_a|Uruk Falchion
; itm_uruk_falchion_b|Uruk Falchion
; itm_uruk_spear|Mordor Spear
; itm_uruk_skull_spear|Uruk Skull Spear
; itm_uruk_voulge|Uruk Voulge
; itm_uruk_heavy_axe|Uruk Heavy Axe
; itm_isengard_sword|Isengard Sword
; itm_isengard_axe|Isengard Axe
; itm_isengard_hammer|Isengard Hammer
; itm_isengard_halberd|Isengard Halberd
; itm_isengard_mallet|Isengard Mallet
; itm_isengard_heavy_axe|Isengard Heavy Axe
; itm_isengard_heavy_sword|Isengard Heavy Sword
; itm_isengard_spear|Isengard Spear
; itm_isengard_pike|Isengard Pike
; itm_isen_orc_shield_a|Isen Orc Shield
; itm_isen_orc_shield_b|Isen Orc Shield
; itm_isen_uruk_shield_b|Isen Uruk Shield
; itm_wood_club|Wooden Club
; itm_twohand_wood_club|Large Wooden Club
; itm_bone_cudgel|Bone Cudgel
; itm_skull_club|Skull Club
; itm_orc_club_a|Orc Club
; itm_orc_club_b|Warg Rider Club
; itm_orc_club_c|Spiky Orc Club
; itm_orc_club_d|Evil Mace
; itm_orc_sledgehammer|Orc Sledgehammer
; itm_orc_simple_spear|Orc Spear
; itm_orc_skull_spear|Orc Skull Spear
; itm_orc_bill|Orc Bill
; itm_orc_slasher|Orc Slasher
; itm_orc_falchion|Orc Falchion
; itm_orc_scimitar|Orc Scimitar
; itm_orc_sabre|Orc Sabre
; itm_orc_machete|Orc Machete
; itm_orc_axe|Orc Axe
; itm_orc_two_handed_axe|Orc Double Handed Axe
; itm_orc_throwing_axes|Orc Throwing Axes
; itm_orc_bow|Orc Bow
; itm_orc_shield_a|Orc Shield
; itm_orc_shield_b|Orc Shield
; itm_orc_shield_c|Orc Tower Shield
; itm_mordor_orc_shield_a|Mordor Orc Shield
; itm_mordor_orc_shield_b|Mordor Orc Shield
; itm_mordor_orc_shield_c|Mordor Orc Shield
; itm_mordor_orc_shield_d|Mordor Orc Shield
; itm_mordor_orc_shield_e|Mordor Orc Shield
; itm_mordor_uruk_shield_a|Mordor Uruk Shield
; itm_mordor_uruk_shield_b|Mordor Uruk Shield
; itm_mordor_uruk_shield_c|Mordor Uruk Shield
; itm_mordor_man_shield_a|Mordor Man Shield
; itm_mordor_man_shield_b|Mordor Man Shield
; itm_angmar_shield|Angmar Shield
; itm_orc_nosehelm|Orc Nosehelm
; itm_orc_kettlehelm|Orc Kettlehelm
; itm_orc_buckethelm|Orc Buckethelm
; itm_orc_morion|Orc Morion
; itm_orc_beakhelm|Orc Beakhelm
; itm_orc_bughelm|Orc Bughelm
; itm_orc_visorhelm|Orc Visorhelm
; itm_m_orc_light_a|Mordor Orc Light Armor
; itm_m_orc_light_b|Mordor Orc Light Armor
; itm_m_orc_light_c|Mordor Orc Light Armor
; itm_m_orc_light_d|Mordor Orc Light Armor
; itm_m_orc_light_e|Mordor Orc Light Armor
; itm_m_orc_heavy_a|Mordor Orc Heavy Armor
; itm_m_orc_heavy_b|Mordor Orc Heavy Armor
; itm_m_orc_heavy_c|Mordor Orc Heavy Armor
; itm_m_orc_heavy_d|Mordor Orc Heavy Armor
; itm_m_orc_heavy_e|Mordor Orc Heavy Armor
; itm_m_uruk_light_a|Uruk Harness
; itm_m_uruk_light_b|Uruk Leather Armor
; itm_m_uruk_light_c|Uruk Light Mail
; itm_m_uruk_med_a|Uruk Heavy Leather
; itm_m_uruk_med_b|Uruk Heavy Mail
; itm_m_uruk_med_c|Uruk Light Scale
; itm_m_uruk_heavy_a|Uruk Heavy Scale
; itm_m_uruk_heavy_b|Uruk Platemail
; itm_m_uruk_heavy_c|Lugburz Platemail
; itm_m_uruk_heavy_j|Uruk Heavy Armor
; itm_m_uruk_heavy_k|Uruk Guard Armor
; itm_m_cap_armor|Mordor Captain Armor
; itm_black_num_armor|Black Numenorean Armor
; itm_m_armor_a|Mordor Armor
; itm_m_armor_b|Mordor Armor
; itm_evil_light_armor|Sinister Garb
; itm_uruk_helm_a|Uruk Helm
; itm_uruk_helm_b|Uruk Helm
; itm_uruk_helm_c|Uruk Beak Helm
; itm_uruk_helm_d|Uruk Grill Helm
; itm_uruk_helm_e|Uruk Mask Helm
; itm_uruk_helm_f|Uruk Helm
; itm_mordor_cap_helm|Mordor Captain Helm
; itm_mordor_helm|Mordor Helm
; itm_black_num_helm|Black Numenorean Helm
; itm_mordor_sword|Bastard Sword of Mordor
; itm_mordor_longsword|Sword of Mordor
; itm_moria_armor_a|Moria Breast Harness
; itm_moria_armor_b|Moria Breast and Shoulders
; itm_moria_armor_c|Moria Orc Mail
; itm_moria_armor_d|Moria Bolted Leather
; itm_moria_armor_e|Moria Orc Heavy Mail
; itm_moria_orc_shield_a|Moria Great Shield
; itm_moria_orc_shield_b|Moria Orc Shield
; itm_moria_orc_shield_c|Moria Orc Shield
; itm_gundabad_armor_a|Gundabad Orc Rags
; itm_gundabad_armor_b|Gundabad Orc Fur
; itm_gundabad_armor_c|Gundabad Orc Armor
; itm_gundabad_armor_d|Gundabad Orc Armor
; itm_gundabad_armor_e|Gundabad Orc Heavy Armor
; itm_gundabad_helm_a|Leather Cap
; itm_gundabad_helm_b|Leather Helm
; itm_gundabad_helm_c|Gundabad Helm
; itm_gundabad_helm_d|Gundabad Helm
; itm_gundabad_helm_e|Wargrider Helm
; itm_dunland_wolfboots|Dunland Wolfboots
; itm_dunland_armor_a|Dunnish Fur Armor
; itm_dunland_armor_b|Dunnish Fur Armor
; itm_dunland_armor_c|Dunnish Fur Armor
; itm_dunland_armor_d|Dunnish Fur Armor
; itm_dunland_armor_e|Dunnish Fur Armor
; itm_dunland_armor_g|Dunnish Fur Armor
; itm_dunland_armor_h|Dun Long Fur Armor
; itm_dunland_armor_i|Dunnish Hauberk
; itm_dunland_armor_j|Dunland Hauberk
; itm_dunland_armor_k|Dun Chief Armor
; itm_dun_helm_a|Dunnish Wolf Cap
; itm_dun_helm_b|Dunnish Antler Cap
; itm_dun_helm_c|Dunnish Tall Helm
; itm_dun_helm_d|Dunnish Tall Helm

; itm_dun_helm_e|Dunnish Antler Helm
; itm_dun_shield_a|Dunnish Shield
; itm_dun_shield_b|Dunnish Shield
; itm_dun_berserker|Dunland Chieftain Sword
; itm_dunnish_antler_axe|Dunnish Antler Axe
; itm_dunnish_war_axe|Dunnish War Axe
; itm_dunnish_axe|Dunnish Axe
; itm_dunland_spear|Dunnish Spear
; itm_dunnish_pike|Dunnish Pike
; itm_rohan_armor_a|Rohan Shirt
; itm_rohan_armor_e|Rohan Hauberk
; itm_rohan_armor_h|Rohan Leather Armor
; itm_rohan_armor_k|Rohan Hauberk
; itm_rohan_recruit|Rohan Padded Jerkin
; itm_rohan_leather|Rohan Leather Vest
; itm_rohan_mail|Rohan Hauberk
; itm_rohan_rider|Rohan Rider Armor
; itm_rohan_scale|Rohan Scale Armor
; itm_rohan_surcoat|Rohan Surcoat
; itm_rohan_guard|Rohan Guard Armor
; itm_rohan_light_helmet_a|Rohan Light Helm
; itm_rohan_light_helmet_b|Rohan Light Helm
; itm_rohan_inf_helmet_a|Rohan Eyeguard Helm
; itm_rohan_inf_helmet_b|Rohan Eyeguard Helm
; itm_rohan_archer_helmet_a|Rohan Nasal Helm
; itm_rohan_archer_helmet_b|Rohan Nasal Helm
; itm_rohan_archer_helmet_c|Rohan Guard Helm
; itm_rohan_cav_helmet_a|Rohan Cavalry Helm
; itm_rohan_cav_helmet_b|Rohan Cavalry Helm
; itm_rohan_cav_helmet_c|Rohan Cavalry Helm
; itm_rohan_captain_helmet|Rohan Captain Helm
; itm_rohan_shield_a|Rohan Shield
; itm_rohan_shield_b|Rohan Shield
; itm_rohan_shield_c|Rohan Shield
; itm_rohan_shield_d|Rohan Shield
; itm_rohan_shield_e|Rohan Shield
; itm_rohan_shield_f|Rohan Shield
; itm_rohan_shield_g|Rohan Royal Shield
; itm_rohan_light_greaves|Rohan Light Greaves
; itm_rohirrim_war_greaves|Rohirrim War Greaves
; itm_rohan_shoes|Leather Shoes
; itm_rohan_cav_sword|Rohan Riding Sword
; itm_rohan_inf_sword|Rohan Sword
; itm_rohan_spear|Rohan Spear
; itm_rohan_lance|Rohan Lance
; itm_rohan_sword_c|Rohan Sword
; itm_rohirrim_short_axe|Rohirrim Short Axe
; itm_rohirrim_long_hafted_axe|Rohirrim Long Hafted Axe
; itm_rohan_2h_sword|Rohan War Sword
; itm_mirkwood_light_scale|Light Woodelf Scale
; itm_mirkwood_armor_a|Light Leather
; itm_mirkwood_armor_b|Light Quilted and Scale Armor
; itm_mirkwood_armor_c|Mirkwood Royal Mail
; itm_mirkwood_armor_d|Light Quilted Surcoat
; itm_mirkwood_armor_e|Light Mail and Surcoat
; itm_mirkwood_armor_f|Mirkwood Leafscale
; itm_mirkwood_great_spear|Mirkwood Great Spear
; itm_mirkwood_war_spear|Mirkwood War Spear
; itm_mirkwood_short_spear|Mirkwood Spear
; itm_mirkwood_knife|Mirkwood White Knife
; itm_mirkwood_sword|Mirkwood Sword
; itm_mirkwood_spear_shield_a|Mirkwood Spearman Shield
; itm_mirkwood_spear_shield_b|Mirkwood War Shield
; itm_mirkwood_spear_shield_c|Mirkwood Swordsman Shield
; itm_mirkwood_helm_a|Mirkwood Archer Helm
; itm_mirkwood_helm_b|Mirkwood Helm
; itm_mirkwood_helm_c|Mirkwood Royal Spearman Helm
; itm_mirkwood_helm_d|Mirkwood Royal Archer Helm
; itm_mirkwood_boots|Mirkwood boots
; itm_mirkwood_leather_greaves|Mirkwood Leather Greaves
; itm_harad_tunic|Harad Tunic
; itm_harad_padded|Harondor Padded Armor
; itm_harad_hauberk|Harondor Hauberk
; itm_harad_lamellar|Harasjala Armor
; itm_harad_heavy|Harad Noble Armor
; itm_harad_skirmisher|Light Harad Garb
; itm_harad_archer|Harad Archer Armor
; itm_black_snake_armor|Maranka Armor
; itm_harad_champion|Far Harad Garb
; itm_panther_guard|Panther Hide
; itm_harad_scale|Harad Scale Armor
; itm_harad_tiger_scale|Tiger Guard Armor
; itm_harad_lion_scale|Lion Guard Armor
; itm_harad_dragon_helm|Kiloka Helm
; itm_harad_cav_helm_a|Harondor Cavalry Helm
; itm_harad_cav_helm_b|Harondor Cavalry Helm
; itm_black_snake_helm|Maranka Helm
; itm_harad_finhelm|Great Harad Helmet
; itm_harad_heavy_inf_helm|Great Harad Helmet
; itm_harad_wavy_helm|Great Harad Helmet
; itm_harad_eaglehelm|Eagle Guard Helm
; itm_lion_helm|Lion Guard Helm
; itm_harad_pantherhelm|Panther Guard Cap
; itm_harad_khopesh|Harad Khopesh
; itm_black_snake_sword|Harad Heavy Falchion
; itm_harad_heavy_sword|Harad Heavy Sword
; itm_horandor_a|Harad Scimitar
; itm_skirmisher_sword|Harad Skirmisher Sword
; itm_harad_sabre|Harad Sabre
; itm_harad_mace|Far Harad Mace
; itm_far_harad_2h_mace|Far Harad Two Handed Mace
; itm_harad_dagger|Harad Knife
; itm_harad_short_spear|Harad Short Spear
; itm_harad_long_spear|Harad Spear
; itm_eagle_guard_spear|Harasjala Polearm
; itm_harad_long_shield_a|Harad Leopard Shield
; itm_harad_long_shield_b|Harad Bronze Shield
; itm_harad_long_shield_c|Harad Sun Shield
; itm_harad_long_shield_d|Harad Snake Shield
; itm_harad_long_shield_e|Harad Snake Shield
; itm_harad_shield_a|Harondor Shield
; itm_harad_shield_b|Harondor Buckler
; itm_harad_shield_c|Harondor Buckler
; itm_harad_tribal_a|Far Harad Shield
; itm_harad_tribal_b|Far Harad Shield
; itm_harad_yellow_shield|Harad Shield
; itm_desert_boots|Desert Boots
; itm_harad_leather_greaves|Harad Greaves
; itm_harad_scale_greaves|Harad Boots
; itm_harad_lamellar_greaves|Harad Boots
; itm_khand_helmet_a1|Khand Helm With Camail
; itm_khand_helmet_a2|Khand Helm
; itm_khand_helmet_a3|Khand Veiled Helm
; itm_khand_helmet_b1|Khand Decorated Helm
; itm_khand_helmet_b2|Khand Masked Helm
; itm_khand_helmet_b3|Khand Veiled Helm
; itm_khand_helmet_b4|Khand Helm With Camail
; itm_khand_helmet_c3|Khand Infantry Helm
; itm_khand_helmet_c4|Khand Infantry Helm
; itm_khand_helmet_d1|Khand Masked Helm
; itm_khand_helmet_d2|Khand Helm With Camail
; itm_khand_helmet_d3|Khand Masked Helm
