qstr_Gate_is_breached!|大门被攻破！
qstr_Gained_permanent_+2_|永久获得+2力量.
qstr_Gained_permanent_+2_t|永久获得+2魅力.
qstr_Lost_permanent__1_to|永久失去-1魅力.
qstr_Gained_permanent_+1_to_|永久获得+1铁骨.
qstr_Gained_permanent_+5_|永久获得+5力量.
qstr_Lost_permanent__2_to|永久失去-2魅力.
qstr_Gained_permanent_+2_to|永久获得+2铁骨.
qstr_Gained_permanent_+10|永久获得+10武器熟练.
qstr_Gained_permanent_+1_to_T|永久获得+1战术.
qstr_You_have|你受了
qstr_{s1}_has|{s1}受了
qstr_{s11}_suffered_a_ser|{s11}受到了重伤.
qstr_The_leg_has_been_bad|腿在战斗中严重致残了.
qstr___2_athletics__1_rid|(-2跑动,-1骑术,-2敏捷,-15近战武器熟练度)
qstr_The_arm_has_been_bad|手臂在战斗中严重致残了.
qstr___20_weapon_skill__2|(-20武器熟练度,-2力量,-1强击)
qstr_The_head_has_suffere|头部遭受了严重的一击.
qstr___1_intelligence_ski|(-1智力技能,-15远程武器熟练度)
qstr_The_chest_has_suffer|胸部插进了几根破碎的肋骨。
qstr___20_weapon_skill_|(-20 武器熟練度)
qstr_{s1}_has_been_killed|{s1} 被殺害了
qstr_You_were_killed.|你死了.
qstr_{s1}_recovered_from_|{s1}的一个伤痊愈了.
qstr_The_leg_wound_has_he|腿伤已痊愈。
qstr__+2_athletics_+1_rid|(+2跑动,+1骑术,+2敏捷,+15近战武器熟练度)
qstr_The_arm_wound_has_he|手臂的伤口已经痊愈。
qstr__+20_weapon_skill_+2|(+20武器熟练度,+2力量,+1强击)
qstr_The_head_wound_has_h|头部的伤口已经痊愈。
qstr__+1_intelligence_ski|(+1智力技能,+15远程武器熟练度)
qstr_The_cracked_ribs_hav|折断的肋骨恢复了.
qstr__+20_weapon_skill_|(+20武器熟练)
qstr_{s1}_has_had_his_hea|{s1}恢复了健康
qstr_News_has_arrived_tha|最新战报，{s2}的{s1}已经战死沙场！
qstr_{s1}_s_Burial_Mound|{s1}的墓地
qstr_{s1}_s_Funeral_Pyre|{s1}的火葬堆
qstr_{s1}_is_logged_as_de|{s1}被记录为死人
qstr_You_have_been_discov|你在翻过这堵墙之前就被发现了.
qstr_The_enemy_is_coming_|如此强劲的敌人马上就要到了，你必须马上给我撤退!
qstr_Scout_this_area_alon|独自侦察这个地方并且在稍远处的地方召集你的人马！
qstr_Be_stealthy_but_elim|悄悄地但是要迅速消除任何威胁!
qstr_You_are_spotted_by_a|你被巡逻队发现了!
qstr_Eliminate_them_befor|在他们发出警报前干掉他们!
qstr_You_have_reached_the|你已经达到地牢!
qstr_Eliminate_the_guards|干掉卫兵，解救你的人!
qstr_{s1}_has_been_captur|{s1}被俘虏了！
qstr_Gondor_takes_a_capti|刚铎抓到了一名俘虏
qstr_Rohan_takes_a_captiv|洛汗抓到了一名俘虏
qstr_Mordor_takes_a_capti|魔多抓到了一名俘虏
qstr_Isengard_takes_a_cap|艾辛格抓到了一名俘虏
qstr_You_were_grievously_|您受到重创，并被扔到死尸堆中。慎重决定您突围逃跑的时机，否则，敌人将有可能发现您。当然，能迅速逃离才是最好的。
qstr_You_were_grievously_w|您在战斗中身受重伤。您的部下们在营救你的行动中损失惨重。
qstr_You_were_grievously_wo|您在战斗中身受重伤。您的部下们在营救你的行动中损失惨重。更不幸的是，您有部分同伴被俘虏到了{s2}。
qstr_You_were_grievously_wou|你在战斗中受伤了，你的人带着你逃离了战场。但不幸的是，巫师也成功地逃脱了。
qstr_You_were_grievously_woun|你在战斗中受伤了，你的身边堆满了尸体，你好不容易找到机会，逃离了战场。但不幸的是，巫师也成功地逃脱了。
qstr_Some_of_your_compani|你的一些同伴正遭受的旧伤的困扰.
qstr_Item_you_just_equipp|刚才的物品不适合这个种族的人物，它将从装备栏移除，请保持物品栏有足够的空位否则您将失去这个物品。
qstr_Inappropriate_equipm|不合适的装备
qstr_The_mount_you_just_e|你刚刚装备的座位不适合这个种族的人物。警告，如果你把它留在这里，战场上的动物行为会有问题
qstr_Inappropriate_mount|正确的安装
qstr_{s24}:_Your_infantry|{s24}:你的步兵感觉好多了!
qstr_{s24}:_Your_archers_|{s24}:你的射手感觉好多了!
qstr_{s24}:_Your_cavalry_|{s24}:你的骑兵感觉好多了!
qstr_Ah_what_a_coincidenc|哈,真巧啊,在这里碰到{playername}!你可能不知道我,但是你对我来说并不陌生.我正在赶往{s4},但是我刚才从{s3}那里已经听到了你的大名.在这危急的时刻，{s3}正指望着你呢，如果此时此刻你正三心二意,不妨收敛一下心神，并且尽你最大的努力帮助{s3}。
qstr_Who_are_you?|你是谁？
qstr_A_friend_of_{s3}_and|来自{s2}的朋友{s3}.快点!魔多正在集结一切的邪恶势力,黑暗的力量聚集在一起.这世界美好的东西快被黑暗吞噬光了,让我们集合所有的力量来消灭这个黑暗!
qstr_What_should_I_do?|我该怎么办?
qstr_Find_{s3}_s_whereabo|找到{s3}的下落并立即与把事情告诉他。祝你好运！
qstr_Good_to_see_the_Shad|很高兴看到还没被阴影打败的你{playername}.
qstr_You_are_the_one_they|你就是被他们称作甘道夫或米斯兰达的那个人。
qstr_That_is_what_some_ca|这就是他们叫我的名字.在我生活的时代我还被叫做其他的一些东西,但是除非黑暗消失,不然很快就再也不会有人叫我的名字了.
qstr_What_do_you_mean?|你什么意思?
qstr_In_spite_of_their_va|尽管他们有过英勇的抵抗,但是{s3}最终还是沦陷了.{s3}的人们不得不逃离家乡，美好的{s4}已经一去不复返了.
qstr_You_bring_dismal_new|你带来了坏消息,术士.
qstr_But_I_also_bring_a_m|但是我也但来了一丝希望.{s5}的人们任然在坚持抵抗.他们的勇士和长官都坚定无畏.
qstr_Help_them_fight_the_|尽你最大的力量帮助他们抵抗敌人.永不后悔!时刻警惕!这世上有比半兽人更加古老邪恶的东西.
qstr_Beware_{playername}_|当心{playername},黑暗的力量衰弱了.{s3}已经堕落了,他的领导者是{s4}.
qstr_What_do_you_want_of_|你想让我做什么,老人家?
qstr_Just_know_that_a_Daw|我坚信黎明即将到来.如果你能活着看到他的话,你该考虑要为自己说些什么.
qstr_Well_met_{playername|很高兴见到你们{playername},{s24}．我并没有错信你.阴影的力量已经被打破，这其中你帮了很大的忙!
qstr_Thank_you_Mithrandir|谢谢你,米斯兰达!
qstr_The_wizard_Saruman_i|巫师萨鲁曼已逝，巴拉多连同其黑暗郡主已经被粉碎!中土世界的人民赌上这世界所有美好的东西来消除黑暗.敌人被打败了，国王已经回来了！
qstr_It_was_a_long_and_bl|这是一个漫长而残酷的战争，我们许多的朋友为此付出了生命.
qstr_There_is_much_to_reg|有很多遗憾和悲哀,还有很多事物待我们重建.但是现在,让我们和我们的朋友庆祝那即将结束的第三纪.
qstr_Bagginsssss..._Ssssh|巴金斯——夏尔——
qstr_I..._don_t_know!|我....不知道
qstr_It..._beckonsssssss.|它...在招手
qstr_Treachery..._Unforgi|背信弃义...不可饶恕...
qstr_But_I...|但是，我........
qstr_Noone..._oppossssses|没有……没有敌人……和……活着的……可以抵御……
qstr_All..._must..._submi|所有人...必须...服从...服从...
qstr_I_serve_the_Eye!|我服从索伦之眼!
qstr_I_shall_serve_the_Ey|我应该服从索伦之眼!
; qstr_Go_to_{s1}_and_speak|Go to {s1} and speak with {s9}.
; qstr_The_Remnant_Forces_o|The Remnant Forces of {s22} have gathered to reinforce the {s15} theater!
; qstr_The_strength_of_the_|The strength of the remaining allied factions of the {s15} theater has increased
; qstr_{s30}_reinforced_by_|{s30} reinforced by {reg65} fac str
qstr_{s1}_has_been_besieg|{s1}受到{s3}的{s2}包围。
qstr_The_forces_of_{s2}_m|{s2}的军队向{s15}前进!
qstr_Rohan_capital_moved_|洛汗首都已经从伊多拉斯移动到号角堡！
; qstr_Gondor_capital_moved|Gondor capital moved from Minas Tirith to Dol Amroth!
; qstr_Dale_capital_moved_f|Dale capital moved from Dale to Esgaroth!
; qstr_Gundabad_capital_mov|Gundabad capital moved from Gundabad to Goblin Town!
; qstr_The_hosts_of_{s2}_re|The hosts of {s2} retreat back to their homes!
qstr____Ruins_of_{s1}___|{s1}的废墟
qstr_ranks|行阵
qstr_shield_wall|盾墙
qstr_wedge|楔形阵
qstr_square|方阵
qstr_up|冲锋
qstr___Infantry_forming_{|步兵组成{s1}。
qstr___Not_enough_infantr|没有足够的步兵组成{s1}，用坚守代替。
qstr___Cavalry_forming_{s|骑兵组成{s1}。
qstr___Not_enough_cavalry|没有足够的骑兵组成{s1}，用坚守代替。
qstr___Archers_forming_{s|弓箭手组成{s1}。
qstr___Not_enough_archers|没有足够的弓箭手组成{s1}，用坚守代替。
qstr___Infantry_formation|步兵阵型解散。
qstr___Cavalry_formation_|骑兵阵型解散。
qstr___Archer_formation_d|弓箭手阵型解散。
; qstr_Division_{reg1}_{s2}|Division {reg1} {s2} forming {s1}.
; qstr_Not_enough_troops_in|Not enough troops in division {reg1} {s2} to form {s1}.
; qstr_Division_{reg1}_{s2}_|Division {reg1} {s2} is an {s3} division and cannot form {s1}.
; qstr_{s1}:_infantry_forma|{s1}: infantry formation disassembled.
; qstr_{s1}:_archer_formati|{s1}: archer formation disassembled.
; qstr_{s1}:_skirmisher_for|{s1}: skirmisher formation disassembled.
; qstr_{s1}:_cavalry_format|{s1}: cavalry formation disassembled.
; qstr_{s1}:_formation_disa|{s1}: formation disassembled.
; qstr_Cavalry_formation_di|Cavalry formation disassembled.
; qstr_The_placement_of_{s1|The placement of {s1} division {reg0} memorized.
; qstr_The_placement_of_{s1}|The placement of {s1} division {reg0} set to default.
; qstr_Your_party_s_tactica|Your party's tactical skill limits how far away you can deploy your troops!
; qstr_...and_attack_enemy_|...and attack enemy {s1} division!
; qstr_{s2}:_returning_afte|{s2}: returning after destroying enemy {s1} division.
; qstr_infantry|infantry
; qstr_archer|archer
; qstr_cavalry|cavalry
; qstr_polearm|polearm
; qstr_skirmisher|skirmisher
; qstr_mounted_archer|mounted archer
; qstr_support|support
; qstr_bodyguard|bodyguard
; qstr_undetermined_type_of|undetermined type of

qstr_{s1}_has_fled_the_ba|{s1}逃离战场！
qstr_Your_troops_are_at_{|你的部队的士气为{reg1}%(+额外的{reg3}%)，敌人为{reg2}%!
qstr_Morale_of_your_troop|你的部队的士气动摇了！
qstr_Morale_of_your_enemi|你的敌人的士气动摇了！
qstr_Your_enemies_flee_in|你的敌人因恐惧而临阵脱逃！
qstr_Many_of_your_enemies|大部分你的敌人临阵脱逃了。
qstr_Some_of_your_enemies|一些你的敌人临阵脱逃了。
qstr_A_few_of_your_enemie|几个你的敌人临阵脱逃了。
qstr_Your_troops_flee_in_|你的部队因恐惧而临阵脱逃！
qstr_Many_of_your_troops_|大部分你的部队临阵脱逃了。
qstr_Some_of_your_troops_|一些你的部队临阵脱逃了。
qstr_A_few_of_your_troops|几个你的部队临阵脱逃了。
; qstr_Gained_permanent_+1_to_P|Gained permanent +1 to Pathfinding.
; qstr_Gained_permanent_+1_to_S|Gained permanent +1 to Spotting.
; qstr_{s11}_recovered_from|{s11} recovered from a serious wound.
qstr_Volunteers|志愿者
; qstr_Reserves|Reserves
; qstr_have_taken_measure_o|have taken measure of your faction's current strength and has grown bolder.
; qstr_loses_Faction_Streng|loses Faction Strength as supply lines were disrupted.
; qstr_loses_Faction_Strengt|loses Faction Strength due to the destruction of their camp.
; qstr_gains_Faction_Streng|gains Faction Strength as news of your victory spreads.
; qstr_Something_wrong_not_|Something wrong, not enough troops to remove
; qstr_Raiders|Raiders
; qstr_have_won_the_sea_bat|have won the sea battle, demoralizing your troops. The enemy may take advantage of this defeat and attack more frequently.
; qstr_loses_Faction_Strength|loses Faction Strength due to the destructive raid.
; qstr_loses_Faction_Strength_|loses Faction Strength due to the your success at the sea.
; qstr_You_spent_{reg67}_of|You spent {reg67} of your influence with {s1}, with {reg66} remaining.
qstr_No_Troops_Left.|没有队伍。
; qstr_avoid_melee|avoid melee
; qstr_stand_and_fight|stand and fight
qstr_Everyone|所有人
; qstr_Shield___{reg31}_|Shield (-{reg31})
; qstr_Power_Draw___{reg31}|Power Draw (-{reg31})
; qstr_Riding___{reg31}_|Riding (-{reg31})
; qstr_Horse_Archery___{reg|Horse Archery (-{reg31})
; qstr_Athletics___{reg31}_|Athletics (-{reg31})
; qstr_No_Skill_Penalty_Ass|No Skill Penalty Assigned
; qstr_Inventory|Inventory
; qstr_Show_stats|Show stats
; qstr_Show_item_details__|Show item details  
; qstr_Troop_detail|Troop detail
; qstr_{s1}^|{s1}^
; qstr_{s1}Level:_{reg1}^|{s1}Level: {reg1}^
; qstr_{s1}Hit_Points:_{reg|{s1}Hit Points: {reg1}
; qstr_{s1}Atributes:_^___S|{s1}Atributes: ^   Strength:^
; qstr_{s2}^{reg1}^|{s2}^{reg1}^
; qstr_{s1}___Agility:|{s1}   Agility:
; qstr_{s2}{reg1}|{s2}{reg1}
; qstr_{s1}Main_skills:_^|{s1}Main skills: ^
; qstr_{s1}___Power_Strike:|{s1}   Power Strike:^
; qstr_{s2}{reg1}^|{s2}{reg1}^
; qstr_{s1}___Athletics:^|{s1}   Athletics:^
; qstr_{s1}___Riding:^|{s1}   Riding:^
; qstr_{s2}_^|{s2}-^
; qstr_{s1}___Power_Throw:^|{s1}   Power Throw:^
; qstr_{s1}___Power_Draw:^^|{s1}   Power Draw:^^
; qstr_{s2}{reg1}^^|{s2}{reg1}^^
; qstr_{s2}_^^|{s2}-^^
; qstr_{s1}Weapons:^|{s1}Weapons:^
; qstr_{s1}___One_Handed:^|{s1}   One Handed:^
; qstr_{s1}___Two_Handed:^|{s1}   Two Handed:^
; qstr_{s1}___Polearms:^|{s1}   Polearms:^
; qstr_{s1}___Archery:^|{s1}   Archery:^
; qstr_{s1}___Crossbow:^|{s1}   Crossbow:^
; qstr_{s1}___Throwing:^|{s1}   Throwing:^
; qstr_{s1}___Slings:|{s1}   Slings:
; qstr_{s2}_|{s2}-
; qstr__Click_on_the_troop_|(Click on the troop to rotate it)^^Click on pieces of gear ^(helmet, armor, gloves and boots)^ to display them.
; qstr_ready_bows_and_missi|ready bows and missiles
; qstr_ready_side_arms|ready side arms
; qstr_ready_two_hander|ready two-hander
; qstr_ready_polearms|ready polearms
; qstr_shields_up|shields up
; qstr_doff_shields|doff shields
; qstr_Distance___{reg70}__|Distance - {reg70} - {s11} Party - {s12} Troop
qstr_Your_mount_stumbles!|你的坐骑绊倒了！看起来像是瘸腿了.
qstr_Bitten_by_your_own_w|你被你的座狼咬了!
qstr_You_weigh_too_much_f|你太重了，骑不起小型马!
qstr_Your_mount_rears_ref|你的坐骑受到惊吓！不服从你的命令！
qstr_Fixed_Custom_Camera|固定相机
; qstr_Press_Ctrl_+_Left_/_|Press Ctrl + Left / Ctrl + Right Arrow Keys to Switch Shoulders
qstr_Use_+/__to_zoom_in/o|使用+/-可放大/缩小
qstr_Use_Up/Down_arrow_ke|使用向上/向下箭头键向上/向下倾斜
qstr_Fixed_Camera___Right|固定相机 - 右肩
qstr_Fixed_Camera___Left_|固定相机 - 左肩
; qstr_While_visiting_towns|While visiting towns, settlements and camps, you can talk to people walking around. Members of different factions have different things to say - some will let you in on their own thoughts, others will share rumours. Both could merely give you a better understanding of the person's culture and faction, or they might hold clues to finding secret locations, or tips and tricks for travelling through the Wilderness and fighting in the War of the Ring.
qstr_Cannot_leave_now.|现在不能离开。
; qstr_You_have_found_the_l|You have found the local smithy... (+{reg3} XP)
; qstr_You_have_found_the_lo|You have found the local authority...(+{reg3} XP)
; qstr_You_have_found_the_loc|You have found the local warehouse...(+{reg3} XP)
; qstr_You_look_through_Hen|You look through Henneth Annun, the Window of the Sunset. The beautiful sight restores your faith in the West and the Powers beyond.\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t  
qstr__cancelled_the_{reg1|（取消了虐杀囚犯获得的{reg10}经验值）
qstr_Forming_ranks.|列阵中。
; qstr_{reg2?You:Your_mount|{reg2?You:Your mount} received {reg1} extra damage!
; qstr_{reg2?You_strike:You|{reg2?You strike:Your horse charges} for {reg1} bonus damage!
; qstr_Division_Placement|Division Placement
; qstr_Complex_Formations|Complex Formations
; qstr_Formations_turned_OF|Formations turned OFF in options menu
; qstr_Division_{reg1}_{s2}_g|Division {reg1} {s2} goes to its memorized position...
; qstr_Division_{reg1}_{s2}_f|Division {reg1} {s2} forms line (memorized).
; qstr_Division_{reg1}_{s2}_fo|Division {reg1} {s2} forms {reg0} lines (memorized).
; qstr_DEBUG__Health_Regen_|DEBUG (Health Regen): {s1} regains {reg0}% health.  = +{reg1}% STR
; qstr_Three_Nazgul_are_cir|Three Nazgul are circling in the sky above the battlefield!
; qstr_Two_Nazgul_are_circl|Two Nazgul are circling in the sky above the battlefield!
qstr_A_Nazgul_is_circling|一个戒灵在战场的上空盘旋!
; qstr_Some_of_your_human_t|Some of your human troops are not daunted by the darkness.(Night Troops are not affected by night time penalties)
; qstr_You_are_filled_with_|You are filled with just rage as you set your eyes upon the enemy (Berserk active).
; qstr_Your_mount_is_scared|Your mount is scared by the {reg73?ent:troll}!
qstr_Nazgul_sweep!|戒灵来了!
qstr_You_and_your_horse_p|戒灵的叫声是你和你的马无法承受的恐惧!
qstr_Your_horse_panics_th|戒灵的叫声是你的马无法承受的恐惧!
qstr_You_cower_in_terror_|你在戒灵恐怖的叫声中退缩!
qstr_knocked_unconscious|撞晕
qstr_Nazgul_diving_attack|戒灵正在攻击{s11}！
qstr_{s11}_is_{s10}_in_th|{s11}和{s10}正在被戒灵攻击！
; qstr_Received_{reg66}_dam|Received {reg66} damage.
qstr_You_yell_for_your_ho|你对你的马大喊
qstr_{s1}_s_morale:_{reg1|{s1}的士气：{reg1}
; qstr_You_do_not_need_to_r|You do not need to rally your troops yet.
qstr_You_rally_your_troop|你集合了你的部队！
; qstr_{s5}_rallies_{reg65?|{s5} rallies {reg65?her:his} troops!
qstr_You_have_killed_{reg|你在战斗中杀死了{reg1}名敌人！
qstr_Your_bravery_inspire|你的英勇鼓舞了你的部队！
; qstr_Your_mount_has_falle|Your mount has fallen to the ground beneath you!
; qstr_Receive_{reg22}_dama|Receive {reg22} damage.
; qstr_You_have_been_knocke|You have been knocked unconscious by {s22}.
; qstr_{s21}_has_been_knock|{s21} has been knocked off of {reg23?her:his} mount when it fell.
; qstr_{s21}_{reg24?killed:|{s21} {reg24?killed:knocked unconscious} by {s22}.
; qstr_A_bear_has_been_summ|A bear has been summoned to battle!
; qstr_In_The_Last_Days_of_|In The Last Days of the Third Age, your troops will position themselves and hold at the beginning of each battle, instead of blindly charging.^^To order your troops into formation, press 'J' for Ranks, 'K' for Shield-Wall, 'L' for Wedge, ';' for Square. To undo the formation, press 'U'. ^If your troops are fleeing, you can press 'V' to rally them. You get only a limited amount of rallies per battle, and the amount depends on your leadership and charisma.
; qstr_You_can_also_order_y|You can also order your troops to cycle through the type of weapon you want them to use.^^ Press O to cycle between Weapon Order types. Press P to cycle between Shield Order types.
; qstr_The_Last_Days_of_the|The Last Days of the Third Age has implemented a Custom Camera in order to bypass the current camera limitation with regards to shorter races (e.g Orcs and Dwarves).^^Press CTRL + END to cycle through the 2 camera modes: Fixed Position and Free-Mode.^^Fixed position is the optimal position for all races, however it cannot be configured. You can press CTRL+Left/Right Arrow Keys to switch shoulders.^^Free-Mode Camera puts the character in the middle of the screen. You can press CTRL+Up/Down arrow keys to tilt the camera and CTRL+ Numpad +/- to zoom.^^See Info Pages for how to control the different camera modes.
; qstr_Battlefield_is_too_s|Battlefield is too small for complex AI formations.
qstr_You_have_a_clear_per|你必须清楚在你身边有一个大危机。
qstr_New_ent_reached_batt|新的树人加入战斗...
qstr_You_receive_word_tha|你收到的讯息，比翁人村庄被攻击。比翁人失去派系力量。
; qstr_You_receive_word_that|You receive word that the Ring Hunter Leaders were seen travelling towards Mordor, a chest in tow. Mordor gains faction strength.
; qstr_Enemy_reinforcements|Enemy reinforcements have arrived
; qstr_Yarrrr!!|Yarrrr!!
; qstr_Get_all_of_them!|Get all of them!
; qstr_Kill_them_all!|Kill them all!
; qstr_Toss_them_overboard!|Toss them overboard!
; qstr_It_is_a_good_day_to_|It is a good day to die!
; qstr_All_hands_on_deck!_T|All hands on deck! Throw them back!
; qstr_Ally_reinforcements_|Ally reinforcements have arrived
; qstr_Forward_men!|Forward, men!
; qstr_Leave_none_of_these_|Leave none of these filth standing!
; qstr_End_them_all!|End them all!
; qstr_Drive_them_back!|Drive them back!
; qstr_Protect_the_City!|Protect the City!
; qstr_Forward!_Board_them!|Forward! Board them!
; qstr_The_Last_Days_of_the_|The Last Days of the Third Age has an Advanced Siege AI, vastly different from Native. All troops, including the player's, are distributed amongst different teams (Left Flank / Center / Right Flank).^^ The player is then in charge of commanding their team, while the AI is in charge of commanding the other teams. This allows for a smarter, squad-based, siege battles.^^ Starting troops and reinforcements are commanded to CHARGE during the first few seconds after deployment. After that, your team can be commanded again.


qstr_Reached_Gauntlet_wav|{reg1}波战斗到了！
qstr_Ballista:_out_of_amm|弩车：没弹药了！
qstr_Ballista:_turn_CURSO|弩车：转向—移动光标 瞄准—左SHIFT 发射—SPACE 点火—T 退出—F
qstr_Ballista:_out_of_ammo|弩车：没弹药了
qstr_The_ladders_on_Deepi|梯子从城墙上掉下来了！小心！
qstr_You_yell_for_your_ho|你对你的马大喊
qstr_THREE.._TWO..._ONE..|三...二...一...上！
; qstr_You_have_come_upon_t|You have come upon the ruins of Amon Hen, the Hill of Sight, a Gondorian watch-tower atop which rests the Seat of Seeing^^You sense that this place was once great but has long been forgotten
; qstr_You_have_come_upon_th|You have come upon the Dead Marshes, site of the battle of Dagorlad during the War of the Last Alliance^^The marshlands have swallowed up what was once a grassy plain, and now the only green is the scum of livid weed on the dark greasy surfaces of the sullen waters^^Dead grasses and rotting reeds loom up in the mists like ragged shadows of long forgotten summers, and bodies of men, elves, and orcs float in the murky depths^^The air feels cold and clammy, and you can't help but shiver as you see candle-lights flickering in the eyes of an elf corpse just beneath the water's surface
; qstr_You_have_entered_the|You have entered the woods of Southern Mirkwood, once known as Greenwood the Great^^The fortress of Dol Guldur is nearby and it casts a dark shadow over the forest. The woods here feel sickly and full of decay. Ancient oak trees are overrun with rot and fungus and great tangling webs stretch from trunk to trunk^^ The air is everlastingly still and dark and stuffy, and it feels like you are slowly being suffocated
; qstr_You_have_found_the_D|You have found the Dwarven Warehouse where the Legendary Spears could be. Report what you find to {s3}
qstr_Leave_the_Warehouse?|离开仓库？
qstr_Leave_the_place_in_s|悄悄的离开此地？
qstr_Leave_scene?|离开现场？
; qstr_Trace_back_your_step|Trace back your steps and go back in the open now?
qstr_There_is_no_way_out!|没有出路！向半兽人投降吗？
qstr_Stealth_mini_game_tu|隐藏迷你小游戏教程：一共有两个等级的警报。1级：巡逻的警卫发现了一具尸体，他们开始寻找你。2级：警卫发现你时已经是1级警报了。2级是很危险的，因为警卫将陆续抵达。你可以保持隐藏，直到他们离开。
qstr_You_are_now_hidden.|你现在是隐藏的.
qstr_You_move_out_of_hidi|你现身了.
qstr_The_guards_have_spot|卫兵发现了一具尸体!
qstr_Alarm_Level_is_now_a|现在的警报级别是1!
qstr_Alarm_Level_is_now_at|现在的警报级别是0!
qstr_The_guards_have_spott|卫兵发现了你!
qstr_Alarm_Level_is_now_at_|现在的警报级别是2!
qstr_The_sorcerer_has_fle|巫师已经逃跑了!
qstr_Report_this_ill_news|马上向夫人报告这个坏消息.
qstr_The_sorcerer_is_flee|巫师正在逃跑!杀了他!
; qstr_The_sorcerer_has_joi|The sorcerer has joined the fight! Kill him!
qstr_The_sorcerer_is_dead|巫师已经死了!
qstr_The_battle_is_won!|戰爭勝利了！！
; qstr_A_band_of_tribal_orc|A band of tribal orcs have appeared!
; qstr_Gaaaar!!_We_wants_th|Gaaaar!! We wants those human meat!
; qstr_{s31}_scouts_have_ap|{s31} scouts have appeared!
; qstr_Those_are_ours!_We_h|Those are ours! We have been tracking them since they left! No one stands in our way!
; qstr_Trolls_appeared!|Trolls appeared!
; qstr_Gaaaar!!|Gaaaar!!
; qstr_{s31}_scouts_have_app|{s31} scouts have appeared to aid the refugees!
; qstr_Hurry_men!_Help_the_|Hurry, men! Help the refugees! Kill all the scum and do not let them escape!
; qstr_Cannot_leave|Cannot leave

qstr_Look_at_my_over_the_|看看我的头像，{playername}！我真漂亮！
qstr_You_wish_old_man_my_|你看，老头子，我的头像好多了！
qstr_You_should_really_se|你真应该看看Steward Denetor的Facebook的照片，他太不可思议了。
qstr_Press_Space_to_conti|请按Space继续...
qstr_{s24}__{reg13}_|{s24}({reg13})
qstr_Influence:^_{reg11}_|影响力：^{reg11}(对于{s16})
qstr_Resource_Points:^_{r|资源点：^{reg12}({s16})
qstr_{s11}_{s24}__{reg13}|{s11}, {s24} ({reg13})
qstr_{s13}_{reg11}__with_|{s13}, {reg11} (with {s16})
qstr_{s15}_{reg12}__in_{s|{s15}, {reg12} (in {s16})
qstr_^No_food:___{reg7}|^沒有食物: -{reg7}
qstr_Current_party_morale|当前队伍士气是：{reg5}^当前队伍士气修正为：^^因基础士气：+50^因队伍规模：{s2}{reg1}^因统御能力：{s3}{reg2}^因食物品种：{s4}{reg3}{s5}{s6}^因最近事件：{s7}{reg4}^总计：{reg5}
qstr_Defending|防卫中
qstr_Gathering_army|聚集军队
qstr_Besieging_{s11}|包围{s11}
qstr_Raiding_{s11}|掠夺{s11}
qstr_Attacking_enemies_ar|在{s11}附近攻击敌军
qstr_No_one|沒有人
qstr_{s9}{s10}^Current_st|{s9}{s10}^现阶段状况：{s11}^元帅：{s12}^最后的进攻持续了：{reg1}小时^攻击方最多剩下：{reg2}^^
qstr_Selected_faction_is:|选择的集团是：{s10}^^{s9}
qstr_You_are_in_perfect_h|你的健康状况很好。
qstr_You_are_suffering_fr|你遭遇了{s1}
qstr_You_are_suffering_fro|你遭遇了{s1}和{s2}.
qstr_You_are_suffering_from|你遭遇了{s1}{s2}和{s3}.
qstr_You_are_suffering_from_|你遭遇了{s1}{s2}{s3}和{s4}.
qstr_Weekly_upkeep_for_tr|每周兵种工资:^{reg5}资源点^
qstr_{s12}^__{s4}:_{reg4}|{s12}^{s4}:{reg4}资源点({reg5})
qstr_No_upkeep_costs|没有工资支出
qstr_Orc_hiring_bonus:_+2|兽人招聘奖金：+2/3每个兽人 ^
qstr_Current_party_size_l|当前部队上限的修正为：^^因基础人数：+10^因玩家统御：{s2}{reg1}^因玩家魅力：{s3}{reg2}^Ranks:{s4}{reg3}^总计:{reg5}
qstr_{s2}^_________{s4}:_|{s2}^ {s4}: {reg1} ({s23})
qstr__________Faction_str|阵营实力报告:^{s2}
qstr_{s1}^^Factions_are_n|{s1}^^阵营通常围困下面{reg1}实力。
; qstr_Savagery|Savagery
qstr_{s2}^^{s5}^{s6}|{s2}^^{s5}^{s6}
qstr_Traits_gained:^{s2}|获得称号:^{s2}
qstr_^^You_are_{s17}.|^^你是 {s17}.
qstr_Assassins_in_the_cam|刺客在营地里,保护好你自己!
qstr_Ally_party_size:_{re|盟友部隊規模: {reg1}
qstr_Enemy_party_size:_{r|敵軍部隊規模: {reg1}
qstr_Party_count:_{reg0}|部队计数:{reg0}
qstr_Party_position__{reg|Party 位置 ({reg2},{reg3}).
; qstr_Party_size_increased|Party size increased from {reg0} to {reg1}!
qstr_Faction_strengths_re|阵营实力报告:^{s2}
qstr_Attacking_enemy_part|攻擊對軍部隊{s11}
qstr_Unknown_{reg3}_|未知({reg3})
qstr_ON|ON
qstr_OFF__cheat_|OFF (cheat)
qstr_OFF|OFF
qstr_{reg0}__will_most_li|{reg0} (非常可能导致存档崩溃)
qstr_{reg0}__could_possib|{reg0}(可能导致存档崩溃)
qstr_Normal|正常
