menu_start_game_1|^^^^^^^^^^Ne için savaşıyorsun?
menu_custom_battle_end|Savaş bitti. {s1}, {reg5} tane düşman öldürdün ve {reg6} tane askerini savaşta kaybettin. {reg7} tane düşmanı kendin öldürdün.
mno_replay|Savaşı tekrar oyna.
mno_continue_dot|Devam et.
menu_quick_battle_general_test|Şimdiki savaş: ^takım A: {reg10} {s10}^^VS^^ takım B: {reg11} {s11}
mno_tAA|+5 A Takimi
mno_tAB|-5 A Takimi
mno_tAC|A birliğini seç
mno_tBA|+5 B Takimi
mno_tBB|-5 B Takimi
mno_tBC|B birliğini seç
mno_B|Önceden ayarlanmış 1
mno_F|Dövüşe başla!
mno_dot_go_back|Geri dön
menu_quick_battle_troll|^^^^^^^^Troll senaryonu seç
mno_troll_battle_scenario_10|Test: Troll VS Piyade
mno_troll_battle_scenario_11|Test: Troll VS Okçular
mno_troll_battle_scenario_12|Deneme: Trole karşı Süvari
mno_troll_battle_scenario_13|Deneme: Trole karşı Mızraklı Süvari
mno_troll_battle_scenario_14|Test: Troll VS Troll
mno_troll_battle_scenario_15|Binek Denemesi : Oyuncu Troll Kontrol Ediyor
menu_quick_battle_wargs|Warg Testi Senaryonuzu Seçin
mno_warg_battle_scenario_10|Warglara karşı: 1 vs 1\n
mno_warg_battle_scenario_11|Warglara karşı: 2 vs 3
mno_warg_battle_scenario_12|Warglara karşı: pek çok vs pek çok
mno_warg_battle_scenario_10b|Warglarla oyna: 1 vs 1
mno_warg_battle_scenario_11b|Warglarla oyna: 2 vs 3
mno_warg_battle_scenario_12b|Warglarla oyna: pek çok vs pek çok
menu_start_good|^^^^^^^^^^Irkını seç
mno_start_ma|İNSAN
mno_start_el|ELF
mno_start_dw|CÜCE
mno_go_back|Geri dön
menu_start_evil|^^^^^^^^^^Kime hizmet ediyorsun?
mno_start_eye|Mordor'dan SAURON, Yüzüklerin Efendisi
mno_start_hand|Isengard'dan SARUMAN, Ak El
menu_start_eye|Ustan Kapaksız Gözdür^Irkını seç.
mno_start_or|Kapaksız Göz'e hizmet eden ORK
mno_start_ur|URUK, orkların yeni nesli
mno_start_em|Sauron'un boyunduruğunda bir İNSAN
menu_start_hand|Ustan Beyaz Eldir^Irkını seç.
mno_start_whor|Ak El'e hizmet eden bir ORC
mno_start_isur|Isengard'da yetiştirilmiş bir URUK-HAI
mno_start_duma|Bir Dunland adamı, Batı Ovaları
menu_start_good_man|^^^^^^^^^^Halkini seç:
mno_start_go|GONDOR, krallığın beyaz kuleleri
mno_start_ro|ROHAN, At Halkı
mno_start_du|DUNEDAIN, İnsanların kadim hanedanlığı
mno_start_be|BEORNINGLER, Ayı Halkı
mno_start_da|DALE'in kuzey krallığı
menu_start_good_elf|Hangi ormanlıkta yaşıyorsun, yaşlı?
mno_start_ri|RIVENDELL'den, Lord Elrond
mno_start_lo|LOTHLORIEN'den Leydi Galadriel
mno_start_mi|MIRKWOOD, Silvan elflerin toprakları
menu_start_good_dwarf|Soyunu seç:
mno_start_er|Bir Erebor sakini
mno_start_ih|DEMİR TEPELER'in madencisi
menu_start_gondor|^^^^^^^^^^ Neredensin ? Gondordan mı ?
mno_start_mt|Başkent, MINAS TIRITH
mno_start_ls|LOSSARNACH, Baltalıların beyliği
mno_start_la|Lamedon , Dağ Klanı Beyliği
mno_start_pg|PINNATH GELIN, Yeşil tepeliklerin beyliği
mno_start_do|DOL AMROTH, Kuğu Şovalyeleri'nin beyliği
mno_start_pe|PELARGIR , Sahil Derebeyliği
mno_start_bl|BLACKROOT VALE, Okçuların beyliği
menu_start_eye_man|^^^^^^^^^^Halkini seç:
mno_start_hr|HARADRIM, Güneyden çöl insanı
mno_start_bn|Siyah NUMENOREANLAR, Batının hainleri
mno_start_um|UMBAR, Güney Denizlerin korsanları.
mno_start_rh|RHUN, Doğudaki barbarlar
mno_start_kh|KHAND, Güneydoğudaki vahşi insanlar
menu_start_eye_orc|Nereye saklanıyorsun
mno_start_arm|Mordordan toplanmış orduda
mno_start_cav|DOL GULDUR mağaralarında
menu_start_hand_orc|Nereye saklanıyorsun
mno_start_armis|ISENGARDDA toplanmış orduda
mno_start_minmo|MORIA Madenlerinde
mno_start_cliff|GUNDABAD Dağı eteklerinde
menu_start_gondor_mt|Soyunu seç
mno_start_1_com|Yerli
mno_start_2_hib|Soylu
menu_start_haradrim|Bir Haradrimsin, bir çöl insanı, soyunu seç
mno_start_1_des|Çöl insanı
mno_start_2_far|Far Harad Kabile Üyesi
menu_choose_gender|^^^^^^^^^^Cinsiyetin?
mno_start_male|Erkek
mno_start_female|Kadın
mno_proc|Normal olarak devam et
mno_continue|Devam et...
menu_character_report|^^^^^Grup Morali: {reg8}^Grup Boyut Limiti: {reg7}^{s5}
menu_camp|^^^^Sen {s1}.{s2}desin^^Ne yapmak istiyorsun?
mno_camp_scene|Etrafta yürü.
mno_camp_troop|Gözden geçir{reg10? troops:}{reg12? and:}{reg11? prisoners:}.
mno_camp_action|Bir nesne kullan.
mno_camp_wait_here|Burada bir süreliğine kamp kur.
mno_camp_options|TLD ayarını değiştir
mno_Cheat_enable|Hile/modlama ayarlarını etkinleştir.
menu_game_options|^^^^^^^^Değiştirmek için bir ayara tıklayın:
mno_game_options_restrict_items|Kısıtlı oyuncu ekipmanı: {s7}
mno_game_options_formations|Savaş düzenleri ve yapay zeka: {s7}
mno_game_options_town_menu|Şehir NPClerine her zaman menülerden ulaşılabilir: {s7}
mno_game_options_cutscenes|Arasahne: {s7}
mno_game_options_injuries|Yoldaşlar için yaralanmalar: {s7}.
mno_game_options_death|Lordlar ve Yoldaşlar için kalıci ölüm: {s7}.
mno_game_options_death2|Oyuncu için kalıcı ölüm (Bu SENSİN!): {s7}.
mno_game_options_morale|Savaş morali sistemi: {s7}
mno_game_options_animal_ambushes|Hayvan pususu :{s7}
mno_game_options_tweaks|Oyun Ayarı
mno_game_options_back|Kamp menüsüne geri dön
menu_camp_tweaks|^^^^^^^^Ayarlamak istediğiniz bir görüş seçin.
mno_tweak_options_compat|Uygunluk Ayarları
mno_tweak_options_strat|Strateji Ayarları
mno_tweak_options_back|Ayarlar menüsüne geri dön.
menu_camp_compat_tweaks|^^^^^^^^Ayarı değiştirmek için tıklayınız( Arttırmak için Shift'e basılı tut):^(Bunlar hile değil)
mno_game_options_compat_party|Max Parti Üyesi: {s1}
mno_game_options_compat_back|Ayarlar menüsüne dön
menu_camp_strat_tweaks|^^^^^^^^Degistirmek için bir ayara tiklayin:^(Uyarı: Bu bir hiledir)
mno_strat_tweaks_siege_reqs|Kuşatma gücü gereklilikleri: {s7}
mno_strat_tweaks_siege_relax_rate|Kuşatma str. req. Gecikme İhtimali: {reg1}
mno_strat_tweaks_regen_rate|Güç Yenilenmesi İhtimali: {s7}
mno_strat_tweaks_siege_regen_limit|Ulusları Daha Yenileyemeyecek: {reg1}
mno_strat_tweaks_influence_gain_rate|Etki kazanım oranı: {s7}
mno_strat_tweaks_rank_gain_rate|Rütbe kazanım oranı: {s7}
mno_strat_tweaks_back|Ayarlar menüsüne dön.
menu_camp_action|^^^^^^^^ Hangi Eşya?
mno_camp_customize_defilement|Ayarlanmış Kötü Zırh
mno_camp_drink_water|Ent Suyundan İç !
mno_camp_action_4|Geri.
menu_assasins_attack_player_won|{s3} tarafından gönderilen {s2} suikastçilerini başarıyla alt ettin.
menu_assasins_attack_player_retreat|Hayattasın ve kaçtın.
menu_fangorn_danger|^^^^^^ Yabancı ve korkunç sesler etrafında.^ Ağaçlar konuşuyor mu? Havada derin bir öfke ve acı seziyorum.^Emirlerin?
mno_be_quiet_elf|Ağaçların kinine saygı duy ve sessizce yürü.
mno_be_quiet|Silahlarınızı yere bırakın ve sessiz olun! Şimdi dışarı çıkın!
mno_be_bold|Hadi Ama ! Bitkilerden ve eski mitlerden korkmuyorum!
mno_fight_back|Hadi Keşfedelim ! Bölgeyi arayın !
menu_fangorn_search_fails|^^^^^^Karanlığı, sık ormanı aradın fakat hiçbir şey bulamadın.^Ama hala izlendiğini ve tehdit edildiğini hissediyorsun, daha ve daha fazlası.
menu_fangorn_battle_debrief_won|^^^Büyük bir zafer!^^^ Demek ki Fangorn'un bahsettiği tüm bu mitler bunlar hakkındaymış...
menu_fangorn_killed_player_only|^^^^^^Karanlık ve sık bir ormanda dolaşıyorsun.^Aniden bir darbe aldın! Belki de başına ağır bir dal parçası düştü.^Sadece bir dakikalığına baygın kalıyorsun. Kötü yaralısın ancak devam edebilirsin.
mno_ow_get_out|Ah! bu lanetli yerden çıkalım!
menu_fangorn_killed_troop_and_player|^^^^^^Karanlık ve sık bir ormanda dolaşıyorsun.^^Aniden bir darbe aldın! Belki de başına ağır bir dal parçası düştü.^^ Birkaç dakika sonra, kendine gelirken bütün askerlerinin senin kadar şanslı olmadığını fark ediyorsun.^^
menu_fangorn_killed_troop_only|^^^^^^^^Karanlık ve sık bir ormanda dolaşıyorsun. Birliklerin korku içinde.^^Ansızın, arkadan çığlıklar duyuyorsun! Yalnızca yerde, kan gölü içerisinde birkaç askerini bulmak için aceleyle geri dönüyorsun.^^Bazıları için artık çok geç...
mno_get_out|Çıkalım bu lanetli yerden!
menu_can_capture_troll|Düşmüş vahşi bir trol hala nefes alıyor!^^Acı ve öfkeyle dolmuş şeytani gözleri dik dik sana bakıyor.^Şimdi bile yıkıldığı ve kendi kanı içinde yardıma muhtaç uzandığı halde, son derece tehlikeli görünüyor...
mno_killit|Şimdi, işini bitir şunun. Öldüğüne emin ol.
mno_cageit1|Onu kafese koy ve yanında götür.
mno_cageit2|Diğer trolle birlikte kafese koy.
mno_cheat_disabable|Hile/mod ayarlarını devre dışı bırak.
menu_drank_ent_water_human|^^^Suyu içiyorsun. Temiz ve rahatlatıcı... Misk gibi hoş bir kokusu var.^Yenilenmiş hissediyorsun.^^Öte yandan içinde doğal olmayan, garip bir his de var. Bir şeyler sana bu suyu asla tekrar içmemen gerektiğini söylüyor.
menu_drank_ent_water_orc|^^^Suyu içiyorsun. Sadece su.^Birden acı içinde boğazını kavrıyorsun.^Zehirlendin!^Boğuluyorsun, siyah kan kusuyorsun, her şey bitmek üzere.^^Acıtıyor, çok acıtıyor.
mno_i_shall_surv|Ben.. hayatta... kalmalıyım...
menu_end_game|^^^^^Karar verildi, maceracı hayatından vazgeçiyor ve duruluyorsun. Silahlarını ve zırhını satıyor, sahip olduğun her şeyi toplayıp gün batımına doğru yola çıkıyorsun...
mno_end_game_bye|Hoşçakal.
menu_cattle_herd|Bazı insanlarla karşılaşıyorsun.
mno_cattle_drive_away|Takip emri ver.
mno_cattle_stop|Onları bir mola yerine götür.
mno_leave|Ayrıl.
menu_simple_encounter|^^^^^{s2}^Senin {reg22} askerin onların {reg11} askerine karşı savaşa hazır.^^Savaş {s3}{s4}'de yapılıyor.^^Emirlerin?
mno_encounter_attack|{reg21?Hücum et:Karşılaşmaya hazırlan}.
mno_encounter_order_attack|Askerlerine sensiz {reg21?saldırmalarını:çarpışmalarını} emret.
mno_special_whip|Parçalamak için ileri atıl {s4}.
mno_encounter_leave|Geri çekil.
mno_encounter_retreat|Kaçışını sağlamaları için birkaç askerini arkada bırakarak geri çekil.
menu_encounter_retreat_confirm|^^^^^Grubunun taktik yetenekleri en yüksek üyesi olarak,({reg2}), {reg3?you devise:{s3} devises} senin ve askerlerinin hayatlarının kurtararak kaçmalarını sağlayacak bir plan, fakat düşmanın senin takip etmesini engellemek için {reg4} askerini arkada bırakmak zorunda kalacaksın.
mno_leave_behind|Devam et. Bu adamların fedakarlığı geri kalanları kurtaracak.
mno_dont_leave_behind|Hayır. Geride kimse kalmayacak.
menu_encounter_retreat|^^^^^{reg4} Askerlerine , sen grubun kalanıyla geri çekilirken düşmanı tutmalarını söyle.
menu_order_attack_begin|^^^^^^ Askerlerin düşmana saldırmaya hazırlanıyor.
mno_order_attack_begin|Saldırının başlamasını emret.
mno_call_back|Askerleri geri çağır.
menu_order_attack_2|^{s4}^Kayıpların: {s8}^^Düşman Kayıpları: {s9}
mno_order_attack_continue|Askerlerine saldırıya devam etmelerini emret.
mno_order_retreat|Askerleri geri çağır.
menu_kingdom_army_quest_report_to_army|{s8} düzenleyeceği sefere katılmanı istiyor. Orduya en az  {reg13}  asker götürmelisin, eğer yeterli askerin yoksa hızla asker sayını artırmalısın.
mno_reject|Çok mesgul oldugunu ilet.
mno_send_word|Hemen gelip ona katılacagini ilet.
menu_kingdom_army_quest_messenger|{s8} seninle bir görev hakkında konuşmak istediğini iletiyor. Mümkün olduğunca çabuk gelip onu görmeni istiyor.
menu_kingdom_army_quest_join_siege_order|{s8} sana {s9} kuşatmasına tam taarruz hazırlığı ile katılman için söz yolladı .    Askerlerin ne uğruna olursa olsun {s9} u alacak.
menu_kingdom_army_follow_failed|Emirlerle itaatsizlik ettin ve {s8} i takip etme görevinde başarısız oldun. {s8} daha önemli bir işin olduğunu varsayıp sana bir mesaj yolladı, ama unutma ki sabrı sonsuz değil.
menu_battle_debrief|{s11}^Kayıpların:{s8}{s10}^^Düşman Kayıpları:{s9}
mno_inspect_troll|Yere serilen trolü kontrol et
menu_pre_join|{s2} ve {s1} arasında bir savaşa denk geliyorsun. Karar veriyorsun...
mno_pre_join_help_attackers|{s2}'e yardıma git.
mno_pre_join_help_defenders|{s1}'in yardımına koş.
mno_pre_join_leave|Karışma.
menu_join_battle|^^^{s1} e rakip olarak {s2] ye yardım ediyorsun.^ Düşmanın {reg11} askerine karşı senin {reg22} askerin bulunuyor.^^Savaş gerçekleşiyor {s3}{s4}.
mno_join_attack|Düşmana hücum et.
mno_join_order_attack|Askerlerine, sen geride kalırken müttefiklerinizle saldırmalarını emret.
mno_join_leave|Geri çekil.
menu_join_order_attack|{s4}^^Senin kayıpların: {s8}^^Müttefikinin kayıpları: {s9}^^Düşmanın kayıpları: {s10}
mno_enter|Giriş.
menu_battlefields|^^^^^^^^^^Savaş Bölgesi Seç.
mno_enter_f1|Bölge 1
mno_enter_f2|Bölge 2
mno_enter_f3|Bölge 3
mno_enter_f4|Bölge 4
mno_enter_f5|Bölge 5
menu_join_siege_outside|^^^^^^{s1}, {s2} tarafından kuşatıldı.
mno_approach_besiegers|Kuşatma kampına yaklaş.
mno_pass_through_siege|Kuşatmayı geç ve {s1} e gir.
menu_cut_siege_without_fight|Kuşatmacılar zorluk çıkartmadan kapılara yaklaşmana izin verdi.
menu_besiegers_camp_with_allies|{s1} kuşatma altında. {s2} un sancağı kuşatmacıların kampının üstünde dalgalanıyor,    burada sen ve birliğin memnuniyetle karşılanıyorsunuz.
mno_talk_to_siege_commander|komutan ile görüşme talep et.
mno_join_siege_with_allies|Sıradaki saldırıya katıl
mno_join_siege_stay_back|askerlerine sıradaki mücadelede sensiz savaşmalarını emret.
menu_moria_must_escape|Kitap cücelerin Moriaya yerleşmek için yaptığı son denemeyi anlatıyor gibi.Olaya karışan herkezin ölümüne sebep olan deneme... Kitabı incelerken `Gerçek Gümüş` sözlerine rastlıyorsun.Sayfalara biraz daha göz gezdirerek aniden yazılanların aşağı seviyelerdeki bir cüce hazinesinin haritası olduğunu anlıyorsun.Hah!Uzun süredir kayıp olan cüce mithrillini bulmak hoş olmazmıydı!? ^Hırslıca talimatları izliyor ve dar bir tünele giriyorsun... ^...^Birkaç saatlik arayışın ardından arayışların meyve vermeyince Moria nın en dip yerlerinde kaybolduğunu ve dışarı çıkmanın bir yolunu bulman gerektiğini anlıyorsun
mno_moria_exit_scene|Çıkış yolunu bul!
menu_castle_outside|Dışarıdasın {s2}.{s11} {s3} {s4}
mno_moria_enter|Gizli girişten Moria'nın ana salonuna dön.
mno_moria_enter_door|Moria'ya gir
mno_castle_start_siege|{reg6?town:castle}. 'ı kuşat.
mno_castle_leave|Ayrıl.
menu_castle_besiege|{s1}. {s2} {s3} 'leri kuşatıyorsun.
mno_siege_request_meeting|kale komutanı ile görüşme talep et.
mno_wait_24_hours|yarına kadar bekle.
mno_castle_lead_attack|Bir taarruz'da askerlerine liderlik et.
mno_attack_stay_back|sen geride beklerken askerlerine saldırma emri ver...
mno_build_ladders|Duvarlara saldırmak için merdivenleri hazırla.
mno_lift_siege|Kuşatmayı terk et.
menu_siege_attack_meets_sally|Müdafi'ler taaruzunu karşılamak üzere dışarıya çıktılar.
menu_construct_ladders|Mühendislik yeteneği en yüksek olan birlik üyesi ({reg2}) ile birlikte, {reg3?you estimate:{s3} estimates} saldırı için kurulacak merdivenlerin yapımı {reg4} saat alacak.
mno_build_ladders_cont|Yap.
menu_castle_attack_walls_simulate|{s4}^^Senin kayıpların:{s8}^^Düşmanın kayıpları: {s9}
menu_castle_attack_walls_with_allies_simulate|{s4}^^Senin kayıpların: {s8}^^Müttefikinin kayıpları: {s9}^^Düşmanın kayıpları: {s10}
menu_castle_taken|{s3} askerlerinin eline geçti ve {reg2?town:castle}. 'in tüm kontrolü artık sana ait. {reg1? Görünüşe göre kaleyi kendin için almanı engelleyen bir şey yok...:}
menu_castle_taken_2|{s3} askerlerinin eline geçti ve kalenin tüm kontrolü artık sana ait. Artık zaferin için {s9}' a haber verme vakti geldi. {s5}
mno_castle_taken_no_claim|Ödül isteme.
menu_siege_started_defender|{s1}, {s2} ' nin duvarlarına bir taarruz başlatıyor. Düşmanın {reg11} 'ine karşı hazır {reg22} askerin var. Kararın...
mno_siege_defender_join_battle|Savaşa katıl
mno_siege_defender_troops_join_battle|Askerlerine sensiz savaşa katılmalarını emret.
menu_siege_join_defense|{s4}^^Senin kayıpların: {s8}^^Müttefikinin kayıpları: {s9}^^Düşmanın kayıpları: {s10}
menu_village_hunt_down_fugitive_defeated|^^^^^Bir kaçak tarafından gelen sert bir darbe seni yere yığar ve gözlerin dönmeye başlar ve kararır. Zaman geçer. Uyandığında kendini yıpranmış ve kanlar içinde bulursun fakat şans eseri hiç bir yara ölümcül değildir.
menu_town_bandits_succeeded|^^^^^Goblin'ler önünde buğdayların orağa karşı yığılması gibi yere yığılırlar. Az bir zaman sonra kendini tek başına , askerlerini ise bilinçsiz, ölü ve ölmek üzere bulursun. Hiç şüphesiz yerliler, onları bu saldırıdan kurtardığın için minnettar olacaklar.
menu_town_brawl_lost|^^^^^^Şuurunu kaybettin. Saldırdığın kişiler günlük işlerine dönmeden önce çabucak değerli eşyalar için üzerini ararlar.
menu_town_brawl_won|^^^^^Rahatsızlığı yatıştırmak için gönderilen tüm gardiyanları ve rakipleri yendin. Hızlıca değerli eşyalar için onları arıyor ve ardından ortalık sakinleşene kadar ortadan kayboluyorsun.^Belki gelecek sefere daha fazla saygı gösterir ve kenara çekilirler.
menu_close|Hiçbirşey.
menu_town|{s60}.{s12}{s13} ' içinde vardın.
mno_town_menu_0|Bir yere git.
mno_town_menu_0_door|Bir yerin kapısı.
mno_town_approach|{s1}'e yaklaş...
mno_town_castle|{s1} e git
mno_town_castle_door|Kalenin  Kapısı
mno_town_center|ana meydana doğru yürüyüşe çık...
mno_town_center_door|Şehir merkezine giden kapı.
mno_aw_chamber_door|Kapıyı aç.
mno_trade_with_arms_merchant|{s40}'ı ziyaret et.
mno_trade_with_horse_merchant|{s41}'i ziyaret et.
mno_town_prison_door|Hapishane kapısı.
mno_dungeon_enter|Kayıp mızraklar için dağları ara.
mno_dungeon_enter_door|Kapıyı aç.
mno_dwarven_warehouse|Cüce erzak deposunu ziyaret et
mno_dwarven_warehouse_door|Cüce erzak deposuna gir
mno_talk_to_castle_commander|{s61} kışlasını ziyaret et.
mno_speak_with_elder| {s6} ile konuş
mno_isengard_underground|Yeraltı mağaralarına git.
mno_tirith_toplevel|Zirveye tırman.
mno_town_leave|Ayrıl...
mno_town_leave_door|bölgeden uzaklaş
menu_disembark|Karaya çıkmak mı istiyorsun?
mno_disembark_yes|Evet.
mno_disembark_no|Hayır.
menu_ship_reembark|Gemiye binmek mi istiyorsun?
mno_reembark_yes|Evet.
mno_reembark_no|Hayır.
menu_center_reports|Kasaba ismi: {s1}^Kira geliri: {reg1} dinar^Tariff geliri: {reg2} dinar^Yemek stoğu: {reg3} günlük
menu_sneak_into_town_suceeded|Eski bir seyyahın giysileri ile muhafızları kandırıp kasabaya giriyorsun.
menu_sneak_into_town_caught|Gizlice girmeye çalışırken muhafızlardan biri seni tanıyor ve alarm veriyor! Tüm kasabanın muhafızları üstüne çullanmadan önce arka kapılardan kaçmalısın!
mno_sneak_caught_fight|Kalabalığı yararak ilerlemeye çalış!
mno_sneak_caught_surrender|Teslim ol.
menu_sneak_into_town_caught_dispersed_guards|Kaçmadan önce muhafızları ekip, izlerini gizleyerek kolayca seni kovalayan kişilerden mahallelerin karmaşıklığı sayesinde kurtuluyorsun.
menu_sneak_into_town_caught_ran_away|Kapı tarafından şehirden ayrılıp kasaba dışına, güvenli yerlere geri çekiliyorsun.
menu_tld_player_defeated|^^^^^Aniden kafanı patlatacakmışcasına bir ağrı hissediyorsun. \\ Etrafın kararınca titremeye başlıyorsun...^Yoksa bu senin sonun mu?
menu_recover_after_death_fangorn|Uyandın. Etrafında hala orman var. Her kemiğin sızlıyor. Mucize eseri hayattasın.^^Bir yenilgiydi fakat en azından neler olduğunu görebildin. ^Şimdi bu lanetlenmiş ormanda neler olduğunu biliyorsun, ^ve bunları anlatabilmek için hayatta kaldın.^^Sana kimse inanır mı ki?
menu_recover_after_death_moria|^^^^^Bilincini tekrar kazandın. Yumuşak toprağın üzerine uzanmış, temiz havanın yüzünde dolaşmasını hissediyorsun. Dışardasın! ^Orklar öldüğünü düşünüp seni kuytu bir çukura atmış olmalılar. ^Bir yeraltı akıntısıyla yüzeye sürüklenmiş olmalısın.
mno_whatever|ayaklan!
menu_recover_after_death_default|^^^^^Bilincini tekrar kazandın. Düştüğün yerde yatıyorsun. Düşmanların öldüğünü düşünüp seni orada bırakmış olmalılar. Ancak, yaraların hiç ölümcül görünmüyor ve berbat hissetmene rağmen hala yürüyebileceğini farkediyorsun. Ayağa kalk ve grubundan birileri hala hayatta mı diye bir göz at.
menu_recover_after_death_town|^^^^Bilincini tekrar kazanıyorsun ve kendini kasabanın dışında buluyorsun. Hayattasın! Etrafında kimse yok. Kendini kasabadan dışarı sürüklemeye çalışıyorsun. Görünen o ki yaralarının hiç biri ölümcül değilmiş ve kendini çok kötü hissetsen de, hala yürüyebiliyorsun.
menu_recover_after_death_town_alone|Bilincini tekrar kazanıyorsun ve kendini kasabanın dışında buluyorsun. Hayattasın! Etrafında kimse yok. Kendini kasabadan dışarı sürüklemeye çalışıyorsun. Görünen o ki yaralarının hiç biri ölümcül değilmiş ve kendini çok kötü hissetsen de, hala yürüyebiliyorsun.
menu_notification_center_under_siege|{s1}, {s3}'ten {s2} tarafından kuşatıldı.
menu_notification_one_side_left|^^^^^Yüzük için savaş sona erdi!^^ {s1} Tüm düşmanlarını yenerek zafere ulaştı!
menu_notification_total_defeat|^^^^^Yüzük savaşı senin için sona erdi!^^ {s1} düşmanları tarafından bozguna uğratıldı ve tek başına mağlubiyet içinde kıvranıyorsun!
menu_notification_your_faction_collapsed|^^^^^Memleketin {s11} yenildi! Yine de, diğer müttefiklerin savaşta. {s11}'den kalanlarla beraber, tarafına kazanması için yardım edebilirsin.
menu_notification_faction_defeated|^^^^^{s1} yenildi!^{s1} artık yok, {s13} kuvvetleri tarafından yok edildi!
menu_ruins|^^^^{s1}'e yaklaşıyorsun. Güçlü bir yerleşim yerle bir edilmiş, yine de istihkam izlerini ve parçalanmış paslı silahları görebiliyorsun.
menu_legendary_place|^^^^Söylentileri takip ettin ve {s1}'i buldun. Şimdi burayı gezebilir ve söylentilerin doğru olup olmadığını kendin görebilirsin.
mno_explore|Etrafı keşfet
menu_ring_hunter_lair|^^^^Yüzük avcılarının izini Mirkwood Ormanının içinden takip ettin ve {s1}e vardın. Bir sandıkla gitmeye hazırlandıklarını görüyorsun.
mno_attack_lair|Onlara Şimdi saldır
mno_leave_bandit_lair|Şimdilik ayrıl
menu_starting_quest_good|^^^^^^Bir grup orkun saldırısı altında bir küçük karavan görüyorsun. Ne yapacaksın?
mno_help|Yabancılara yardım et!
mno_start_defend_caravan|Karavanı Savun!
mno_start_raid_caravan|Karavanı Yagmala!
mno_start_ambush_orcs|Ork Pususu!
mno_start_kill_scouts|Onlar gelişimizi rapor etmeden izcileri durdurun!
mno_go_your_way|Onları yalnız bırak
mno_defend_villagers|Köylüleri Savun!
mno_raid_villagers|Köyü Yağmala!
mno_go_away|Onları yalnız bırak
menu_custom_battle_choose_faction1|^^^^^^^^^^Tarafını ve avantajını seç:
mno_good_equal|İyi taraf
mno_bad_equal|Kötü taraf
mno_replay_prev|Önceki kurulumu oynat.
menu_custom_battle_choose_faction2|^^^^^^^^^^İyi tarafı seç
mno_cb_gondor|Gondor
mno_cb_gondor1|Rohan
mno_cb_gondor2|Lothlórien
mno_cb_gondor3|Ayrıkvadi
mno_cb_gondor4|Kuyutorman
mno_cb_gondor5|Cüceler
mno_cb_gondor6|Dale
mno_cb_gondor7|Beornlar
menu_custom_battle_choose_faction3|^^^^^^^^^^Kötü tarafı seç
mno_cb_mordor|Mordor
mno_cb_mordor1|Isengard
mno_cb_mordor2|Dunland
mno_cb_mordor3|Haradrim
mno_cb_mordor4|Doğudölleri
mno_cb_mordor5|Moria
mno_cb_mordor6|Gundabad
mno_cb_mordor7| Rhûn
mno_cb_mordor8|Korsanlar
mno_rescue_mission|Gecenin yardımıyla büyücü'nün sığınağına sız.
mno_next_rescue_scene_door|İleriye devam!
mno_pick_troops1|Görev için yoldaş seç, {reg0} seçili.
