
str_yes|Evet.
str_tutorial_2_msg_1|Bu ögretici, kendini bir kalkanla nasıl koruyacagınızı ve silahlı rakiplerle nasıl savaşacagınızı ögretecektir. Şu an için bir kalkandan başka bir şeyle silahlandın. Görevin saldırı degil, kendini zarara karşı korumaktır. Bir sonraki odada seni bekleyen silahlı bir rakip var. Seni bayıltmak için elinden gelenin en iyisini yapmaya çalışacak, sag fare tuşunu basılı tutarak kendini korumalısın. Rakibinle yüzleşmek için şimdi bir sonraki odaya git. Bu egiticiden çıkmak veya oyundaki başka bir alandan çıkmak için istediginiz zaman TAB tuşuna basabilecegini unutma.
str_tutorial_2_msg_2|Kalkanınızı kaldırmak için sag fare tuşunu basılı tutun. Otuz saniye ayakta kalmaya çalışın. {reg3} saniyeniz var.
str_tutorial_2_msg_3|Aferin, silahlı bir rakibe karşı savunma yapmayı başardınız. Bu ögreticinin bir sonraki aşaması sen ve kalkanın düşman okçularının gücüyle yüzleşiceksin. Okçularla yüzleşmeye hazır oldugunuzda bir sonraki odaya geçin.
str_tutorial_2_msg_4|Kalkanınızı sag fare tuşuyla yükselterek oklardan kendinizi koruyun. Otuz saniye ayakta kalmaya çalışın. Gitmek için {reg3} saniyeniz var.
str_tutorial_2_msg_5|Mükemmel. Okçulara karşı başarılı bir savunma yaptın. Bir sonraki odada seni bekleyen bir ödül var.
str_tutorial_2_msg_6|Varsayılan yapılandırmada, klavyendeki F tuşu, oyun dünyasındaki nesneler ve insanlar ile şiddet içermeyen etkileşim için kullanılır. Sunaktaki kılıcı almak için ona bak ve 'Equip' sözcügünü gördügünde F'ye bas.
str_tutorial_2_msg_7|İyi bir silah! Şimdi ödeşmek için bunu kullanabilirsin. Kapıdan geri dön ve daha önce karşılaştıgın okçularla ödeş.
str_tutorial_2_msg_8|Çok iyi. Bu ögreticiyi bitirmeden önceki son görevin ile birazdan karşı karşıya geleceksin. Şimdi kapıdan geç ve ona çeligini göster!
str_tutorial_2_msg_9|Tebrikler! Kendinizi bir kalkanla nasıl koruyacagınızı ögrendin ve hatta silahlı rakipler ile ilk dövüş zevkini aldın. Biraz daha pratik yap, yakında ünlü bir kılıç ustası olacaksın. Bir sonraki ders, Mount & Blade savaşının en önemli unsurlarından biri olan yön savunma sistemini kapsamaktadır. Ögretici menüsüne dönmek için istediginiz zaman TAB tuşuna basabilirsiniz.
str_tutorial_3_msg_1|Bu ögretici size, bir kalkan olmadan, savuşturma ve savunma hakkında genel bir bakış sunmayı amaçlamaktadır. Silahınla savuşturmak, onları bir kalkanla engellemekten biraz daha zor. Bir silahla savundugunuzda, sadece bir yönden, silahınızın ayarlandıgı yönden korunursunuz. Yukarıyı bloke ediyorsanız, size karşı gelen herhangi bir havaya uçurma hareketini karşılayacaksınız, ancak tarafınıza gelen itme veya saldırıları durdurmayacaksınız. Bu saldırılardan her ikisi de sana vurabilir. Bu yüzden, bir kalkan olmadan hayatta kalmak için, yönlü savunmayı ögrenmelisiniz. Şimdi uygulamaya başlamak için baltayı yukarı kaldır.
str_tutorial_3_msg_2|Varsayılan olarak, savunma yaptıgınız yön (sag fare tuşunu basılı tutarak), en yakın rakibinizin saldırı yönü tarafından belirlenir. Örnegin, rakibiniz bir itme saldırısı yapıyorsa, farenin sag tuşuna basmak ve basılı tutmak, itme saldırılarını degil, yan ya da baş üstü saldırıları karşılayacaktır. Rakibinizi dikkatli bir şekilde izlemeli ve sadece düşmanınız saldırıya geçmeye başladıgında savuşturmayı başlatmalısınız. ÖNCEDEN başlartırsanız, rakibiniz farklı bir yönden saldırırsa  bütünüyle ayrılabilirsiniz! Şimdi, bir silahlı rakibe karşı kendinizi savunmanız gereken bir sonraki odaya geçme vakti. Göreviniz, basit bir baltayla otuz saniye boyunca kendinizi başarılı bir şekilde savunmaktır. Bu egitim için baltanın saldırıları devre dışı bırakıldı, bu yüzden saldırmaya çalışmayın ve bunun yerine savunmanıza odaklanın. Dövüşü başlatmaya hazır oldugunuzda bir sonraki odaya geçin.
str_tutorial_3_msg_3|Rakibin saldırısına başladıktan sonra balta ile kendinizi savunmak için farenin sag tuşunu basılı tutun. Otuz saniye ayakta kalmaya çalışın. Gitmek için {reg3} saniyeniz var.
str_tutorial_3_msg_4|Aferin, bu denemeyi başardınız! Şimdi, sizin için işleri daha zorlaştıracak daha zorlu bir rakible karşılaşıcaksınız. Onunla yüzleşmeye hazır oldugunuzda bir sonraki odaya geçin.
str_tutorial_3_msg_5|Rakibin saldırısına başladıktan sonra balta ile kendini savunmak için farenin sag tuşunu basılı tutun. Otuz saniye ayakta kalmaya çalışın. Gitmek için {reg3} saniyeniz var.
str_tutorial_3_msg_6|Tebrikler, hala düşmanın en iyi çabalarına ragmen duruyorsun. Şimdi savunmanın yanı sıra saldırma  zamanı başladı. Kapıya yaklaşın ve 'Git' kelimesini gördügünüzde F tuşuna basın.
str_tutorial_3_2_msg_1|Balta saldırıları tekrar etkinleştirildi. İlk rakibin bir sonraki odada bekliyor. Onu saldırı ve savunma kombinasyonuyla yen.
str_tutorial_3_2_msg_2|Rakibini baltayla yen.
str_tutorial_3_2_msg_3|Mükemmel. Şimdi yolunda duran tek şey son bir rakip. O yan odada. İçeri gir ve indir onu.
str_tutorial_3_2_msg_4|Rakibini baltayla yen.
str_tutorial_3_2_msg_5|Aferin! Bu ögreticide, bir kalkan olmadan nasıl savaşılacagını ögrendin. Çalışın ve iyi antrenman yapın, hiç kimse sana felç geçirtemez. Bir sonraki derste ata binme ve süvari savaşını ögrenebilirsin. Ögretici menüsüne dönmek için istedigin zaman TAB tuşuna basabilirsiniz.
str_tutorial_4_msg_1|Dördüncü ögreticiye hoş geldin. Bu sırada at / warg sürme ve at sırtında çeşitli dövüş egzersizlerinin nasıl yapılacagını ögreneceksin. Seni bindirerek başlayacagız. At'a yaklaşın ve 'Mount' kelimesini gördügünüzde 'F' tuşuna basın.
str_tutorial_4_msg_2|At sırtındayken, WASD tuşları atın hareketini kontrol eder, seni degil. Atını sür ve kursun etrafındaki bayragı takip etmeye çalış. Bayraga ulaştıgında, finişe ulaşıncaya kadar rotadaki bir sonraki yol noktasına gider.
str_tutorial_4_msg_3|Çok iyi. Ardından atla düşmanlara saldıracagız. Şimdi bayragı yaklaşın.
str_tutorial_4_msg_4|Kılıcını alın (fare tekerlegini kullanarak) ve dört hedefi yok edin. Mankenleri tam dörtnalda geçerken vurmaya çalışın - bu ekstra bir meydan okumadır, ancak darbenize eklenen ek hız daha fazla hasar vermenizi saglayacaktır. Bunu yapmanın en kolay yolu, sol fare tuşunu basılı tutup dogru ana kadar tutarak, hedefi geçmeden hemen önce bırakmaktır.
str_tutorial_4_msg_5|Harika iş. Şimdi at sırtında bazı hedefe atışlar deneyelim. Şimdi bayraga git.
str_tutorial_4_msg_6|Binicilik kursunun yanındaki okçuluk hedefini bulun ve yayınızla üç kez vurun. Yayı çekerken  sürmeniz gerekmese de, atınızın hızının ve rotasının hedef imlecinizi nasıl etkiledigini hissetmek için hedefi çeşitli hızlarda ve açılarda vurmaya çalışmanız önerilir.
str_tutorial_4_msg_7|Tebrikler, bu egitimi bitirdiniz. Ögretici menüsüne dönmek için istediginiz zaman TAB tuşuna basabilirsiniz.
str_tutorial_5_msg_1|Beşinci ve son egiticiye hoş geldiniz, bu da size savaşta birliklerin nasıl komuta edilecegine dair kısa bir genel bakış, Mount & Blade'deki en önemli konulardan biri. ^^ Ögrenmeniz gereken ilk komut menüsü, hareket komutlarıdır. F1 tuşuna basarak bulun. Şu an basın ve birliklere savaşta verebileceginiz birçok hareket seçenegini keşfedin. ^^ Bu ilk adım için birliklerinize takip emri verin ardından bayrak ve işaretçinin bulundugu tepeye dogru ilerleyin.
str_tutorial_5_msg_2|Harika. Birliklerin seni tepeye kadar izledi. Şimdi savaş alanına iyi bir görüşe sahipsin. ^^Bu sefer birliklerine tepeyi tutmaları için (F1) emir menüsü üzerinden Pozisyonu Koru'yu seçerek tepeyi tutma emri ver.^^Bunu yaptıktan sonra birliklerinin seni takip etmeyi bıraktıklarını ve onlara tutmalarını söyledigin pozisyonda kaldıklarını fark edeceksin.^^Birliklerin basit dizilişlerini düzenleyen, ikinci emir menüsünü ögrenmek için iyi bir zaman.^^Bu menü piyade saldırılarına karşı birliklerin safları sıklaştırmasına ya da okçu saldırılarına karşı koymak için safları açmasına yarar.^^Bu menüyü kullanarak birliklerine on adım ilerleme ya da on adım gerileme emri verirsen, hareket ettikleri takdirde dizilşlerini korurlar. Farklı seçenekleri degerlendirdikten sonra, birliklerine bu tepeyi tutturur ve sonrasında, bayragın ve işaretçinin bulundugu karşı tepeye ilerleme emri verebilirsin.
str_tutorial_5_msg_3|Harika. Gördügünüz gibi, piyadeleriniz onları istediginiz gibi tutuyor. Şimdi, yel degirmenine dogru hareket et.
str_tutorial_5_msg_4|Artık okçular emrinize katılıyor. Mount & Blade'de piyade, okçu ve süvari gibi özel birlik bölümlerine ayrı komutlar verebilirsiniz. ^^Sayı tuşlarına basmak istediginiz bölümü seçecektir (Piyade için 1, Okçular için 2, Süvari için 3). Daha sonra belirli bir bölüme komut veren komut menülerini kullanabilirsiniz. ^^Seçiminizin devam edecegini komut menülerinden herhangi birine (F1, F2, F3) basmanın seçilen son bölümü etkileyecegini unutmayın. Hangi bölümün komuta edildigini görmek için ekranınızda görünen mesajları okuyun.^^Şimdi Piyade'den sizi takip etmesini isteyin, ardından okçularınızdan da sizi takip etmelerini isteyin. Hepsi bir araya geldiklerinde, geldiginiz tepeye geri dönün.^^Bir kez orada, işaretçiyi arayın ve piyadeye 1 tuşuna basarak hareket etmesini, ardından F1 tuşunu basılı tutarak bir bayrak görünmesini saglayın. Bunu, birliklerini istedigin kesin bir yere taşımak için kullanabilirsin.^^Okçularından işaretçinin arkasındaki bayraga dogru hareket etmelerini isteyin.
str_tutorial_5_msg_5|Adamların pozisyondalar, düşmanlar toplandı ve size dogru saldırıyorlar. Piyadelerinizi formasyonda ileri manevra yapmak için ögrendiklerinizi kullanın veya onlardan hücuma geçmelerini isteyin. Hücum tüm oluşumları kırar ve birliklerini en yakın düşmanlara dogru hareket ettirir.^^Okçularınızı daha iyi bir bakış açısı için yer üstünde tutabilir veya başka bir yere gitmelerini de isteyebilirsiniz.^^Ayrıca, üçüncü komutu ortaya çıkarmak için F3 tuşuna da basabilirsiniz. Menü ve askerlerinize verebileceginiz farklı silah emirleri hakkında bilgi edinin.
str_tutorial_5_msg_6|Mükemmel! İlk saha savaşınızı Mount & Blade'te tamamladınız. Savaşta birliklerinizin akıllıca komuta etmek, savaşta bir komutan olarak başarınız için önemlidir. Askerlerinizi nasıl avantajlı konumlarda tutacagınızı ögrendiginizden emin olun. ^^ TLD'de Piyade Kalkan Duvarı ve Süvari Kamaları gibi daha gelişmiş manevralar için karmaşık oluşumlar vardır. Oyun hakkında daha fazla bilgi edinebilirsiniz. ^^ Ögreticiden çıkmak için istediginiz zaman TAB tuşuna basabilirsiniz.
str_trainer_help_1|Bu oyunun temellerini ögrenebilecegin bir egitim alanıdır. Hareket etmek için A, S, D, W tuşlarını ve etrafa bakmak için fareyi kullan.
str_trainer_help_2|Egitmenle konuşmak için ona yaklaşın, ona bakın ve adı altında 'Konuş' kelimesini gördügünüzde 'F' tuşuna basın. Bu ya da başka bir alandan ayrılmak, yada savaştan geri çekilmek istediginizde, TAB tuşuna Basın.
str_custom_battle_1|Korkusuz Angbor ve Gondor Birlikleri bir Haradrim takviye grubunu durdurdu. Savaş çıglıgı atıyor, ve atını ileri dogru savurup sadık adamlarını şiddetli bir savaşa götürüyor.
str_custom_battle_2|Lorien'li Celeborn bir atlı ve okçu devriyesine öncülük ederken gözcü, soluk yüzlü, kötü bir insan birliginin yaklaştıgının uyarısını veriyor. Bunlar korkunç Kara Numenorlular! Lothlorien'de yıllarca görülmemişlerdi ama şimdi öteki taraftan sürülmüş olmalılar.
str_custom_battle_3|Rohanlı Lord Grimbold duvarların arkasında İsengard ordularına karşı son savunmasına hazırlanıyor. Şimdi kuşatmacılar son saldırılarına hazırlanırken, duvarlar cesaret ve parlak çeligin ilhamıyla savunulmalıdır.
str_custom_battle_4|İzciler Lord Beranhelm'i bir Rhun savaş grubunun yaklaştıgı hakkında bilgilendirdiginde, kampının savunmasını çabucak hazırlamaya ve üstün sayılara karşı durmaya karar verir.
str_custom_battle_5|Ugluk, azılı orksielerini  yagma sözüyle batıya getirdi.Eger onun için bu cüce kalesini bugün düşürmeyi başarabilirse,Barad-Dur'daki efendileri oldukça memnun olacaktır.
str_custom_battle_6|Ugluk ve onun ork akıncı grubu elf devriyelerinden kaçmakta oldukça istekli.Ancak görünen o ki, iyi şans sonsuza kadar sürmeyeceginden, lanet soluk derililer paylarını şimdi alacaklar.
str_custom_battle_7|Korsanlar kamplarını Gondor kıyılarına kurdular! Nasıl cüret ederler! Takviye almadan önce onlara saldıralım ve ait oldukları yere, denize sürelim onları.
str_finished|(Bitti)
str_delivered_damage|{reg60} hasar verdiniz.
str_archery_target_hit|Uzaklık: {reg61} yarda. Skor: {reg60}
str_use_baggage_for_inventory|Savaş sırasında envanterinize erişmek için (başlangıç noktasında bulunan) sandıgınızı kullanın.
str_cant_use_inventory_now|Şu an envantere ulaşılamıyor
str_cant_use_inventory_arena|Arena'daki envantere ulaşılamıyor
str_cant_use_inventory_disguised|Egitim kampındaki envantere ulaşılamıyor
str_cant_use_inventory_tutorial|Egitim kampındaki envantere ulaşılamıyor
str_1_denar|1 Kaynak Puanı.
str_reg1_denars|{reg1} Kaynak Puanı.
str_january_reg1_reg2|Ü.Ç.{reg2}, Narvinyë {reg1} (Ock)
str_february_reg1_reg2|Ü.Ç.{reg2}, Nénimë {reg1} (Şub)
str_march_reg1_reg2|Ü.Ç.{reg2}, Súlìmë {reg1} (Mar)
str_april_reg1_reg2|Ü.Ç.{reg2}, Víressë {reg1} (Nis)
str_may_reg1_reg2|Ü.Ç.{reg2}, Lótessë {reg1} (May)
str_june_reg1_reg2|Ü.Ç.{reg2}, Náríë {reg1} (Haz)
str_july_reg1_reg2|Ü.Ç.{reg2}, Cermië {reg1} (Tem)
str_august_reg1_reg2|Ü.Ç.{reg2}, Urimë {reg1} (Agu)
str_september_reg1_reg2|Ü.Ç.{reg2}, Yavannië {reg1} (Eyl)
str_october_reg1_reg2|Ü.Ç.{reg2}, Narquelië {reg1} (Eki)
str_november_reg1_reg2|Ü.Ç.{reg2}, Hísimë {reg1} (Kas)
str_december_reg1_reg2|Ü.Ç.{reg2}, Ringarë {reg1} (Ara)
str_calendar_spec_day_1|Ü.Ç.{reg2}, Yestarë (İlk Gün)
str_calendar_spec_day_2|Ü.Ç.{reg2}, Tuilérë (Bahar Günü)
str_calendar_spec_day_3|Ü.Ç.{reg2}, Loëndë (Seneortası Günü)
str_calendar_spec_day_4|Ü.Ç.{reg2}, Yáviérë (Hasat Günü)
str_calendar_spec_day_5|Ü.Ç.{reg2}, Mettarë (Son Gün)
str_town_nighttime|Şu anda gece ve halk sokakları boşaltmış durumda.
str_door_locked|Kapı kilitli
str_castle_is_abondened|Kale işgal edilmemiş gibi gözüküyor
str_town_is_abondened|Şehri koruyan hiç garnizon yok
str_place_is_occupied_by_player|Mekan sizin birlikleriniz tarafından tutuluyor
str_place_is_occupied_by_enemy|Mekan düşman birlikler tarafından tutuluyor
str_place_is_occupied_by_friendly|Mekan dost birlikler tarafından tutuluyor
str_do_you_want_to_retreat|Geri çekilmek istediginizden emin misiniz ?
str_give_up_fight|Savaştan çekiliyor musunuz?
str_do_you_wish_to_leave_tutorial|Egitimden ayrılmak mı istiyorsun ?
str_do_you_wish_to_surrender|Teslim mi olmak istiyorsun ?
str_can_not_retreat|Geri çekinilemiyor , düşman birlikler çok yakında!
str_s1_joined_battle_enemy|{s1}, düşman tarafında savaşa katıldı.
str_s1_joined_battle_friend|{s1}, sizin tarafınızda savaşa katıldı.
str_entrance_to_town_forbidden|Şehir muhafızları davetsiz misafirleri gözlüyor ve görünüşe bakılırsa kasabaya sorunsuz girmeniz kolay olmayacak.
str_sneaking_to_town_impossible|Şehir muhafızları alarmda. Kendinizi gizleseniz bile bu kapıdan girmeniz mümkün degil.
str_battle_won|Savaşı kazandınız!
str_battle_lost|Savaşı kaybettiniz!
str_player_down|Bayıltıldın ama birliklerin savaşmaya devam ediyor!
str_attack_walls_success|Kanlı bir savaştan sonra, cesur askerleriniz duvarları ele geçirdi.
str_attack_walls_failure|Duvarlara dalga dalga saldıran askerleriniz katledildi, sag kalanlar da bir daha dönmemek üzere kaçtılar.
str_attack_walls_continue|Savaş çok kanlı geçti. Her iki taraf da cesurca savaştı. Savaşçılarınızın tüm çabalarına ragmen şehir hala düşmanın elinde.
str_order_attack_success|Askerleriniz cesurca savaştı ve düşmanı yendi.
str_order_attack_failure|Düşman, birliginizi son askerine kadar kılıçtan geçirirken ümitsizce muharebeyi izlediniz.
str_order_attack_continue|Askerleriniz düşmanla çarpıştı, fakat onları yenemedi.
str_join_order_attack_success|Askerleriniz ve müttefikleriniz birlikte cesurca savaşıp düşmanı yendi.
str_join_order_attack_failure|Düşman, birliginizi son askerine kadar kılıçtan geçirirken ümitsizce muharebeyi izlediniz.
str_join_order_attack_continue|Askerleriniz müttefiklerinizle beraber düşmana karşı mücadele verdi; fakat düşmanı yenemedi.
str_siege_defender_order_attack_success|Savunmadakiler kahramanca dövüşüp düşmanı bozguna ugrattılar.
str_siege_defender_order_attack_failure|Düşman savunmadakileri katlederken ümitsizce kuşatmayı izlediniz.
str_siege_defender_order_attack_continue|Savunmadakiler düşmanla çarpıştı, fakat onları yenemedi.
str_hero_taken_prisoner|{s1} krallıgından {s3} , {s2} tarafından esir alındı.
str_hero_freed|{s1} krallıgından {s3} , {s2} tarafından esaretten kurtarıldı.
str_center_captured|{s2} {s1} tarafından {s3}'dan alındı !
str_troop_relation_increased|{s1} ile ilişkiniz {reg1}'den {reg2}'e yükseldi.
str_troop_relation_detoriated|{s1} ile ilişkiniz {reg1}'den {reg2}'ye geriledi.
str_faction_relation_increased|{s1} ile ilişkiniz {reg1}'den {reg2}'e yükseldi.
str_faction_relation_detoriated|{s1} ile ilişkiniz {reg1}'den {reg2}'ye geriledi.
str_party_gained_morale|Grubunuz {reg1} moral kazandı.
str_party_lost_morale|Grubunuz {reg1} moral kaybetti.
str_qst_follow_spy_noticed_you|Casus sizi fark etti! Kaçmaya çalışıyor!
str_father|Baba
str_husband|Eş
str_wife|Eş
str_daughter|Kız
str_mother|Anne
str_son|Evlat
str_brother|Erkek kardeş
str_sister|Kız kardeş
str_he|O
str_she|O
str_s3s_s2|{s3}'nin {s2}'si
str_s5_is_s51|{s5}  {s51}.
str_s5_is_the_ruler_of_s51|{s5} , {s51} topraklarının hükümdarıdır.
str_s5_is_a_nobleman_of_s6|{s5} bir {s6} soylusudur. 
str_relation_mnus_100|Hınçlı
str_relation_mnus_90|Hınçlı
str_relation_mnus_80|Hınçlı
str_relation_mnus_70|Nefret dolu
str_relation_mnus_60|Nefret dolu
str_relation_mnus_50|Saldırgan
str_relation_mnus_40|Kızgın
str_relation_mnus_30|Muhalif
str_relation_mnus_20|Hoşnutsuz
str_relation_mnus_10|Şüpheci
str_relation_plus_0|Kayıtsız
str_relation_plus_10|Uzlaşımcı
str_relation_plus_20|Samimi
str_relation_plus_30|Olumlu
str_relation_plus_40|Destekleyici
str_relation_plus_50|Arkadaşça
str_relation_plus_60|Minnettar
str_relation_plus_70|Dostça
str_relation_plus_80|Sadık
str_relation_plus_90|Adanmış
str_relation_mnus_100_ns|{s60} sana karşı kin güdüyor.
str_relation_mnus_90_ns|{s60} sana karşı kin güdüyor.
str_relation_mnus_80_ns|{s60} sana karşı kin güdüyor.
str_relation_mnus_70_ns|{s60} senden nefret ediyor.
str_relation_mnus_60_ns|{s60} senden nefret ediyor.
str_relation_mnus_50_ns|{s60} sana karşı düşmanlık besliyor.
str_relation_mnus_40_ns|{s60} sana kızgın.
str_relation_mnus_30_ns|{s60} sana dargın.
str_relation_mnus_20_ns|{s60} sana karşı huysuz davranıyor.
str_relation_mnus_10_ns|{s60} senden şüpheleniyor.
str_relation_plus_0_ns|{s60} sana karşı kayıtsız.
str_relation_plus_10_ns|{s60} sana karşı işbirlikçi davranıyor.
str_relation_plus_20_ns|{s60} sana karşı konuksever davranıyor.
str_relation_plus_30_ns|{s60} sana karşı olumlu davranıyor.
str_relation_plus_40_ns|{s60} seni destekliyor.
str_relation_plus_50_ns|{s60} sana karşı dostçul.
str_relation_plus_60_ns|{s60} sana güler yüzlü.
str_relation_plus_70_ns|{s60} sana aşırı düşkün.
str_relation_plus_80_ns|{s60} sana sadık.
str_relation_plus_90_ns|{s60} sana baglı.
str_relation_reg1|İlişki: {reg1}
str_center_relation_mnus_100|Toplum senden ölümüne nefret ediyor.
str_center_relation_mnus_90|Toplum senden çok fazla nefret ediyor.
str_center_relation_mnus_80|Toplum senden güçlüce nefret ediyor.
str_center_relation_mnus_70|Toplum senden nefret ediyor.
str_center_relation_mnus_60|Toplum sana karşı nefret dolu.
str_center_relation_mnus_50|Toplum sana karşı son derece düşmanca
str_center_relation_mnus_40|Toplum sana karşı çok düşmanca
str_center_relation_mnus_30|Toplum sana karşı düşmanca
str_center_relation_mnus_20|Toplum sana karşı
str_center_relation_mnus_10|Toplum senin karşında
str_center_relation_plus_0|Toplum sana karşı kayıtsız
str_center_relation_plus_10|Toplum seni onaylıyor
str_center_relation_plus_20|Toplum sana karşı işbirlikçi
str_center_relation_plus_30|Toplum seni oldukça destekliyor
str_center_relation_plus_40|Toplum seni destekliyor
str_center_relation_plus_50|Toplum seni çok destekliyor
str_center_relation_plus_60|Toplum sana sadık
str_center_relation_plus_70|Toplum sana çokça sadık
str_center_relation_plus_80|Toplum sana baglı
str_center_relation_plus_90|Toplum sana şiddetle baglı
str_town_prosperity_0|{s60} yoksul şehri dayanılmaz bir yer
str_town_prosperity_10|Sefalet içindeki {s60} şehri terkedilmiş gözüküyor.
str_town_prosperity_20| {s60} şehri perişan olmuş, ıssız bir yer gibi görünüyor.
str_town_prosperity_30|{s60} şehri fakir ve bakımsız görünüyor.
str_town_prosperity_40|{s60} şehri biraz zorlanıyor gibi görünüyor. 
str_town_prosperity_50|{s60} şehri sıradan görünüyor.
str_town_prosperity_60|{s60} şehri gelişmekte olan bir yer.
str_town_prosperity_70|{s60} zengin şehrinde canlı bir hareketlilik var.
str_town_prosperity_80|{s60} şehri zengin ve bakımlı görünüyor.
str_town_prosperity_90|{s60} şehri zengin ve hâli vakti yerinde insanlarla dolu görünüyor.
str_town_prosperity_100|Göz alıcı {s60} şehri, zenginligiyle açıkça göz alıyor gibi görünüyor.
str_village_prosperity_0|{s60} köyünün fakirligi dayanılmaz görünüyor.
str_village_prosperity_10|{s60} köyü, perişan şekilde fakir ve acınası görünüyor.
str_village_prosperity_20|{s60} köyü, çok fakir ve ıssız görünüyor.
str_village_prosperity_30|{s60} köyü, fakir ve bakımsız görünüyor.
str_village_prosperity_40|{s60} köyü, biraz fakir ve zorda kalmış gibi görünüyor.
str_village_prosperity_50|{s60} köyü, sıradan görünüyor.
str_village_prosperity_60|{s60} köyü, gelişmekte olan bir yer.
str_village_prosperity_70|{s60} köyü, gelişmekte olan bir yer.
str_village_prosperity_80|{s60} köyü, zengin ve bakımlı görünüyor.
str_village_prosperity_90|{s60} köyü, zengin ve refahta görünüyor.
str_village_prosperity_100|{s60} köyü, geniş ve bereketli alanlarıyla gayet zengin görünüyor.
str_war_report_minus_4|Savaşı kaybetmek üzereyiz
str_war_report_minus_3|durum umutsuz görünüyor
str_war_report_minus_2|işler bizim için iyi gitmiyor
str_war_report_minus_1|Harekete geçersek savaşı hala kazanabiliriz.
str_war_report_0|düşmanla eşit şekilde eşleştik
str_war_report_plus_1|savaşı kazanmak için makûl bir şansımız var
str_war_report_plus_2|işler gayet iyi gidiyor
str_war_report_plus_3|Onları yenerken zorluk çekmemeliyiz
str_war_report_plus_4|Savaşı kazanmak üzereyiz.
