pt_rescued_prisoners|Salınmış Mahkumlar
pt_dale_caravan|Dale Karavanı
pt_dwarf_caravan|Cüce Karavanı
pt_mordor_caravan|Mordor Erzak Kafilesi
pt_isengard_caravan|Isengard Erzak Kafilesi
pt_gunda_caravan|Gundabad Erzak Kafilesi
pt_gondor_p_train|Gondor Esir Kafilesi
pt_rohan_p_train|Rohan Esir Kafilesi
pt_imladris_p_train|Ayrıkvadi Esir Kafilesi
pt_lorien_p_train|Lothlorien Esir Kafilesi
pt_woodelf_p_train|Kuyutorman Esir Kafilesi
pt_dale_p_train|Dale Esir Kafilesi
pt_dwarf_p_train|Cüce Esir Kafilesi
pt_mordor_p_train|Mordor Esir Kafilesi
pt_isengard_p_train|Isengard Esir Kafilesi
pt_kingdom_hero_party|Savaş Grubu
pt_caravan_survivors|Karavandan Kurtulanlar
pt_routed_allies|Yenilmiş İttifaklar
pt_routed_enemies|Yenilmiş Düşmanlar
pt_legion_minas_morgul|Minas Morgul Lejyonu.
pt_legion_udun|Udun Lejyonu
pt_legion_gorgoroth|Gorgoroth Lejyonu.
pt_legion_barad_dur|Barad-Dur Lejyonu
pt_beorn_messenger|Beorn Habercisi
pt_village|Köy
pt_ring_hunters|Yüzük Avcıları
