qst_deliver_message|Достави съобщението до {s13}
qst_mirkwood_sorcerer_text|Силата на Галадриел да защитава Лотлориен е подкопана от нечистите ритуали на магьосника на Дол Гулдур. Въпреки, че той е смъртен, той представлява голяма заплаха за елфите. Потърсете го Мраколес, недалеч от Дол Гулдур. Бъдете тихи, за да се предотврати алармата, понеже ще има само една възможност да то победите.
qst_find_lost_spears|Намери загубените копия на цар Bladorthin
qst_find_lost_spears_text|{s9} Те пита да намериш загубените копия, които джуджетата някога направили за цар Bladorthin. Трябва да вземеш разрешението от джуджетата, да търсиш копията в тъмнините на Самотна планина.
; qst_defend_village|Defend Village
; qst_raid_village|Raid Village
; qst_destroy_scout_camp|Destroy Scout Camp
qst_rescue_prisoners|Спаси {reg1} затворници.
qst_rescue_prisoners_text|{s9} Иска да спасиш {reg1} затворници.
qst_scout_enemy_town|Разузнай вражеския град.
qst_scout_enemy_town_text|{s9} Те помоли да разузнаеш наоколо {s13}.
qst_dispatch_scouts|Изпрати разузнавателна войска.
qst_dispatch_scouts_text|{s9} те помоли да изпратиш разузнавателна войска близо до {s13}.
qst_eliminate_patrols|Елиминирай {reg1} Вражеските войски.
qst_eliminate_patrols_text|{s9} Те иска да елиминираш {reg1} {s13} вражеските партии.
qst_lend_surgeon|Заеми хирурга си {s3} на {s1}.
qst_lend_surgeon_text|Заеми опитния си хирург {s3} на {s1}.
qst_follow_army|Следвай армията на {s9} .
qst_follow_army_text|Никой.
qst_report_to_army|Докладвай на {s13}
qst_report_to_army_text|Никой.
qst_deliver_cattle_to_army|Занеси {reg3} units храна до {s13}
qst_deliver_cattle_to_army_text|Нищо/Никой.
qst_join_siege_with_army|Присъединете се към обсадата на {s14}
qst_join_siege_with_army_text|Нищо/Никой.
qst_scout_waypoints|Разузнай {s13},{s14} и {s15}
qst_scout_waypoints_text|Нищо/Никой.
qst_move_cattle_herd|Премести {s12} до {s13}
qst_move_cattle_herd_text|Стареишината на {s10} каза да преместиш няколко {s12} до {s13}
; qst_escort_merchant_caravan|Escort Supply Train to {s8}
; qst_escort_merchant_caravan_text|Escort the supply train to {s8} and speak to them when near.
qst_deliver_wine|Занеси {reg5} Предмета {s6} до {s4}
qst_deliver_wine_text|{s9} на {s3} каза да занесеш {reg5} предмета {s6} до {s4} за 7 дни.
qst_troublesome_bandits|Отиди на лов за проблемни гоблини.
; qst_troublesome_bandits_text|The {s9} of {s4} asked you to hunt down the troublesome goblins in the vicinity of the town.
qst_deal_with_looters|Спазари се с племенните орки.
; qst_deal_with_looters_text|The Elder of {s4} has asked you to deal with several bands of tribal orcs around {s4}.
; qst_deal_with_night_bandits|Deal with Night Bandits
; qst_deal_with_night_bandits_text|The Elder of {s14} has asked you to deal with night bandits at {s14}.
; qst_deliver_food|Supply {s3} with {reg5} Units of food
qst_deliver_food_text|{s9} на {s3} каза да му занесеш {reg5} предмета храна за 10 дена.
; qst_deliver_iron|Supply {s3} with {reg5} Units of {s6}
qst_deliver_iron_text|{s9} на {s3} Каза да му донесеш {reg5} Неща от {s6}.
; qst_tld_introduction|Go to your faction leader.
qst_tld_introduction_text|Никой./Нищо.
; qst_treebeard_kill_orcs|Defeat the tree-chopping orc party
; qst_treebeard_kill_orcs_text|Treebeard wants you find and defeat the orcs cutting down trees in Fangorn.
; qst_oath_of_vengeance|Oath of Vengeance
; qst_oath_of_vengeance_text|Enraged by the death of {s1}, you have sworn an oath of vengeance upon the forces of {s2}. You must now destroy as many of the armies of {s2} as possible in the coming days. You are keenly aware that your followers have witnessed this oath and you do not wish to become known as an oathbreaker. An orgy of bloodletting must now begin!
qst_deliver_gift|Занеси {s4} на {s1} от {s2} до {s3}
; qst_deliver_gift_text|You have requested to deliver a {s4} of {s1} to {s3} from {s2}.
; qst_ring_hunters|Ring Hunters
; qst_ring_hunters2|Ring Hunters - Completed
; qst_deliver_message_hobbit|Concerning Hobbits
; qst_blank_quest_01|Defend Refugees
; qst_blank_quest_02|Hunt Down Refugees
; qst_blank_quest_03|Sea Battle
; qst_blank_quest_04|Kill {s35} {s6} {s7}
; qst_blank_quest_05|Kill {s35} {s36} troops.
; qst_blank_quest_06|Defeat {s35} in battle.









; qst_blank_quest_16|Reinforce Center
; qst_blank_quest_17|Slay {reg22} {s6} in battles




; qst_guardian_party_quest|Isengard's Last Stand
; qst_quests_end|Quests End
; qst_quests_end_text|.
