trp_unarmed_troop|Neozbrojený voják
trp_i2_beorning_warrior_pl|Válečníci Meddědovců
trp_i3_beorning_tolltacker|Měddědovský mýtný
trp_i3_beorning_tolltacker_pl|Měddědovští mýtní
trp_i4_beorning_sentinel|Stráž Meddědovců
trp_i4_beorning_sentinel_pl|Stráže Meddědovců
trp_i5_beorning_warden_of_the_ford|Meddědovský ochránce Brodu
trp_i5_beorning_warden_of_the_ford_pl|Meddědovští ochránci Brodu
trp_i3_beorning_carrock_lookout|Skalbalová hlídka Meddědovců
trp_i3_beorning_carrock_lookout_pl|Skalbalové hlídky Meddědovců
trp_i4_beorning_carrock_fighter|Skalbalový bojovník Meddědovců
trp_i4_beorning_carrock_fighter_pl|Skalbaloví bojovníci Meddědovců
trp_i5_beorning_carrock_berserker|Skalbalový berserk Meddědovců
trp_i5_beorning_carrock_berserker_pl|Skalbaloví berserkové Meddědovců
trp_i1_dale_militia|Dolský domobránce
trp_i1_dale_militia_pl|Dolská domobrana
trp_i2_dale_man_at_arms|Dolský ozbrojenec
trp_i2_dale_man_at_arms_pl|Dolští ozbrojenci
trp_a2_dale_scout|Dolský průzkumník
trp_a2_dale_scout_pl|Průzkumnici z Dolu
trp_a3_dale_bowman|Dolský muž s lukem
trp_a3_dale_bowman_pl|Dolští muži s lukem
trp_a4_dale_archer|Dolský lučištník
trp_a4_dale_archer_pl|Dolští lučištníci
trp_a5_barding_bowman|Bardovský muž s lukem
trp_a5_barding_bowman_pl|Bardovští muži s lukem
trp_i3_dale_swordsman|Dolský šermíř
trp_i3_dale_swordsman_pl|Dolští šermíři
trp_i4_dale_sergeant|Dolský seržant
trp_i4_dale_sergeant_pl|Dolští seržanti
trp_i5_dale_hearthman|Dvorní válečník z Dolu
trp_i5_dale_hearthman_pl|Dvorní válečníci z Dolu
trp_i3_dale_spearman|Dolský kopiník
trp_i3_dale_spearman_pl|Dolští kopiníci
trp_i4_dale_billman|Dolský gizarmník
trp_i4_dale_billman_pl|Dolští gizarmníci
trp_i5_dale_bill_master|Dolský gizarmnický mistr
trp_i5_dale_bill_master_pl|Dolští gizarmničtí mistři
trp_c2_rhovanion_retainer|Severský jezdec
trp_c2_rhovanion_retainer_pl|Severští jezdci
trp_c3_rhovanion_auxilia|Severský kavalerista
trp_c3_rhovanion_auxilia_pl|Severští kavaleristi
trp_c4_rhovanion_rider|Rhovanionský Jezdec
trp_c4_rhovanion_rider_pl|Rhovanionští Jezdci
trp_ac5_rhovanion_marchwarden|Rhovanionský Pohraničář
trp_ac5_rhovanion_marchwarden_pl|Rhovanionští Pohraničáři
trp_i1_rhun_tribesman|Rhůnský domorodec
trp_i1_rhun_tribesman_pl|Rhůnští domorodci
trp_ac2_rhun_horse_scout|Rhůnský průzkumník
trp_ac2_rhun_horse_scout_pl|Rhůnští průzkumníci
trp_ac3_rhun_horse_archer|Rhůnský lučištník na koni
trp_ac3_rhun_horse_archer_pl|Rhůnští lučištníci na koni
trp_ac4_rhun_veteran_horse_archer|Zkušený Rhůnský lučištník na koni
trp_ac4_rhun_veteran_horse_archer_pl|Zkušení Rhůnští lučištníci na koni
trp_ac5_rhun_balchoth_horse_archer|Balchothský jízdní lučištník
trp_ac5_rhun_balchoth_horse_archer_pl|Balchothští jízdní lučištníci
trp_c3_rhun_swift_horseman|Rhůnský rychlý jezdec na koni
trp_c3_rhun_swift_horseman_pl|Rhůnský rychlí jezdci na koni
trp_c4_rhun_veteran_swift_horseman|Rhůnský zkušený rychlý jezdec
trp_c4_rhun_veteran_swift_horseman_pl|Rhůnští zkušení rychlí jezdci
trp_c5_rhun_falcon_horseman|Jestřábí jezdec
trp_c5_rhun_falcon_horseman_pl|Jestřábí jezdci
trp_i2_rhun_tribal_warrior|Rhunský Kmenový pěšák
trp_i2_rhun_tribal_warrior_pl|Rhůnští Kmenoví pěšáci
trp_i3_rhun_tribal_infantry|Rhunský Kmenový válečník
trp_i3_rhun_tribal_infantry_pl|Rhunští Kmenoví válečníci
trp_i4_rhun_vet_infantry|Rhunský válečný veterán
trp_i4_rhun_vet_infantry_pl|Rhunští váleční veteráni
trp_i5_rhun_ox_warrior|Bojovník řádu Tura
trp_i5_rhun_ox_warrior_pl|Bojovníci řádu Tura
trp_c2_rhun_horseman|Rhunský jezdec
trp_c2_rhun_horseman_pl|Rhunští jezdci
trp_c3_rhun_outrider|Rhunský nájezdník
trp_c3_rhun_outrider_pl|Rhunští nájezdníci
trp_c4_rhun_noble_rider|Vznešený Rhunský jezdec
trp_c4_rhun_noble_rider_pl|Vznešení Rhunští jezdci
trp_c5_rhun_warrider|Válečný jezdec Rhunu
trp_c5_rhun_warrider_pl|Váleční jezdci Rhunu
trp_c6_rhun_warlord|Náčelník Rhunu
trp_c6_rhun_warlord_pl|Náčelníci Rhunu
trp_i1_dwarf_apprentice|Trpasličí branec
trp_i1_dwarf_apprentice_pl|Trpasličí branci
trp_i2_dwarf_warrior|Trpasličí válečník
trp_i2_dwarf_warrior_pl|Trpasličí válečníci
trp_i3_dwarf_hardened_warrior|Zatvrzelý trpasličí válečník
trp_i3_dwarf_hardened_warrior_pl|Zatvrzelí trpasličí válečníci
trp_i4_dwarf_spearman|Trpasličí kopiník
trp_i4_dwarf_spearman_pl|Trpasličí kopiníci
trp_i5_dwarf_pikeman|Trpasličí pikenýr
trp_i5_dwarf_pikeman_pl|Trpasličí pikenýři
trp_i6_dwarf_longpikeman|Trpaslík s dlouhou píkou
trp_i6_dwarf_longpikeman_pl|Trpaslíci s dlouhými píkami
trp_i4_dwarf_axeman|Trpaslík sekerník
trp_i4_dwarf_axeman_pl|Trpaslíci sekerníci 
trp_i5_dwarf_expert_axeman|Trpasličí expertní sekerník
trp_i5_dwarf_expert_axeman_pl|Trpasličí expertní sekerníci
trp_i6_dwarf_longbeard_axeman|Dlouhovousý trpasličí sekerník
trp_i6_dwarf_longbeard_axeman_pl|Dlouhovousí trpasličí sekerníci
trp_a2_dwarf_lookout|Trpasličí strážník
trp_a2_dwarf_lookout_pl|Trpasličí strážníci
trp_a3_dwarf_scout|Trpasličí průzkumník
trp_a3_dwarf_scout_pl|Trpasličí průzkumníci
trp_a4_dwarf_bowman|Trpasličí lučištník
trp_a4_dwarf_bowman_pl|Trpasličí lučištníci
trp_i6_dwarf_longaxeman|Trpasličí helebardník
trp_i6_dwarf_longaxeman_pl|Trpasličí helebardníci
trp_i3_iron_hills_warrior|Válečník Železných Hor
trp_i3_iron_hills_warrior_pl|Válečníci Železných Hor
trp_i2_iron_hills_miner|Horník Železných hor
trp_i2_iron_hills_miner_pl|Horníci Železných hor
trp_i4_iron_hills_infantry|Pěšák Železných hor
trp_i4_iron_hills_infantry_pl|Pěšáci Železných hor
trp_i5_iron_hills_battle_dwarf|Bojový trpaslík Železných hor
trp_i5_iron_hills_battle_dwarf_pl|Bojoví trpaslíci Železných hor
trp_i6_iron_hills_grors_guard|Grorův strážný
trp_i6_iron_hills_grors_guard_pl|Grorova stráž
trp_i1_gon_levy|Gondorský branec
trp_i1_gon_levy_pl|Gondorští branci
trp_i2_gon_watchman|Gondorská hlídka
trp_i2_gon_watchman_pl|Gondorská hlídka
trp_i3_gon_footman|Pěšák Gondoru
trp_i3_gon_footman_pl|Pěšáci Gondoru
trp_i4_gon_spearman|Gondorský kopiník
trp_i4_gon_spearman_pl|Gondorští kopiníci
trp_i5_gon_vet_spearman|Gondorský kopiník veterán
trp_i5_gon_vet_spearman_pl|Gondorští kopiníci veteráni
trp_i6_gon_tower_spearman|Strážce fontány kopiník
trp_i6_gon_tower_spearman_pl|Strážci fontány kopiníci
trp_i4_gon_swordsman|Gondorský šermíř
trp_i4_gon_swordsman_pl|Gondorští šermíři
trp_i5_gon_vet_swordsman|Gondorský šermíř veterán
trp_i5_gon_vet_swordsman_pl|Gondorští šermíři veteráni
trp_i6_gon_tower_swordsman|Šermíř strážce citadely
trp_i6_gon_tower_swordsman_pl|Šermíři stráže citadely
trp_c1_gon_nobleman|Gondorský šlechtic
trp_c1_gon_nobleman_pl|Gondorský šlechtic
trp_c2_gon_squire|Páže Gondoru
trp_c2_gon_squire_pl|Pážata Gondoru
trp_c3_gon_vet_squire|Zkušené Páže Gondoru
trp_c3_gon_vet_squire_pl|Zkušená Pážata Gondoru
trp_c4_gon_knight|Rytíř Gondoru
trp_c4_gon_knight_pl|Rytíři Gondoru
trp_c5_gon_vet_knight|Zkušený Rytíř Gondoru
trp_c5_gon_vet_knight_pl|Zkušení Rytíři Gondoru
trp_c6_gon_tower_knight|Rytíř Citadely
trp_c6_gon_tower_knight_pl|Rytíři Citadely
trp_a3_gon_bowman|Gondorský muž s lukem
trp_a3_gon_bowman_pl|Gondorští muži s lukem
trp_a4_gon_archer|Lučištník Gondoru
trp_a4_gon_archer_pl|Lučistníci Gondoru
trp_a5_gon_vet_archer|Zkušený Lučištník Gondoru
trp_a5_gon_vet_archer_pl|Zkušení Lučištníci Gondoru
trp_a6_gon_tower_archer|Lučištník Stráže Citadely
trp_a6_gon_tower_archer_pl|Lučištníci Stráže Citadely
trp_steward_guard|Správcův Strážný
trp_steward_guard_pl|Správcovi Strážní
trp_a4_ithilien_ranger|Hraničář Ithilienu
trp_a4_ithilien_ranger_pl|Hraničáči Ithilienu
trp_a5_ithilien_vet_ranger|Ithilienský hraničář veterán
trp_a5_ithilien_vet_ranger_pl|Ithilienští hraničáři veteráni
trp_a6_ithilien_master_ranger|Ithilienský mistr hraničář
trp_a6_ithilien_master_ranger_pl|Ithilienští mistři hraničáři
trp_a6_ithilien_leader|Kapitán Ithilienských hraničářů
trp_a6_ithilien_leader_pl|Kapitáni Ithilienských hraničářů
trp_i1_loss_woodsman|Lesník z Lossarnachu
trp_i1_loss_woodsman_pl|Lesníci z Lossarnachu
trp_i2_loss_axeman|Lossarnašský sekerník
trp_i2_loss_axeman_pl|Lossarnasští sekerníci
trp_i3_loss_vet_axeman|Zkušený sekerník z Lossarnachu
trp_i3_loss_vet_axeman_pl|Zkušení sekerníci z Lossarnachu
trp_i4_loss_heavy_axeman|Těžký sekerník z Lossarnachu
trp_i4_loss_heavy_axeman_pl|Těžcí sekerníci z Lossarnachu
trp_i5_loss_axemaster|Lossarnašský mistr sekerník
trp_i5_loss_axemaster_pl|Lossarnasští mistři sekerníci
trp_i6_loss_leader|Kapitán Lossarnachu
trp_i6_loss_leader_pl|Kapitáni Lossarnachu
trp_i1_pel_watchman|Pelargirská hlídka
trp_i1_pel_watchman_pl|Pelargirská hlídka
trp_a2_pel_marine|Pelargirský námořník
trp_a2_pel_marine_pl|Pelargirští námořníci
trp_a3_pel_vet_marine|Pelargirský námořník veterán
trp_a3_pel_vet_marine_pl|Pelargirští námořníci veteráni
trp_i2_pel_infantry|Pelargirský pěšák
trp_i2_pel_infantry_pl|Pelargirští pěšáci
trp_i3_pel_vet_infantry|Pelargirský zkušený pěšák
trp_i3_pel_vet_infantry_pl|Pelargirští zkušení pěšáci
trp_i6_pel_leader|Kapitán Pelargiru
trp_i6_pel_leader_pl|Kapitáni Pelargiru
trp_a6_pel_marine_leader|Kapitán Pelargirských Námořníků
trp_a6_pel_marine_leader_pl|Kapitáni Pelargirských Námořníků
trp_i1_lam_clansman|Kmenový bojovník z Lamedonu
trp_i1_lam_clansman_pl|Kmenoví bojovníci z Lamedonu
trp_i2_lam_footman|Lamedonský Pěšák
trp_i2_lam_footman_pl|Lamedonští Pěšáci
trp_i3_lam_veteran|Veterán Lamedonu
trp_i3_lam_veteran_pl|Veteráni Lamedonu
trp_i4_lam_warrior|Válečník Lamedonu
trp_i4_lam_warrior_pl|Válečníci Lamedonu
trp_i5_lam_champion|Šampión Lamedonu
trp_i5_lam_champion_pl|Šampióni Lamedonu
trp_c5_lam_knight|Rytíř Lamedonu
trp_c5_lam_knight_pl|Rytíři Lamedonu
trp_c6_lam_leader|Kapitán Lamedonu
trp_c6_lam_leader_pl|Kapitáni Lamedonu
trp_i1_pinnath_plainsman|Rovinář Pinnath Gelin
trp_i1_pinnath_plainsman_pl|Rovináři Pinnath Gelin
trp_c2_pinnath_rider|Jezdec Pinnath Gelin
trp_c2_pinnath_rider_pl|Jezdci Pinnath Gelin
trp_c3_pinnath_knight|Rytíř Pinnath Gelin
trp_c3_pinnath_knight_pl|Rytíři Pinnath Gelin
trp_a2_pinnath_bowman|Muž s lukem z Pinnath Gelin
trp_a2_pinnath_bowman_pl|Muži s lukem z Pinnath Gelin
trp_a3_pinnath_archer|Lučištník z Pinnath Gelin
trp_a3_pinnath_archer_pl|Lučištníci z Pinnath Gelin
trp_c6_pinnath_leader|Kapitán Pinnath Gelin
trp_c6_pinnath_leader_pl|Kapitáni Pinnath Gelin
trp_a1_blackroot_hunter|Morthondský Lovec
trp_a1_blackroot_hunter_pl|Morthondští Lovci
trp_a2_blackroot_bowman|Morthodský muž s lukem
trp_a2_blackroot_bowman_pl|Morthondští muži s lukem
trp_a3_blackroot_archer|Morthondský Lučištník
trp_a3_blackroot_archer_pl|Morthondští Lučištníci
trp_i2_blackroot_footman|Morthondský Pěšák
trp_i2_blackroot_footman_pl|Morthondští Pěšáci
trp_i3_blackroot_spearman|Morthondský Kopiník
trp_i3_blackroot_spearman_pl|Morthondští Kopiníci
trp_a5_blackroot_shadow_hunter|Morthondský Lovec Stínů
trp_a5_blackroot_shadow_hunter_pl|Morthondští Lovci Stínů
trp_i1_amroth_recruit|Rekrut Dol Amroth
trp_i1_amroth_recruit_pl|Rekruti Dol Amroth
trp_c2_amroth_squire|Panoš Dol Amroth
trp_c2_amroth_squire_pl|Panoši Dol Amroth
trp_c3_amroth_vet_squire|Zkušený panoš Dol Amroth
trp_c3_amroth_vet_squire_pl|Zkušení panoši z Dol Amrothu
trp_c4_amroth_knight|Rytíř z Dol Amrothu
trp_c4_amroth_knight_pl|Rytíři z Dol Amrothu
trp_c5_amroth_vet_knight|Zkušený rytíř z Dol Amrothu
trp_c5_amroth_vet_knight_pl|Zkušení rytíři z Dol Amrothu
trp_c6_amroth_swan_knight|Labutí rytíř z Dol Amrothu
trp_c6_amroth_swan_knight_pl|Labutí rytíři z Dol Amrothu
trp_c6_amroth_leader|Kapitán z Dol Amrothu
trp_c6_amroth_leader_pl|Kapitáni z Dol Amrothu
trp_a1_lorien_scout|Lothlorienský zvěd
trp_a1_lorien_scout_pl|Lorienští průzkumníci
trp_a2_lorien_warden|Lothlorienský ochránce
trp_a2_lorien_warden_pl|Lothlorienští ochránci
trp_a3_lorien_vet_warden|Lothlorienský zkušený ochránce
trp_a3_lorien_vet_warden_pl|Lothlorienští zkušení ochránci
trp_a4_lorien_gal_warden|Galadhrimský dozorce
trp_a4_lorien_gal_warden_pl|Galadhrimští dozorci
trp_a5_lorien_gal_royal_warden|Galadhrimský královský dozorce
trp_a5_lorien_gal_royal_warden_pl|Galadrimští královští dozorci
trp_a6_lorien_grey_warden|Šedý strážce
trp_a6_lorien_grey_warden_pl|Šedí strážci
trp_galadhrim_royal_marksman|Galadhrimský královský ostrostřelec
trp_galadhrim_royal_marksman_pl|Galadhrimští královští ostrostřelci
trp_noldorin_mounted_archer|Noldorský lučištník na koni
trp_noldorin_mounted_archer_pl|Noldorští ličištníci na koni
trp_a2_lorien_archer|Lothlorienský lučištník
trp_a2_lorien_archer_pl|Lothlorienští lučištníci
trp_a3_lorien_vet_archer|Lothlorienský zkušený lučištník
trp_a3_lorien_vet_archer_pl|Lothlorienští zkušení lučištníci
trp_a4_lorien_gal_archer|Galadhrimský lučištník
trp_a4_lorien_gal_archer_pl|Galadhrimští lučištníci
trp_a5_lorien_gal_royal_archer|Galadhrimský královský lučištník
trp_a5_lorien_gal_royal_archer_pl|Galadhrimští královští lučištníci
trp_i3_lorien_inf|Lothlorienský pěšák
trp_i3_lorien_inf_pl|Lothlorienští pěšáci
trp_i4_lorien_gal_inf|Galadhrimský  pěšák
trp_i4_lorien_gal_inf_pl|Galadhrimští pěšáci
trp_i5_lorien_gal_royal_inf|Galadhrimský královský strážce
trp_i5_lorien_gal_royal_inf_pl|Galadhrimská královští strážci
trp_lothlorien_standard_bearer|Lothlorienský korouhevník
trp_lothlorien_standard_bearer_pl|Lothlorienští korouhevníci
trp_a1_greenwood_scout|Průzkumník Zeleného hvozdu
trp_a1_greenwood_scout_pl|Průzkumníci Zeleného hvozdu
trp_a2_greenwood_veteran_scout|Průzkumník veterán Zeleného hvozdu
trp_a2_greenwood_veteran_scout_pl|Průzkumníci veteráni Zeleného hvozdu
trp_a3_greenwood_archer|Lučištník Zeleného hvozdu
trp_a3_greenwood_archer_pl|Lučištníci Zeleného hvozdu
trp_a4_greenwood_veteran_archer|Lučištník veterán Zeleného hvozdu
trp_a4_greenwood_veteran_archer_pl|Lučištníci veteráni Zeleného hvozdu
trp_a5_greenwood_master_archer|Mistr lučištník ze Zeleného hvozdu
trp_a5_greenwood_master_archer_pl|Mistři lučištníci ze Zeleného hvozdu
trp_a6_greenwood_chosen_marksman|Thranduilův vyvolený ostrostřelec
trp_a6_greenwood_chosen_marksman_pl|Thranduilovi vyvolení ostrostřelci
trp_a3_greenwood_sentinel|Strážce Zeleného hvozdu
trp_a3_greenwood_sentinel_pl|Strážci Zeleného hvozdu
trp_a4_greenwood_vet_sentinel|Strážce veterán Zeleného hvozdu
trp_a4_greenwood_vet_sentinel_pl|Strážci veteráni Zeleného hvozdu
trp_a5_greenwood_vigilant|Ochránce Zeleného hvozdu
trp_a5_greenwood_vigilant_pl|Ochránci Zeleného hvozdu
trp_i2_greenwood_infantry|Pěšák Zeleného hvozdu
trp_i2_greenwood_infantry_pl|Pěšáci Zeleného hvozdu
trp_i3_greenwood_vet_infantry|Pěšák veterán Zeleného hvozdu
trp_i3_greenwood_vet_infantry_pl|Pěšáci veteráni Zeleného hvozdu
trp_i4_greenwood_elite_infantry|Elitní pěšák Zeleného hvozdu
trp_i4_greenwood_elite_infantry_pl|Elitní pěšáci Zeleného hvozdu
trp_i5_greenwood_chosen_shieldmaster|Thranduilův vyvolený mistr štítu
trp_i5_greenwood_chosen_shieldmaster_pl|Thranduilovi vyvolení mistři štítu
trp_i5_greenwood_chosen_spearmaster|Thranduilův vyvolený mistr kopiník
trp_i5_greenwood_chosen_spearmaster_pl|Thranduilovi vyvolení mistři kopiníci
trp_i5_greenwood_standard_bearer|Korouhevník Zeleného hvozdu
trp_i5_greenwood_standard_bearer_pl|Korouhevníci Zeleného hvozdu
trp_a1_riv_scout|Průzkumník z Roklinky
trp_a1_riv_scout_pl|Průzkumníci z Roklinky
trp_a2_riv_vet_scout|Průzkumník veterán z Roklinky
trp_a2_riv_vet_scout_pl|Průzkumníci veteráni z Roklinky
trp_a3_riv_archer|Lučištník z Roklinky
trp_a3_riv_archer_pl|Lučištníci z Roklinky
trp_a4_riv_vet_archer|Lučištník veterán z Roklinky
trp_a4_riv_vet_archer_pl|Lučištníci veteráni z Roklinky
trp_a5_riv_master_archer|Mistr lučištník z Roklinky
trp_a5_riv_master_archer_pl|Mistři lučištníci z Roklinky
trp_a6_riv_guardian|Ochránce Roklinky
trp_a6_riv_guardian_pl|Ochránci Roklinky
trp_i3_riv_swordbearer|Pěšák z Roklinky
trp_i3_riv_swordbearer_pl|Pěšáci z Roklinky
trp_i4_riv_vet_swordbearer|Pěšák veterán z Roklinky
trp_i4_riv_vet_swordbearer_pl|Pěšáci veteráni z Roklinky
trp_i5_riv_swordmaster|Elitní pěšák z Roklinky
trp_i5_riv_swordmaster_pl|Elitní pěšáci z Roklinky
trp_i6_riv_champion|Šampion z Roklinky
trp_i6_riv_champion_pl|Šampioni z Roklinky
trp_ac5_riv_rider|Jezdec z Roklinky
trp_ac5_riv_rider_pl|Jezdci z Roklinky
trp_ac6_riv_knight|Rytíř z Roklinky
trp_ac6_riv_knight_pl|Rytíři z Roklinky
trp_i6_rivendell_standard_bearer|Korouhevník z Roklinky
trp_i6_rivendell_standard_bearer_pl|Korouhevníci z Roklinky
trp_a1_arnor_scout|Dunedaiský průzkumník
trp_a1_arnor_scout_pl|Dunedainští průzkumníci
trp_a2_arnor_vet_scout|Dunedainský stopař
trp_a2_arnor_vet_scout_pl|Dunedainští stopaři
trp_i3_arnor_swordsman|Dunedainský šermíř
trp_i3_arnor_swordsman_pl|Dunedainští šermíři
trp_i4_arnor_vet_swordsman|Dunedainský šermíř veterán
trp_i4_arnor_vet_swordsman_pl|Dunedainští šermíři veteráni
trp_i5_arnor_champion|Arnorský šampion
trp_i5_arnor_champion_pl|Arnorští šampioni
trp_c4_arnor_horseman|Dunedainský jezdec
trp_c4_arnor_horseman_pl|Dunedainští jezdci
trp_c5_arnor_knight|Arnorský rytíř
trp_c5_arnor_knight_pl|Arnorští rytíři
trp_a3_arnor_ranger|Dunedainský hraničář
trp_a3_arnor_ranger_pl|Dunedainští hraničáři
trp_a4_arnor_vet_ranger|Dunedainský zkušený hraničář
trp_a4_arnor_vet_ranger_pl|Dunedainští zkušení hraničáři
trp_a5_arnor_master_ranger|Mistr hraničář z Arnoru
trp_a5_arnor_master_ranger_pl|Mistři hraničáři z Arnoru
trp_i1_rohan_youth|Rohanský mladík
trp_i1_rohan_youth_pl|Rohanští mladíci
trp_i2_guardsman_of_rohan|Rohanský strážce
trp_i2_guardsman_of_rohan_pl|Rohanští strážci
trp_i3_footman_of_rohan|Rohanský pěšák
trp_i3_footman_of_rohan_pl|Rohanští pěšáci
trp_i4_veteran_footman_of_rohan|Rohanský zkušený pěšák
trp_i4_veteran_footman_of_rohan_pl|Rohanští zkušení pěšáci
trp_i5_elite_footman_of_rohan|Rohanský elitní pěšák
trp_i5_elite_footman_of_rohan_pl|Rohanští elitní pěšáci
trp_i6_footman_guard_of_rohan|Folcwinský Rohanský strážce
trp_i6_footman_guard_of_rohan_pl|Folcwinští Rohanští strážci
trp_i6_frealaf_raider|Frealafův nájezdník
trp_i6_frealaf_raider_pl|Frealafovi nájezdníci
trp_i5_raider_of_rohan|Rohanský nájezdník
trp_i5_raider_of_rohan_pl|Rohanští nájezdníci
trp_i6_warden_of_methuseld|Strážce Zlaté síně
trp_i6_warden_of_methuseld_pl|Strážci Zlaté síně
trp_ac3_skirmisher_of_rohan|Rohanský záškodník
trp_ac3_skirmisher_of_rohan_pl|Rohanští záškodníci
trp_ac4_veteran_skirmisher_of_rohan|Zkušený Rohanský záškodník
trp_ac4_veteran_skirmisher_of_rohan_pl|Zkušení Rohanští záškodníci
trp_ac5_elite_skirmisher_of_rohan|Elitní Rohanský záškodník
trp_ac5_elite_skirmisher_of_rohan_pl|Elitní Rohanští záškodníci
trp_ac6_skirmisher_guard_of_rohan|Člen Thengelovy gardy
trp_ac6_skirmisher_guard_of_rohan_pl|Rohanská Thengelova garda
trp_c4_lancer_of_rohan|Rohanský kopiník
trp_c4_lancer_of_rohan_pl|Rohanští kopiníci
trp_c5_elite_lancer_of_rohan|Elitní Rohanský kopiník
trp_c5_elite_lancer_of_rohan_pl|Elitní Rohanští kopiníci
trp_c6_lancer_guard_of_rohan|Člen Bregovy gardy
trp_c6_lancer_guard_of_rohan_pl|Rohanská Bregova garda
trp_c6_king_s_man_of_rohan|Králův strážce
trp_c6_king_s_man_of_rohan_pl|Královi strážci
trp_c2_squire_of_rohan|Rohanské páže
trp_c2_squire_of_rohan_pl|Rohanštá pážata
trp_c3_rider_of_rohan|Rohanský jezdec
trp_c3_rider_of_rohan_pl|Rohansští jezdci
trp_c4_veteran_rider_of_rohan|Rohanský zkušený jezdec
trp_c4_veteran_rider_of_rohan_pl|Rohanští zkušení jezdci
trp_c5_elite_rider_of_rohan|Elitní jezdec Rohanu
trp_c5_elite_rider_of_rohan_pl|Elitní jezdci Rohanu
trp_c6_rider_guard_of_rohan|Člen Eorlské gardy
trp_c6_rider_guard_of_rohan_pl|Rohanská Eorlská garda
trp_i6_2h_guard_of_rohan|Rohanský strážce Hlásky
trp_i6_2h_guard_of_rohan_pl|Rohanští strážci Hlásky
trp_ac3_dism_skirmisher_of_rohan2|Rohanský záškodník
trp_ac3_dism_skirmisher_of_rohan2_pl|Rohanští záškodníci
trp_ac4_dism_veteran_skirmisher_of_rohan2|Zkušený Rohanský záškodník
trp_ac4_dism_veteran_skirmisher_of_rohan2_pl|Zkušení Rohanští záškodníci
trp_ac5_dism_elite_skirmisher_of_rohan2|Elitní Rohanský záškodník
trp_ac5_dism_elite_skirmisher_of_rohan2_pl|Elitní Rohanští záškodníci
trp_i1_harad_levy|Haradský odvedenec
trp_i1_harad_levy_pl|Haradští odvedenci
trp_i3_harad_infantry|Haradský lehký pěšák
trp_i3_harad_infantry_pl|Haradští lehcí pěšáci
trp_i4_harad_spearman|Haradský kopiník
trp_i4_harad_spearman_pl|Haradští kopiníci
