pt_rescued_prisoners|Osvobození zajatci
pt_moria_scouts|Průzkumníci z Morie
pt_guldur_scouts|Průzkumníci Dol Gulduru
pt_gundabad_scouts|Průzkumníci z Gundabadu
pt_rhun_scouts|Rhunští průzkumníci
pt_gondor_raiders|Gondorští kořistníci
pt_rohan_raiders|Rohirští kořistníci
pt_imladris_raiders|Kořistníci z Roklinky
pt_lorien_raiders|Lorienští kořistníci
pt_woodelf_raiders|Kořistníci z Temného hvozdu
pt_dale_raiders|Kořistníci z Dolu
pt_dwarf_raiders|Trpaslíci kořistníci
pt_ranger_raiders|Hraničářští nájezdníci
pt_morgul_raiders|Morgulští nájezdníci
pt_mordor_raiders|Mordorští nájezdníci
pt_isengard_raiders|Sarumanovi nájezdníci
pt_dunland_raiders|Nájezdníci z Vrchoviny
pt_harad_raiders|Haradští nájezdníci
pt_khand_raiders|Nájezdníci z Khandu
pt_umbar_raiders|Umbarští nájezdníci
pt_moria_raiders|Nájezdníci z Morie
pt_guldur_raiders|Nájezdníci z Dol Gulduru
pt_gundabad_raiders|Nájezdníci z Gundabadu
pt_rhun_raiders|Nájezdníci z Rhunu
pt_gondor_patrol|Gondorská patrola
pt_rohan_patrol|Rohanská patrola
pt_imladris_patrol|Dunadanská patrola
pt_lorien_patrol|Lothlorienská patrola
pt_woodelf_patrol|Patrola z Temného hvozdu
pt_dale_patrol|Dolská patrola
pt_esgaroth_patrol|Esgarothská patrola
pt_dwarf_patrol|Trpasličí patrola
pt_ranger_patrol|Hraničářská patrola
pt_amroth_patrol|Dol Amrothská patrola
pt_pelargir_patrol|Pelargirská patrola
pt_lossarnach_patrol|Lossarnasská patrola
pt_brv_patrol|Morthondská patrola
pt_pinnath_patrol|Patrola z Pinnath Gelin
pt_lamedon_patrol|Lamedonská patrola
pt_mordor_war_party|Mordorská armáda
pt_isengard_war_party|Sarumanova armáda
pt_harad_war_party|Haradská armáda
pt_dunland_war_party|Armáda z Vrchoviny
pt_khand_war_party|Variagská armáda
pt_moria_war_party|Armáda z Morie
pt_guldur_war_party|Armáda Dol Gulduru
pt_rhun_war_party|Armáda z Rhunu
pt_gondor_company|Patrola z Minas Tirith
pt_rohan_company|Rohanská družina
pt_imladris_company|Družina z Roklinky
pt_lorien_company|Lothlorienská družina
pt_woodelf_company|Družina z Temného hvozdu
pt_dale_company|Družina z Dolu
pt_dwarf_company|Trpasličí družina
pt_gondor_elite_company|Gondorská elitní družina
pt_rohan_elite_company|Rohanská elitní družina
pt_imladris_elite_company|Elitní družina z Roklinky
pt_lorien_elite_company|Lothlorienská elitní družina
pt_woodelf_elite_company|Elitní družina z Temného hvozdu
pt_dale_elite_company|Elitní družina z Dolu
pt_dwarf_elite_company|Trpasličí elitní družina
pt_gondor_caravan|Gondorská karavana
pt_rohan_caravan|Rohanská karavana
pt_imladris_caravan|Karavana z Roklinky
pt_lorien_caravan|Lothlorienská karavana
pt_woodelf_caravan|Karavana z Temného hvozdu
pt_dale_caravan|Karavana z Dolu
pt_dwarf_caravan|Trpasličí karavana
pt_mordor_caravan|Mordorský zásobovací konvoj
pt_isengard_caravan|Sarumanův zásobovací konvoj
pt_gunda_caravan|Zásobovací konvoj z Gundabadu
pt_gondor_p_train|Gondorská zajatecká kolona
pt_rohan_p_train|Rohanská zajatecká kolona
pt_imladris_p_train|Zajatecká kolona z Roklinky
pt_lorien_p_train|Lothlorienská zajatecká kolona
pt_woodelf_p_train|Zajatecká kolona z Temného hvozdu
pt_dale_p_train|Zajatecká kolona z Dolu
pt_dwarf_p_train|Trpasličí zajatecká kolona
pt_mordor_p_train|Mordorská zajatecká kolona
pt_isengard_p_train|Sarumanova zajatecká kolona
pt_kingdom_hero_party|Armáda
pt_caravan_survivors|Přeživší z karavany
pt_routed_allies|Rozprášení spojenci
pt_routed_enemies|Rozprášení nepřátelé
pt_legion_minas_morgul|Legie z Minas Morgul
pt_legion_udun|Legie Udunu
pt_legion_gorgoroth|Legie z Gorgorothu
pt_legion_barad_dur|Legie z Barad-Dur
pt_beorn_messenger|Posel Meddědovců
pt_village|Vesnice
pt_ring_hunters|Hledači prstenu
pt_scout_camp_small|Tábor zvědů
pt_scout_camp_large|Opevněný tábor zvědů
pt_beorn_caravan|Dřevorubecká karavana
pt_orc_horde|Skřetí horda
pt_volunteers|Rezervy
pt_refugees|Uprchlíci
pt_retreat_troops|Záložní jednotky
pt_radagast|Osamělý jezdec
