itm_horse_meat|Koňské maso
itm_gondor_lam_horse|Lamedonský válečný kůň
itm_lorien_warhorse|Lothlorienský válečný kůň
itm_harad_horse|Haradský kůň
itm_harad_warhorse|Haradský válečný kůň
itm_variag_pony|Variagský poník
itm_variag_kataphrakt|Východňanský válečný kůň
itm_warg_1b|Vrk
itm_warg_1c|Vrk
itm_warg_1d|Vrk
itm_wargarmored_1b|Obrněný vrk
itm_wargarmored_1c|Obrněný vrk
itm_wargarmored_2b|Obrněný vrk
itm_wargarmored_2c|Obrněný vrk
itm_wargarmored_3a|Obrněný vrk
itm_warg_reward|Obrovský vrk
itm_tree_trunk_club_a|Kmen stromu
itm_free_giant_hammer|Velká palice
itm_giant_mace|Velký palcat
itm_troll_shield_a|Trolí štít
itm_arrows|Šípy
itm_gondor_arrows|Gondorské šípy
itm_orc_javelin|Orkský těžký oštěp
itm_khergit_arrows|Ostnaté šípy
itm_rohan_arrows_2|Rohanské šípy
itm_harad_arrows|Haradské šípy
itm_corsair_arrows|Korzárské šípy
itm_ithilien_arrows|Ithilijské šípy
itm_woodelf_arrows|Šípy lesních elfů
itm_elven_arrows|Elfí šípy
itm_orc_hook_arrow|Hákový šíp orků
itm_isengard_arrow|Šípy Železného pasu
itm_leather_gloves|Kožené rukavice
itm_mail_mittens|Kroužkové palčáky
itm_leather_boots|Kožené boty
itm_leather_boots_dark|Jezdecké boty
itm_splinted_greaves|Vyztužené rukavice
itm_white_tunic_a|Oblek civilisty
itm_rohan_shoes|Kožené boty
itm_furry_boots|Kožešinové boty
itm_black_tunic|Černá tunika
itm_hood_black|Černá Kápě
itm_hood_green|Zelená kápě
itm_hood_grey|Šedá kapuce
itm_hood_leather|Kožená kapuce
itm_axe_a|Severská sekyra
itm_axe_b|Severská Bradatice
itm_axe_c|Severská sekyra
itm_axe_d|Severská sekyra
itm_long_bearded_axe|Dlouhá Severská Bradatice
itm_2_handed_axe|Dlouhá Severská Sekera
itm_shortened_spear|Zkrácené kopí
itm_spear|Kopí
itm_light_lance|Lehký dřevec
itm_lance|Dřevec
itm_tab_shield_small_round_b|Kulatý jezdecký štít
itm_short_bow|Krátký luk
itm_regular_bow|Luk
itm_nomad_bow|Nomádský luk
itm_gondor_bow|Gondorský luk
itm_strong_bow|Silný luk
itm_elven_bow|Elfský luk
itm_corsair_bow|Korzárský luk
itm_dwarf_horn_bow|Trpasličí luk z rohu
itm_dwarf_short_bow|Trpasličí krátký luk
itm_harad_bow|Haradský zakřivený luk
itm_lg_bow|Luk Orlí stráže
itm_riv_bow|Luk Roklinky
itm_rhun_bow|Balchothský luk
itm_lorien_bow|Galadhrimský luk
itm_isengard_large_bow|Velký luk Železného pasu
itm_dale_bow|Dolský luk
itm_uruk_bow|Skřetí luk z rohu
itm_mirkwood_bow|Luk Temného hvozdu
itm_dunland_javelin|Dunlandské oštěpy
itm_orc_throwing_arrow|Šipky orků
itm_heavy_throwing_spear|Těžké házecí kopí
itm_javelin|Oštěp
itm_harad_javelin|Haradský oštěp
itm_gondor_javelin|Gondorské kopí
itm_rohirrim_throwing_axe|Severské vrhací sekery
itm_loss_throwing_axes|Lossarnašské vrhací sekery
itm_arnor_helm_a|Arnorská helma
itm_arnor_helm_b|Arnorská helma
itm_arnor_helm_c|Arnorská helma
itm_dunedain_helm_a|Dunadanská kápě
itm_dunedain_helm_b|Arnorská zdobená helma
itm_arnor_armor_a|Arnorská zbroj
itm_arnor_armor_b|Arnorská zbroj
itm_arnor_armor_c|Dunedainská kožená zbroj
itm_arnor_armor_d|Dunedainská kožená zbroj
itm_arnor_armor_e|Arnorský vyztužený krátký kožený kabát
itm_arnor_armor_f|Arnorská velká zbroj
itm_arnor_greaves|Arnorské stehenní pláty
itm_arnor_splinted|Arnorské zpevněné stehenní pláty
itm_arnor_shield_a|Arnorský štít
itm_arnor_shield_c|Arnorský jezdecký štít
itm_arnor_shield_b|Arnorský štít
itm_arnor_shield_d|Arnorský jezdecký štít
itm_arnor_sword_a|Arnorský meč bastard
itm_arnor_sword_c|Arnorský meč bastard
itm_arnor_sword_f|Arnorský krátký meč
itm_riv_helm_a|Rivendelská čepka
itm_riv_helm_b|Rivendelská lučišnická helma
itm_riv_helm_c|Rivendelská pěchotní helma
itm_riv_tiara|Elfí lord Tiara
itm_riv_shield_a|Rivendelský štít
itm_riv_shield_b|Rivendelský štít
itm_riv_bas_sword|Rivendelský meč bastard
itm_riv_1h_sword|Rivendelský meč
itm_riv_riding_sword|Rivendelský jezdecký meč
itm_riv_archer_sword|Rivendellský Lučišnický Meč
itm_riv_spear|Rivendelské kopí
itm_riv_armor_light|Rivendelská zbroj
itm_riv_armor_light_inf|Rivendelská zbroj
itm_riv_armor_archer|Rivendelská zbroj
itm_riv_armor_m_archer|Rivendelská zbroj
itm_riv_armor_med|Rivendelská zbroj
itm_riv_armor_heavy|Rivendelská zbroj
itm_riv_armor_h_archer|Rivendelská zbroj
itm_riv_armor_leader|Zbroj Rivendelského vůdce
itm_riv_boots|Rivendelské boty
itm_gon_footman|Gondorská kroužková košile
itm_gon_jerkin|Gondorský krátký kožený kabát
itm_gon_regular|Gondorský těžká kroužková zbroj
itm_gon_bowman|Gondorská prošívanice
itm_gon_archer|Gondorská prošívanice s pláštěm
itm_gon_noble_cloak|Gondorský krátký šlechtický kožený kabát
itm_gon_squire|Gondorská kroužková zbroj s pláštěm
itm_gon_knight|Gondorská těžká kroužková zbroj s pláštěm
itm_gon_ranger_cloak|Gondorský plášť hraničářů
itm_gon_ranger_skirt|Gondorská hraničářská sukně
itm_gon_steward_guard|Gondorská pořadatelská strážní zbroj
itm_gon_tower_guard|Gondorská strážní zbroj
itm_gon_tower_knight|Gondorská rytířská zbroj
itm_gon_leader_surcoat_cloak|Gondorský plášť vůdce
itm_gondor_ranger_hood|Zelená kápě
itm_gondor_ranger_hood_mask|Gondorská kápě hraničářů
itm_gondor_light_greaves|Gondorské kožené stehenní pláty
itm_gondor_med_greaves|Gondorské střední stehenní pláty
itm_gondor_heavy_greaves|Gondorské kroužkové stehenní pláty
itm_gondorian_light_helm|Gondorská pěší helma
itm_gondor_infantry_helm|Gondorská pěchotní přilbice
itm_gondor_auxila_helm|Gondorská přilba pomocných sborů
itm_gondorian_light_helm_b|Gondorská lučišnická přilbice
itm_gondorian_archer_helm|Gondorská lukostřelecká přilbice
itm_tower_archer_helm|Přilba lučištníků z Věže
itm_gondor_leader_helm|Gondorská vysoká přilba
itm_tower_guard_helm|Přilba strážce věže
itm_gondor_citadel_knight_helm|Helma rytire citadely
itm_gondor_squire_helm|Prilba Gondorskeho panose
itm_gondor_knight_helm|Prilba Gondorskeho rytire
itm_gondor_dolamroth_helm|Dol Amrothska helma
itm_swan_knight_helm|Labuti prilba rytire
itm_gondor_lamedon_helm|Lamendonská Helma
itm_gondor_lamedon_leader_helm|Lamendonská Vysoká Helma
itm_blackroot_archer|Morthondský Gambeson s Pláštěm
itm_blackroot_bowman|Morthondská Kožená Vesta s Pláštěm
itm_blackroot_footman|Morthondská Kožená Vesta
itm_blackroot_warrior|Morthondský Gambeson
itm_blackroot_leader|Morthondská Kroužková Zbroj
itm_blackroot_hood|Černá Kápě
itm_dol_hauberk|Dol Amrothske brneni
itm_dol_heavy_mail|Dol Amrothská Těžká Kroužková Zbroj
itm_dol_padded_coat|Dol Amrothsky vycpavany kabatec 
itm_dol_shirt|Dol Amrothska kosile
itm_dol_very_heavy_mail|Dol Amrothská velmi těžká kroužková zbroj
itm_dol_greaves|Dol Amrothske naholeniky
itm_dol_shoes|Dol Amrothske lehke boty
itm_lamedon_clansman|Lamedonská zbroj člena klanu
itm_lamedon_footman|Lamedonská zbroj pěšáka
itm_lamedon_knight|Lamedonská zbroj rytíře
itm_lamedon_leader_surcoat_cloak|Lamedonská zbroj velitele
itm_lamedon_warrior|Lamedonská zbroj válečníka
itm_lamedon_veteran|Lamedonská zbroj veterána
itm_lamedon_vet_warrior|Lamedonská zbroj válečníka veterána
itm_lamedon_hood|Kápě
itm_pinnath_archer|Pinnath Gelinská zbroj lučištníka
itm_pinnath_footman|Pinnath Gelinská zbroj pěšáka
itm_pinnath_leader|Pinnath Gelinská zbroj rytíře
itm_pinnath_vet_footman|Pinnath Gelinská zbroj zkušeného pěšáka
itm_pinnath_warrior|Pinnath Gelinská zbroj válečníka
itm_pel_footman|Pelargirská zbroj pěšáka
itm_pel_jerkin|Pelagirská Vesta
itm_pel_leader|Pelargirská zbroj velitele
itm_pel_marine|Pelargirsky namornik
itm_pelargir_marine_leader|Pelargirská zbroj vůdce námořníků
itm_pelargir_regular|Pelargirský Obyčejný
itm_pelargir_hood|Bílá Kápě
itm_pelargir_helmet_light|Pelargirska helma
itm_pelargir_helmet_heavy|Pelargirska tezka helma
itm_pelargir_greaves|Pelargirske naholeniky
itm_lossarnach_shirt|Lossarnasska kosile
itm_lossarnach_axeman|Zbroj sekernika Lossarnachu
itm_lossarnach_leader|Zbroj velitele Lossarnachu
itm_lossarnach_vet_axeman|Zbroj zkuseneho sekernika Lossarnachu
itm_lossarnach_vet_warrior|Zbroj zkuseneho valecnika Lossarnachu
itm_lossarnach_warrior|Zbroj valecnika Lossarnachu
itm_lossarnach_cloth_cap|Lossarnašská plátěná čepice
itm_lossarnach_leather_cap|Lossarnašská kožená čepice
itm_lossarnach_scale_cap|Lossarnašská šupinatá čepice
itm_lossarnach_greaves|Lossarnasske naholeniky
itm_gondor_shield_a|Gondorský čtvercový štít
itm_gondor_shield_b|Gondorský mandlový štít
itm_gondor_shield_c|Gondorska paveza
itm_gondor_shield_d|Gondorský mandlový štít
itm_gondor_shield_e|Gondorský štít strážce citadely
itm_gon_tab_shield_a|Heraldický Gondorský kulatý štít
itm_gon_tab_shield_b|Heraldický Gondorský čtvercový štít
itm_gon_tab_shield_c|Heraldický Gondorský mandlový štít
itm_gon_tab_shield_d|Heraldická gondorská pavéza
itm_amroth_sword_a|Meč z Dol Amroth
itm_amroth_sword_b|Dol Amrothsky rytirsky mec
itm_gondor_sword|Meč gondorské pěchoty
itm_amroth_bastard|Čepel Labutích rytířů z Dol Amrothu
itm_gondor_short_sword|Linhirský Eket
itm_pelargir_eket|Pelargirský Eket
itm_pelargir_sword|Pelargirsky mec
itm_gondor_ranger_sword|Gondorsky hranicarsky mec
itm_gondor_bastard|Gondorsky jedenapulrucni mec
itm_gondor_citadel_sword|Mec Gondorske citadely
itm_gondor_cav_sword|Gondorsky jezdecky mec
itm_gondor_spear|Gondorské kopí
itm_gondor_tower_spear|Kopí Gondorských strážců veže
itm_gondor_lance|Gondorský dřevec
itm_loss_axe|Lossarnašská Bojová Sekera
itm_loss_war_axe|Lossarnašská válečná sekera
itm_lorien_sword_a|Loriensky dlouhy mec
itm_lorien_sword_b|Loriensky kratky mec
itm_lorien_sword_c|Lorienský válečný meč
itm_lorien_archer|Lorienská zbroj lučištníka
itm_lorien_armor_a|Lorienská prošívaná zbroj
itm_lorien_armor_b|Lorienská kroužková zbroj
itm_lorien_armor_c|Lorienská šupinová zbroj
itm_lorien_armor_d|Lorienská zbroj vznešeného šermíře
itm_lorien_armor_e|Plast lorienskeho ochrance
itm_lorien_armor_f|Lorienské Elitní Brnění
itm_lorien_boots|Lorienske boty
itm_lorien_shield_b|Lorienska paveza
itm_lorien_shield_c|Lorienský mandlový štít
itm_lorien_round_shield|Lorienský Kulatý Štít
itm_lorien_helm_a|Přilba lorienských lučištníků
itm_lorien_helm_b|Přilba lorienských lučištníků
itm_lorien_helm_c|Přilba lorienské pěchoty
itm_orc_chain_greaves|Skreti naholeniky
itm_orc_coif|Skřetí přilba z lebky
itm_orc_greaves|Orčí kroužkové boty
itm_orc_ragwrap|Skřetí onuce
itm_orc_furboots|Skreti kozene boty
itm_orc_furboot_tall|Skreti kozene boty
itm_orc_tribal_a|Neošetřená kůže
itm_orc_tribal_b|Neošetřená kůže
itm_orc_tribal_c|Neošetřená kůže
itm_evil_gauntlets_a|Černé rukavice
itm_evil_gauntlets_b|Černé rukavice
itm_isen_orc_armor_a|Skreti zbroj ze Zelezneho pasu
itm_isen_orc_armor_b|Skreti zbroj ze Zelezneho pasu
itm_isen_orc_armor_c|Skreti zbroj ze Zelezneho pasu
itm_isen_orc_armor_d|Skreti zbroj ze Zelezneho pasu
itm_isen_orc_armor_e|Skreti zbroj ze Zelezneho pasu
itm_isen_orc_armor_f|Skreti zbroj ze Zelezneho pasu
itm_isen_orc_armor_g|Skreti zbroj ze Zelezneho pasu
itm_isen_uruk_light_a|Lehký postroj Uruk-hai
itm_isen_uruk_light_b|Skurut-haiska kozena zbroj
itm_isen_uruk_light_c|Skurut-haiska kozena zbroj
itm_isen_uruk_light_d|Pokovaná kožená zbroj Uruk-hai
itm_isen_uruk_light_e|Kroužková zbroj Uruk-hai
itm_isen_uruk_heavy_a|Pokovaná kožená zbroj Uruk-hai
itm_isen_uruk_heavy_b|Těžká zbroj Uruk-hai
itm_isen_uruk_heavy_c|Těžká zbroj Uruk-hai
itm_isen_uruk_heavy_d|Kožená zbroj stopaře Uruk-hai
itm_isen_uruk_heavy_e|Kožená zbroj stopaře Uruk-hai
itm_uruk_tracker_boots|Urukské boty stopaře
itm_uruk_greaves|Skuruti naholeniky
itm_uruk_chain_greaves|Skuruti krouzkove naholeniky
itm_uruk_ragwrap|Urukské onuce
itm_isen_orc_helm_a|Helma Orků z Isengardu
itm_isen_orc_helm_b|Helma Orků z Isengardu
itm_isen_orc_helm_c|Helma Orků z Isengardu
itm_isen_uruk_helm_a|Skurut-haiska helma
itm_isen_uruk_helm_b|Skurut-haiska helma
itm_isen_uruk_helm_c|Skurut-haiska helma
itm_isen_uruk_helm_d|Skurut-haiska kapitanska helma
itm_isen_uruk_helm_e|Skurut-haiska stoparska helma
itm_isen_uruk_helm_f|Skurut-haiska stoparska helma
itm_uruk_pike_a|Skuruti pika
itm_uruk_pike_b|Mordorská píka
itm_uruk_falchion_a|Skurutí mírně zakřivený meč
itm_uruk_falchion_b|Skurutí mírně zakřivený meč
itm_uruk_spear|Mordorské kopí
itm_uruk_skull_spear|Skurutí lebkový oštěp
itm_uruk_voulge|Skurutí sudlice
itm_uruk_heavy_axe|Urukská těžká sekyra
itm_isengard_sword|Mec ze zelezneho pasu
itm_isengard_axe|Sekera Železného Pasu
itm_isengard_hammer|Kladivo Železného Pasu
itm_isengard_halberd|Halapartna ze Zelezneho pasu
itm_isengard_mallet|Palice Železného pasu
itm_isengard_heavy_axe|Těžká sekyra Železného pasu
itm_isengard_heavy_sword|Těžký meč Železného pasu
itm_isengard_spear|Oštěp Železného pasu
itm_isengard_pike|Pika ze Zelezneho pasu
itm_isen_orc_shield_a|Štít Orků z Isengardu
itm_isen_orc_shield_b|Štít Orků z Isengardu
itm_isen_uruk_shield_b|Štít Skurutů z Isengardu
itm_wood_club|Dreveny kyj
itm_twohand_wood_club|Velky dreveny kyj
itm_bone_cudgel|Kostěná palice
itm_skull_club|Palice s Lebkou
itm_orc_club_a|Skřetí obušek
itm_orc_club_b|Palice jezdce na vrku
itm_orc_club_c|Ostnatá skřetí palice
itm_orc_club_d|Palcát zla
itm_orc_sledgehammer|Skřetí velké kladivo
itm_orc_simple_spear|Skřetí oštěp
itm_orc_skull_spear|Skřetí lebkový oštěp
itm_orc_bill|Skřetí kopí
itm_orc_slasher|Skřetí sekáček
itm_orc_falchion|Skřetí falchion
itm_orc_scimitar|Skřetí šavle
itm_orc_sabre|Skreti savle
itm_orc_machete|Skreti maceta
itm_orc_axe|Skreti sekera
itm_orc_two_handed_axe|Skreti dvourucni sekera
itm_orc_throwing_axes|Skreti vrhaci sekery
itm_orc_bow|Skreti luk
itm_orc_shield_a|Skřetí štít
itm_orc_shield_b|Skřetí štít
itm_orc_shield_c|Skřetí pavéza
itm_mordor_orc_shield_a|Mordorsky skreti stit
itm_mordor_orc_shield_b|Mordorsky skreti stit
itm_mordor_orc_shield_c|Mordorsky skreti stit
itm_mordor_orc_shield_d|Mordorsky skreti stit
itm_mordor_orc_shield_e|Mordorsky skreti stit
itm_mordor_uruk_shield_a|Mordorsky skuruti stit
itm_mordor_uruk_shield_b|Mordorsky skuruti stit
itm_mordor_uruk_shield_c|Mordorsky skuruti stit
itm_mordor_man_shield_a|Štít lidí z Mordoru
itm_mordor_man_shield_b|Štít lidí z Mordoru
itm_angmar_shield|Angmarský štít
itm_orc_nosehelm|Skřetí helma s nánosníkem
itm_orc_kettlehelm|Skřetí přilbice
itm_orc_buckethelm|Skřetí hrncová přilba
itm_orc_morion|Skřetí morion
itm_orc_beakhelm|Skřetí bascinet
itm_orc_bughelm|Skřetí helma
itm_orc_visorhelm|Skřetí přilba s hledím
itm_m_orc_light_a|Mordorká skřetí lehká zbroj
itm_m_orc_light_b|Mordorká skřetí lehká zbroj
itm_m_orc_light_c|Mordorká skřetí lehká zbroj
itm_m_orc_light_d|Mordorká skřetí lehká zbroj
itm_m_orc_light_e|Mordorká skřetí lehká zbroj
itm_m_orc_heavy_a|Mordorská skřetí těžká zbroj
itm_m_orc_heavy_b|Mordorská skřetí těžká zbroj
itm_m_orc_heavy_c|Mordorská skřetí těžká zbroj
itm_m_orc_heavy_d|Mordorská skřetí těžká zbroj
itm_m_orc_heavy_e|Mordorská skřetí těžká zbroj
itm_m_uruk_light_a|Skurutí zbroj
itm_m_uruk_light_b|Skurutí kožená zbroj
itm_m_uruk_light_c|Skurutí lehká kroužková zbroj
itm_m_uruk_med_a|Skurutí těžké kožená zbroj
itm_m_uruk_med_b|Skurutí těžká kroužková zbroj
itm_m_uruk_med_c|Skurutí lehká šupinová zbroj
itm_m_uruk_heavy_a|Skurutí těžká šupinová zbroj
itm_m_uruk_heavy_b|Skurutí plátová zbroj
itm_m_uruk_heavy_c|Barad-dûrská plátová zbroj
itm_m_cap_armor|Zbroj kapitána mordoru
itm_black_num_armor|Zbroj Černých Númenorejců
itm_m_armor_a|Mordorská zbroj
itm_m_armor_b|Mordorská zbroj
itm_evil_light_armor|Zlověstný oděv
itm_uruk_helm_a|Skurutí helma
itm_uruk_helm_b|Skurutí helma
itm_uruk_helm_c|Skurutí bascinet
itm_uruk_helm_d|Skurutí mřížová helma
itm_uruk_helm_e|Skurutí helma
itm_uruk_helm_f|Skurutí helma
itm_mordor_cap_helm|helma kapitána mordoru
itm_mordor_helm|helma mordoru
itm_black_num_helm|Helma Černých Númenorejců
itm_mordor_sword|Mordorsky jedenapulrucni mec
itm_mordor_longsword|Mordorsky mec
itm_moria_armor_a|Zbroj Morie
itm_moria_armor_b|Morijské brnění
itm_moria_armor_c|Kroužková zbroj orků z Morie
itm_moria_armor_d|Skládaná zbroj Morie
itm_moria_armor_e|Těžká kroužková zbroj orků z Morie
itm_moria_orc_shield_a|Velký štít orků z Morie
itm_moria_orc_shield_b|Štít Orků z Morie
itm_moria_orc_shield_c|Štít Orků z Morie
itm_gundabad_armor_a|Hadry Gundabadských skřetů
itm_gundabad_armor_b|Kožená zbroj Gundabadských skřetů
itm_gundabad_armor_c|Zbroj Gundabadských skřetů
itm_gundabad_armor_d|Zbroj Gundabadských skřetů
itm_gundabad_armor_e|Těžká zbroj Gundabadských skřetů
itm_gundabad_helm_a|Kožená Čapka
itm_gundabad_helm_b|Kožená Helma
itm_gundabad_helm_c|Gundabadska helma
itm_gundabad_helm_d|Gundabadska helma
itm_gundabad_helm_e|Helma vrciho jezdce
itm_dunland_wolfboots|Dunlandské Vlčí boty 
itm_dunland_armor_a|Dunlandská kožená zbroj
itm_dunland_armor_b|Dunlandská kožená zbroj
itm_dunland_armor_c|Dunlandská kožená zbroj
itm_dunland_armor_d|Dunlandská kožená zbroj
itm_dunland_armor_e|Dunlandská kožená zbroj
itm_dunland_armor_g|Dunlandská kožená zbroj
itm_dunland_armor_h|Dunlandská dlouhá kožená zbroj
itm_dunland_armor_i|Dunlandské brnění
itm_dunland_armor_j|Dunlandské brnění
itm_dunland_armor_k|Dunlandská velitelská zbroj
itm_dun_helm_a|Dunlandská vlčí čapka
itm_dun_helm_b|Dunlandská čapka s parohy
itm_dun_helm_c|Dunlandská vysoká čapka
itm_dun_helm_d|Dunlandská vysoká čapka

itm_dun_helm_e|Dunlandská helma s parohy
itm_dun_shield_a|Dunlandský štít
itm_dun_shield_b|Dunlandský štít
itm_dun_berserker|Dunlandský velitelský meč
itm_dunnish_antler_axe|Dunlandská parohová sekera
itm_dunnish_war_axe|Dunlandská válečná sekera
itm_dunnish_axe|Dunlandská  sekera
itm_dunland_spear|Dunlandské kopí
itm_dunnish_pike|Dunlandská píka
itm_rohan_cav_sword|Meč Rohanské jízdy
itm_rohan_inf_sword|Rohansky mec
itm_rohan_spear|Rohanský oštěp
itm_rohan_lance|Rohanský dřevec
itm_rohan_sword_c|Rohansky mec
itm_rohirrim_short_axe|Rohirska kratka sekyra
itm_rohirrim_long_hafted_axe|Rohirska sekyra na dlouhem toporu
itm_rohan_2h_sword|Rohanský válečný meč
itm_rohan_recruit|Rohanská vycpávaná vesta
itm_rohan_leather|Rohanská kožená zbroj
itm_rohan_mail|Rohanske brneni
itm_rohan_rider|Zbroj Rohanského jezdce
itm_rohan_scale|Rohanska supinova zbroj
itm_rohan_surcoat|Rohanský plášť
itm_rohan_guard|Zbroj Rohanského strážce
itm_rohan_light_helmet_a|Rohanska lehka helma
itm_rohan_light_helmet_b|Rohanska lehka helma
itm_rohan_inf_helmet_a|Rohanská přilba
itm_rohan_inf_helmet_b|Rohanská přilba
itm_rohan_archer_helmet_a|Rohanská přilbice
itm_rohan_archer_helmet_b|Rohanská přilbice
itm_rohan_archer_helmet_c|Helma Rohanského strážce
itm_rohan_shield_a|Rohansky stit
itm_rohan_shield_b|Rohansky stit
itm_rohan_shield_c|Rohansky stit
itm_rohan_shield_d|Rohansky stit
itm_rohan_shield_e|Rohansky stit
itm_rohan_shield_f|Rohansky stit
itm_rohan_shield_g|Rohanský královský štít
itm_rohan_light_greaves|Rohanske lehke naholeniky
itm_rohirrim_war_greaves|Rohirske valecne naholeniky
itm_mirkwood_leather|Zbroj lesních elfů
itm_mirkwood_pad|Prošívaný kabát Zeleného Hvozdu
itm_mirkwood_mail|Zbroj Zeleného Hvozdu
itm_mirkwood_scale|Lehká šupinová zbroj Zeleného Hvozdu
itm_mirkwood_heavy_scale|Lístko-šupinové brnění z Temného hvozdu
itm_mirkwood_great_spear|Velké kopí Temného hvozdu
itm_mirkwood_war_spear|Válečné kopí Temného hvozdu
itm_mirkwood_short_spear|Mirkwoodské Kopí
itm_mirkwood_knife|Bily nuz z Temneho hvozdu
itm_mirkwood_axe|Sekera Temného hvozdu
itm_mirkwood_spear_shield_a|Štít Temného hvozdu
itm_mirkwood_spear_shield_b|Válečný štít Temného hvozdu
itm_mirkwood_spear_shield_c|Kulatý štít Temného hvozdu
itm_mirkwood_helm_a|Helma lucistnika z Temneho hvozdu
itm_mirkwood_helm_b|Přilba z Temného hvozdu
itm_mirkwood_helm_c|Těžká helma Temného hvozdu
itm_mirkwood_helm_d|Královská helma Temného hvozdu
itm_mirkwood_boots|Boty z Temneho hvozdu
itm_harad_tunic|Haradská tunika
itm_harad_padded|Harondorská prošívanice
itm_harad_hauberk|Harondorské brnění
itm_harad_lamellar|Haradská lamelová zbroj
itm_harad_heavy|Haradské vznešené brnění
itm_harad_skirmisher|Lehký Haradský oděv
itm_harad_archer|Haradská zbroj lučištníka
itm_black_snake_armor|Černá hadí zbroj
itm_harad_champion|Hrubý haradský oděv
itm_panther_guard|Panteří kůže
itm_harad_scale|Haradské šupinové brnění
itm_harad_tiger_scale|Haradská zbroj Tygří stráže
itm_harad_lion_scale|Haradská zbroj Lví stráže
itm_harad_dragon_helm|Haradská dračí helma
itm_harad_cav_helm_a|Harondorská jízdní helma
itm_harad_cav_helm_b|Harondorská jízdní helma
itm_black_snake_helm|Černá hadí helma
itm_harad_finhelm|Skvélá Haradská helma
itm_harad_heavy_inf_helm|Skvélá Haradská helma
itm_harad_wavy_helm|Skvélá Haradská helma
itm_harad_eaglehelm|Haradská helma Orlí stráže
itm_lion_helm|Haradská helma Lví stráže
itm_harad_pantherhelm|Haradská čapka Panteří stráže
itm_harad_khopesh|Haradský chopeš
itm_black_snake_sword|Haradský mírně zakřivený meč
itm_harad_heavy_sword|Haradský těžký meč
itm_horandor_a|Haradská šavle
itm_skirmisher_sword|Haradský harcovnický meč
itm_harad_sabre|Haradské šavle
itm_harad_mace|Hrubé Haradské kladivo
itm_far_harad_2h_mace|Hrubé Haradské obouruční kladivo
itm_harad_dagger|Haradský nůž
itm_harad_short_spear|Haradské krátké kopí
itm_harad_long_spear|Haradské kopí
itm_eagle_guard_spear|Halapartna orlí stráže
itm_harad_long_shield_a|Haradský leopardí štít
itm_harad_long_shield_b|Haradský bronzový štít
itm_harad_long_shield_c|Haradský štít slunce
itm_harad_long_shield_d|Haradský hadí štít
itm_harad_long_shield_e|Haradský hadí štít
itm_harad_shield_a|Harondorský štít
itm_harad_shield_b|Harondorský štít
itm_harad_shield_c|Harondorský štít

itm_harad_yellow_shield|Haradský štít
itm_desert_boots|Pouštní boty
itm_harad_leather_greaves|Haradske naholeniky
itm_harad_scale_greaves|Haradské boty
itm_harad_lamellar_greaves|Haradské boty
itm_khand_inf_helm_a|Khandská Helma
itm_khand_inf_helm_b|Khandská Helma
itm_khand_inf_helm_c1|Khandská helma
itm_khand_inf_helm_c2|Khandská helma
itm_khand_inf_helm_d|Khandská masková helma
itm_khand_cav_helm_a|Khandská jezdecká helma
itm_khand_cav_helm_b|Khandská jezdecká helma
itm_khand_cav_helm_c|Khanská ozdobná helma
itm_khand_helm_mask|Khandská maska
itm_khand_light|Khandská suknice
