trp_unarmed_troop|Neginkluotas karys
; trp_i6_dwarf_longaxeman_pl|Longaxe Dwarves
; trp_i3_iron_hills_warrior|Iron Hills Warrior
; trp_i3_iron_hills_warrior_pl|Iron Hills Warriors
; trp_i2_iron_hills_miner|Iron Hills Miner
; trp_i2_iron_hills_miner_pl|Iron Hills Miners
; trp_i4_iron_hills_infantry|Iron Hills Infantry
; trp_i4_iron_hills_infantry_pl|Iron Hills Infantry
; trp_i5_iron_hills_battle_dwarf|Iron Hills Battle-dwarf
; trp_i5_iron_hills_battle_dwarf_pl|Iron Hills Battle-dwarves
; trp_i6_iron_hills_grors_guard|Gror's Guard
; trp_i6_iron_hills_grors_guard_pl|Gror's Guards
; trp_i1_gon_levy|Gondor Levy
; trp_i1_gon_levy_pl|Gondor Levies
; trp_i2_gon_watchman|Gondor Watchman
; trp_i2_gon_watchman_pl|Gondor Watchmen
; trp_i3_gon_footman|Footman of Gondor
; trp_i3_gon_footman_pl|Footmen of Gondor
; trp_i4_gon_spearman|Spearman of Gondor
; trp_i4_gon_spearman_pl|Spearmen of Gondor
; trp_i5_gon_vet_spearman|Veteran Spearman of Gondor
; trp_i5_gon_vet_spearman_pl|Veteran Spearmen of Gondor
; trp_i6_gon_tower_spearman|Guard of the Fountain Court
; trp_i6_gon_tower_spearman_pl|Guards of the Fountain Court
; trp_i4_gon_swordsman|Swordsman of Gondor
; trp_i4_gon_swordsman_pl|Swordsmen of Gondor
; trp_i5_gon_vet_swordsman|Veteran Swordsman of Gondor
; trp_i5_gon_vet_swordsman_pl|Veteran Swordsmen of Gondor
; trp_i6_gon_tower_swordsman|Swordsman of the Tower Guard
; trp_i6_gon_tower_swordsman_pl|Swordsmen of the Tower Guard
; trp_c1_gon_nobleman|Gondor Nobleman
; trp_c1_gon_nobleman_pl|Gondor Noblemen
; trp_c2_gon_squire|Squire of Gondor
; trp_c2_gon_squire_pl|Squires of Gondor
; trp_c3_gon_vet_squire|Veteran Squire of Gondor
; trp_c3_gon_vet_squire_pl|Veteran Squires of Gondor
; trp_c4_gon_knight|Knight of Gondor
; trp_c4_gon_knight_pl|Knights of Gondor
; trp_c5_gon_vet_knight|Veteran Knight of Gondor
; trp_c5_gon_vet_knight_pl|Veteran Knights of Gondor
; trp_c6_gon_tower_knight|Knight of the Citadel
; trp_c6_gon_tower_knight_pl|Knights of the Citadel
; trp_a3_gon_bowman|Bowman of Gondor
; trp_a3_gon_bowman_pl|Bowmen of Gondor
; trp_a4_gon_archer|Archer of Gondor
; trp_a4_gon_archer_pl|Archers of Gondor
; trp_a5_gon_vet_archer|Veteran Archer of Gondor
; trp_a5_gon_vet_archer_pl|Veteran Archers of Gondor
; trp_a6_gon_tower_archer|Archer of the Tower Guard
; trp_a6_gon_tower_archer_pl|Archers of the Tower Guard
; trp_steward_guard|Steward's Guard
; trp_steward_guard_pl|Steward's Guards
; trp_a4_ithilien_ranger|Ranger of Ithilien
; trp_a4_ithilien_ranger_pl|Rangers of Ithilien
; trp_a5_ithilien_vet_ranger|Veteran Ranger of Ithilien
; trp_a5_ithilien_vet_ranger_pl|Veteran Rangers of Ithilien
; trp_a6_ithilien_master_ranger|Master Ranger of Ithilien
; trp_a6_ithilien_master_ranger_pl|Master Rangers of Ithilien
; trp_a6_ithilien_leader|Captain of Ithilien Rangers
; trp_a6_ithilien_leader_pl|Captains of Ithilien Rangers
; trp_i1_loss_woodsman|Woodsman of Lossarnach
; trp_i1_loss_woodsman_pl|Woodsmen of Lossarnach
; trp_i2_loss_axeman|Axeman of Lossarnach
; trp_i2_loss_axeman_pl|Axemen of Lossarnach
; trp_i3_loss_vet_axeman|Lossarnach Veteran Axeman
; trp_i3_loss_vet_axeman_pl|Lossarnach Veteran Axemen
; trp_i4_loss_heavy_axeman|Heavy Lossarnach Axeman
; trp_i4_loss_heavy_axeman_pl|Heavy Lossarnach Axemen
; trp_i5_loss_axemaster|Axemaster of Lossarnach
; trp_i5_loss_axemaster_pl|Axemasters of Lossarnach
; trp_i6_loss_leader|Captain of Lossarnach
; trp_i6_loss_leader_pl|Captains of Lossarnach
; trp_i1_pel_watchman|Pelargir Watchman
; trp_i1_pel_watchman_pl|Pelargir Watchmen
; trp_a2_pel_marine|Pelargir Marine
; trp_a2_pel_marine_pl|Pelargir Marines
; trp_a3_pel_vet_marine|Pelargir Veteran Marine
; trp_a3_pel_vet_marine_pl|Pelargir Veteran Marine
; trp_i2_pel_infantry|Pelargir Infantryman
; trp_i2_pel_infantry_pl|Pelargir Infantrymen
; trp_i3_pel_vet_infantry|Pelargir Veteran Infantryman
; trp_i3_pel_vet_infantry_pl|Pelargir Veteran Infantrymen
; trp_i6_pel_leader|Captain of Pelargir
; trp_i6_pel_leader_pl|Captains of Pelargir
; trp_a6_pel_marine_leader|Captain of Pelargir Marines
; trp_a6_pel_marine_leader_pl|Captains of Pelargir Marine
; trp_i1_lam_clansman|Clansman of Lamedon
; trp_i1_lam_clansman_pl|Clansmen of Lamedon
; trp_i2_lam_footman|Footman of Lamedon
; trp_i2_lam_footman_pl|Footmen of Lamedon
; trp_i3_lam_veteran|Veteran of Lamedon
; trp_i3_lam_veteran_pl|Veterans of Lamedon
; trp_i4_lam_warrior|Warrior of Lamedon
; trp_i4_lam_warrior_pl|Warriors of Lamedon
; trp_i5_lam_champion|Champion of Lamedon
; trp_i5_lam_champion_pl|Champions of Lamedon
; trp_c5_lam_knight|Knight of Lamedon
; trp_c5_lam_knight_pl|Knights of Lamedon
; trp_c6_lam_leader|Captain of Lamedon
; trp_c6_lam_leader_pl|Captains of Lamedon
; trp_i1_pinnath_plainsman|Plainsman of Pinnath Gelin
; trp_i1_pinnath_plainsman_pl|Plainsmen of Pinnath Gelin
; trp_c2_pinnath_rider|Rider of Pinnath Gelin
; trp_c2_pinnath_rider_pl|Riders of Pinnath Gelin
; trp_c3_pinnath_knight|Knight of Pinnath Gelin
; trp_c3_pinnath_knight_pl|Knights of Pinnath Gelin
; trp_a2_pinnath_bowman|Bowman of Pinnath Gelin
; trp_a2_pinnath_bowman_pl|Bowmen of Pinnath Gelin
; trp_a3_pinnath_archer|Archer of Pinnath Gelin
; trp_a3_pinnath_archer_pl|Archers of Pinnath Gelin
; trp_c6_pinnath_leader|Captain of Pinnath Gelin
; trp_c6_pinnath_leader_pl|Captains of Pinnath Gelin
; trp_a1_blackroot_hunter|Hunter of Blackroot Vale
; trp_a1_blackroot_hunter_pl|Hunter of Blackroot Vale
; trp_a2_blackroot_bowman|Bowman of Blackroot Vale
; trp_a2_blackroot_bowman_pl|Bowmen of Blackroot Vale
; trp_a3_blackroot_archer|Archer of Blackroot Vale
; trp_a3_blackroot_archer_pl|Archers of Blackroot Vale
; trp_i2_blackroot_footman|Footman of Blackroot Vale
; trp_i2_blackroot_footman_pl|Footmen of Blackroot Vale
; trp_i3_blackroot_spearman|Spearman of Blackroot Vale
; trp_i3_blackroot_spearman_pl|Spearmen of Blackroot Vale
; trp_a5_blackroot_shadow_hunter|Morthond Shadow Hunter
; trp_a5_blackroot_shadow_hunter_pl|Morthond Shadow Hunters
; trp_i1_amroth_recruit|Dol Amroth Recruit
; trp_i1_amroth_recruit_pl|Dol Amroth Recruits
; trp_c2_amroth_squire|Squire of Dol Amroth
; trp_c2_amroth_squire_pl|Squires of Dol Amroth
; trp_c3_amroth_vet_squire|Veteran Squire of Dol Amroth
; trp_c3_amroth_vet_squire_pl|Veteran Squires of Dol Amroth
; trp_c4_amroth_knight|Knight of Dol Amroth
; trp_c4_amroth_knight_pl|Knights of Dol Amroth
; trp_c5_amroth_vet_knight|Veteran Knight of Dol Amroth
; trp_c5_amroth_vet_knight_pl|Veteran Knights of Dol Amroth
; trp_c6_amroth_swan_knight|Swan Knight of Dol Amroth
; trp_c6_amroth_swan_knight_pl|Swan Knights of Dol Amroth
; trp_c6_amroth_leader|Captain of Dol Amroth
; trp_c6_amroth_leader_pl|Captains of Dol Amroth
; trp_lothlorien_scout|Lothlorien Scout
; trp_lothlorien_scout_pl|Lothlorien Scouts
; trp_lothlorien_veteran_scout|Lothlorien Veteran Scout
; trp_lothlorien_veteran_scout_pl|Lothlorien Veteran Scouts
; trp_lothlorien_archer|Lothlorien Archer
; trp_lothlorien_archer_pl|Lothlorien Archers
; trp_lothlorien_veteran_archer|Lothlorien Veteran Archer
; trp_lothlorien_veteran_archer_pl|Lothlorien Veteran Archers
; trp_lothlorien_master_archer|Lothlorien Master Archer
; trp_lothlorien_master_archer_pl|Lothlorien Master Archers
; trp_galadhrim_royal_archer|Galadhrim Royal Archer
; trp_galadhrim_royal_archer_pl|Galadhrim Royal Archers
; trp_galadhrim_royal_marksman|Galadhrim Royal Marksman
; trp_galadhrim_royal_marksman_pl|Galadhrim Royal Marksmen
; trp_noldorin_mounted_archer|Noldorin Mounted Archer
; trp_noldorin_mounted_archer_pl|Noldorin Mounted Archers
; trp_lothlorien_infantry|Lothlorien Infantry
; trp_lothlorien_infantry_pl|Lothlorien Infantry
; trp_lothlorien_veteran_infantry|Lothlorien Veteran Infantry
; trp_lothlorien_veteran_infantry_pl|Lothlorien Veteran Infantry
; trp_lothlorien_elite_infantry|Lothlorien Elite Infantry
; trp_lothlorien_elite_infantry_pl|Lothlorien Elite Infantry
; trp_galadhrim_royal_swordsman|Galadhrim Royal Swordsman
; trp_galadhrim_royal_swordsman_pl|Galadhrim Royal Swordsmen
; trp_lothlorien_warden|Lothlorien Warden
; trp_lothlorien_warden_pl|Lothlorien Wardens
; trp_lothlorien_veteran_warden|Lothlorien Veteran Warden
; trp_lothlorien_veteran_warden_pl|Lothlorien Veteran Wardens
; trp_galadhrim_royal_warden|Galadhrim Royal Warden
; trp_galadhrim_royal_warden_pl|Galadhrim Royal Wardens
; trp_lothlorien_standard_bearer|Lothlorien Standard Bearer
; trp_lothlorien_standard_bearer_pl|Lothlorien Standard Bearers
; trp_greenwood_scout|Greenwood Scout
; trp_greenwood_scout_pl|Greenwood Scouts
; trp_greenwood_veteran_scout|Greenwood Veteran Scout
; trp_greenwood_veteran_scout_pl|Greenwood Veteran Scouts
; trp_greenwood_archer|Greenwood Bowman
; trp_greenwood_archer_pl|Greenwood Bowmen
; trp_greenwood_veteran_archer|Greenwood Archer
; trp_greenwood_veteran_archer_pl|Greenwood Archers
; trp_greenwood_master_archer|Greenwood Veteran Archer
; trp_greenwood_master_archer_pl|Greenwood Veteran Archers
; trp_thranduils_royal_marksman|Thranduil's Royal Marksman
; trp_thranduils_royal_marksman_pl|Thranduil's Royal Marksmen
; trp_greenwood_sentinel|Greenwood Sentinel
; trp_greenwood_sentinel_pl|Greenwood Sentinels
; trp_greenwood_vet_sentinel|Greenwood Veteran Sentinel
; trp_greenwood_vet_sentinel_pl|Greenwood Veteran Sentinels
; trp_mirkwood_guardsman|Greenwood Guardsman
; trp_mirkwood_guardsman_pl|Greenwood Guardsmen
; trp_greenwood_spearman|Greenwood Infantry
; trp_greenwood_spearman_pl|Greenwood Infantry
; trp_greenwood_veteran_spearman|Greenwood Veteran Infantry
; trp_greenwood_veteran_spearman_pl|Greenwood Veteran Infantry
; trp_greenwood_royal_spearman|Greenwood Elite Infantry
; trp_greenwood_royal_spearman_pl|Greenwood Elite Infantry
; trp_thranduils_royal_swordsman|Thranduil's Royal Swordsman
; trp_thranduils_royal_swordsman_pl|Thranduil's Royal Swordsmen
; trp_thranduils_spearman|Thranduil's Royal Spearman
; trp_thranduils_spearman_pl|Thranduil's Royal Spearmen
; trp_greenwood_standard_bearer|Greenwood Standard Bearer
; trp_greenwood_standard_bearer_pl|Greenwood Standard Bearers
; trp_rivendell_scout|Rivendell Scout
; trp_rivendell_scout_pl|Rivendell Scouts
; trp_rivendell_veteran_scout|Rivendell Veteran Scout
; trp_rivendell_veteran_scout_pl|Rivendell Veteran Scouts
; trp_rivendell_sentinel|Rivendell Sentinel
; trp_rivendell_sentinel_pl|Rivendell Sentinels
; trp_rivendell_veteran_sentinel|Rivendell Veteran Sentinel
; trp_rivendell_veteran_sentinel_pl|Rivendell Veteran Sentinels
; trp_rivendell_elite_sentinel|Rivendell Elite Sentinel
; trp_rivendell_elite_sentinel_pl|Rivendell Elite Sentinels
; trp_rivendell_guardian|Rivendell Guardian
; trp_rivendell_guardian_pl|Rivendell Guardians
; trp_rivendell_infantry|Rivendell Infantry
; trp_rivendell_infantry_pl|Rivendell Infantry
; trp_rivendell_veteran_infantry|Rivendell Veteran Infantry
; trp_rivendell_veteran_infantry_pl|Rivendell Veteran Infantry
; trp_rivendell_elite_infantry|Rivendell Elite Infantry
; trp_rivendell_elite_infantry_pl|Rivendell Elite Infantry
; trp_rivendell_royal_infantry|Rivendell Royal Infantry
; trp_rivendell_royal_infantry_pl|Rivendell Royal Infantry
; trp_rivendell_cavalry|Rivendell Cavalry
; trp_rivendell_cavalry_pl|Rivendell Cavalry
; trp_knight_of_rivendell|Knight of Rivendell
; trp_knight_of_rivendell_pl|Knights of Rivendell
; trp_rivendell_standard_bearer|Rivendell Standard Bearer
; trp_rivendell_standard_bearer_pl|Rivendell Standard Bearers
; trp_dunedain_scout|Dunedain Scout
; trp_dunedain_scout_pl|Dunedain Scouts
; trp_dunedain_trained_scout|Dunedain Tracker
; trp_dunedain_trained_scout_pl|Dunedain Trackers
; trp_arnor_man_at_arms|Arnor Man at Arms
; trp_arnor_man_at_arms_pl|Arnor Men at Arms
; trp_arnor_master_at_arms|Arnor Master at Arms
; trp_arnor_master_at_arms_pl|Arnor Masters at Arms
; trp_high_swordsman_of_arnor|High Swordsman of Arnor
; trp_high_swordsman_of_arnor_pl|High Swordsmen of Arnor
; trp_arnor_horsemen|Arnor Horseman
; trp_arnor_horsemen_pl|Arnor Horsemen
; trp_knight_of_arnor|Knight of Arnor
; trp_knight_of_arnor_pl|Knights of Arnor
; trp_dunedain_ranger|Dunedain Ranger
; trp_dunedain_ranger_pl|Dunedain Rangers
; trp_dunedain_veteran_ranger|Dunedain Veteran Ranger
; trp_dunedain_veteran_ranger_pl|Dunedain Veteran Rangers
; trp_dunedain_master_ranger|Dunedain Master Ranger
; trp_dunedain_master_ranger_pl|Dunedain Master Rangers
; trp_i1_rohan_youth|Rohan Youth
; trp_i1_rohan_youth_pl|Rohan Youths
; trp_i2_guardsman_of_rohan|Guardsman of Rohan
; trp_i2_guardsman_of_rohan_pl|Guardsmen of Rohan
; trp_i3_footman_of_rohan|Footman of Rohan
; trp_i3_footman_of_rohan_pl|Footmen of Rohan
; trp_i4_veteran_footman_of_rohan|Veteran Footman of Rohan
; trp_i4_veteran_footman_of_rohan_pl|Veteran Footmen of Rohan
; trp_i5_elite_footman_of_rohan|Elite Footman of Rohan
; trp_i5_elite_footman_of_rohan_pl|Elite Footmen of Rohan
; trp_i6_footman_guard_of_rohan|Folcwine Guard of Rohan
; trp_i6_footman_guard_of_rohan_pl|Folcwine Guards of Rohan
; trp_i6_frealaf_raider|Frealaf Raider
; trp_i6_frealaf_raider_pl|Frealaf Raiders
; trp_i5_raider_of_rohan|Raider of Rohan
; trp_i5_raider_of_rohan_pl|Raiders of Rohan
; trp_i6_warden_of_methuseld|Warden of Meduseld
; trp_i6_warden_of_methuseld_pl|Wardens of Meduseld
; trp_ac3_skirmisher_of_rohan|Skirmisher of Rohan
; trp_ac3_skirmisher_of_rohan_pl|Skirmishers of Rohan
; trp_ac4_veteran_skirmisher_of_rohan|Veteran Skirmisher of Rohan
; trp_ac4_veteran_skirmisher_of_rohan_pl|Veteran Skirmishers of Rohan
; trp_ac5_elite_skirmisher_of_rohan|Elite Skirmisher of Rohan
; trp_ac5_elite_skirmisher_of_rohan_pl|Elite Skirmishers of Rohan
; trp_ac6_skirmisher_guard_of_rohan|Thengel Guard of Rohan
; trp_ac6_skirmisher_guard_of_rohan_pl|Thengel Guards of Rohan
; trp_c4_lancer_of_rohan|Lancer of Rohan
; trp_c4_lancer_of_rohan_pl|Lancers of Rohan
; trp_c5_elite_lancer_of_rohan|Elite Lancer of Rohan
; trp_c5_elite_lancer_of_rohan_pl|Elite Lancers of Rohan
; trp_c6_lancer_guard_of_rohan|Brego Guard of Rohan
; trp_c6_lancer_guard_of_rohan_pl|Brego Guards of Rohan
; trp_c6_king_s_man_of_rohan|King's Guard
; trp_c6_king_s_man_of_rohan_pl|King's Guards
; trp_c2_squire_of_rohan|Squire of Rohan
; trp_c2_squire_of_rohan_pl|Squires of Rohan
; trp_c3_rider_of_rohan|Rider of Rohan
; trp_c3_rider_of_rohan_pl|Riders of Rohan
; trp_c4_veteran_rider_of_rohan|Veteran Rider of Rohan
; trp_c4_veteran_rider_of_rohan_pl|Veteran Riders of Rohan
; trp_c5_elite_rider_of_rohan|Elite Rider of Rohan
; trp_c5_elite_rider_of_rohan_pl|Elite Riders of Rohan
; trp_c6_rider_guard_of_rohan|Eorl Guard of Rohan
; trp_c6_rider_guard_of_rohan_pl|Eorl Guards of Rohan
; trp_i6_2h_guard_of_rohan|Helm Guard of Rohan
; trp_i6_2h_guard_of_rohan_pl|Helm Guards of Rohan
; trp_dismounted_veteran_skirmisher_of_rohan|Veteran Skirmisher of Rohan
; trp_dismounted_veteran_skirmisher_of_rohan_pl|Veteran Skirmishers of Rohan
; trp_dismounted_elite_skirmisher_of_rohan|Elite Skirmisher of Rohan
; trp_dismounted_elite_skirmisher_of_rohan_pl|Elite Skirmishers of Rohan
; trp_dismounted_thengel_guard_of_rohan|Thengel Guard of Rohan
; trp_dismounted_thengel_guard_of_rohan_pl|Thengel Guards of Rohan
; trp_harad_desert_warrior|Harad Levy
; trp_harad_desert_warrior_pl|Harad Levies
; trp_harad_infantry|Harad Light Infantry
; trp_harad_infantry_pl|Harad Light Infantry
; trp_harad_veteran_infantry|Harad Spearman
; trp_harad_veteran_infantry_pl|Harad Spearmen
; trp_harad_tiger_guard|Tiger Guard
; trp_harad_tiger_guard_pl|Tiger Guards
; trp_harad_swordsman|Harad Swordsman
; trp_harad_swordsman_pl|Harad Swordsmen
; trp_harad_lion_guard|Lion Guard
; trp_harad_lion_guard_pl|Lion Guards
; trp_harad_skirmisher|Harad Hunter
; trp_harad_skirmisher_pl|Harad Hunters
; trp_harad_archer|Harad Archer
; trp_harad_archer_pl|Harad Archers
; trp_harad_eagle_guard|Eagle Guard
; trp_harad_eagle_guard_pl|Eagle Guards
; trp_harondor_scout|Harondor Scout
; trp_harondor_scout_pl|Harondor Scouts
; trp_harondor_rider|Harondor Rider
