qstr_Received_{reg0}_dama|受到{reg0}点伤害。
qstr_Faction_Side:^^Campa|派系所属阵营：^^战争难度*：^^初始战场：^^元帅：^^敌人：^^
qstr_Campaign_Difficulty_|战争难度取决于派系开始时的势力值，战区的敌军，^还有派系兵种树和兵种装备。
qstr_Rallies:|集合
qstr_View_Keybinds__Press|绑定鍵(按下想要的绑定鍵)
qstr_What_do_you_fight_fo|你为何而战?
qstr_Go_Back...|返回
qstr_Learn_about_the_diff|了解中土的不同派系
qstr_The_DAWN_of_a_New_Er|新纪元的黎明
qstr_The_TWILIGHT_of_Man|人类的暮光
qstr_Select_your_Race?|选择你的种族
qstr_Man|人类
qstr_Elf|精灵
qstr_Dwarf|矮人
qstr_Whom_Do_You_Serve?|你向何人效忠？
qstr_SAURON_of_Mordor_The|魔多的索伦，众戒之王
qstr_SARUMAN_of_Isengard_|艾辛格的萨鲁曼，白袍巫师
qstr_an_ORC^_serving_the_|半兽人，索伦之眼的奴仆
qstr_an_URUK^_the_new_bre|强兽人，半兽人的新品种
qstr_a_MAN^_subjugated_by|人类，臣服于索伦
qstr_an_ORC^_serving_the_W|半兽人，白手奴仆
qstr_one_of_the_URUK_HAI^|强兽人，^繁衍于艾辛格
qstr_a_MAN_of_Dunland^_th|登兰德人，来自西部平原
qstr_Click_the_center_but|单击中心按钮切换派系 ^单击头像以查看详细信息
qstr_Level:_{reg3}^Health|等级：{reg3} ^生命：{reg4}
qstr_Attributes|属性
qstr_STR^AGI^INT^CHA|力^敏^智^魅
qstr_Skills|能力
qstr_Ironflesh^Power_Stri|铁骨^强击^强掷^强弓^盾防^跑动^骑术^骑射
qstr_Proficiencies|熟练度
qstr_1H_Weapons^2H_Weapon|单手武器^双手武器^长杆武器^弓箭^弩^投掷
qstr_Equipment|装备
qstr_The_Last_Days_Mod_Op|最后之日Mod选项
qstr_War_Starts_at_Level:|战争始于等级：
qstr_Restrict_Player_Equi|不能装备
qstr_Battle_Formations_an|战斗阵型和AI：
qstr_Native|本地
qstr_TLD_FormAI__Original|TLD AI（原始）
qstr_TLD_New_FormAI|TLD新AI
qstr_Siege_AI:__|攻城AI：
qstr_Basic__better_perfor|基础（电脑性能更好）
qstr_Advanced|高级
qstr_Campaign_difficulty:|战役难度：
qstr_Hard|困难
qstr_Default|默认
qstr_Easy|简单
qstr_Cutscenes:__|过场动画: 
qstr_Injuries_for_compani|同伴会受伤: 
qstr_Permanent_death_for_|领主和同伴永久死亡：
qstr_Permanent_death_for_p|玩家（就是你！）永久死亡：
qstr_Battle_morale_system|士气系统：
qstr_Animal_ambushes:__|动物伏击: 
qstr_Fallen_rider_damage_|掉落伤害显示:
qstr_No_Messages|无消息
qstr_Player_damage_only|只受到玩家伤害
qstr_All_Messages|所有消息
qstr_Preferred_Camera_Mod|首选相机模式：
qstr_Default_Camera|默认相机
qstr_Free_Mode_Custom_Cam|自由模式自定义相机
qstr_Fixed_Over_The_Shoul|固定相机—肩膀
qstr_Prevent_AI_from_taki|防止电脑采取防御措施
qstr_Brighter_Nights:__|夜晚更亮：
qstr_Done|完成
qstr_Gameplay_Tweaks|游戏调整…
qstr_Beta_Formations_Twea|Beta 阵型调整
; qstr_Set_to_Native_if_you|Set to Native if you encounter any types of AI problems during battle.
; qstr_Disable_cutscenes_if|Disable cutscenes if you encounter any crashes at the start of the war.
; qstr_Campaign_Difficulty_a|Campaign Difficulty affects abundance of volunteers, lord party size, and strength income for allied factions.
qstr_War_Will_Start_at_Le|战争始于等级：{reg0}
; qstr_Be_aware_that_many_q|Be aware that many quests and campaign mechanics scale with player level. Increasing this setting will give you more time to prepare, but will make the war unfold quicker.
qstr_Troop_Tree|兵种树
qstr__Click_on_a_unit_for|（点击一个士兵来查看具体信息）
qstr_Weapons|武器
qstr_Armors|护甲
qstr_Others|其他
qstr_F4___Complex_formati|F4：复杂阵型
qstr_F7___Memorize_div._p|F7—储存战场部署
qstr_F8___Default_divisio|F8—默认分队部署
qstr_F4___Ranks|F4 - 队形
qstr_F5___Shield_Wall|F5 - 盾墙
qstr_F6___Wedge|F6—组成楔形阵
qstr_F7___Square|F7 - 方阵
qstr_F8___No_Formation|F8: 无阵型
qstr_Extended_Formations_|扩展阵型和AI选项
qstr_Put_player_in_divisi|把玩家放入分队：
qstr_None|无
qstr_Army_rotates_to_face|部队调整到面向敌军中央
qstr_Prevent_AI_from_takin|防止电脑采取防御措施
qstr_AI_Controls_Troops_W|当玩家倒下的时候AI控制部队：
qstr_You_gained_{reg0}_Re|你获得了{s0}的{reg0}资源点
qstr_You_lost_{reg0}_Reso|你失去了{s0}的{reg0}资源点
qstr_{s24}:|{s24}：
qstr_Great_Hope_of_{s5}|{s5}的看重
qstr_Hope_of_{s5}|{s5}的期待
qstr_Indispensable_Ally_o|{s5}的生死之交
qstr_Faithful_Ally_of_{s5|{s5}的断金之交
qstr_Trusted_Friend_of_{s|{s5}的金兰之交
qstr_Close_Friend_of_{s5}|{s5}的胶漆之交
qstr_Friend_of_{s5}|{s5}的肺腑之交
qstr_Familiar_to_{s5}|{s5}的泛泛之交
qstr_Known_to_{s5}|{s5}的点头之交
qstr_Stranger_to_{s5}|{s5}的萍水之交
qstr_Great_Enforcer_of_{s|{s5}计划中不可缺失的一环
qstr_Enforcer_of_{s5}|{s5}的助力
qstr_Important_Ally_of_{s|{s5}的帮凶
qstr_Ally_of_{s5}|{s5}的下仆
qstr_Accomplice_of_{s5}|{s5}的利剑
qstr_Useful_Tool_of_{s5}|{s5}的工具
qstr_Servant_of_{s5}|{s5}的奴仆
qstr_Unknown_to_{s5}|{s5}的路人
qstr_You_have_been_{reg1?|你已经 {reg1?晋升:降职}为{s24} ({reg0})！
qstr_You_{reg1?earned:los|你在主派系{s11}{reg1?获得:失去}了{reg11}军功{reg12?和{reg12}影响力:}。
qstr_You_{reg1?earned:lost|你在{s11}{reg1?获得:失去}了{reg11}军功{reg12?和{reg12}影响力:}。
qstr_You_spent_{reg10}_of|你花费了{s1}的{reg10}影响力,你还剩{reg11}影响力。
qstr_Troop_upkeep:|部队维护：
qstr_{s11}_and_{s10}|{s11}和{s10}
qstr_their|他们的
qstr_its|它的
qstr_[no_upkeep_costs]|[无维护费]
qstr_Short_of_Resource_Po|资源点不足！
qstr_{s10}_will_soon_reas|{s10}很快就会从你的部队中调走一些{s12}！
qstr_Superior_orders_from|来自{s11}的上级命令要求重新分配士兵：
qstr_{reg12}_{s10}_left_t|{reg12}{s10}离开了队伍！
qstr_Fangorn_claimed_{reg|你的部队于法贡森林中死亡{reg0}人、受伤{reg1}人!
qstr_You_were_wounded_in_|你在法贡森林受伤
qstr_{s1}_of_{s3}_was_def|{s3}的{s1}在战场上被击败了
qstr_{s2}_have_razed_{s1}|{s1}已经被{s2}夷为平地！
qstr_Left_for_dead_but_mi|被扔下等死却奇迹般的生还：{reg1?{reg1}次{reg2?:}:从来没有过}
qstr_1_Res.Pt__{s2}_|1资源点({s2})
qstr_{reg1}_Res.Pts__{s2}|{reg1}资源点({s2})
qstr_+30_to_Party_Morale|部队士气 +30
qstr_+20_to_Party_Morale|部队士气 +20
qstr_+1_to_Riding_Skill|骑术等级+1
qstr_during_battles|在战斗中
qstr_+1_to_Pathfinding|向导等级+1 
qstr_+2_to_Wound_Treatmen|全队疗伤+2
qstr_+2_to_Surgery__Party|全队手术+2
qstr_+2_to_Pathfinding__P|全队向导+2
qstr_Use_from_Camp_Menu|从营地菜单使用
qstr_Use_from|使用
qstr_Action_Menu|动作菜单
qstr_Bonus_to_Wound_Treat|奖励全队疗伤技能
qstr_Bonus_to_Surgery__Pa|奖励全队手术技能
qstr_Bonus_to_First_Aid__|奖励全队急救技能
qstr_+1_to_Weapon_Mastery|武器掌握等级+1 
qstr_+1_to_Wound_Treatmen|疗伤等级+1 
qstr_+1_to_Tactics|战术等级+1 
qstr_+1_to_Power_Strike|强击等级+1 
qstr_+1_to_Strength|力+1
qstr_+1_to_Agility|敏+1
qstr_+1_to_Leadership|统+1
qstr_+1_to_Wildcraft|自然力+1
qstr_+1_to_Tracking|+1 to Tracking
qstr_+1_to_Athletics|跑动等级+1 
qstr_when_equipped|装备时
qstr_+1_to_Power_Draw|强弓等级+1
qstr_The_record_of_Balin_|失败的巴林远征队的记录。
qstr_Who_might_be_interes|有谁可能对此感兴趣？
qstr_Bonus_to_Shield_Skil|奖励盾防技能
qstr_Turns_nature_to_your|【装备时】你与自然融为一体
qstr_when_equipped.__Effe|（效果依荒野求生技能的级别而定）
qstr_Bonus_to_Power_Strik|奖励强击技能
qstr_+1_to_Trainer|教练等级+1
qstr_Recruits_Tribal_Orcs|招募部落半兽人
qstr_rally|集结
qstr_rallies|集结
qstr_+{reg1}_{s3}_in_batt|在战斗中 +{reg1} {s3}
qstr_+1_to_Charisma|魅+1
qstr_Call_Reinforcements|呼叫增援
qstr__Effect_scales_with_|（效果依力量和魅力属性而定）
qstr_+1_to_First_Aid|急救等级+1 
qstr_+1_to_Surgery|手术等级+1
qstr_+1_to_Intelligence|智力属性+1
qstr_+2_to_Surgery|手术等级+2
qstr_+1_to_Riding|骑术技能等级+1
qstr_+1_to_Mounted_Archer|骑射技能等级+1
qstr_Bonus_to_Riding|Bonus to Riding
qstr_when_equipped.__Effec|when equipped. (Effect scales with Strength)
qstr_Orcs:_+1_Riding_Requ|Orcs: +1 Riding Requirement
qstr_+1_to_Prisoner_Mgmt|俘虏管理等级+1 
qstr_+2_to_Tactics|战术等级+2
qstr_+1_Intelligence|智力属性+1
qstr_+{reg1}_to_Spotting|侦查技能等级+{reg1}
qstr__Scales_with_Wildcra|（规模与荒野求生技能等级相关）
qstr_Strengthens_all_Hero|对队中全体英雄有效
qstr_+2_to_First_Aid__Par|急救+2
qstr_lead_more_Uruks|能够统御更多强兽人
qstr_+1_to_Power_Throw|+1 to Power Throw
qstr_Recruit_Black_Numeno|可从各地招募黑暗努曼诺尔人
qstr__Scales_with_Charism|（效果依魅力属性而定，仅对人类种族玩家生效）
qstr_+1_to_Spotting|侦查技能等级+1
qstr_+2_to_Weapon_Master|武器掌握+2
qstr_+2_to_First_Aid|急救+2
qstr_Less_Dunnish_upkeep|缺乏丹尼斯维护
qstr_Less_Wargs_upkeep|缺乏座狼维护
qstr_Light_Armor|轻甲
qstr_Bonus_to_Strength__P|奖励力量属性（仅玩家）
qstr_Lead_more_Orcs|统御更多半兽人
; qstr_Can_scare_horses|Can scare horses
qstr_+{reg1}_to_Party_Mor|部队士气 +{reg1}
qstr_Range:_{reg55}|射程：{reg55}
qstr_Dwarves|矮人
qstr_Humans_and_Elves|人类和精灵
qstr_Orcs|半兽人
qstr_Uruks_and_Uruk_Hai|强兽人
qstr_Humans_Uruks_and_Uru|人类和强兽人
qstr_Humans|人类
qstr_This_item_can_be_use|{s2}可用
qstr_Do_you_want_to_disem|你想上岸吗？
qstr_Move_here|移动到这里
qstr_View_notes|查看笔记
qstr_Looted_your_items|获取战利品
qstr_nothing|没什么
qstr_Good|好
qstr_Med|中
qstr_Bad|差
qstr_You_gained_{reg84}_e|你因自己的智力属性获得{reg84}点经验。
qstr_You_gained_{reg84}_w|你因自己的敏捷属性额外获得{reg84}熟练点。
qstr_{reg4}_killed_{reg5}|{reg4}被杀，{reg5}受伤，{reg6}被击溃
qstr_{reg4}_killed_{reg5}_|{reg4}被杀，{reg5}受伤
qstr_{reg4}_killed_{reg5}_r|{reg4}被杀，{reg5}被击溃
qstr_{reg4}_wounded_{reg5|{reg4}受伤，{reg5}被击溃
qstr_killed|被杀
qstr_routed|被击溃
qstr_wounded|受伤
qstr_{s0}^TOTAL:_{reg3}__|{s0}^总计: {reg3} ({s2})
qstr_^None|^无
qstr_near_the_Great_East_|东方大道（远古矮人横穿伊利雅德所建的道路）的不远处
qstr_near_what_is_left_of|旧林路（远古矮人横穿幽暗密林所建的道路）遗迹的不远处
qstr_close_to_the_Hand_sh|萨鲁曼白手标记的附近，指着奥桑克塔的方向
qstr_in_sight_of_the_maje|能看到米那斯提力斯白色崇峻城墙的地方
qstr_in_sight_of_Edoras_t|在看得到伊多拉斯—洛汗首都的地方
qstr_in_sight_of_the_Horn|在看得到号角堡—洛汗伟大要塞的地方
qstr_in_sight_of_Dol_Amro|在看得到多尔安罗斯—贝尔法拉斯之王所在的地方
qstr_in_sight_of_the_Mora|在看得到魔拉南，魔多的黑门的地方
qstr_in_sight_of_Dol_Guld|在看得到多尔哥多—索伦的北方要塞的地方
qstr_on_the_green_pasture|在比翁之家周围的绿茵牧场和繁花似锦的草地上
qstr_on_the_shores_of_Lak|在镜影湖湖岸，靠近摩瑞亚东大门的地方
qstr_on_the_shores_of_the|在长湖湖岸，看得到那座湖城—长湖镇的地方
qstr_near_the_coast_of_Go|靠近刚铎的海岸。你可以听到遥远的海浪和海鸥鸣叫声
qstr_in_the_outskirts_of_|奥斯吉力亚斯的郊外，刚铎的前首都
qstr_in_sight_of_the_entr|能看到矮人孤山堡垒的地方
qstr_in_sight_of_the_dark|看得见艾辛格奥桑克黑塔的地方
qstr_near_the_Old_Ford_wh|靠近老渡口（旧林路横跨安都因河）的地方
qstr_near_a_big_ford_cros|靠近{s15}河对岸的大渡口
qstr_near_a_small_ford_cr|靠近{s15}河对岸的小渡口
qstr_Battle_Advantage_=__{|战 场 优 势 ={reg0}。"
qstr_{s9}_wants_you_to_re|{s9}希望你能够在接到进一步的指令以前跟着他的部队前进。
qstr__Being_Raided_|(被掠夺中)
qstr__Looted_|(被掠夺)
qstr__Under_Siege_|(被包围)
qstr_{s3}_is_no_longer_un|{s3}不再陷入包围了。
qstr_Enemies_spotted_near|{s1}附近发现敌踪。
qstr_Your_relation_with_{|你与{s1}的关系提升了。
qstr_Your_relation_with_{s|你与{s1}的关系恶化了。
qstr_{s1}_gained_faction_|{s1}获得势力值！
qstr_{s1}_lost_faction_st|{s1}失去势力值！
qstr_{s2}_{reg3?was:is_cu|{s2}{reg3?曾:正}在{s3}。
qstr_{s2}_{reg3?was:is}_t|{s2}{reg3?已经:正在}赶去{s3}，而{reg4?她:他}{reg3?之前:应该}在{s4}{reg3?:附近}。
qstr_{s2}_{reg3?was:is}_i|{s2}{reg3?:正}在野外某地，而{reg4?她:他}{reg3?之前:应该}在{s3}{reg3?:附近}。
qstr_{s2}_{reg3?was:is}_b|{s2}{reg3?曾:正}被囚禁在{s3}。
qstr_{s2}_{reg3?was:has_b|{s2}{reg3?曾:已}被{reg4?她的:他的}敌人俘虏。
qstr_{reg3?{s2}_s_locatio|{reg3?{s2}的位置未明:我不知道{s2}在哪里}。
qstr_{s6}_has_joined_your|{s6}加入了你的部队
qstr_elven|精灵
qstr_dwarven|矮人
qstr_orc|半兽人
qstr_uruk|强兽人
qstr_uruk_hai|强兽人
qstr_trollish|食人妖
qstr_man|人类
qstr_riding|骑行中
qstr_marching|行军中
qstr_charging|冲锋中
qstr_We_know_this_is_your|我们知道这里是你的领土，{playername}.^相信我们！我们来这里是来对付我们共同的敌人的。
qstr_I_trust_you._{s20}_a|我相信你。{s20}与{s21}应该是相互信任的朋友
qstr_There_is_wisdom_in_y|你的话语中饱含智慧，{playername}。
qstr_Why_should_I?_Better|我为什么要听你的？你最好马上离开{s20}的土地！
qstr_We_will_go_in_peace_|我们会在完成任务后安静的离开；至于任务是什么？请容我保密。
qstr_Is_this_your_land_{p|{playername}，这就是你的地方？闻起来真是糟透了。稍安勿躁！稍安勿躁！我们来{s20}只是在执行我们共同主人的命令而已。
qstr_Yes_go_on_do_whateve|好吧，你们继续，{s22}的命令不容置疑。
qstr_Of_course.|当然。
qstr_I_don_t_like_this._W|我可不喜欢这样。是什么原因让你从{s21}大老远跑过来？
qstr_Do_you_fear_us_{play|{s20}的{playername}，你看起来很惧怕我们？嗯，你在{s22}面前究竟隐藏了什么？^^别惹我们，就没人会受伤。
qstr_It_s_a_servant_of_{s|这是{s22}之仆。畏惧{s23}吧，{playername}！
qstr_Our_allies_are_you?_|我们的盟友？我想你可以过去了。
qstr_And_we_shall_not_kil|这次我们就先放过你，下次就不一定咯。
qstr_This_land_belongs_to|此地属于{s20}...与{s23}无关。
qstr_We_will_stay_as_long|我们将在这里等到吾主命令截止！你应该感谢命运，我们不是专程来找你的！
qstr_You_wear_the_colors_|你戴着{s20}的纹饰。你在{s21}做什么？^回答我！
qstr_We_are_pursuing_our_|我们在追杀一队敌军，他们也是你的敌人！
qstr_Maybe._Or_maybe_you_|也许吧。但你也可能是名间谍。^返回你的驻地，来自{s20}的士兵。
qstr_We_are_friends_of_{s|我们是{s21}的朋友。
qstr_Time_will_tell_if_yo|时间会证明你所言之事的真假。目前我们很难分清敌我。
qstr_What_are_you_doing_h|你在{s21}干什么？来自{s20}废物！这里是我们的地盘！不是你的！
qstr_You_dare_question_di|你在质疑{s23}的命令吗？
qstr_Guess_not._But_I_sti|也许吧，但我依旧不喜欢你在这附近乱晃。我会盯着你的，{s20}的{playername}
qstr_None_of_your_busines|与你无关，渣滓！
qstr_*growls*^You_should_|*吼～*^，为我们的主人而战你应该感到万分荣幸，否则等着你的就是我们的大军。
qstr_What_are_you_doing_s|你跑到这么远的地方做什么？{s22}的奴仆！{s23}才是这里的主人！
qstr_Quiet!_I_didn_t_came|安静！我不是为你而来。至少这次不是。
qstr_And_I_ve_orders_to_l|我已经命令让你通过这里，仅此一次而已。
qstr_None_of_your_business|与你无关。
qstr_You_slaves_of_{s22}_|你这个{S22}的奴仆真是弱的可以！有我们做你的盟友真是捡了天大的便宜……
qstr_Look_whom_we_meet_so|瞧瞧我们碰见了谁！来自 {s20}的士兵！这是好消息呢？还是坏消息呢？
qstr_{s20}_and_{s21}_figh|{s20}和{s21}为共同的理想而战。在这片充满敌意的土地上我们应该同仇敌忾。
qstr_In_these_dark_times_|在这个黑暗的时代，每个人都自身难保，{playername}。但我依旧希望你能一路平安。
qstr_Neither_good_nor_bad|既不好也不坏，我们的事情由我们自己搞定。
qstr_Everybody_on_his_way|每个人都有自己的路，再会！
qstr_What_are_you_trying_|你想干什么？{s20}废物！偷我们的战利品？
qstr_Ha!_Soon_there_will_|哈，很快我们就能吃香喝辣啦！
qstr_Yes._Unless_you_get_|没问题，愿望在你死后就会实现！
qstr_You_don_t_get_any_sp|死后可没有东西拿，来自{s21}的废物！
qstr_Is_that_a_threat?_Be|你是在威胁我吗?你该庆幸我们周围还有敌军。不然下一个被宰的就是你了。
qstr_The_enemy_is_upon_us|敌人正冲向我们！^
qstr_They_are_upon_us!_^|他们正冲向我们！^
qstr_{playername}_and_{hi|{playername}和{his/her}手下的一帮{s18}乌合之众正冲向我们！^
qstr_ORCS!_ORCS!|半兽人！是半兽人！
qstr_ORCS!_ORCS!_Fight_fo|半兽人！是半兽人！为你的生命而战！
qstr_Elven_ghosts!|精灵亡魂！
qstr_Here_they_come!_Hold|他们来了！保持队形！
qstr_We_are_under_attack!|我们正遭受攻击！
qstr_Horse_people!_The_ho|骠骑之民！是骠骑之民！他们正冲向我们！
qstr_Men_from_the_White_C|来自白城的人类？来吧！把他们送入死亡！
qstr_Death_to_men!|去死吧，人类！
qstr_Kill_the_maggots!|干掉这些渣滓！
qstr_Death_to_traitors_of|去死吧，邪眼的叛徒！
qstr_Death_to_traitors_of_|去死吧，白手的叛徒!
qstr_{s14}Kill_them_all!_|{s14}全部杀光！不留活口！
qstr_Tonight_we_feast_on_|今夜让我们踩着{s15} 的尸骨尽情狂欢吧！
qstr_Gharr!_Kill!_Kill!_K|咕啊！杀！杀！杀！
qstr_Slaughter_these_half|宰了这些半身人！
qstr_Fear_no_elven_ghosts|别怕这些精灵亡魂！
qstr_{s14}Double_rations_|{s14}斩首最多者奖赏翻倍！
qstr_{s14}Double_rations_t|{s14}斩下{s15}首级最多者奖赏翻倍！
qstr_{s14}Kill_these_hors|{s14}干掉这些马贼！
qstr_Kill_them_all!_Take_|干掉他们！夺回属于我们的一切！
qstr_Tonight_there_will_b|今夜{s16}的敌人又要少一个了！
qstr_Baruk_Khazd!_Khazd_a|Baruk Khazâd！Khazâd ai-mênu！（矮人战吼：矮人的战斧啊！矮人向你冲来了！）
qstr_{s14}Riders_of_Rohan|{s14}洛汗的骑兵们！铭记你为何而战！
qstr_{s14}More_{s19}heads|{s14}黑门又要有更多的{s19}头颅来装饰啦！
qstr_The_Wise_Master_shal|智慧的主人（萨鲁曼）将会很高兴听到{playername}已经挂掉这件事！
qstr_{s14}Now_we_will_put|{s14}我们将结束这些秽物的痛苦。
qstr_{s14}Today_we_shall_|{s14}今天我们将与瑞文戴尔的敌人公平战斗。
qstr_All_who_enter_Mirkwo|所有带着恶意进入幽暗密林之人都将永埋于此！
qstr_Men_of_{s16}_the_ene|{s16}的子民，敌人就在眼前！为你们的家园而战！
qstr_Men_of_{s16}_charge!|{s16}的子民，冲锋！为你们的家园而战！
qstr_{s14}Grind_their_bod|{s14}将他们碾碎！
qstr_{s14}Dwarves_or_men_|{s14}矮人和人类都及不上我等的凶猛！
qstr_{s14}Elves_or_men_th|{s14}精灵和人类都及不上我等的凶猛！
qstr_{s14}Flesh_to_shatte|{s14}躯体将碎，喉咙将断，鲜血将撒！
qstr_Put_on_the_masks_of_|战士们，将面甲带好！今天，{s18}将把死亡带给敌人。
qstr_They_seek_the_tempes|他们渴求风暴？好！他们将被满足！战士们，准备战斗！
qstr_Draw_your_weapons_me|战士们，拔出你的武器！我们将把风暴带给敌人！
qstr_Orcs_of_{s16}_get_re|{s16}的兽人，准备好！有几个头颅在等着你呢！
qstr_These_friend_of_elve|这些精灵的朋友将倒在我们的刀下！
qstr_These_Elves_will_fal|这些精灵将倒在我们的刀下！
qstr_Raahh!_Draw_your_wea|啊哈！拔出你的武器，{s16}的渣滓们！今晚我们将在{s15}的尸骨上狂欢！
qstr_Rha!_{s14}More_{s15}|吼啊！{s14}更多的{s15}尸体将在我的脚下堆积！
qstr_Slaughter_these_puny|干掉这些弱小的{s18}窃贼！破家灭门，一个不留！
qstr_Death_to_the_trespas|{s16}领土的入侵者，给我去死吧！
qstr_CHARGE!_Let_s_clear_|冲锋！让我们消灭这群来自{s17}的{s18}{s19}渣滓！
qstr_{s14}Now_that_{s19}s|{s14}让{s19}渣滓尝尝熊人的怒火吧！
qstr_Attack!|攻击！
; qstr_You_are_attacked_by_|You are attacked by a group of bandits!
qstr_Holding|坚守中
qstr_Following|跟随中
qstr_Charging|冲锋中
qstr_Advancing|前进中
qstr_Falling_Back|退后中
qstr_Standing_Closer|聚拢中
qstr_Spreading_Out|散开中
qstr_Standing|站立中
qstr_N/A|不适用
qstr_Free|自由行动
qstr_Any_Weapon|任意武器
qstr_Blunt_Weapons|钝击武器
qstr_Infantry__{reg1}_|步兵({reg1})
qstr_Archers__{reg2}_|射手({reg2})
qstr_Cavalry__{reg3}_|骑兵({reg3})
qstr_Given_by:_{s62}|给予人：{s62}
qstr_Given_on:_{s60}|开始于：{s60}
qstr_You_have_{reg0}_days|你还有{reg0}天来完成这个任务。
qstr_This_quest_has_been_|任务终止。与{s59}谈话以结束任务。
qstr_This_quest_has_been_s|任务成功完成。与{s59}谈话以索取报酬。
qstr_This_quest_has_faile|任务失败。与{s59}谈话以解释情况。
qstr_At_the_time_quest_wa|接受任务时：^{s1}
qstr_{s7}_and_{s8}|{s7}和{s8}
qstr_{s7}_{s8}|{s7}，{s8}
qstr_noone|没有人
qstr_{s9}_and_{s10}|{s9}和{s10}
qstr_{s9}_{s10}|{s9}，{s10}
qstr_no_one|没有人
qstr_{s11}_and_{s12}|{s11}和{s12}
qstr_{s11}_{s12}|{s11}，{s12}
qstr_{s5}_is_ruled_by_{s6|{s5}由{s6}统治。^占据着{s8}。^封臣分别是{s10}。^{s5}正与{s12}交战。
qstr_{s5}_has_been_defeat|{s5}被击败了！
qstr_{s5}_has_a_strength_|{s5}有{reg1}名军人。
qstr_no_holdings|没有封地
qstr_{s57}_and_{s58}|{s57}和{s58}
qstr_{s57}_{s58}|{s57}，{s58}
qstr_{reg3?She:He}|{reg3?她:他}
qstr_{reg6?:{reg4?{s54}_i|{reg6?:{reg4?{s54}是{s56}的统治者。^:{s54}臣服于{s56}统治者{s55}。^}}{reg9?{reg3?她:他}是{s58}的{reg3?领主:领主}:}{s59}{reg10?^{reg3?她:他}已经战死！:}
qstr_The_last_time_you_sa|上次你在{s1}见过{reg1?她:他}
qstr_The_last_time_you_he|上次你在{s1}听说过{reg1?她:他}
qstr_The_{s50}|{s50}
qstr_{s50}_belongs_to_{s1|{s50}属于{s2}的{s1}。^
qstr_Current_garrison_con|当前的守城部队有{reg5}人。^共有{reg6}天的存粮。
qstr_Very_Poor|非常贫瘠
qstr_Poor|贫瘠
qstr_Average|一般
qstr_Rich|富足
qstr_Very_Rich|非常富足
qstr_Strength|力
qstr_Agility|敏
qstr_Intelligence|智
qstr_Charisma|魅
qstr_You_ve_gained_{s6}_f|因带有{s7}你获得了{s6}
qstr_You_ve_lost_{s6}_fro|你丢失了{s7}，导致{s6}的下降。
qstr_{s50}_Caves|{s50}洞穴
qstr_{s50}_Mines|{s50}矿山
qstr_{s50}_Woods|{s50}树林
qstr_{s4}_looks_upset.|{s4}看起来很失落。
qstr_your_party|你的部队
qstr_{reg0?One_of_your_pr|{reg0?你的一个俘虏:俘虏}{s3}的{s1}从囚禁中逃跑了！
qstr_You_brought_{reg3}_h|你带了{reg3}头牛去{s1}。
qstr_Log_entry_{reg3}:_ty|进入日志{reg3}：类型{reg4}
