
str_yes|是
; str_tutorial_3_msg_2|By default, the direction in which you defend (by clicking and holding your right mouse button) is determined by the attack direction of your closest opponent. For example, if your opponent is readying a thrust attack, pressing and holding the right mouse button will parry thrust attacks, but not side or overhead attacks. You must watch your opponent carefully and only initiate your parry AFTER the enemy starts to attack. If you start BEFORE he readies an attack, you may parry the wrong way altogether! Now it's time for you to move on to the next room, where you'll have to defend yourself against an armed opponent. Your task is to defend yourself successfully for thirty seconds with no equipment other than a simple axe. Your axe's attacks are disabled for this tutorial, so don't worry about attacking and focus on your defence instead. Move on to the next room when you are ready to initiate the fight.
; str_tutorial_3_msg_3|Press and hold down the right mouse button to defend yourself with your axe after your opponent starts his attack. Try to remain standing for thirty seconds. You have {reg3} seconds to go.
; str_tutorial_3_msg_4|Well done, you've succeeded this trial! Now you will be pitted against a more challenging opponent that will make things more difficult for you. Move on to the next room when you're ready to face him.
; str_tutorial_3_msg_5|Press and hold down the right mouse button to defend yourself with your axe after your opponent starts his attack. Try to remain standing for thirty seconds. You have {reg3} seconds to go.
; str_tutorial_3_msg_6|Congratulations, you still stand despite the enemy's best efforts. The time has now come to attack as well as defend. Approach the door and press the F key when you see the word 'Go'.
; str_tutorial_3_2_msg_1|Your axe's attacks have been enabled again. Your first opponent is waiting in the next room. Defeat him by a combination of attack and defence.
; str_tutorial_3_2_msg_2|Defeat your opponent with your axe.
; str_tutorial_3_2_msg_3|Excellent. Now the only thing standing in your way is one last opponent. He is in the next room. Move in and knock him down.
; str_tutorial_3_2_msg_4|Defeat your opponent with your axe.
; str_tutorial_3_2_msg_5|Well done! In this tutorial you have learned how to fight ably without a shield. Train hard and train well, and no one shall be able to lay a stroke on you. In the next tutorial you may learn horseback riding and cavalry combat. You can press the Tab key at any time to return to the tutorial menu.
; str_tutorial_4_msg_1|Welcome to the fourth tutorial. In this sequence you'll learn about riding a horse/warg and how to perform various martial exercises on horseback. We'll start by getting you mounted up. Approach the horse, and press the 'F' key when you see the word 'Mount'.
; str_tutorial_4_msg_2|While on horseback, the WASD keys control your horse's movement, not your own. Ride your horse and try to follow the flag around the course. When you reach the flag, it will move to the next waypoint on the course until you reach the finish.
; str_tutorial_4_msg_3|Very good. Next we'll cover attacking enemies from horseback. Approach the flag now.
; str_tutorial_4_msg_4|Draw your sword (using the mouse wheel) and destroy the four targets. Try hitting the dummies as you pass them at full gallop -- this provides an extra challenge, but the additional speed added to your blow will allow you to do more damage. The easiest way of doing this is by pressing and holding the left mouse button until the right moment, releasing it just before you pass the target.
; str_tutorial_4_msg_5|Excellent work. Now let us try some target shooting from horseback. Go near the flag now.
; str_tutorial_4_msg_6|Locate the archery target beside the riding course and shoot it three times with your bow. Although you are not required to ride while shooting, it's recommended that you try to hit the target at various speeds and angles to get a feel for how your horse's speed and course affects your aim.
; str_tutorial_4_msg_7|Congratulations, you have finished this tutorial. You can press the Tab key at any time to return to the tutorial menu.
; str_tutorial_5_msg_1|Welcome to the fifth and final tutorial, which gives you a brief overview of how to command troops in battle, one of the most important aspects in Mount & Blade.^^The first command menu that you have to learn are movement commands, which can be found by pressing the F1 key. Press that now and explore the many movement options you can give your troops in battle.^^For this first step, command your troops to follow you and move up the hill where the flag and pointer is.
; str_tutorial_5_msg_2|Excellent. Your troops have followed you up the hill. Now you have a good view of the battlefield.^^This time, ask your troops to hold this hill by pressing the F1 command menu again, and selecting Hold this Position (F1).^^Once you have done that, you will notice your troops stop following you and hold the position you asked them to.^^This is a good time to learn the second command menu, which revolves around troop basic formations.^^This menu allows you to command your troops to tighten up their ranks, to hold against infantry charges, or spread apart to resist archer volleys.^^Commanding your troops to move forward or backward ten paces using this command menu allows your troops to move while keeping their formation.^^After exploring the different options, keep your troops holding this hill and move alone towards the opposite hill, where the flag and the pointer is.
; str_tutorial_5_msg_3|Great. As you can see, your infantry is holding where you asked them to. Now, move towards the windmill by yourself.
; str_tutorial_5_msg_4|Now you have archers join your command. In Mount & Blade, you can give separate commands to specific divisions of troops such as infantry, archers, and cavalry.^^Pressing the number keys will choose the division of your choice (1 for Infantry, 2 for Archers, 3 for Cavalry). You can then use the command menus that appear to command the specific division.^^Note that the choice will persist, and pressing any of the command menus (F1, F2, F3) will be for the last division chosen. Read the messages that appear on your screen to see which division is being commanded.^^Now, ask your Infantry to follow you, then ask your Archers to follow you too. Once they are all together, go back to the hill you came from.^^Once there, look for the pointer and command your infantry to move and hold there by pressing 1, then holding the F1 key to reveal a banner. You can use this to move your troops in a precise location of your choice.^^Ask your archers to move towards the flag behind the pointer, and on high ground.
; str_tutorial_5_msg_5|Your men are in position, the enemies have gathered and are charging towards you. Use what you learned to maneuver your infantry forward in formation, or ask them to charge. Charging breaks all formations, and moves your troops towards the nearest enemies.^^You can also keep your archers above ground for a better vantage point, or also ask them to move elsewhere.^^You can also press F3 to reveal the third command menu and learn about the different weapon orders you can give your troops.
; str_tutorial_5_msg_6|Excellent! You have completed your first field battle in Mount & Blade. Intelligent command of your troops in battle is paramount to your success as a commander in battle. Make sure to learn the different how to move your troops in advantageous positions.^^In The Last Days of the Third Age, there are complex formations for more advanced maneouvers such as Infantry Shieldwall and Cavalry Wedges. You can learn more about it in-game.^^You can press TAB anytime to leave the tutorial.
; str_trainer_help_1|This is a training ground where you can learn the basics of the game. Use A, S, D, W keys to move and the mouse to look around.
; str_trainer_help_2|To speak with the trainer, go near him, look at him and press the 'F' key when you see the word 'Talk' under his name. When you wish to leave this or any other area or retreat from a battle, you can press the TAB key.
; str_custom_battle_1|Angbor the Fearless and his Gondor company intercepted a Harad reinforcement group. Shouting out his warcry, he spurs his horse forward, and leads his loyal men to a fierce battle.
; str_custom_battle_2|Celeborn from Lorien is leading a patrol of horsemen and archers when a forward lookout brings a warning of a force of ash-faced evil men approaching. It's the dreaded Black Numenoreans! Those were not seen near Lothlorien for ages, but now they must be driven back to the neverworld.
str_custom_battle_3|葛林伯元帅正守着洛汗最后一道防线—号角堡。现在，艾辛格的军队正准备发动最后一次冲锋。他必须用勇气和利剑守住这道城墙。
; str_custom_battle_4|When the scouts inform Lord Beranhelm of the approach of a Rhun war band, he decides to quickly prepare the defences of his camp and try to hold against superior numbers.
str_custom_battle_5|乌陆克把他凶猛的军团带往西方以用于劫掠。如果他能在今天天黑以前将这个矮人的要塞纳入他的掌控的话，他那位于邪黑塔的主人一定会非常高兴的。
str_custom_battle_6|乌陆克和他的半兽人掠夺者小队正拼命地逃离精灵巡逻队的围捕。运气不可能永远眷顾一个人 ，他还是被堵到了。
str_custom_battle_7|海盗们竟然在刚铎海岸边建立了营地！好胆！让我们赶在他们增援到达之前打击他们，并把那些渣滓推下水。那里才是他们的归宿。
str_finished|(完成)
str_delivered_damage|造成了{reg60} 点伤害。
str_archery_target_hit|举例：{reg61}码。得分：{reg60}
str_use_baggage_for_inventory|在战斗中使用辎重以打开你的物品栏(它位于你的起始位置)。
str_cant_use_inventory_now|现在不能打开物品栏。
str_cant_use_inventory_arena|不能在这里打开物品栏。
str_cant_use_inventory_disguised|不能在伪装时打开物品栏。
str_cant_use_inventory_tutorial|不能在训练营中打开物品栏。
str_1_denar|1资源点。
str_reg1_denars|{reg1}资源点。
str_january_reg1_reg2|T.A.{reg2}, Narvinyë {reg1} (一月)
str_february_reg1_reg2|T.A.{reg2}, Nénimë {reg1} (二月)
str_march_reg1_reg2|T.A.{reg2}, Súlìmë {reg1} (三月)
str_april_reg1_reg2|T.A.{reg2}, Víressë {reg1} (四月)
str_may_reg1_reg2|T.A.{reg2}, Lótessë {reg1} (五月)
str_june_reg1_reg2|T.A.{reg2}, Náríë {reg1} (六月)
str_july_reg1_reg2|T.A.{reg2}, Cermië {reg1} (七月)
str_august_reg1_reg2|T.A.{reg2}, Urimë {reg1} (八月)
str_september_reg1_reg2|T.A.{reg2}, Yavannië {reg1} (九月)
str_october_reg1_reg2|T.A.{reg2}, Narquelië {reg1} (十月)
str_november_reg1_reg2|T.A.{reg2}, Hísimë {reg1} (十一月)
str_december_reg1_reg2|T.A.{reg2}, Ringarë {reg1} (十二月)
str_calendar_spec_day_1|T.A.{reg2}, Yestarë (元旦)
str_calendar_spec_day_2|T.A.{reg2}, Tuilérë (春日)
str_calendar_spec_day_3|T.A.{reg2}, Loëndë (年中日)
str_calendar_spec_day_4|T.A.{reg2}, Yáviérë (丰收日)
str_calendar_spec_day_5|T.A.{reg2}, Mettarë (最后日)
str_town_nighttime|现在是深夜。
str_door_locked|门锁上了。
str_castle_is_abondened|这个城堡似乎无人居住。
str_town_is_abondened|城镇目前没有驻防。
str_place_is_occupied_by_player|这里被你自己的部队掌控。
str_place_is_occupied_by_enemy|这里被敌军掌控。
str_place_is_occupied_by_friendly|这里被友军掌控。
str_do_you_want_to_retreat|你确定要撤退么？
str_give_up_fight|放弃战斗？
str_do_you_wish_to_leave_tutorial|你希望离开教程么？
str_do_you_wish_to_surrender|你希望投降么？
str_can_not_retreat|不能撤退，附近有很多敌人！
str_s1_joined_battle_enemy|这场战斗{s1}加入敌方。
str_s1_joined_battle_friend|这场战斗{s1}加入我方。
str_entrance_to_town_forbidden|城镇的守卫正在搜索入侵者，看起来你无法轻易的从大门溜进去。
str_sneaking_to_town_impossible|城镇的守卫被惊动了，看起来你没法轻易的从大门溜进去。
str_battle_won|你赢得了战斗！
str_battle_lost|你输掉了战斗！
str_player_down|你被击昏了，但是你的部下仍在战斗！
str_attack_walls_success|经过血腥的战斗，你勇敢的战士们设法爬上了敌方城墙。
str_attack_walls_failure|你的战士们像海浪一般冲击着城墙，又像饺子一般落下。少数还活着的很快就由站了起来重新冲锋，很快就淹没在人潮中不见了踪影。
str_attack_walls_continue|这是一场血腥的战斗，双方都投入了相同的人力和勇气。尽管你的部队很努力，但城堡仍在敌军手中。
str_order_attack_success|你的士兵勇敢地战斗并击败了敌人。
str_order_attack_failure|你绝望的看着敌人一个个砍翻你的战士，并将最后几名衣衫褴褛的幸存者赶走。
str_order_attack_continue|尽管经历了几场小规模战斗，你的部队还没赢得决定性胜利。
str_join_order_attack_success|你的士兵与盟友合作的极好，在敌人被打败时你们共享荣耀。
str_join_order_attack_failure|你绝望的看着敌人一个个砍翻你的战士，并将最后几名衣衫褴褛的幸存者赶走。
str_join_order_attack_continue|尽管经历了几场小规模战斗，任意一方都还没赢得决定性胜利。
str_siege_defender_order_attack_success|驻军用技巧和勇气守住了他们的城墙并打破敌军的冲锋。他们还巧妙地将敌军的小败转变成一个完全的溃败。
str_siege_defender_order_attack_failure|敌军的冲锋迅速变的异常血腥。个人的武勇变得无用起来；数量严重不足的守军渐渐无法守住城墙，抵抗者正被敌军一个个杀死。
str_siege_defender_order_attack_continue|敌军试图占领城墙的血腥企图依旧没有得逞，但守方仍然无法庆祝胜利，毕竟周围还有很多敌军。围攻继续。
str_hero_taken_prisoner|{s3}的{s1}被{s2}俘虏了。
str_hero_freed|{s3}的{s1}被从{s2}的监禁中解救了。
str_center_captured|{s2}从{s3}那里夺取了{s1}。
str_troop_relation_increased|你与{s1}的关系从{reg1}提升到{reg2}。
str_troop_relation_detoriated|你与{s1}的关系从{reg1}恶化为{reg2}。
str_faction_relation_increased|你与{s1}的关系从{reg1}提升到{reg2}。
str_faction_relation_detoriated|你与{s1}的关系从{reg1}恶化为{reg2}。
str_party_gained_morale|你的部队获得{reg1}点士气
str_party_lost_morale|你的部队失去{reg1}点士气
str_qst_follow_spy_noticed_you|间谍看到你了！他正在逃跑！
str_father|父亲
str_husband|丈夫
str_wife|妻子
str_daughter|女儿
str_mother|母亲
str_son|儿子
str_brother|兄弟
str_sister|姐妹
str_he|他
str_she|她
str_s3s_s2|{s3}的{s2}
str_s5_is_s51|{s5}是{s51}。
str_s5_is_the_ruler_of_s51|{s5}是{s51}的统治者。
str_s5_is_a_nobleman_of_s6|{s5}是{s6}的贵族。
str_relation_mnus_100|复仇的
str_relation_mnus_90|复仇的
str_relation_mnus_80|复仇的
str_relation_mnus_70|可憎的
str_relation_mnus_60|可憎的
str_relation_mnus_50|敌对的
str_relation_mnus_40|愤怒的
str_relation_mnus_30|厌恶的
str_relation_mnus_20|抱怨的
str_relation_mnus_10|多疑的
str_relation_plus_0|冷漠的
str_relation_plus_10|合作的
str_relation_plus_20|欢迎的
str_relation_plus_30|赞许的
str_relation_plus_40|支持的
str_relation_plus_50|友好的
str_relation_plus_60|亲切的
str_relation_plus_70|温柔的
str_relation_plus_80|忠诚的
str_relation_plus_90|献身的
str_relation_mnus_100_ns|{s60}与你不共戴天。
str_relation_mnus_90_ns|{s60}与你不共戴天。
str_relation_mnus_80_ns|{s60}与你不共戴天。
str_relation_mnus_70_ns|{s60}觉得你很可憎。
str_relation_mnus_60_ns|{s60}觉得你很可憎。
str_relation_mnus_50_ns|{s60}对你抱有敌意。
str_relation_mnus_40_ns|{s60}对你表示愤慨。
str_relation_mnus_30_ns|{s60}对你感到不满。
str_relation_mnus_20_ns|{s60}对你存在怨言。
str_relation_mnus_10_ns|{s60}对你表示怀疑。
str_relation_plus_0_ns|{s60}对你表现冷漠。
str_relation_plus_10_ns|{s60} 对你倾向合作。
str_relation_plus_20_ns|{s60}对你表示欢迎。
str_relation_plus_30_ns|{s60}对你表示赞许。
str_relation_plus_40_ns|{s60}对你表示支持。
str_relation_plus_50_ns|{s60}对你表示友好。
str_relation_plus_60_ns|{s60}对你表示亲切。
str_relation_plus_70_ns|{s60}对你表示温柔
str_relation_plus_80_ns|{s60}对你保持忠诚
str_relation_plus_90_ns|{s60}愿意为你献身
str_relation_reg1|关系：{reg1}
str_center_relation_mnus_100|当地居民与你不共戴天
str_center_relation_mnus_90|当地居民与你势同水火
str_center_relation_mnus_80|当地居民对你恨之入骨
str_center_relation_mnus_70|当地居民对你深恶痛绝
str_center_relation_mnus_60|当地居民对你低声咒骂
str_center_relation_mnus_50|当地居民对你道路以目
str_center_relation_mnus_40|当地居民对你充满敌意
str_center_relation_mnus_30|当地居民对你忧形于色
str_center_relation_mnus_20|当地居民对你保持警惕
str_center_relation_mnus_10|当地居民对你表示防备
str_center_relation_plus_0|当地居民对你面无表情
str_center_relation_plus_10|当地居民对你和颜悦色
str_center_relation_plus_20|当地居民对你春风满面
str_center_relation_plus_30|当地居民对你嘘寒问暖
str_center_relation_plus_40|当地居民对你指囷相助
str_center_relation_plus_50|当地居民对你交口称赞
str_center_relation_plus_60|当地居民对你缓急相济
str_center_relation_plus_70|当地居民对你鼎力支持
str_center_relation_plus_80|当地居民为你夹道欢呼
str_center_relation_plus_90|当地居民对你忠贯日月
str_town_prosperity_0|这个名为{s60}的城镇赤贫如洗
str_town_prosperity_10|这个名为{s60}的城镇贫穷荒芜
str_town_prosperity_20|这个名为{s60}的城镇凄凉破败
str_town_prosperity_30|这个名为{s60}的城镇穷困潦倒
str_town_prosperity_40|这个名为{s60}的城镇缺衣少食
str_town_prosperity_50|这个名为{s60}的城镇很不起眼
str_town_prosperity_60|这个名为{s60}的城镇丰衣足食
str_town_prosperity_70|这个名为{s60}的城镇家给人足
str_town_prosperity_80|这个名为{s60}的城镇民康物阜
str_town_prosperity_90|这个名为{s60}的城镇车水马龙
str_town_prosperity_100|这个名为{s60}的城镇富丽堂皇
str_village_prosperity_0|这个名为{s60}的村子一贫如洗
str_village_prosperity_10|这个名为{s60}的村子一穷二白
str_village_prosperity_20|这个名为{s60}的村子地瘠民贫
str_village_prosperity_30|这个名为{s60}的村子穷乡僻壤
str_village_prosperity_40|这个名为{s60}的村子缺衣少食
str_village_prosperity_50|这个名为{s60}的村子普普通通
str_village_prosperity_60|这个名为{s60}的村子丰衣足食
str_village_prosperity_70|这个名为{s60}的村子家给人足
str_village_prosperity_80|这个名为{s60}的村子民康物阜
str_village_prosperity_90|这个名为{s60}的村子雕梁画栋
str_village_prosperity_100|这个名为{s60}的村子沃壤千里
str_war_report_minus_4|我们几乎要输掉这场战争了
str_war_report_minus_3|形势看起来很严峻
str_war_report_minus_2|战事进展的不太顺利
str_war_report_minus_1|团结起来我很还是有可能胜利的
str_war_report_0|我们与敌人不相上下
str_war_report_plus_1|我们获胜的概率稍高一点
str_war_report_plus_2|战事进展的相当顺利
str_war_report_plus_3|打败他们不费吹灰之力
str_war_report_plus_4|我们马上就要赢得战争了
str_persuasion_summary_very_bad|你尽最大努力去说服{s50}，但是你没有一个论证是正确的。每次你开始想使表达的东西变得有意义，但是你说的东西似乎都是彻底错误的，以至于使你自己的思路都断了。当你结束交涉的时候，你都没能把你认同的某一个观点表达清楚，而且你意识到你所做的一切是在把自己推进一个越挖越深的大坑里。毫不奇怪，{s50}完全不为你动。
str_persuasion_summary_bad|你试着说服{s50}，但是{reg51?她:他}从最开始起就提防着你。你再好的辩论对于你自己的耳朵而言也还是那么空洞。{s50}同样也没能从你说的东西看出什么高见。
str_persuasion_summary_average|{s50}被证实是一个有着尖锐思想且很能辩论的人，你基本就没有办法使{reg51?她:他}反过来接受你的任何观点。最终，在这场辩论中，你们两人都没能使对方偏向各自的立场。
str_persuasion_summary_good|凭借敏捷的思维和流畅的辩论，你设法把你的观点论证得很好，迫使{s50}认同你的一些观点。然而{reg51?她:他}仍然对你的要求表示怀疑。
; str_persuasion_summary_very_good|You deliver an impassioned speech that echoes through all listening ears like poetry. The world itself seems to quiet down in order to hear you better . The inspiring words have moved {s50} deeply, and {reg51?she:he} looks much more well-disposed towards helping you.
str_surname_1|塔洛斯的{s50}
str_surname_2|罗萨那奇的{s50}
str_surname_3|伊瑞奇的{s50}
str_surname_4|艾德西隆得的{s50}
str_surname_5|佩拉格的{s50}
str_surname_6|林何的{s50}
str_surname_7|艾斯林的{s50}
str_surname_8|奥德堡的{s50}
str_surname_9|艾辛格的{s50}
str_surname_10|西谷的{s50}
str_surname_11|孤山的{s50}
str_surname_12|东谷的{s50}
str_surname_13|黑门的{s50}
str_surname_14|西力斯昂哥的{s50}
str_surname_15|奥斯吉力亚斯的{s50}
str_surname_16|摩瑞亚的{s50}
str_surname_17|河谷镇的{s50}
str_surname_18|长湖镇的{s50}
str_surname_19|多尔哥多的{s50}
str_surname_20|刚达巴山的{s50}
str_surname_21|高个儿{s50}
str_surname_22|憔悴{s50}
str_surname_23|戒灵{s50}
str_surname_24|短小{s50}
str_surname_25|被诅咒者{s50}
str_surname_26|伤痕累累的{s50}
str_surname_27|公正者{s50}
str_surname_28|冷酷者{s50}
str_surname_29|红肿的{s50}
str_surname_30|邪恶的{s50}
str_surname_31|高个儿{s50}
str_surname_32|星瞳{s50}
str_surname_33|无畏者{s50}
str_surname_34|啃树者{s50}
str_surname_35|狡猾{s50}
str_surname_36|懦夫{s50}
str_surname_37|愉快者{s50}
str_surname_38|敏捷者{s50}
str_surname_39|游吟诗人{s50}
str_surname_40|英勇者{s50}
str_surname_41|急性子{s50}
str_number_of_troops_killed_reg1|杀敌数：{reg1}
str_number_of_troops_wounded_reg1|伤敌数：{reg1}
str_number_of_own_troops_killed_reg1|我方阵亡：{reg1}
str_number_of_own_troops_wounded_reg1|我方受伤：{reg1}
str_retreat|撤退！
str_siege_continues|继续战斗…
str_casualty_display|我军伤亡：{s10}^敌军伤亡：{s11}{s12}
str_casualty_display_hp|你受到{reg1}点伤害。
str_quest_log_updated|任务日志更新…
str_banner_selection_text|你被授予携带旗帜的权利。旗帜是身份与荣耀的象征。你想选择哪种旗帜？
str_retirement_text_1|当你意识到你将入不敷出的时候已经晚了。即使精打细算你也很快花光了身上所有的钱，而你在窘困中进行了几次令人绝望的努力企图重新开始自己的冒险。最后你在{s9}城里当了个乞丐，靠接济和教堂的施舍过活。
str_retirement_text_2|当你意识到你将入不敷出的时候已经晚了。即使精打细算你也很快花光了身上所有的钱。当你的钱很快地在你的手中消失你被迫开始了在{s9}城的后街小巷里的犯罪生涯，用你的那点能耐靠打劫妇女以及贫穷的市民勉强维持生活。
str_retirement_text_3|当你意识到你将入不敷出的时候已经晚了。即使精打细算你也很快花光了身上所有的钱，最后作为一个身无分文的流浪者，从一个酒馆漂流到另一个酒馆，靠讲些没人相信的战争故事来讨口酒喝。
str_retirement_text_4|你存下来的钱并不能维持多久，但是你想办法凑了足够的钱在{s7}村庄的附近买了一小片地。当上了自由农。很快你就吸引了未来的{妻子/丈夫}。现在你就成了当地的英雄。你时常在宴会上得到人们的尊重，而你的冒险经历在酒馆和客栈一遍又一遍地被人们口口相传，所以孩子们将永远记得你的事迹。
str_retirement_text_5|你存下来的钱并不能维持多久，不过还是够用来在{s9}城买个小酒馆。尽管当地人一开始对你有所提防，他们很快就接受容纳了你。现在你让酒馆成了一个受欢迎的宴会和见面场所。人们从数英里以外赶来吃饭和留宿，因为他们都被你绝对的声望和你所说的那些冒险岁月里眼花缭乱的故事迷住了。
str_retirement_text_6|你在你的冒险生涯中精明地存下钱来，而现在你的银子和你的聪明才智让你进行了一些极好的投资来巩固你的未来。收购了{s9}城的几个铺子和仓库之后，你的机智让你成为城里最为卓越的商人之一，并且你很快成为一个富有的{人/人}，你的贸易帝国就像你的战争事迹一样闻名。
str_retirement_text_7|作为一个有封地的贵族，不管封地有多小，你的未来也差不多可以确定了。你迁入了你的领地{s7}，主宰着村庄和农田，支配着地方法院并且向你的君主履行着你的义务。有时候你的君主召集你并且在他的战役中听命，但是这些日常工作还是简单的，而你再也没有真正回到你年轻时候的冒险经历。你已经置下大笔财富。因为拥有自己的领主大厅和领地，除了你健康的体魄和自己的领地所能给予给你的以外，你也没有别的奢求了。
str_retirement_text_8|毫无疑问，你为你自己做的非常好。你广阔的领地和积累的财富足够保证你在余下的日子里过着富足而省心的生活。退休在你的封地{s8}，你改变你的冒险生涯而转向政治，很快你就在你君主的王国里面建立了自己相当可观的权威。随着自己的兴趣爱好忙碌，在自己的林地里打猎，在领主大厅里大摆宴席，以及吹嘘着上百个耐听的战争事迹，你无忧无虑地让剩余的每一年都过的有滋有味。
str_retirement_text_9|作为你得力和忠心服务的回报，你的君主宣布你被授予一个世袭的头衔，加入了王国最显赫的贵族圈。很快你完成了作为{s7}男爵的授勋仪式，并且你成为了你君主的近臣和副手之一。你蕴藏的声望给予了你很多无形的影响力进而成为你公开的政治能力。现在你在权力游戏之中消磨时光，管理着你巨大的封地，并且叙述着当年的冒险与光荣。
str_retirement_text_10|尽管你出身卑微，你的君主却对你尊重有加，当他赐予你{s9}城的{伯爵/女爵}世袭头衔的时候在当地士族中引起了轩然大波。巨大的封地和财富现在供你支配。你很快成为了你的君主最信任的谋臣，几乎和他平起平坐并且处理他领土的大部分事务，而且作为中土大陆最有权势的角色你在你那光彩夺目的宫殿里安放了一个与之相配的王座。
str_loot_village|攻击无辜的村民
str_steal_from_villagers|偷窃贫穷村民的东西
str_rob_caravan|打劫商队
str_sell_slavery|卖人为奴
str_men_hungry|食物短缺
str_men_unpaid|支付给部队的薪水不足
str_excessive_casualties|牺牲了太多士兵
str_surrender|向敌人投降
str_flee_battle|战斗中逃跑
str_pay_bandits|向土匪妥协
str_fail_quest|失败了一个以荣誉担保的任务
str_squander_money|挥霍因信任而来的钱
str_murder_merchant|参与冷血谋杀
str_round_up_serfs|替贵族围捕农奴
str_battle_fate_1|战斗最激烈的时候我们走散了
str_battle_fate_2|我受了伤被留在那里等死
str_battle_fate_3|我被敌人击昏了
str_battle_fate_4|我被俘虏并被指定赎金
