itm_horse_meat|马肉
itm_arnor_sword_c|亚尔诺战剑
itm_arnor_sword_a|亚尔诺变种剑
itm_arnor_sword_f|亚尔诺短剑
itm_riv_helm_a|瑞文戴尔兜帽
itm_riv_helm_b|瑞文戴尔射手盔
itm_riv_helm_c|瑞文戴尔步兵盔
itm_tiara_reward|精灵王冠
itm_riv_shield_a|瑞文戴尔盾
itm_riv_shield_b|瑞文戴尔盾
itm_riv_bas_sword|瑞文戴尔变种剑
itm_riv_1h_sword|瑞文戴尔剑
itm_riv_riding_sword|瑞文戴尔长剑
itm_riv_archer_sword|瑞文戴尔短剑
itm_riv_spear|瑞文戴尔长枪
itm_riv_light|瑞文戴尔外套
itm_riv_leather|瑞文戴尔皮甲
itm_riv_foot_mail|瑞文戴尔链甲
itm_riv_foot_scale|瑞文戴尔鳞甲
itm_riv_surcoat|瑞文戴尔外套
itm_riv_knight|瑞文戴尔骑士甲
itm_riv_armor_h_archer|瑞文戴尔铠甲
itm_riv_boots|瑞文戴尔靴
itm_gon_footman|刚铎链甲衫
itm_gon_jerkin|刚铎短上衣
itm_gon_regular|刚铎重型链甲
itm_gon_bowman|刚铎软甲
itm_gon_archer|刚铎带斗篷软甲
itm_gon_noble_cloak|刚铎贵族短上衣
itm_gon_squire|刚铎带斗篷链甲
itm_gon_knight|刚铎带斗篷重型链甲
itm_gon_ranger_cloak|刚铎游侠斗篷
itm_gon_ranger_skirt|刚铎游侠袍
itm_gon_steward_guard|刚铎摄政王卫队甲
itm_gon_tower_guard|刚铎圣白塔守卫甲
itm_gon_tower_knight|刚铎圣白塔骑士甲
itm_gon_leader_surcoat_cloak|刚铎首领外套 
itm_gondor_ranger_hood|绿色兜帽
itm_gondor_ranger_hood_mask|刚铎游侠兜帽
itm_gondor_light_greaves|刚铎皮胫甲
itm_gondor_med_greaves|刚铎中型胫甲
itm_gondor_heavy_greaves|刚铎链胫甲
itm_gondor_auxila_helm|刚铎轻盔
itm_gondorian_archer_helm|刚铎射手盔
itm_tower_archer_helm|刚铎圣白塔射手盔
itm_gondor_leader_helm|刚铎高级盔
itm_tower_guard_helm|刚铎圣白塔守卫盔
itm_gondor_citadel_knight_helm|刚铎圣白塔骑士盔
itm_gondor_infantry_helm|刚铎步兵盔
itm_gondor_knight_helm|刚铎骑兵盔
itm_gondor_dolamroth_helm|多尔安罗斯盔
itm_swan_knight_helm|天鹅骑士盔
itm_gondor_lamedon_helm|拉密顿盔
itm_gondor_lamedon_leader_helm|拉密顿高级盔
itm_blackroot_archer|黑谷斗篷软甲
itm_blackroot_bowman|黑谷斗篷短上衣
itm_blackroot_footman|黑谷短上衣
itm_blackroot_warrior|黑谷软甲
itm_blackroot_leader|黑谷链甲
itm_blackroot_hood|黑兜帽
itm_dol_hauberk|多尔安罗斯链甲
itm_dol_heavy_mail|多尔安罗斯重型链甲
itm_dol_padded_coat|多尔安罗斯加厚外套
itm_dol_shirt|多尔安罗斯衫
itm_dol_very_heavy_mail|多尔安罗斯超重型链甲
itm_dol_greaves|多尔安罗斯胫甲
itm_dol_shoes|多尔安罗斯轻靴
itm_lamedon_clansman|拉密顿氏族民甲
itm_lamedon_footman|拉密顿步兵甲
itm_lamedon_knight|拉密顿骑士甲
itm_lamedon_leader_surcoat_cloak|拉密顿首领甲
itm_lamedon_warrior|拉密顿勇士甲
itm_lamedon_veteran|拉密顿老兵甲
itm_lamedon_vet_warrior|拉密顿资深战士甲
itm_lamedon_hood|兜帽
itm_pinnath_archer|皮那斯杰林射手甲
itm_pinnath_footman|皮那斯杰林步兵甲
itm_pinnath_leader|皮那斯杰林骑士甲
itm_pinnath_vet_footman|皮那斯杰林资深步兵甲
itm_pinnath_warrior|皮那斯杰林战士甲
itm_pel_footman|佩拉格步兵甲
itm_pel_jerkin|佩拉格短上衣
itm_pel_leader|佩拉格首领甲
itm_pel_marine|佩拉格水兵甲
itm_pelargir_marine_leader|佩拉格水兵首领甲
itm_pelargir_regular|佩拉格甲
itm_pelargir_hood|白兜帽
itm_pelargir_helmet_light|佩拉格盔
itm_pelargir_helmet_heavy|佩拉格重型盔
itm_pelargir_greaves|佩拉格胫甲
itm_lossarnach_shirt|罗萨那奇衫
itm_lossarnach_axeman|罗萨那奇斧手甲
itm_lossarnach_leader|罗萨那奇首领甲
itm_lossarnach_vet_axeman|罗萨那奇资深斧手甲
itm_lossarnach_vet_warrior|罗萨那奇资深战士甲
itm_lossarnach_warrior|罗萨那奇战士甲
itm_lossarnach_cloth_cap|罗萨那奇布帽
itm_lossarnach_leather_cap|罗萨那奇首领帽
itm_lossarnach_scale_cap|罗萨那奇鳞帽
itm_lossarnach_greaves|罗萨那奇胫甲
itm_gondor_shield_a|刚铎方盾
itm_gondor_shield_b|刚铎筝形盾
itm_gondor_shield_c|刚铎塔盾
itm_gondor_shield_d|刚铎筝形盾
itm_gondor_shield_e|刚铎圣白塔盾
itm_gon_tab_shield_a|刚铎纹章圆盾
itm_gon_tab_shield_b|刚铎纹章方盾
itm_gon_tab_shield_c|刚铎纹章筝形盾
itm_gon_tab_shield_d|刚铎纹章塔盾
itm_amroth_sword_a|多尔安罗斯剑
itm_amroth_sword_b|多尔安罗斯骑士剑
itm_gondor_sword|刚铎步兵剑
itm_amroth_bastard|多尔安罗斯天鹅骑士剑
itm_gondor_short_sword|林何刃
itm_pelargir_eket|佩拉格刃
itm_pelargir_sword|佩拉格剑
itm_gondor_ranger_sword|刚铎游侠剑
itm_gondor_2h_sword|刚铎战剑
itm_gondor_citadel_sword|刚铎圣白塔守卫剑
itm_gondor_cav_sword|刚铎骑兵剑
itm_gondor_spear|刚铎长枪
itm_gondor_tower_spear|刚铎圣白塔守卫长枪
itm_gondor_lance|刚铎骑枪
itm_loss_axe|刚铎斗斧
itm_loss_war_axe|刚铎战斧
itm_lorien_sword_a|罗斯洛立安长剑
itm_lorien_sword_b|罗斯洛立安短剑
itm_lorien_sword_c|罗斯洛立安战剑
itm_lorien_archer|罗斯洛立安射手甲
itm_lorien_armor_a|罗斯洛立安棉甲
itm_lorien_armor_b|罗斯洛立安链甲
itm_lorien_armor_c|罗斯洛立安鳞甲
itm_lorien_boots|罗斯洛立安靴
itm_lorien_shield_b|罗斯洛立安塔盾
itm_lorien_shield_c|罗斯洛立安筝形盾
itm_lorien_round_shield|罗斯洛立安圆盾
itm_lorien_helm_a|罗斯洛立安射手盔
itm_lorien_helm_b|罗斯洛立安射手盔
itm_lorien_helm_c|罗斯洛立安步兵盔
itm_orc_coif|半兽人骷髅帽
itm_orc_greaves|半兽人链靴
itm_orc_ragwrap|半兽人裹脚布
itm_orc_furboots|半兽人皮靴
itm_orc_tribal_a|未处理的皮肤
itm_orc_tribal_b|未处理的皮肤
itm_orc_tribal_c|未处理的皮肤
itm_evil_gauntlets_a|黑色手套
itm_evil_gauntlets_b|黑色护手
itm_isen_orc_light_a|艾辛格半兽人胸甲
itm_isen_orc_light_b|艾辛格半兽人胸甲
itm_isen_orc_pad_a|艾辛格半兽人轻型锻甲
itm_isen_orc_pad_b|艾辛格半兽人锻甲
itm_isen_orc_mail_a|艾辛格半兽人链甲
itm_isen_orc_mail_b|艾辛格半兽人重型锻甲
itm_isen_uruk_light_a|强兽人轻甲
itm_isen_uruk_light_b|艾辛格强兽人战斗胸甲
itm_isen_uruk_light_c|艾辛格强兽人狂战士胸甲
itm_isen_uruk_med_a|艾辛格强兽人轻型段甲
itm_isen_uruk_med_b|艾辛格强兽人链甲
itm_isen_uruk_heavy_a|艾辛格强兽人段甲
itm_isen_uruk_heavy_b|艾辛格强兽人重型链甲
itm_isen_uruk_heavy_c|艾辛格强兽人全装段甲
itm_isen_uruk_heavy_d|强兽人追踪者皮甲
itm_isen_uruk_heavy_e|强兽人追踪者皮甲
itm_uruk_tracker_boots|强兽人追踪者靴
itm_uruk_greaves|强兽人胫甲
itm_uruk_chain_greaves|强兽人链胫甲
itm_uruk_ragwrap|强兽人头巾
itm_isen_orc_helm_a|艾辛格半兽人盔
itm_isen_uruk_helm_a|强兽人盔
itm_isen_uruk_helm_d|强兽人队长盔
itm_isen_uruk_helm_e|强兽人追踪者盔
itm_uruk_pike_b|魔多长矛
itm_uruk_falchion_a|强兽人刀
itm_uruk_falchion_b|半兽人大弯刀
itm_isengard_sword|艾辛格剑
itm_isengard_axe|艾辛格斧
itm_isengard_hammer|艾辛格战锤
itm_isengard_halberd|艾辛格斧枪
itm_isengard_mallet|艾辛格木槌
itm_isengard_heavy_axe|艾辛格重斧
itm_isengard_heavy_sword|艾辛格重剑
itm_isengard_spear|艾辛格长枪
itm_isengard_pike|艾辛格长柄枪
itm_isen_orc_shield_a|艾辛格半兽人盾
itm_isen_orc_shield_b|艾辛格半兽人盾
itm_isen_uruk_shield_b|艾辛格强兽人盾
itm_wood_club|木棍
itm_twohand_wood_club|大型木棍
itm_bone_cudgel|骨棒
itm_orc_pick|半兽人镐
itm_orc_hammer|邪锤
itm_orc_club_b|座狼骑手棍
itm_orc_club_c|半兽人尖刺棍
itm_orc_club_d|邪恶阵营钉头锤
itm_orc_sledgehammer|半兽人长柄锤
itm_orc_simple_spear|半兽人长枪
itm_orc_skull_spear|半兽人骷髅枪
itm_orc_bill|半兽人重斧
itm_orc_slasher|半兽人短刀
itm_orc_falchion|半兽人刀
itm_orc_scimitar|半兽人弯刀
itm_orc_sabre|半兽人马刀
itm_orc_battle_axe|半兽人战斧
itm_orc_axe|半兽人斧
itm_orc_two_handed_axe|半兽人双手斧
itm_orc_throwing_axes|半兽人掷斧
itm_orc_bow|半兽人弓
; itm_orc_shield_a|Simple Shield
; itm_orc_shield_b|Fur Shield
; itm_orc_shield_c|Fur Tower Shield
itm_mordor_orc_shield_a|魔多半兽人盾
itm_mordor_orc_shield_b|魔多半兽人盾
itm_mordor_orc_shield_c|魔多半兽人盾
itm_mordor_orc_shield_d|魔多半兽人盾
itm_mordor_orc_shield_e|魔多半兽人盾
itm_mordor_uruk_shield_a|魔多强兽人盾
itm_mordor_uruk_shield_b|魔多强兽人盾
itm_mordor_uruk_shield_c|魔多强兽人盾
itm_mordor_man_shield_a|魔多人类盾
itm_mordor_man_shield_b|魔多人类盾
itm_angmar_shield|安格玛盾
itm_orc_nosehelm|半兽人鼻盔
itm_orc_kettlehelm|半兽人罐盔
itm_orc_buckethelm|半兽人桶盔
itm_orc_morion|半兽人无面盔
itm_orc_beakhelm|半兽人喙盔
itm_orc_bughelm|半兽人虫盔
itm_orc_visorhelm|半兽人面盔
itm_m_orc_light_a|魔多半兽人轻甲
itm_m_orc_light_b|魔多半兽人轻甲
itm_m_orc_light_c|魔多半兽人轻甲
itm_m_orc_light_d|魔多半兽人轻甲
itm_m_orc_light_e|魔多半兽人轻甲
itm_m_orc_heavy_a|魔多半兽人重型甲
itm_m_orc_heavy_b|魔多半兽人重型甲
itm_m_orc_heavy_c|魔多半兽人重型甲
itm_m_orc_heavy_d|魔多半兽人重型甲
itm_m_orc_heavy_e|魔多半兽人重型甲
itm_m_uruk_light_a|强兽人甲
itm_m_uruk_light_b|强兽人皮甲
itm_m_uruk_light_c|强兽人轻链甲
itm_m_uruk_med_a|强兽人重皮甲
itm_m_uruk_med_b|强兽人重链甲
itm_m_uruk_med_c|强兽人轻鳞甲
itm_m_uruk_heavy_a|强兽人重鳞甲
itm_m_uruk_heavy_b|强兽人板甲
itm_m_uruk_heavy_c|巴拉多要塞板甲
itm_m_cap_armor|魔多队长甲
itm_black_num_armor|黑暗努曼诺尔甲
itm_m_armor_a|魔多甲
itm_m_armor_b|魔多甲
itm_evil_light_armor|邪轻甲
itm_uruk_helm_a|强兽人盔
itm_uruk_helm_b|强兽人盔
itm_uruk_helm_c|强兽人喙盔
itm_uruk_helm_d|强兽人网盔
itm_uruk_helm_e|强兽人覆面盔
itm_uruk_helm_f|强兽人盔
itm_mordor_cap_helm|魔多队长盔
itm_mordor_helm|魔多盔
itm_black_num_helm|黑暗努曼诺尔盔
itm_mordor_sword|魔多变种剑
itm_mordor_longsword|魔多剑
itm_moria_armor_a|摩瑞亚胸甲
itm_moria_armor_b|摩瑞亚胸肩甲
itm_moria_armor_c|摩瑞亚半兽人链甲
itm_moria_armor_d|摩瑞亚闩皮甲
itm_moria_armor_e|摩瑞亚半兽人重型链甲
itm_moria_orc_shield_a|摩瑞亚巨盾
itm_moria_orc_shield_b|摩瑞亚半兽人盾
itm_moria_orc_shield_c|摩瑞亚半兽人盾
itm_gundabad_armor_a|刚达巴半兽人破衣
itm_gundabad_armor_b|刚达巴半兽人皮衣
itm_gundabad_armor_c|刚达巴半兽人甲
itm_gundabad_armor_d|刚达巴半兽人甲
itm_gundabad_armor_e|刚达巴半兽人重型甲
itm_gundabad_helm_a|皮帽
itm_gundabad_helm_b|皮盔
itm_gundabad_helm_c|刚达巴盔
itm_gundabad_helm_d|刚达巴盔
itm_gundabad_helm_e|座狼骑兵盔
itm_dunland_wolfboots|登兰德狼皮靴
; itm_dunland_tunic_1|Dunnish Leather Tunic
; itm_dunland_tunic_2|Dunnish Leather Tunic
; itm_dunland_fur_1|Dunnish Fur
; itm_dunland_fur_2|Dunnish Fur
itm_dunland_mail_1|丹尼斯锁子甲
itm_dunland_mail_2|丹尼斯锁子甲
; itm_dunland_chieftain|Dunnish Chief Armor
itm_dun_helm_a|丹尼斯狼皮帽
; itm_dun_helm_b|Dunnish Fur Cap
itm_dun_helm_c|丹尼斯高盔
itm_dun_helm_d|丹尼斯高盔
itm_dun_helm_e|丹尼斯鹿角盔
; itm_dun_shield_a|Dunnish Roundshield
; itm_dun_shield_b|Dunnish Oval Shield
itm_dun_berserker|登兰德酋长剑
itm_dunnish_antler_axe|丹尼斯鹿角斧
itm_dunnish_war_axe|丹尼斯战斧
itm_dunnish_axe|丹尼斯斧
itm_dunland_spear|丹尼斯长枪
itm_dunnish_pike|丹尼斯长柄枪
itm_rohan_cav_sword|洛汗骑兵剑
itm_rohan_inf_sword|洛汗剑
itm_rohan_spear|洛汗长枪
itm_rohan_lance|洛汗骑枪
itm_rohan_sword_c|洛汗剑
itm_rohirrim_short_axe|洛汗短斧
itm_rohirrim_long_hafted_axe|洛汗长柄斧
itm_rohan_2h_sword|洛汗战剑
itm_rohan_recruit|洛汗加厚短上衣
itm_rohan_leather|洛汗皮背心
itm_rohan_mail|洛汗链甲
itm_rohan_rider|洛汗骑兵甲
itm_rohan_scale|洛汗鳞甲
itm_rohan_surcoat|洛汗链甲
itm_rohan_guard|洛汗侍卫甲
itm_rohan_light_helmet_a|洛汗轻型盔
itm_rohan_light_helmet_b|洛汗轻型盔
itm_rohan_inf_helmet_a|洛汗护眼盔
itm_rohan_inf_helmet_b|洛汗护眼盔
itm_rohan_archer_helmet_a|洛汗护鼻盔
itm_rohan_archer_helmet_b|洛汗护鼻盔
itm_rohan_archer_helmet_c|洛汗护卫盔
itm_rohan_shield_a|洛汗盾
itm_rohan_shield_b|洛汗盾
itm_rohan_shield_c|洛汗盾
itm_rohan_shield_d|洛汗盾
itm_rohan_shield_e|洛汗盾
itm_rohan_shield_f|洛汗盾
itm_rohan_shield_g|洛汗皇家盾
itm_rohan_light_greaves|洛汗轻型胫甲
itm_rohirrim_war_greaves|洛汗战斗胫甲
itm_mirkwood_leather|幽暗密林皮甲
itm_mirkwood_pad|幽暗密林棉甲
itm_mirkwood_mail|幽暗密林链甲
itm_mirkwood_scale|幽暗密林轻型鳞甲
itm_mirkwood_heavy_scale|Greenwood Leafscale
itm_mirkwood_sword|Woodelf Sword
itm_mirkwood_great_spear|幽暗密林长矛
itm_mirkwood_war_spear|幽暗密林战矛
itm_mirkwood_short_spear|木精灵矛
itm_mirkwood_knife|木精灵白刃
itm_mirkwood_axe|木精灵斧
itm_mirkwood_spear_shield_a|木精灵盾
itm_mirkwood_spear_shield_b|幽暗密林战盾
itm_mirkwood_spear_shield_c|木精灵圆盾
itm_mirkwood_helm_a|木精灵射手盔
itm_mirkwood_helm_b|幽暗密林盔
itm_mirkwood_helm_c|幽暗密林重盔
itm_mirkwood_helm_d|幽暗密林王室盔
itm_woodelf_leather_boots|木精灵皮靴
itm_mirkwood_boots|绿林靴
itm_harad_tunic|哈拉德束腰外衣
; itm_harad_padded|Harad Padded Jerkin
; itm_harad_lamellar|Harad Scale Vest
; itm_harad_heavy_lamellar|Harad Heavy Scale Vest
itm_harad_heavy|哈拉斯扎拉甲
; itm_harad_pectoral|Harad Breastplate
itm_black_snake_armor|马兰卡甲
itm_harad_champion|远哈拉德轻甲
itm_harad_scale|哈拉德鳞甲
itm_harad_lion_scale|狮卫甲
itm_harad_dragon_helm|凯洛卡盔
itm_harad_cav_helm_a|哈隆铎骑兵盔
itm_harad_cav_helm_b|哈隆铎骑兵盔
itm_black_snake_helm|马兰卡盔
itm_harad_finhelm|哈拉德巨盔
itm_harad_heavy_inf_helm|哈拉德重顶盔
itm_harad_wavy_helm|哈拉德锥形盔
itm_harad_eaglehelm|雕卫盔
itm_lion_helm|狮卫盔
itm_harad_pantherhelm|豹卫帽
itm_harad_khopesh|哈拉德镰剑
itm_black_snake_sword|哈拉德毒蛇刀
itm_harad_heavy_sword|哈拉德龙刀
itm_horandor_a|哈拉德弯刀
itm_skirmisher_sword|哈拉德散兵剑
itm_harad_sabre|哈拉德火蜥刀
itm_harad_mace|远哈拉德钉头锤
itm_far_harad_2h_mace|远哈拉德双手钉头锤
itm_harad_dagger|哈拉德匕首
itm_harad_short_spear|哈拉德短枪
itm_harad_long_spear|哈拉德长枪
itm_eagle_guard_spear|哈拉德长兵器
itm_harad_long_shield_a|哈拉德豹紋盾
itm_harad_long_shield_b|哈拉德铜纹盾
itm_harad_long_shield_c|哈拉德日纹盾
itm_harad_long_shield_d|哈拉德蛇纹盾
itm_harad_long_shield_e|哈拉德蛇纹盾
itm_harad_shield_a|哈隆铎盾
itm_harad_shield_b|哈隆铎圆盾
itm_harad_shield_c|哈隆铎圆盾
itm_harad_yellow_shield|哈拉德盾
itm_desert_boots|沙漠靴
itm_harad_leather_greaves|哈拉德皮胫甲
itm_harad_scale_greaves|哈拉德胫甲
itm_harad_lamellar_greaves|哈拉德夹板胫甲
itm_khand_inf_helm_a|侃德盔
itm_khand_inf_helm_b|侃德盔
itm_khand_inf_helm_c1|侃德钵盔
itm_khand_inf_helm_c2|侃德钵盔
itm_khand_inf_helm_d|侃德锥盔
itm_khand_cav_helm_a|侃德骑手盔
itm_khand_cav_helm_b|侃德骑手盔
itm_khand_cav_helm_c|侃德饰纹盔
itm_khand_helm_mask|侃德面具
itm_khand_light|侃德短裙
; itm_khand_light_lam|Khand Light Footmen Armor
; itm_khand_foot_lam|Khand Heavy Footman Armor
itm_khand_med_lam|侃德板甲
itm_khand_heavy_lam|侃德重型板甲
; itm_khand_mail|Khand Mail
itm_khand_noble_lam|侃德贵族甲
itm_khand_axe_great|侃德巨斧
itm_khand_axe_winged|侃德翼斧
itm_khand_halberd|侃德斧枪
itm_khand_trident|侃德三叉戟
itm_khand_voulge|侃德钩镰枪
itm_khand_mace1|侃德钉头锤
itm_khand_mace2|侃德钉头锤
itm_khand_throwing_axe|侃德飞斧
itm_khand_rammace|侃德冲锤
itm_khand_pitsword|侃德洞穴斗士剑
itm_khand_tulwar|侃德马刀
itm_khand_2h_tulwar|侃德双手图瓦弯刀
itm_khand_lance|侃德骑枪
itm_easterling_round_horseman|东方人圆盾
itm_variag_gladiator_shield|侃德洞穴斗士盾
itm_easterling_hawk_shield|东方人鹰盾
itm_rhun_bull1_shield|卢恩盾
itm_rhun_bull2_shield|卢恩盾
itm_rhun_bull3_shield|卢恩盾
itm_rhun_shield|卢恩筝形盾
itm_rhun_armor_a|卢恩轻型战衣
itm_rhun_armor_b|卢恩轻型战衣
itm_rhun_armor_d|卢恩轻型战衣
itm_rhun_armor_g|卢恩重型战衣
itm_rhun_armor_h|卢恩重型战衣
itm_rhun_armor_j|卢恩战衣
itm_rhun_armor_m|卢恩战衣
itm_rhun_armor_n|卢恩战衣
itm_rhun_armor_o|卢恩战衣
itm_rhun_armor_p|卢恩贵族甲
itm_rhun_armor_k|卢恩贵族甲
itm_rhun_helm_chieftain|卢恩酋长盔
itm_rhun_helm_pot|卢恩锅盔
itm_rhun_helm_barbed|卢恩倒刺盔
itm_rhun_helm_round|卢恩圆盔
itm_rhun_helm_leather|卢恩皮盔
itm_rhun_warpick|卢恩战镐
itm_rhun_greataxe|卢恩巨斧
itm_rhun_battleaxe|卢恩战斧
itm_rhun_falchion|野蛮人刀
itm_rhun_glaive|卢恩长柄刀
itm_rhun_greatfalchion|野蛮人巨型刀
itm_rhun_greatsword|野蛮人巨剑
itm_rhun_shortsword|野蛮人短剑
itm_rhun_sword|野蛮人剑
itm_rhun_mangler|卢恩狼牙棒
itm_dale_light_a|河谷镇民兵夹克
itm_dale_light_b|北方人轻板甲
itm_dale_med_a|北方人重板甲
itm_dale_med_b|河谷镇皮甲
itm_dale_med_c|河谷镇皮罩链甲
itm_dale_med_d|河谷镇板甲
itm_dale_heavy_a|河谷镇罩锁甲板甲
itm_dale_heavy_b|河谷镇加强外套
itm_dale_heavy_c|罗马尼安链甲
itm_north_leather|北方人皮背心
itm_dale_helmet_a|河谷镇步兵轻型盔
itm_dale_helmet_b|河谷镇射手轻型盔
itm_dale_helmet_c|河谷镇步兵盔
itm_dale_helmet_d|河谷镇射手盔
itm_dale_helmet_e|披甲盔
itm_dale_helmet_f|披甲盔
itm_dale_sword|河谷镇短剑
itm_dale_sword_long|河谷镇长剑
itm_dale_sword_broad|河谷镇步兵剑
itm_dale_pike|河谷镇长枪
itm_dale_billhook|河谷镇柴刀
itm_dale_shield_a|河谷镇塔盾
itm_dale_shield_b|河谷镇塔盾
itm_dale_shield_c|河谷镇圆盾
itm_umb_armor_a|海盗皮背心
itm_umb_armor_b|海盗皮甲
itm_umb_armor_c|海盗轻鳞甲
itm_umb_armor_d|海盗鳞甲
itm_umb_armor_e|海盗链甲
itm_umb_armor_f|海盗贵族甲
itm_umb_helm_a|海盗壳盔
itm_umb_helm_b|海盗高盔
itm_umb_helm_c|海盗民兵盔
itm_umb_helm_d|海盗掠夺者盔
itm_umb_helm_reward|古代努曼诺尔盔
itm_corsair_trident|海洋之怒三叉戟
itm_corsair_boots|海盗靴
itm_umb_shield_a|海盗盾
itm_umb_shield_b|海盗圆盾
itm_umb_shield_c|海盗圆盾
itm_umb_shield_d|海盗圆盾
itm_umbar_spear|昂巴短枪
itm_umbar_cutlass|昂巴短剑
itm_kraken|海怪短剑
itm_umbar_rapier|昂巴登船剑
itm_corsair_harpoon|海盗鱼叉
itm_corsair_sword|海盗刃
itm_corsair_throwing_dagger|弯曲的飞刀
