pt_rescued_prisoners|获救的囚犯
pt_rhun_war_party|卢恩战队
pt_gondor_company|米那斯提力斯巡逻队
pt_rohan_company|洛汗连队
pt_imladris_company|瑞文戴尔连队
pt_lorien_company|罗斯洛立安连队
pt_woodelf_company|幽暗密林连队
pt_dale_company|河谷镇连队
pt_dwarf_company|矮人连队
pt_gondor_elite_company|刚铎精英连队
pt_rohan_elite_company|洛汗精英连队
pt_imladris_elite_company|瑞文戴尔精英连队
pt_lorien_elite_company|罗斯洛立安精英连队
pt_woodelf_elite_company|幽暗密林精英连队
pt_dale_elite_company|河谷镇精英连队
pt_dwarf_elite_company|矮人精英连队
pt_gondor_caravan|刚铎商队
pt_rohan_caravan|洛汗商队
pt_imladris_caravan|瑞文戴尔商队
pt_lorien_caravan|罗斯洛立安商队
pt_woodelf_caravan|幽暗密林商队
pt_dale_caravan|河谷镇商队
pt_dwarf_caravan|矮人商队
pt_mordor_caravan|魔多补给队
pt_isengard_caravan|艾辛格补给队
pt_gunda_caravan|刚达巴补给队
pt_gondor_p_train|刚铎俘虏押送队
pt_rohan_p_train|洛汗俘虏押送队
pt_imladris_p_train|瑞文戴尔俘虏押送队
pt_lorien_p_train|罗斯洛立安俘虏押送队
pt_woodelf_p_train|幽暗密林俘虏押送队
pt_dale_p_train|河谷镇俘虏押送队
pt_dwarf_p_train|矮人俘虏押送队
pt_mordor_p_train|魔多俘虏押送队
pt_isengard_p_train|艾辛格俘虏押送队
pt_kingdom_hero_party|战队
pt_caravan_survivors|商队幸存者
pt_routed_allies|被击溃的盟友
pt_routed_enemies|被击溃的敌人
pt_legion_minas_morgul|米那斯魔窟军团
pt_legion_udun|乌顿军团
pt_legion_gorgoroth|葛哥洛斯军团
pt_legion_barad_dur|邪黑塔军团
pt_beorn_messenger|波宁信差
pt_village|村庄
pt_ring_hunters|魔戒猎手
