str_yes|Oui.
str_s1_joined_battle_enemy|{s1} a rejoint la bataille dans le camp adverse.
str_s1_joined_battle_friend|{s1} a rejoint la bataille à vos côtés.
str_entrance_to_town_forbidden|Les gardes de la ville sont à l'affût d'intrus et il semble que vous ne soyez pas capable de passer les portes inaperçu.
str_sneaking_to_town_impossible|Les gardes de la ville sont en alerte. Vous ne serez pas capable de vous faufiler par ces portes peu importe votre déguisement.
str_battle_won|Vous avez gagné la bataille!
str_battle_lost|Vous avez perdu la bataille!
str_player_down|Vous avez été assomé, mais vos troupes combattent!
str_attack_walls_success|Après un combat sanglant, vos braves soldats ont réussis à s'emparer des murs ennemis.
str_attack_walls_failure|Vos soldats sont tombés par vagues en attaquant les murs, et le peu qu'il restait en vie ont vite été en déroute et on pris la fuite, on ne les reverra pas.
str_attack_walls_continue|Les deux camps ce sont battus à égale valeur à la suite d'une bataille sanglante. Malgré les efforts de vos troupes, le château est encore aux mains de l'ennemi.
str_order_attack_success|Vos hommes ont combattus bravement et vaincus l'ennemi.
str_order_attack_failure|Vous regardez la bataille désespéré puisque vos soldats sont balayés par l'ennemi, puis vous entraînez quelques survivants avec vous en déroute.
str_order_attack_continue|Malgré un champ de bataille étendu, vos troupes ont été incapables de remporter une victoire décisive.
str_join_order_attack_success|Vos soldats ont bien combattus aux côtés de vos alliés, partageant la gloire puisque vos ennemis sont vaincus.
str_join_order_attack_failure|Vous regardez la bataille désespéré puisque vos soldats sont balayés par l'ennemi, puis vous entraînez quelques survivants avec vous en déroute.
str_join_order_attack_continue|Malgré un champ de bataille étendu,ni vos troupes ni celles de votre allié n'ont été capable de remporter une victoire décisive sur l'ennemi. 
str_siege_defender_order_attack_success|Les hommes de la garnison protègent leurs murs avec habilité et courage, brisez l'assaut ennemi et retournez habilement la défaite en une déroute complète.
str_siege_defender_order_attack_failure|L'assaut tourne rapidement en un bain de sang. Les vaillants efforts sont vains; la garnison débordée ne peut tenir les murs, et l'ennemi passe tout les défenseurs au fil de l'épée. 
str_siege_defender_order_attack_continue|A nouveau, des tentatives sanglantes sur les murs ne parviennent pas à gagner du terrain, mais il reste beaucoup trop d'ennemi pour que les défenseurs puissent proclamer la victoire. Le siège continue.
str_hero_taken_prisoner|{s1} de {s3} a été fait prisonnier par {s2}.
str_hero_freed|{s1} de{s3} a été liberé de sa captivité par {s2}.
str_center_captured|{s2} a pris {s1} de {s3}!
str_troop_relation_increased|Vos relations avec {s1} se sont améliorées de {reg1} à {reg2}.
str_troop_relation_detoriated|Vos relations avec{s1} se sont dégradées de {reg1} à {reg2}.
str_faction_relation_increased|Vos relations avec {s1} se sont améliorées de {reg1} à {reg2}.
str_faction_relation_detoriated|Vos relations avec {s1} se sont dégradées de {reg1} à {reg2}.
str_party_gained_morale|Votre camp a gagné {reg1} de moral.
str_party_lost_morale|Votre camp a perdu {reg1} moral.
str_qst_follow_spy_noticed_you|L'espion vous a reperé ! Il a couru pour ça!
str_father|père
str_husband|époux
str_wife|épouse
str_daughter|fille
str_mother|mère
str_son|fils
str_brother|frère
str_sister|soeur 
str_he|Il
str_she|Elle
str_s3s_s2|{s3}'s {s2}
str_s5_is_s51|{s5} is {s51}.
str_s5_is_the_ruler_of_s51|{s5} est le suzerin de {s51}.
str_s5_is_a_nobleman_of_s6|{s5} est un noble de {s6}.
str_relation_mnus_100|Rancunier
str_relation_mnus_90|Rancunier
str_relation_mnus_80|Rancunier
str_relation_mnus_70|Malveillant
str_relation_mnus_60|Malveillant
str_relation_mnus_50| Hostile
str_relation_mnus_40| En colère
str_relation_mnus_30| Irrité
str_relation_mnus_20| Grognon [Si vous avez mieux je suis preneur]
str_relation_mnus_10| Suspicieux
str_relation_plus_0| Indifférent
str_relation_plus_10| Coopératif
str_relation_plus_20| Accueillant
str_relation_plus_30| Favorable
str_relation_plus_40| Parti Prenant 
str_relation_plus_50| Amical
str_relation_plus_60| Gracieux
str_relation_plus_70| Sincère
str_relation_plus_80| Loyal
str_relation_plus_90| Dévoué 
str_relation_mnus_100_ns|{s60} est rancunier envers vous.
str_relation_mnus_90_ns|{s60} est rancunier envers vous.
str_relation_mnus_80_ns|{s60} est rancunier envers vous.
str_relation_mnus_70_ns|{s60} est malveillant envers vous.
str_relation_mnus_60_ns|{s60} est malveillant envers vous.
str_relation_mnus_50_ns|{s60} est hostile envers vous.
str_relation_mnus_40_ns|{s60} est en colère après vous.
str_relation_mnus_30_ns|{s60} est irrité.
str_relation_mnus_20_ns|{s60} est grognon après vous.
str_relation_mnus_10_ns|{s60} est suspicieux envers vous.
str_relation_plus_0_ns|{s60} est indifférent.
str_relation_plus_10_ns|{s60} est coopératif avec vous.
str_relation_plus_20_ns|{s60} est accueillant avec vous.
str_relation_plus_30_ns|{s60} vous est favorable.
str_relation_plus_40_ns|{s60} vous soutient.
str_relation_plus_50_ns|{s60} est amical avec vous.
str_relation_plus_60_ns|{s60} est gracieux avec vous.
str_relation_plus_70_ns|{s60} est sincère avec vous.
str_relation_plus_80_ns|{s60} vous est loyal.
str_relation_plus_90_ns|{s60} vous est dévoué.
str_relation_reg1| Relation: {reg1}
str_center_relation_mnus_100|La population vous déteste ardemment 
str_center_relation_mnus_90|La population vous déteste intensément
str_center_relation_mnus_80|La population vous déteste fortement
str_center_relation_mnus_70|La population vous déteste
str_center_relation_mnus_60|La population vous est détestable
str_center_relation_mnus_50|La population est extrêmement hostile envers vous
str_center_relation_mnus_40|La population est très hostile envers vous
str_center_relation_mnus_30|La population vous est hostile
str_center_relation_mnus_20|La population en a après vous
str_center_relation_mnus_10|La population est opposée à vous
str_center_relation_plus_0|La population est indifférente
str_center_relation_plus_10|La population est tolérante avec vous
str_center_relation_plus_20|La population est coopérative avec vous
str_center_relation_plus_30|La population vous supporte un peu
str_center_relation_plus_40|La population vous supporte
str_center_relation_plus_50|La population vous supporte beaucoup
str_center_relation_plus_60|La population vous est loyale
str_center_relation_plus_70|La population vous est très loyale
str_center_relation_plus_80|La population vous est dévouée
str_center_relation_plus_90|La population vous est fortement dévouée
str_town_prosperity_0|La pauvreté de la ville de {s60} est irrattrapable 
str_town_prosperity_10|L'insalubrité de la ville de {s60} est tout sauf inexistante.
str_town_prosperity_20|La ville de {s60} semble un endroit misérable et désolé.
str_town_prosperity_30|La ville de {s60} semble pauvre et négligée.
str_town_prosperity_40|La ville de {s60} à l'air en difficulté.
str_town_prosperity_50|La ville de {s60} n'as pas grand intérêt.
str_town_prosperity_60|La ville de {s60} semble fleurissante.
str_town_prosperity_70|La ville prospère de {s60} est en pleine effervescence.
str_town_prosperity_80|La ville de {s60} semble riche et bien entretenue.
str_town_prosperity_90|La ville de {s60} est opulente et bondé de gens apte à tout faire.
str_town_prosperity_100|La scintillante ville de {s60} étale ouvertement sa grand richesse.
str_village_prosperity_0|Le pauvre village de {s60} est irrattrapable.
str_village_prosperity_10|Le village de {s60} à l'air malheureux, pauvre et misérable.
str_village_prosperity_20|Le village de {s60} semble très pauvre et désolé.
str_village_prosperity_30|Le village de {s60} semble pauvre et négligé.
str_village_prosperity_40|Le village de {s60} semble pauvre et quelque peu en difficulté.
str_village_prosperity_50|Le village de {s60} à l'air banal.
str_village_prosperity_60|Le village de {s60} semble être florissant.
str_village_prosperity_70|Le village de {s60} apparaît comme robuste.
str_village_prosperity_80|Le village de {s60} à l'air riche et bien entretenu.
str_village_prosperity_90|Le village de {s60} à l'air très riche et prospère.
str_village_prosperity_100|Le village de {s60} entouré par de vastes champs fertiles, semble immensément riche.
str_war_report_minus_4|nous sommes sur le point de perdre la guerre
str_war_report_minus_3|la situation est désolée
str_war_report_minus_2|les choses ne vont pas très bien pour nous
str_war_report_minus_1|nous pouvons toujours gagner la guerre si nous nous reprenons 
str_war_report_0|nous sommes à force égale avec l'ennemi
str_war_report_plus_1|il est très probable que nous gagnons la guerre
str_war_report_plus_2|les choses vont très bien
str_war_report_plus_3|nous ne devrions avoir aucune difficulté à gagner la guerre
str_war_report_plus_4|nous sommes sur le point de gagner la guerre
str_persuasion_summary_very_bad|Vous essayez de convaincre {s50}, mais aucuns de vos arguments n'ont l'air d'y parvenir. Chaque fois que vous commencez à débattre, vous semblez dire quelque chose d'entièrement faux qui vous décrédibilise. Une fois avoir fini de parler vous n'avez pas réussi a rendre votre proposition cohérente, et vous réalisez que vous vous êtes encore plus enfoncé. Sans surprise {s50} n'as pas l'air impressioné.
str_persuasion_summary_bad|Vous essayez de convaincre {s50}, mais {reg51?she:he} vous discrédite depuis le début. Même vos meilleurs arguments sonnent faux dans vos oreilles. {s50}, également, n'as pas eu une très bonne impression de votre discours.
str_persuasion_summary_average|{s50} se révèle être un bon orateur à l'esprit vif, et vous n'arrivez pas à répondre quelque chose de concret {reg51?she:he} ne peux pas contredire avec un argument rationnel. En fin de compte, aucun de vous ne parviens à gagner du terrain pendant cette discussion.
str_persuasion_summary_good|Grâce à la vivacité d'esprit et une argumentation délicate, vous parvenez à exposer votre cause, forçant {s50} à céder sur plusieurs points. Cependant, {reg51?she:he} continue à douter de votre requête.
str_persuasion_summary_very_good|Vous livrez un discours passionné qui attire toute l'attention tel une poésie. Le monde lui même semble se calmer afin de mieux vous entendre . Les mots utilisés ont touchés {s50} profondément, et {reg51?she:he} semble bien mieux disposer à vous apporter son aide.
str_surname_1|{s50} de Tarnost
str_surname_2|{s50} de Lossarnach
str_surname_3|{s50} d'Erech
str_surname_4|{s50} d'Edhellond
str_surname_5|{s50} de Pelargir
str_surname_6|{s50} de Linhir
str_surname_7|{s50} d'Ethring
str_surname_8|{s50} d'Aldburg
str_surname_9|{s50} d'Isengard
str_surname_10|{s50} de Westfold
str_surname_11|{s50} d'Erebor
str_surname_12|{s50} d'Eastfold
str_surname_13|{s50} du Morannon
str_surname_14|{s50} de Cirith Ungol
str_surname_15|{s50} d'Osgiliath
str_surname_16|{s50} de la Moria
str_surname_17|{s50} de Dale
str_surname_18|{s50} d'Esgaroth
str_surname_19|{s50} de Dol Guldur
str_surname_20|{s50} de Gundabad
str_surname_21|{s50} le Long
str_surname_22|{s50} l'Émacié
str_surname_23|{s50} le Nazgûl
str_surname_24|{s50} le Moineau
str_surname_25|{s50} le Maudit
str_surname_26|{s50} le Balafré
str_surname_27|{s50} le Juste
str_surname_28|{s50} le Sombre
str_surname_29|{s50} le Rouge
str_surname_30|{s50} le Noir
str_surname_31|{s50} le Grand
str_surname_32|{s50} l'Œil-d'Étoile
str_surname_33|{s50} l'Intrépide
str_surname_34|{s50} le Mordeur d'Arbre
str_surname_35|{s50} le Rusé
str_surname_36|{s50} le Couard
str_surname_37|{s50} le Vif
str_surname_38|{s50} le Rapide
str_surname_39|{s50} le Ménestrel
str_surname_40|{s50} le Gras
str_surname_41|{s50} Tête-Chaude
str_number_of_troops_killed_reg1|Nombre de tués: {reg1}
str_number_of_troops_wounded_reg1|Nombre de blessés: {reg1}
str_number_of_own_troops_killed_reg1|Nombre d'alliés tués: {reg1}
str_number_of_own_troops_wounded_reg1|Nombre d'alliés blessés: {reg1}
str_retreat|Retraite!
str_siege_continues|Le combat continue...
str_casualty_display|Vos pertes: {s10}^Pertes ennemies: {s11}{s12}
str_casualty_display_hp|^Une blessure vous retire {reg1} points de vie.
str_quest_log_updated|Le journal de quêtes a été mis à jour...
str_banner_selection_text|On vous a octroyé le droit de porter une bannière. Votre bannière est la preuve de votre haut rang et de votre fierté. Quelle bannière choisissez-vous?
str_retirement_text_1|Vous vous rendez compte un peu tard que votre argent ne suffira pas. Il ne vous a pas fallu longtemps pour gaspiller le peu que vous aviez économisé. Vous faites plusieurs tentatives désespérées pour relancer votre aventure mais en vain. Vous finissez mendiant à {s9}, vivant de l'aumône et de la charité des gens.
str_retirement_text_2|Vous vous rendez compte un peu tard que votre argent ne suffira pas. Il ne vous a pas fallu longtemps pour gaspiller le peu que vous aviez économisé. Une fois le moindre argent évaporé de vos mains, vous êtes forcé de commencer une vie de crimes dans les ruelles de {s9}, utilisant vos compétences pour gagner un peu d'argent auprès des femmes et des pauvres citadins.
str_retirement_text_3|Vous vous rendez compte un peu tard que votre argent ne suffira pas. Il ne vous a pas fallu longtemps pour gaspiller le peu que vous aviez économisé. Vous finissez en vagabond sans le sou, allant de taverne en taverne pour obtenir à boire auprès d'indulgents patrons en les régalant avec des histoires de guerre que personne ne croit jamais.
str_retirement_text_4|L'argent que vous avez économisé n'a pas duré longtemps, mais vous réussissez à en rassembler assez pour acheter un terrain près du village de {s7}. Vous devenez un fermier libre et vous commencez bientôt à attirer des {épouses potentielles/maris potentiels}. Au fil du temps, les villageois viennent à vous traiter comme leur héros local. Vous avez toujours une place d'honneur dans les fêtes et vos exploits sont racontés dans les pubs et les tavernes afin que les enfants se souviennent de vous pour toujours.
str_retirement_text_5|L'argent que vous avez économisé n'a pas duré lontemps, mais vous en avez assez pour acheter une petite taverne à {s9}. Bien que les locaux se méfient de vous au début, ils ne tardent pas à vous accepter dans leur milieu. Au fil du temps, votre taverne devient un lieu festif, populaire et un lieu rencontre. Les gens viennent de loin pour y manger et y séjourner en raison de votre notoriété et des histoires épiques que vous racontez à propos de votre passé d'aventurier.
str_retirement_text_6|Vous avez sagement économisé durant votre carrière et à présent, votre argent et votre intelligence vous permettent de faire d'excellents investissements pour cimenter votre futur. Après avoir acheté plusieurs magasins et entrepôts à {s9}, votre sens des affaires fait de vous l'un des marchands les plus importants de la ville et vous devenez bientôt {un homme fortuné connu/une femme fortunée connue} aussi bien pour votre empire commercial que pour vos exploits au combat.
str_retirement_text_7|En tant que noble, même de moindre importance, votre futur est quasiment assuré. Vous vous installez dans votre fief de {s7}, administrant le village et ses alentours, rendant la justice, accomplissant ainsi votre devoir de seigneur. De temps en temps, votre suzerain fait appel à vous pour l'aider dans ses campagnes militaires mais cela ne dure jamais très longtemps et vous ne partez plus à l'aventure comme auparavant. Vous avez déjà fait votre fortune. Avec votre propre hall et votre patrimoine, il existe peu de choses dont vous ayez vraiment besoin et que vos revenus ne puissent vous permettre d'acquérir.
str_retirement_text_8|Vous avez sans aucun doute réussi à assurer votre avenir. Votre vaste patrimoine et vos richesses amassées durant vos aventures vous garantissent un avenir aisé. Vous retirant dans votre domaine de {s8}, vous échangez votre vie d'aventurier pour la politique et vous vous imposez rapidement comme l'un des plus puissants du royaume de votre suzerain. Avec les intrigues auxquelles vous participez, vos propres forêts où chasser, un hall pour festoyer et une centaine d'histoires de guerre épiques à raconter, vous n'aurez pas de mal à tirer le meilleur des années qui suivent.
str_retirement_text_9|Comme récompense pour vos bons et loyaux services, votre suzetain a décrété que votre titre serait héréditaire, vous faisant rejoindre la grande noblesse du royaume. Vous devenez ainsi baron de {s7} et l'un des plus proches conseillers du souverain. Votre renommée accentue davantage votre influence aussi bien que votre puissance politique. A présent, vous occupez vos journées aux jeux du pouvoir, administrant vos vastes possessions tout en vous rappelant les temps anciens de l'aventure et de la gloire.
str_retirement_text_10|Bien que vous ayez eu des débuts humbles, votre suzerain vous tient en haute estime et une onde de choc a traversé le royaume lorsqu'il vous a donné le titre de {comte/comtesse} de {s9}. De vastes possessions et une immense fortune sont maintenant vôtres. Vous devenez rapidement le meilleur conseiller du souverain qui vous traite en égal et vous charge des missions les plus importantes dans le royaume. Vous possédez un trône dans votre splendide palais, ce qui fait de vous l'un des personnages les plus importants de la Terre du Milieu.
str_loot_village|attaquer les villageois innocents
str_steal_from_villagers|voler les pauvres villageois
str_rob_caravan|dévaliser une caravane marchande
str_sell_slavery|vendre des personnes comme esclaves
str_men_hungry|à court de nourriture
str_men_unpaid|incapable de payer les hommes
str_excessive_casualties|sacrifier un grand nombre de nos soldats
str_surrender|se rendre à l'ennemi
str_flee_battle|fuir la bataille
str_pay_bandits|payer des bandits
str_fail_quest|vous avez échoué dans une quête pour laquelle nous avons donné notre parole d'honneur
str_squander_money|dépenser l'argent qui nous a été donné en dépôt
str_murder_merchant|nous impliquer dans un meurtre de sang froid
str_round_up_serfs|rassembler des serfs au nom d'un noble
str_battle_fate_1|Nous avons été séparés dans le feu de l'action
str_battle_fate_2|J'ai été blessé et laissé pour mort
str_battle_fate_3|J'ai été assommé par l'ennemi
str_battle_fate_4|J'ai été capturé et rançonné
str_battle_fate_5|J'ai été capturé mais j'ai finalement réussi à m'échapper
str_npc_morale_report|Je suis {s6} de votre choix de compagnons, {s7} de vos qualités de dirigeant, et {s8} de l'état général des affaires
str_happy|heureux
str_content|satisfait 
str_concerned|inquiet
str_not_happy|pas du tout content
str_miserable|carrément choqué
str_morale_reg1| Moral: {reg1}
str_bar_enthusiastic| Enthousiaste
str_bar_content| Satisfait
str_bar_weary| Fatigué
str_bar_disgruntled| Mécontent
str_bar_miserable| Malheureux
str_here_plus_space|ici
str_npc1_intro|Salut, guerrier, et bienvenue à Henneth Annûn.
str_npc2_intro|Salut, visiteur! Puis-je vous demander en quoi consistent vos affaires ici?
str_npc3_intro|Ho! Faites moins de bruit s'il vous plaît, voyageur.
str_npc4_intro|Bienvenue à Meduseld, guerrier!
str_npc5_intro|Salut {playername}. Mae govannen!
str_npc6_intro|Laissez-moi seul, étranger, je ne souhaite pas vous parler.
str_npc7_intro|Kíli, fils de Dwalin, à votre service!
str_npc8_intro|Bienvenue à Dale, voyageur! Comment puis-je vous aider?
str_npc9_intro|Chut! If you just as wave to the guards, I'll slice out your gizzard and feed it to the wargs!
str_npc10_intro|Vous!
str_npc11_intro|Ar! Vous n'êtes pas d'ici, n'est-ce pas? Je peux le sentir, an' if you say I can't in front of the Bosses I'll squeeze your eyes out!
str_npc12_intro|Oho! Que faites-vous, caché ici?
str_npc13_intro|Venez là! Qu'apportez-vous à la tente du Chef?
str_npc14_intro|Vous avez la démarche d'un homme dont les jambes ont vu trop peu de jours en mer, étranger.
str_npc15_intro|Louez l'Oeil, oh Guerrier!
str_npc16_intro|Il est rare de voir un étranger parmi les tentes des terres orientales. Qu'apportez-vous là? Parlez maintenant et soyez bref.
str_npc17_intro|Hey. Ces bois vous plaisent-ils?
str_npc1_intro_response_1|Salut, Maître Traqueur. Comment vont les Rôdeurs du Sud?
str_npc2_intro_response_1|Mes affaires sont les affaires du Gondor, et qui êtes-vous?
str_npc3_intro_response_1|Bonne journée à vous aussi, quelque chose ne va pas?
str_npc4_intro_response_1|Salutations, ma Dame. A qui ai-je l'honneur de parler?
str_npc5_intro_response_1|Salut Seigneur Elfe! C'est un grand honneur de vous rencontrer.
str_npc6_intro_response_1|Est-ce ainsi que les Elfes Sylvains accueillent leurs hôtes?
str_npc7_intro_response_1|{playername}, à votre service. Comment se porte le peuple de Durin?
str_npc8_intro_response_1|Salutations. Je me demandais s'il se trouvait ici des volontaires pour nous rejoindre dans nos voyages.
str_npc9_intro_response_1|Retiens tes menaces, Uruk, avant qu'on en arrive au sang - je ne suis pas une balance.
str_npc10_intro_response_1|Qui êtes-vous?
str_npc11_intro_response_1|Qui êtes-vous?
str_npc12_intro_response_1|Qui êtes-vous?
str_npc13_intro_response_1|Qui êtes-vous?
str_npc14_intro_response_1|Qui êtes-vous?
str_npc15_intro_response_1|Loue l'Oeil, Snaga. Quelle est ton histoire?
str_npc16_intro_response_1|Qui êtes-vous?
str_npc17_intro_response_1|La Forêt Noire est une forêt magnifique. Qui êtes-vous? Connaissez-vous ces bois?
str_npc1_intro_response_2|De toute façon, je crains que les cavernes ne soient pas un endroit agréable pour une conversation.
str_npc2_intro_response_2|Je n'ai pas le temps de parler à des gardes, de toute façon.
str_npc3_intro_response_2|Dans ce cas, je vais faire "du bruit" ailleurs.
str_npc4_intro_response_2|Excusez-moi, j'ai une affaire urgente à traiter ailleurs.
str_npc5_intro_response_2|Excusez-moi, j'ai des personnes moins importantes à qui parler.
str_npc6_intro_response_2|Ce sentiment est partagé. Au revoir.
str_npc7_intro_response_2|Tant pis, j'ai besoin d'un peu d'air frais.
str_npc8_intro_response_2|Tant pis, nous sommes simplement de passage.
str_npc9_intro_response_2|Je vais bientôt me mettre en route, ou mon épée va commencer à me démanger.
str_npc10_intro_response_2|[Ignorer et partir]
str_npc11_intro_response_2|Occupe-toi de tes affaires, asticot!
str_npc12_intro_response_2|Occupe-toi de tes affaires, asticot!
str_npc13_intro_response_2|Occupe-toi de tes affaires!
str_npc14_intro_response_2|Occupe-toi de tes affaires!
str_npc15_intro_response_2|Hmmf. Garde tes petites griffes pour toi, Snaga.
str_npc16_intro_response_2|Occupe-toi de tes affaires!
str_npc17_intro_response_2|Oui, les bois sont plaisants, mais je dois partir à présent.
str_npc1_backstory_a|Vous arrivez dans une période difficile, ami. L'Ithilien est envahie par les éclaireurs et les pilleurs ennemis, et certains d'entre nous ont vus de grandes bandes d'orques bouger. Nous essayons d'empêcher ces créatures insensées de traverser l'Anduin, et j'ai emmené un groupe de rôdeurs entraînés vers plus d'un succès. Mon capitaine Faramir est courageux, et l'ombre qui s'étend au dessus de nous ne me fait pas désespérer.
str_npc2_backstory_a|Ah, comme c'est généreux de vôtre part de prendre de mes nouvelles. J'ai récemment été nommé à la garde du Surintendant, un devoir important, si je puis me permettre, mais peu riche en événements.
str_npc3_backstory_a|Enfin, mon vieux casque semble devenir de plus en petit de minutes en minutes, et le sol semble inégal, comme si je marchais sur une huile malicieuse. Ah, si je n'avais pas bu toute cette bière la nuit dernière. Normalement je supporte bien la boisson, donc ça devait être je ne sais quelle chose répugnante des orque.
str_npc4_backstory_a|Mon nom est Gálmynë, et je m'étais mis à la recherche du vôtre, {playername}. Laissez moi expliquer pourquoi.
str_npc5_backstory_a|Vous avez du entendre parler de mes exploits dans des batailles qui se sont passées il y a longtemps et depuis oubliées par les hommes mortels. Dans cette époque incertaine, cette guerre est un autre dans pour les Eldars, mais ce seras la dernière guerre.
str_npc6_backstory_a|Excusez ma hardiesse, étranger, mais nous n'avons pas beaucoup de visiteurs, et beaucoup sembles peu dignes de confiance. Il n'y a pas une semaine un nain est apparu, et... Peu importe, mon nom est Luevanna, des elfes sylvains de Mirkwood.
str_npc7_backstory_a|C'est poli de vôtre part de demander, {playername}. Nous sommes en train de combattre les incursions des Orientaux et du peuple de Gungabad, rien de bien difficile, et que nous maîtrisons sans problème avec nos alliés de Dale.
str_npc8_backstory_a|Je suis sûr que vous pourrez trouver des volontaires si vous parler avec le quartier-maître de nos casernes*.Quand à moi je ne suis qu'un soigneur et herboristes aux compétences modestes.
