ui_at_learning_limit|(Limite d'apprentissage atteinte)
; ui_explanation_charisma|Charisma: Improves your standing with people and factions. Each point increases your party size limit by +1 (0.5 for companions). The following skills can not be developed beyond 1/3 of Charisma: Prisoner Management, Wildcraft, Leadership, Trade.
ui_delivered_number_damage|Dégâts infligés : %d
ui_mission_losses_killed|tués :
ui_party_losses|%s : %d blessés --- %d décès sur %d.
ui_following|Suivent 
ui_accompanying|Accompagnent 
ui_dumping_value_items|%d objets seront définitivement perdus, confirmez-vous vouloir continuer ?
ui_dumping_value_item|Un objet sera définitivement perdu, confirmez-vous vouloir continuer ?
ui_notification_requirements_not_met|Attributs ou compétences trop faibles pour pouvoir utiliser cette arme.
ui_disband|Renvoyer
ui_you_hit_a_friendly_troop|Vous avez touché un allié !
ui_you_are_not_carrying_any_arrows|Vous ne transportez aucune flèche.
ui_received_number_damage|Points de dégâts subis : %d
ui_you_have_improved_your_proficiency_in_value_to_number|Votre maîtrise en %s est passée à %d.
ui_your_proficiency_in_value_has_improved_by_number_to_number|Votre maîtrise en %s a été améliorée de +%d pour un total de %d.
ui_value_killed_by_value|%s a été tué par %s.
ui_value_knocked_unconscious_by_value|%s a été assommé par %s.
ui_you_got_number_experience|Vous avez obtenu %d points d'expérience.
ui_you_have_advanced_to_level_number|Vous avez atteint le niveau %d.
ui_quest_succeeded_value|Quête réussie : %s.
ui_number_of_companions_exceeds_leadership_limit| Le nombre de vos compagnons excède votre limite de commandement.
ui_number_of_prisoners_exceeds_prisoner_management_limit| Le nombre de prisonniers excède votre limite de gestion de prisonniers.
ui_shared_number_experience_within_party|Le groupe se partage %d points d'expérience.
ui_your_relations_with_value_has_improved_from_number_to_number|Vos relations avec %s se sont améliorées et passent de %d à %d.
ui_your_relations_with_value_has_deteriorated_from_number_to_number|Vos relations avec %s se sont détériorées et passent de %d à %d.
ui_you_lost_value|Vous avez perdu %s.
ui_change_graphics_settings_explanation|Certaines des modifications que vous avez faites ne prendront effet que lorsque vous entrerez dans une nouvelle zone.
ui_game_log_window|Fenêtre du journal du jeu
ui_blunt_short|c
ui_tracks|Traces
ui_need_to_learn_prisoner_management|Il faut au moins 1 en compétence Gestion des prisonniers pour faire des prisonniers.
ui_unbalanced|Déséquilibré
ui_can_crush_through_blocks|Peut broyer les boucliers

ui_order_1|Sélectionner l'ordre 1
ui_order_2|Sélectionner l'ordre 2
ui_order_3|Sélectionner l'ordre 3
ui_order_4|Sélectionner l'ordre 4
ui_order_5|Sélectionner l'ordre 5
ui_order_6|Sélectionner l'ordre 6
ui_order_button_hold_this_position|Tenir la position
ui_order_button_follow_me|Suivez-moi
ui_order_button_charge|Chargez
ui_order_button_stand_ground|Défendez la position
ui_order_button_retreat|Retraite
ui_order_button_advance|Avancez de dix pas
ui_order_button_fall_back|Reculez de dix pas
ui_order_button_spread_out|Déployez-vous
ui_order_button_stand_closer|Resserrez les rangs
ui_order_button_mount_horses|Monter
ui_order_button_dismount|Mettre pied à terre
ui_order_button_hold_fire|Cessez le feu
ui_order_button_fire_at_will|Feu à volonté
ui_order_button_use_blunt_weapons|N'utilisez que les armes contondantes
ui_order_button_use_any_weapon|Utilisez toutes vos armes
ui_order_button_movement_orders|Ordres de déplacement
ui_order_button_formation_orders|Ordres de formation
ui_order_button_fire_orders|Ordres de tir
ui_follow_me_e_|%s, suivez-moi !
ui_charge_e_|%s, chargez !!!
ui_stand_ground_e_|%s, défendez vos positions !
ui_retreat_e_|%s, battez en retraite !
ui_mount_horses_e_|%s, montez !
ui_dismount_e_|%s, pied à terre !
ui_advance_e_|%s, avancez de dix pas !
ui_fall_back_e_|%s, reculez de dix pas !
ui_stand_closer_e_|%s, resserrez les rangs !
ui_spread_out_e_|%s, déployez-vous !
ui_use_blunt_weapons_e_|%s, n'utilisez que les armes contondantes !
ui_use_any_weapon_e_|%s, utilisez l'arme de votre choix !
ui_hold_fire_e_|%s, cessez le feu !
ui_fire_at_will_e_|%s, feu à volonté !
ui_hold_this_position_e_|%s, tenez cette position !
ui_infantry|Infanterie
ui_archers|Archers
ui_cavalry|Cavalerie
ui_companions|Compagnons
ui_everyone_hear_me|Écoutez-moi tous !
ui_everyone|Tout le monde
ui_everyone_around_me|Soldats à proximité
ui_str_hear_me|%s, aux ordres !

ui_return|Retour
ui_factions|Factions
ui_troop_upgrades|Promotion des troupes
ui_hdr_mode|Mode HDR :
ui_autoexpore|Auto-exposition (recommandé si HDR est activé)
ui_saving_policy_realistic|Sauvegarde obligatoire en quittant (non recommandé)
ui_saving_policy_nonrealistic|Pouvoir quitter sans sauver (recommandé, plusieurs sauvegardes)
