797
qstr_Received_{reg0}_dama Received_{reg0}_damage.
qstr_Ironflesh^Power_Stri Ironflesh^Power_Strike^Power_Throw^Power_Draw^Shield^Athletics^Riding^Horse_Archery
qstr_Proficiencies Proficiencies
qstr_1H_Weapons^2H_Weapon 1H_Weapons^2H_Weapons^Polearms^Archery^Crossbows^Throwing
qstr_Equipment Equipment
qstr_The_Last_Days_Mod_Op The_Last_Days_Mod_Options
qstr_War_Starts_at_Level: War_Starts_at_Level:_
qstr_20 20
qstr_18 18
qstr_16 16
qstr_14 14
qstr_12 12
qstr_10 10
qstr_8 8
qstr_6 6
qstr_Restrict_Player_Equi Restrict_Player_Equipment:__
qstr_Battle_Formations_an Battle_Formations_and_AI:__
qstr_Native Native
qstr_TLD_FormAI__Original TLD_FormAI_(Original)
qstr_TLD_New_FormAI TLD_New_FormAI
qstr_Advanced_Siege_AI:__ Advanced_Siege_AI:__
qstr_On On
qstr_Town_NPCs_Always_Acc Town_NPCs_Always_Accessible_from_Menus:__
qstr_Cutscenes:__ Cutscenes:__
qstr_Injuries_for_compani Injuries_for_companions:__
qstr_Permanent_death_for_ Permanent_death_for_lords_and_companions:__
qstr_Permanent_death_for_p Permanent_death_for_player_(that_is_YOU!):__
qstr_Battle_morale_system Battle_morale_system:__
qstr_Animal_ambushes:__ Animal_ambushes:__
qstr_Fallen_rider_damage_ Fallen_rider_damage_messages:__
qstr_No_Messages No_Messages
qstr_Player_damage_only Player_damage_only
qstr_All_Messages All_Messages
qstr_Troop_Identifier_in_ Troop_Identifier_in_Battles_(Press_Y_during_battle_to_show/hide):
qstr_Disable Disable
qstr_Enable_without_Facti Enable_without_Faction_Names
qstr_Enable_with_Faction_ Enable_with_Faction_Names
qstr_Simple:_Red___Enemy_ Simple:_Red_-_Enemy_/_Green_-_Allies
qstr_Preferred_Camera_Mod Preferred_Camera_Mode:__
qstr_Default_Camera Default_Camera
qstr_Free_Mode_Custom_Cam Free-Mode_Custom_Camera
qstr_Fixed_Over_The_Shoul Fixed_Over-The-Shoulder_Camera
qstr_Prevent_AI_from_taki Prevent_AI_from_taking_defensive:__
qstr_Brighter_Nights:__ Brighter_Nights:__
qstr_Done Done
qstr_Gameplay_Tweaks Gameplay_Tweaks
qstr_Beta_Formations_Twea Beta_Formations_Tweaks
qstr_War_Will_Start_at_Le War_Will_Start_at_Level_{reg0}
qstr_Troop_Tree Troop_Tree
qstr__Click_on_a_unit_for (Click_on_a_unit_for_details)
qstr_{s2}^{s3} {s2}^{s3}
qstr_* *
qstr_Weapons Weapons
qstr_Armors Armors
qstr_Others Others
qstr_{s1}_has_{reg1}_comp {s1}_has_{reg1}_component_meshes
qstr_F4___Complex_formati F4_-_Complex_formations
qstr_F7___Memorize_div._p F7_-_Memorize_div._placement
qstr_F8___Default_divisio F8_-_Default_division_placement
qstr_F4___Ranks F4_-_Ranks
qstr_F5___Shield_Wall F5_-_Shield_Wall
qstr_F6___Wedge F6_-_Wedge
qstr_F7___Square F7_-_Square
qstr_F8___No_Formation F8_-_No_Formation
qstr_Extended_Formations_ Extended_Formations_and_AI_Options
qstr_Put_player_in_divisi Put_player_in_division:_
qstr_None None
qstr_Army_rotates_to_face Army_rotates_to_face_enemy_center:_
qstr_Prevent_AI_from_takin Prevent_AI_from_taking_defensive:_
qstr_AI_Controls_Troops_W AI_Controls_Troops_When_Player_is_KO'd:_
qstr_You_gained_{reg0}_Re You_gained_{reg0}_Resource_Points_of_{s0}.
qstr_You_lost_{reg0}_Reso You_lost_{reg0}_Resource_Points_of_{s0}.
qstr_{s24}: {s24}:
qstr_Great_Hope_of_{s5} Great_Hope_of_{s5}
qstr_Hope_of_{s5} Hope_of_{s5}
qstr_Indispensable_Ally_o Indispensable_Ally_of_{s5}
qstr_Faithful_Ally_of_{s5 Faithful_Ally_of_{s5}
qstr_Trusted_Friend_of_{s Trusted_Friend_of_{s5}
qstr_Close_Friend_of_{s5} Close_Friend_of_{s5}
qstr_Friend_of_{s5} Friend_of_{s5}
qstr_Familiar_to_{s5} Familiar_to_{s5}
qstr_Known_to_{s5} Known_to_{s5}
qstr_Stranger_to_{s5} Stranger_to_{s5}
qstr_Great_Enforcer_of_{s Great_Enforcer_of_{s5}
qstr_Enforcer_of_{s5} Enforcer_of_{s5}
qstr_Important_Ally_of_{s Important_Ally_of_{s5}
qstr_Ally_of_{s5} Ally_of_{s5}
qstr_Accomplice_of_{s5} Accomplice_of_{s5}
qstr_Useful_Tool_of_{s5} Useful_Tool_of_{s5}
qstr_Servant_of_{s5} Servant_of_{s5}
qstr_Unknown_to_{s5} Unknown_to_{s5}
qstr_You_have_been_{reg1? You_have_been_{reg1?promoted:demoted}_to_{s24}_({reg0})!
qstr_You_{reg1?earned:los You_{reg1?earned:lost}_{reg11}_rank_points_{reg12?and_{reg12}_influence_:}with_your_home_faction_{s11}.
qstr_You_{reg1?earned:lost You_{reg1?earned:lost}_{reg11}_rank_points_{reg12?and_{reg12}_influence_:}with_{s11}.
qstr_You_spent_{reg10}_of You_spent_{reg10}_of_your_influence_with_{s1},_with_{reg11}_remaining.
qstr_Troop_upkeep: Troop_upkeep:
qstr_{s11}_and_{s10} {s11}_and_{s10}
qstr_their their
qstr_{s11} {s11}
qstr_its its
qstr_[no_upkeep_costs] [no_upkeep_costs]
qstr_Short_of_Resource_Po Short_of_Resource_Points!!
qstr_{s10}_will_soon_reas {s10}_will_soon_reassign_some_of_{s12}_troops_away_from_your_party!
qstr_Superior_orders_from Superior_orders_from_{s11}_to_reassign_troops:
qstr_{reg12}_{s10}_left_t {reg12}_{s10}_left_the_party!
qstr_Fangorn_claimed_{reg Fangorn_claimed_{reg0}_killed_and_{reg1}_wounded_among_your_troops!
qstr_You_were_wounded_in_ You_were_wounded_in_Fangorn!
qstr_{s1}_of_{s3}_was_def {s1}_of_{s3}_was_defeated_in_battle.
qstr_{s2}_have_razed_{s1} {s2}_have_razed_{s1}!
qstr_DEBUG:_{s1}_no_longe DEBUG:_{s1}_no_longer_leads_a_party.
qstr_DEBUG:_{s1}_is_no_lo DEBUG:_{s1}_is_no_longer_a_prisoner.
qstr_DEBUG:_{s1}_is_now_a DEBUG:_{s1}_is_now_a_prisoner_of_player.
qstr_DEBUG:_{s1}_is_now_a_ DEBUG:_{s1}_is_now_a_prisoner_of_{s2}.
qstr_Left_for_dead_but_mi Left_for_dead_but_miraculously_survived:_{reg1?{reg1}_time{reg2?s:}:NEVER}
qstr_1_Res.Pt__{s2}_ 1_Res.Pt_({s2})
qstr_{reg1}_Res.Pts__{s2} {reg1}_Res.Pts_({s2})
qstr_Gondor_AI_Tweaks___M Gondor_AI_Tweaks_-_Make_Gondor_marshall_a_bit_stronger
qstr_Gondor_AI_Tweaks___G Gondor_AI_Tweaks_-_Gondro_Party_Size_Boost
qstr_+30_to_Party_Morale +30_to_Party_Morale
qstr_+20_to_Party_Morale +20_to_Party_Morale
qstr_+1_to_Riding_Skill +1_to_Riding_Skill
qstr_during_battles during_battles
qstr_+1_to_Pathfinding +1_to_Pathfinding
qstr_+1_to_Athletics +1_to_Athletics
qstr_Use_from Use_from
qstr_Action_Menu Action_Menu
qstr_+1_to_First_Aid +1_to_First_Aid
qstr_+1_to_Weapon_Mastery +1_to_Weapon_Mastery
qstr_+1_to_Wound_Treatmen +1_to_Wound_Treatment
qstr_+1_to_Tactics +1_to_Tactics
qstr_+1_to_Power_Strike +1_to_Power_Strike
qstr_+1_to_Strength +1_to_Strength
qstr_+1_to_Agility +1_to_Agility
qstr_+1_to_Leadership +1_to_Leadership
qstr_+1_to_Wildcraft +1_to_Wildcraft
qstr_+1_to_Power_Draw +1_to_Power_Draw
qstr_The_record_of_Balin_ The_record_of_Balin's_lost_expedition.
qstr_Who_might_be_interes Who_might_be_interested_in_this?
qstr_Turns_nature_to_your Turns_nature_to_your_side_(effect_scales_with_Wildcraft)
qstr_+1_to_Trainer +1_to_Trainer
qstr_Recruits_Tribal_Orcs Recruits_Tribal_Orcs
qstr_rally rally
qstr_rallies rallies
qstr_+{reg1}_{s3}_in_batt +{reg1}_{s3}_in_battle
qstr_+1_to_Charisma +1_to_Charisma
qstr_+1_to_Surgery +1_to_Surgery
qstr_+1_to_Intelligence +1_to_Intelligence
qstr_+1_to_Ironflesh +1_to_Ironflesh
qstr_+1_to_Prisoner_Mgmt +1_to_Prisoner_Mgmt
qstr_when_equipped when_equipped
qstr_+1_to_Riding +1_to_Riding
qstr_+1_to_Mounted_Archer +1_to_Mounted_Archery
qstr_+2_to_Tactics +2_to_Tactics
qstr_+{reg1}_to_Spotting +{reg1}_to_Spotting
qstr__Scales_with_Wildcra (Scales_with_Wildcraft)
qstr_+1_to_Spotting +1_to_Spotting
qstr_+2_to_Athletics +2_to_Athletics
qstr_Less_Dunnish_upkeep Less_Dunnish_upkeep
qstr_Less_Wargs_upkeep Less_Wargs_upkeep
qstr_Light_Armor Light_Armor
qstr_+{reg1}_to_Party_Mor +{reg1}_to_Party_Morale
qstr_Shoot_Speed:_{reg55} Shoot_Speed:_{reg55}
qstr_Do_you_want_to_disem Do_you_want_to_disembark?
qstr_Move_here Move_here
qstr_View_notes View_notes
qstr_Debug_str:_{reg0} Debug_str:_{reg0}
qstr_DEBUG:_Trolls_for_Tr DEBUG:_Trolls_for_Troll_quest_are_sped_down.
qstr__{s61} _{s61}
qstr_ERROR:_More_than_15_ ERROR:_More_than_15_trade_routes_are_given_for_{s1}.
qstr_Looted_your_items Looted_your_items
qstr_nothing nothing
qstr_Good Good
qstr_Med Med
qstr_Bad Bad
qstr_You_gained_{reg84}_e You_gained_{reg84}_experience_from_your_intelligence.
qstr_{reg4}_killed_{reg5} {reg4}_killed,_{reg5}_wounded,_{reg6}_routed
qstr_{reg4}_killed_{reg5}_ {reg4}_killed,_{reg5}_wounded
qstr_{reg4}_killed_{reg5}_r {reg4}_killed,_{reg5}_routed
qstr_{reg4}_wounded_{reg5 {reg4}_wounded,_{reg5}_routed
qstr_killed killed
qstr_routed routed
qstr_wounded wounded
qstr_{reg3?{reg3}:}_{s1}_ {reg3?{reg3}:}_{s1}_({s2})
qstr_{s0}_{reg3?{reg3}:}_ {s0},_{reg3?{reg3}:}_{s1}_({s2})
qstr_{s0}^{reg3?{reg3}:}_ {s0}^{reg3?{reg3}:}_{s1}_({s2})
qstr_{s0}^TOTAL:_{reg3}__ {s0}^TOTAL:_{reg3}_({s2})
qstr_^None ^None
qstr_min:_{reg76};_max_{r min:_{reg76};_max_{reg77};_level_up:_{reg78}_rounds
qstr_near_the_Great_East_ near_the_Great_East_Road,_the_abandoned_old_road
qstr_near_what_is_left_of near_what_is_left_of_the_Old_Forest_Road,_the_ancient_dwarven_path_that_used_to_cross_the_thick_forest
qstr_close_to_the_Hand_sh close_to_the_Hand-shaped_sign_of_Saruman,_pointing_toward_the_tower_of_Orthanc
qstr_in_sight_of_the_maje in_sight_of_the_majestic_City_Walls_of_Minas_Tirith,_the_White_City
qstr_in_sight_of_Edoras_t in_sight_of_Edoras,_the_capital_of_Rohan
qstr_in_sight_of_the_Horn in_sight_of_the_Hornburg,_the_great_fortress_of_Rohan
qstr_in_sight_of_Dol_Amro in_sight_of_Dol_Amroth,_the_seat_of_the_Princes_of_Belfalas
qstr_in_sight_of_the_Mora in_sight_of_the_Morannon,_the_Black_Gate_of_Mordor
qstr_in_sight_of_Dol_Guld in_sight_of_Dol_Guldur,_Sauron's_northern_fortress
qstr_on_the_green_pasture on_the_green_pastures_and_many-flowered_meadows_surrounding_Beorn's_House
qstr_on_the_shores_of_Lak on_the_shores_of_Lake_Mirrormere,_near_the_East_Gate_of_Moria
qstr_on_the_shores_of_the on_the_shores_of_the_Long_Lake,_in_sight_of_Esgaroth,_the_Laketown
qstr_near_the_coast_of_Go near_the_coast_of_Gondor._You_can_hear_the_distant_sound_of_the_waves_and_the_cries_of_the_seagulls.
qstr_in_the_outskirts_of_ in_the_outskirts_of_Osgiliath,_the_former_capital_of_Gondor
qstr_in_sight_of_the_entr in_sight_of_the_entrance_to_Erebor,_the_dwarven_fortress
qstr_in_sight_of_the_dark in_sight_of_the_dark_Tower_of_Orthanc
qstr_near_the_Old_Ford_wh near_the_Old_Ford,_where_the_Old_Forest_Road_crosses_the_River_Anduin
qstr_near_a_big_ford_cros near_a_big_ford_crossing_the_River_{s15}
qstr_near_a_small_ford_cr near_a_small_ford_crossing_the_River_{s15}
qstr_Battle_Advantage_=_{ Battle_Advantage_=_{reg0}.
qstr_{s9}_wants_you_to_re {s9}_wants_you_to_resume_following_his_army_until_further_notice.
qstr__Being_Raided_ (Being_Raided)
qstr__Looted_ (Looted)
qstr__Under_Siege_ (Under_Siege)
qstr_{s3}_is_no_longer_un {s3}_is_no_longer_under_siege.
qstr_Enemies_spotted_near Enemies_spotted_near_{s1}.
qstr_Your_relation_with_{ Your_relation_with_{s1}_has_improved.
qstr_Your_relation_with_{s Your_relation_with_{s1}_has_deteriorated.
qstr_{s1}_gained_faction_ {s1}_gained_faction_strength!
qstr_{s1}_lost_faction_st {s1}_lost_faction_strength!
qstr_{s2}_{reg3?was:is_cu {s2}_{reg3?was:is_currently}_at_{s3}.
qstr_{s2}_{reg3?was:is}_t {s2}_{reg3?was:is}_travelling_to_{s3}_and_{reg4?she:he}_{reg3?was:should_be}_close_to_{s4}{reg3?:_at_the_moment}.
qstr_{s2}_{reg3?was:is}_i {s2}_{reg3?was:is}_in_wilderness_and_{reg4?she:he}_{reg3?was:should_be}_close_to_{s3}{reg3?:_at_the_moment}.
qstr_{s2}_{reg3?was:is}_b {s2}_{reg3?was:is}_being_held_captive_at_{s3}.
qstr_{s2}_{reg3?was:has_b {s2}_{reg3?was:has_been}_taken_captive_by_{reg4?her:his}_enemies.
qstr_{reg3?{s2}_s_locatio {reg3?{s2}'s_location_was_unknown:I_don't_know_where_{s2}_is}.
qstr_{s6}_has_joined_your {s6}_has_joined_your_party
qstr_elven elven
qstr_dwarven dwarven
qstr_orc orc
qstr_uruk uruk
qstr_uruk_hai uruk-hai
qstr_trollish trollish
qstr_man man
qstr_riding riding
qstr_marching marching
qstr_charging charging
qstr_We_know_this_is_your We_know_this_is_your_land,_{playername}.^Trust_us,_we're_here_to_fight_our_common_Enemy.
qstr_I_trust_you._{s20}_a I_trust_you._{s20}_and_{s21}_should_be_friends_and_trust_each_other.
qstr_There_is_wisdom_in_y There_is_wisdom_in_your_words,_{playername}.
qstr_Why_should_I?_Better Why_should_I?_Better_leave_the_land_of_{s20}.
qstr_We_will_go_in_peace_ We_will_go_in_peace,_as_soon_as_we_have_completed_our_mission,_of_which,_I'm_afraid,_we_cannot_tell_you.
qstr_Is_this_your_land_{p Is_this_your_land,_{playername}?_This_place_stinks.^But_stay_calm,_we_are_in_{s20}_only_to_follow_orders_by_our_common_Master.
qstr_Yes_go_on_do_whateve Yes,_go_on,_do_whatever_{s22}_says.
qstr_Of_course. Of_course.
qstr_I_don_t_like_this._W I_don't_like_this._What_brings_your_lot_here,_all_the_way_from_{s21}?
qstr_Do_you_fear_us_{play Do_you_fear_us,_{playername}_from_{s20}?_Mmm,_what_are_you_hiding_from_{s22}?^^Leave_us_alone,_and_noone_gets_hurt.
qstr_It_s_a_servant_of_{s It's_a_servant_of_{s22}._Fear_{s23},_{playername}!
qstr_Our_allies_are_you?_ Our_allies,_are_you?_I_guess_you_can_pass._
qstr_And_we_shall_not_kil And_we_shall_not_kill_you,_for_now.
qstr_This_land_belongs_to This_land_belongs_to_{s20}..._{s23}_has_no_business_here.
qstr_We_will_stay_as_long We_will_stay_as_long_as__our_master_commands!_Thank_your_fate_that_we_didn't_come_for_you.
qstr_You_wear_the_colors_ You_wear_the_colors_of_{s20}._What_is_your_business_in_{s21}?^Speak_quickly!
qstr_We_are_pursuing_our_ We_are_pursuing_our_enemies,_who_are_also_your_enemies!
qstr_Maybe._Or_maybe_you_ Maybe._Or_maybe_you_are_spies.^Go_back_where_you_belong,_soldier_of_{s20}.
qstr_We_are_friends_of_{s We_are_friends_of_{s21}.
qstr_Time_will_tell_if_yo Time_will_tell_if_you_speak_the_truth._It_is_difficult_to_tell_friend_from_foe_these_days.
qstr_What_are_you_doing_h What_are_you_doing_here_in_{s21},_{s20}_scum?_This_is_our_place,_not_yours!
qstr_You_dare_question_di You_dare_question_direct_orders_from_{s23}?
qstr_Guess_not._But_I_sti Guess_not._But_I_still_don't_like_having_you_around.^I'll_be_watching_you,_{playername}_of_{s20}.
qstr_None_of_your_busines None_of_your_business,_pig!
qstr_*growls*^You_should_ *growls*^You_should_be_glad_you_fight_for_our_Master,_otherwise_you_would_not_get_away_with_this_trespassing.
qstr_What_are_you_doing_s What_are_you_doing_so_far_from_home,_slave_of_{s22}?_Around_here,_{s23}_is_the_Master!
qstr_Quiet!_I_didn_t_came Quiet!_I_didn't_came_for_you._This_time.
qstr_And_I_ve_orders_to_l And_I've_orders_to_let_you_pass._This_time.
qstr_None_of_your_business None_of_your_business.
qstr_You_slaves_of_{s22}_ You_slaves_of_{s22}_are_weak!_You_are_fortunate_that_we_consider_you_to_be_allies...
qstr_Look_whom_we_meet_so Look_whom_we_meet_so_far_from_home:_soldiers_of_{s20}!_Is_this_good_news_or_bad?
qstr_{s20}_and_{s21}_figh {s20}_and_{s21}_fight_for_a_common_cause._We_should_cooperate_in_hostile_lands.
qstr_In_these_dark_times_ In_these_dark_times,_it_is_everybody_for_themselves,_{playername}.^But_I_wish_you_a_safe_journey_home.
qstr_Neither_good_nor_bad Neither_good,_nor_bad.__Our_business_is_our_own.
qstr_Everybody_on_his_way Everybody_on_his_way,_then.
qstr_What_are_you_trying_ What_are_you_trying_to_do,_{s20}_scum?_Steal_our_spoils?
qstr_Ha!_Soon_there_will_ Ha!_Soon_there_will_be_spoils_for_everybody.
qstr_Yes._Unless_you_get_ Yes._Unless_you_get_killed_first.
qstr_You_don_t_get_any_sp You_don't_get_any_spoils_if_YOU_get_killed,_scum_of_{s21}.
qstr_Is_that_a_threat?_Be Is_that_a_threat?_Be_thankful_that_we_have_enemies_around_to_slaughter_before_it_is_your_turn.
qstr_{s15}_ {s15}_
qstr_The_enemy_is_upon_us The_enemy_is_upon_us!_^
qstr_They_are_upon_us!_^ They_are_upon_us!_^
qstr_{playername}_and_{hi {playername}_and_{his/her}_rabble_from_{s18}_is_upon_us!_^
qstr_ORCS!_ORCS! ORCS!_ORCS!
qstr_ORCS!_ORCS!_Fight_fo ORCS!_ORCS!_Fight_for_your_life!
qstr_Elven_ghosts! Elven_ghosts!
qstr_Here_they_come!_Hold Here_they_come!_Hold_ranks!
qstr_We_are_under_attack! We_are_under_attack!
qstr_Horse_people!_The_ho Horse_people!_The_horse_people_are_upon_us!
qstr_Men_from_the_White_C Men_from_the_White_City?_Let_them_come,_to_their_death!
qstr_Death_to_men! Death_to_men!
qstr_Kill_the_maggots! Kill_the_maggots!
qstr_Death_to_traitors_of Death_to_traitors_of_the_Eye!
qstr_Death_to_traitors_of_ Death_to_traitors_of_the_White_Hand!
qstr_{s14}Kill_them_all!_ {s14}Kill_them_all!_Take_no_prisoners!
qstr_Tonight_we_feast_on_ Tonight_we_feast_on_{s15}_flesh!
qstr_Gharr!_Kill!_Kill!_K Gharr!_Kill!_Kill!_Kill!
qstr_Slaughter_these_half Slaughter_these_half_men!
qstr_Fear_no_elven_ghosts Fear_no_elven_ghosts!
qstr_{s14}Double_rations_ {s14}Double_rations_to_the_one_bringing_me_the_most_heads!
qstr_{s14}Double_rations_t {s14}Double_rations_to_the_one_bringing_me_the_most_{s15}_heads!
qstr_{s14}Kill_these_hors {s14}Kill_these_horse_thieves!
qstr_Kill_them_all!_Take_ Kill_them_all!_Take_back_what_is_ours!
qstr_Tonight_there_will_b Tonight_there_will_be_one_less_enemy_of_{s16}!
qstr_Baruk_Khazd!_Khazd_a Baruk_Khazâd!_Khazâd_ai-mênu!
qstr_{s14}Riders_of_Rohan {s14}Riders_of_Rohan!_Remember_what_you_fight_for!
qstr_{s14}More_{s19}heads {s14}More_{s19}heads_to_decorate_the_gates_of_Morannon!
qstr_The_Wise_Master_shal The_Wise_Master_shall_be_pleased_when_I_show_him_the_body_of_{playername}!
qstr_{s14}Now_we_will_put {s14}Now_we_will_put_an_end_to_the_suffering_of_these_foul_things.
qstr_{s14}Today_we_shall_ {s14}Today_we_shall_battle_the_enemies_of_Imladris_and_all_that_is_fair.
qstr_All_who_enter_Mirkwo All_who_enter_Mirkwood_with_malice_shall_never_leave!
qstr_Men_of_{s16}_the_ene Men_of_{s16},_the_enemy_is_here!_Fight_for_your_land!
qstr_Men_of_{s16}_charge! Men_of_{s16},_charge!_Fight_for_your_land!
qstr_{s14}Grind_their_bod {s14}Grind_their_bodies_into_the_sand!
qstr_{s14}Dwarves_or_men_ {s14}Dwarves_or_men,_they_are_no_match_for_our_fierceness!
qstr_{s14}Elves_or_men_th {s14}Elves_or_men,_they_are_no_match_for_our_fierceness!
qstr_{s14}Flesh_to_shatte {s14}Flesh_to_shatter,_throats_to_cut,_blood_to_spill!
qstr_Put_on_the_masks_of_ Put_on_the_masks_of_warriors,_men!_Today_the_doom_falls_upon_our_enemies_from_{s18}!
qstr_They_seek_the_tempes They_seek_the_tempest,_and_they_shall_have_it!_Men,_prepare_to_fight!
qstr_Draw_your_weapons_me Draw_your_weapons,_men,_for_tempest_is_unleashed_upon_our_enemies!
qstr_Orcs_of_{s16}_get_re Orcs_of_{s16},_get_ready!_Here_are_a_few_throats_for_you_to_cut!
qstr_These_friend_of_elve These_friend_of_elves_will_fall_under_our_blades!
qstr_These_Elves_will_fal These_Elves_will_fall_under_our_blades!
qstr_Raahh!_Draw_your_wea Raahh!_Draw_your_weapons,_scum_of_{s16}!_Tonight_we_feast_on_{s15}_entrails!
qstr_Rha!_{s14}More_{s15} Rha!_{s14}More_{s15}_bodies_to_disfigure_with_our_twisted_weapons!
qstr_Slaughter_these_puny Slaughter_these_puny_thieves_of_{s18}_now!_Then_we_burn_their_homes_and_cut_down_their_families.
qstr_Death_to_the_trespas Death_to_the_trespassers_of_the_lands_of_{s16}!
qstr_CHARGE!_Let_s_clear_ CHARGE!_Let's_clear_the_{s18}_{s19}scum_from_{s17}!
qstr_{s14}Now_that_{s19}s {s14}Now_that_{s19}scum_will_taste_the_fury_of_the_bear_people!
qstr_Attack! Attack!
qstr_TLD_ERROR!_could_not TLD_ERROR!_could_not_spawn_the_party_on_the_same_side_of_the_white_mountains
qstr_debug:_using_scene_I debug:_using_scene_ID_N._{reg10}
qstr_You_are_attacked_by_ You_are_attacked_by_a_group_of_goblins!
qstr_Holding Holding
qstr_Following Following
qstr_Charging Charging
qstr_Advancing Advancing
qstr_Falling_Back Falling_Back
qstr_Standing_Closer Standing_Closer
qstr_Spreading_Out Spreading_Out
qstr_Standing Standing
qstr_N/A N/A
qstr_Free Free
qstr_Any_Weapon Any_Weapon
qstr_Blunt_Weapons Blunt_Weapons
qstr_Infantry__{reg1}_ Infantry_({reg1})
